@400000005e425d101985dc61 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e425d1107d56287 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e425d110de3b5a5 #f,-,48,19,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e425d130df5e19a #d,-,18,2536,2386,1150,0,0,172995,10725,2544,2386,1153,2536,2384,1146,90,100,0,501,2787;
@400000005e425d150e047bee #d,-,18,2530,2381,1142,1,0,175275,10867,2536,2387,1150,2530,2381,1142,91,100,0,501,2777;
@400000005e425d150e0d4aa9 #d,-,18,2527,2386,1140,2,0,176248,10927,2530,2387,1155,2527,2372,1138,91,100,0,501,2775;
@400000005e425d170e1ac713 #d,-,18,2521,2385,1140,2,0,180536,11193,2527,2386,1142,2521,2384,1134,91,100,0,501,2761;
@400000005e425d170e234793 #d,-,18,2516,2382,1143,3,0,176870,10965,2521,2386,1144,2516,2382,1138,91,100,0,501,2758;
@400000005e425d190e2fedc9 #d,-,18,2511,2383,1137,4,0,177028,10975,2516,2385,1145,2511,2380,1136,90,100,0,501,2763;
@400000005e425d190e389478 #d,-,18,2506,2381,1139,5,0,177051,10977,2511,2385,1140,2506,2381,1131,90,100,0,501,2756;
@400000005e425d1b0e45d724 #d,-,18,2502,2382,1135,5,0,177068,10978,2506,2384,1140,2502,2381,1133,90,100,0,501,2751;
@400000005e425d1b0e4ed381 #d,-,18,2498,2385,1139,6,0,177096,10980,2502,2385,1140,2498,2382,1133,90,100,0,501,2751;
@400000005e425d1d0e5c6822 #d,-,18,2494,2386,1130,7,0,177065,10978,2498,2387,1140,2494,2383,1130,90,100,0,501,2749;
@400000005e425d1d0e64e041 #d,-,18,2490,2384,1134,7,0,176978,10972,2494,2386,1135,2490,2382,1130,90,100,0,501,2746;
@400000005e425d1f0e713481 #d,-,18,2485,2382,1134,8,0,176927,10969,2490,2384,1136,2485,2382,1131,90,100,0,501,2742;
@400000005e425d1f0e7a82d4 #d,-,18,2482,2382,1132,9,0,178172,11046,2485,2384,1137,2482,2382,1125,90,100,0,501,2742;
@400000005e425d210e842050 #d,-,18,2477,2383,1126,9,0,176738,10957,2482,2385,1132,2477,2381,1124,90,100,0,501,2732;
@400000005e425d210e893919 #d,-,18,2473,2377,2017,10,0,181631,11261,2477,2385,2296,2473,2377,1126,90,100,0,501,2730;
@400000005e425d230e9a30c9 #d,-,18,4571,2378,2074,12,0,191035,11844,4571,2380,2108,2473,2376,1951,96,100,0,501,4737;
@400000005e425d230ea68509 #d,-,18,4731,2378,1886,13,0,200238,12414,4731,2378,2091,4571,2375,1879,96,100,0,501,4927;
@400000005e425d250eb82817 #d,-,18,4505,2378,1898,14,0,206559,12806,4731,2379,1948,4505,2375,1810,96,100,0,501,4685;
@400000005e425d250ec45d9b #d,-,18,4405,2379,1901,15,0,211346,13103,4505,2379,1980,4405,2376,1869,96,100,0,501,4574;
@400000005e425d270ed52a74 #d,-,18,4461,2378,1914,17,0,216581,13428,4461,2380,1932,4405,2378,1879,96,100,0,501,4607;
@400000005e425d270ee05957 #d,-,18,4459,2378,1911,18,0,221398,13726,4461,2380,1939,4459,2377,1907,96,100,0,501,4597;
@400000005e425d290ef19f42 #d,-,18,4459,2377,1923,19,0,225770,13997,4459,2379,1927,4459,2376,1911,96,100,0,501,4614;
@400000005e425d290efd1133 #d,-,18,4458,2377,1933,20,0,229789,14246,4459,2379,1944,4458,2377,1897,96,100,0,501,4612;
@400000005e425d2b0f0d5525 #d,-,18,4460,2376,1934,22,0,233511,14477,4460,2379,1944,4458,2376,1908,96,100,0,501,4621;
@400000005e425d2b0f188408 #d,-,18,4461,2376,1926,23,0,236942,14690,4461,2379,1935,4460,2375,1918,96,100,0,501,4626;
