@400000005e43b06111c5ce32 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e43b0620014e761 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e43b06206238058 #f,-,48,251,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e43b064063606a3 #d,-,18,2528,2344,1169,1,0,179067,11102,2530,2344,1175,2528,2341,1166,91,100,0,501,2777;
@400000005e43b0660643e20b #d,-,18,2526,2344,1159,1,0,179306,11117,2528,2344,1169,2526,2342,1159,91,100,0,501,2772;
@400000005e43b066064d1ccf #d,-,18,2523,2342,1161,2,0,183953,11405,2526,2344,1164,2523,2342,1159,91,100,0,501,2761;
@400000005e43b068065a4fa6 #d,-,18,2520,2342,1158,3,0,179239,11112,2523,2344,1161,2520,2342,1154,91,100,0,501,2756;
@400000005e43b0680662f655 #d,-,18,2516,2342,1162,3,0,179114,11105,2520,2344,1162,2516,2340,1153,91,100,0,501,2744;
@400000005e43b06a06707767 #d,-,18,2512,2343,1150,4,0,178964,11095,2516,2343,1162,2512,2340,1150,91,100,0,501,2746;
@400000005e43b06a06790f30 #d,-,18,2507,2340,1155,5,0,181024,11223,2512,2343,1155,2507,2340,1146,91,100,0,501,2732;
@400000005e43b06c0686bed2 #d,-,18,2503,2341,1153,6,0,178635,11075,2507,2343,1156,2503,2340,1151,91,100,0,501,2734;
@400000005e43b06c068f3e64 #d,-,18,2500,2343,1150,6,0,178506,11067,2503,2343,1156,2500,2340,1144,91,100,0,501,2737;
@400000005e43b06e069c8d2b #d,-,18,2495,2344,1145,7,0,178335,11056,2500,2344,1150,2495,2341,1144,91,100,0,501,2723;
@400000005e43b06e06a55af8 #d,-,18,2492,2344,1151,8,0,178252,11051,2495,2346,1155,2492,2343,1144,91,100,0,501,2727;
@400000005e43b07006b26a6b #d,-,18,2489,2343,1143,8,0,178127,11043,2492,2345,1151,2489,2343,1141,91,100,0,501,2732;
@400000005e43b07006bb3ce0 #d,-,18,2484,2344,1145,9,0,177989,11035,2489,2346,1146,2484,2343,1140,91,100,0,501,2718;
@400000005e43b07206c88345 #d,-,18,2481,2343,1144,10,0,177879,11028,2484,2346,1149,2481,2343,1142,91,100,0,501,2718;
@400000005e43b07206d154cc #d,-,18,2478,2343,1142,10,0,177800,11023,2481,2345,1151,2478,2343,1141,90,100,0,501,2725;
