@400000005e44ff98296fae32 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e44ff9917bf11e2 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e44ff991dcdaad9 #f,-,48,103,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e44ff9d1de4eccb #d,-,18,2543,2349,1169,1,0,180016,11161,2547,2352,1176,2543,2349,1160,91,100,0,500,2784;
@400000005e44ff9d1ded7016 #d,-,18,2541,2350,1167,2,0,180425,11186,2543,2350,1171,2541,2349,1162,91,100,0,500,2784;
@400000005e44ff9f1dfae153 #d,-,18,2538,2351,1161,2,0,180444,11187,2541,2351,1168,2538,2350,1159,91,100,0,500,2784;
@400000005e44ff9f1e03af20 #d,-,18,2535,2350,1162,3,0,183842,11398,2538,2351,1167,2535,2350,1155,91,100,0,500,2770;
@400000005e44ffa11e10ce68 #d,-,18,2533,2348,1163,4,0,183281,11363,2535,2350,1164,2533,2348,1158,91,100,0,500,2775;
@400000005e44ffa11e19cf6e #d,-,18,2530,2350,1153,4,0,180252,11175,2533,2351,1166,2530,2348,1151,91,100,0,500,2772;
@400000005e44ffa31e269194 #d,-,18,2526,2348,1159,5,0,180126,11167,2530,2350,1161,2526,2347,1151,91,100,0,500,2758;
@400000005e44ffa31e2f2fe1 #d,-,18,2522,2347,1157,6,0,180043,11162,2526,2349,1163,2522,2347,1152,91,100,0,500,2758;
@400000005e44ffa51e3c4f29 #d,-,18,2519,2348,1155,6,0,179920,11155,2522,2349,1159,2519,2347,1151,91,100,0,500,2761;
@400000005e44ffa51e452558 #d,-,18,2515,2347,1153,7,0,179781,11146,2519,2349,1159,2515,2347,1148,91,100,0,500,2749;
@400000005e44ffa71e54c560 #d,-,18,2511,2348,1157,8,0,179676,11139,2515,2348,1158,2511,2346,1151,91,100,0,500,2751;
@400000005e44ffa71e5f15ac #d,-,18,2508,2346,1604,9,0,182105,11290,2511,2349,1722,2508,2346,1147,91,100,0,500,2751;
@400000005e44ffa91e6e9250 #d,-,18,3120,2343,2021,10,0,188596,11692,3120,2347,2231,2508,2342,1252,94,100,0,500,3301;
@400000005e44ffa91e78db2a #d,-,18,4767,2344,2149,11,0,200461,12428,4767,2345,2195,3120,2343,1992,98,100,0,500,4820;
@400000005e44ffab1e887fd9 #d,-,18,4767,2342,1959,12,0,208357,12918,4767,2345,2149,4767,2342,1931,95,100,0,500,4974;
@400000005e44ffab1e929ced #d,-,18,4515,2341,1949,14,0,214960,13327,4767,2342,1974,4515,2341,1909,97,100,0,500,4649;
@400000005e44ffad1ea2552c #d,-,18,4511,2341,1962,15,0,219771,13625,4515,2342,1989,4511,2340,1949,97,100,0,500,4635;
@400000005e44ffad1eac995d #d,-,18,4510,2341,1969,16,0,226356,14034,4511,2342,1971,4510,2340,1962,96,100,0,500,4652;
@400000005e44ffaf1ebca74a #d,-,18,4511,2343,1974,17,0,231208,14334,4511,2343,1975,4510,2341,1964,96,100,0,500,4657;
@400000005e44ffaf1ec6a95c #d,-,18,4512,2344,1972,19,0,234536,14541,4512,2344,1980,4511,2343,1967,96,100,0,500,4666;
@400000005e44ffb11ed5aced #d,-,18,4514,2342,1981,20,0,238622,14794,4514,2345,1981,4512,2342,1968,96,100,0,500,4671;
@400000005e44ffb11edff5c7 #d,-,18,4516,2344,1972,21,0,242357,15026,4516,2345,1981,4514,2342,1968,96,100,0,500,4678;
@400000005e44ffb31eef9215 #d,-,18,4518,2344,1973,22,0,245785,15238,4518,2344,1989,4516,2334,1972,96,100,0,500,4676;
@400000005e44ffb31ef9cb19 #d,-,18,4519,2343,1973,24,0,248936,15434,4519,2344,1980,4518,2342,1967,96,100,0,500,4673;
@400000005e44ffb51f0938d6 #d,-,18,4520,2342,1975,25,0,251853,15614,4520,2343,1979,4519,2342,1969,96,100,0,500,4676;
@400000005e44ffb51f1365bf #d,-,18,4522,2341,1977,26,0,254551,15782,4522,2342,1981,4520,2339,1971,96,100,0,500,4673;
@400000005e44ffb71f228187 #d,-,18,4522,2342,1972,27,0,257049,15937,4522,2342,1981,4522,2341,1970,96,100,0,500,4673;
@400000005e44ffb71f2d23c9 #d,-,18,4524,2341,1978,29,0,259390,16082,4524,2342,1980,4522,2341,1971,96,100,0,500,4671;
@400000005e44ffb91f3c9540 #d,-,18,4524,2342,1979,30,0,261591,16218,4524,2343,1984,4524,2341,1975,96,100,0,500,4673;
@400000005e44ffb91f46ae9a #d,-,18,4527,2342,1982,31,0,263661,16347,4527,2343,1987,4524,2342,1977,96,100,0,500,4690;
@400000005e44ffbb1f54a14a #d,-,18,4528,2342,1979,32,0,265594,16466,4528,2343,1985,4527,2342,1974,96,100,0,500,4683;
@400000005e44ffbb1f59adf7 #d,-,18,4423,2343,1878,34,0,266763,16539,4528,2344,1981,4423,2341,1759,95,100,0,500,4609;
@400000005e44ffbd1f6819bb #d,-,18,4224,2342,1848,35,0,267889,16609,4423,2343,1920,4224,2341,1827,96,100,0,500,4375;
@400000005e44ffbd1f71125f #d,-,18,4225,2342,1847,36,0,268898,16671,4225,2342,1856,4224,2341,1842,96,100,0,500,4379;
@400000005e44ffbf1f809764 #d,-,18,4225,2343,1852,37,0,269860,16731,4225,2343,1854,4225,2342,1845,96,100,0,500,4379;
@400000005e44ffbf1f8a241d #d,-,18,4223,2341,1810,38,0,270620,16778,4225,2343,1853,4223,2341,1799,96,100,0,500,4367;
@400000005e44ffc11f986150 #d,-,18,4120,2340,1809,39,0,271284,16819,4223,2342,1813,4120,2340,1803,96,100,0,500,4280;
@400000005e44ffc11fa1e695 #d,-,18,4119,2342,1746,41,0,271808,16852,4120,2342,1813,4119,2340,1746,96,100,0,500,4277;
@400000005e44ffc31fb62299 #d,-,18,3988,2341,1743,42,0,272132,16872,4119,2342,1752,3988,2341,1735,95,100,0,500,4164;
@400000005e44ffc31fc21156 #d,-,18,3983,2341,1721,43,0,272363,16886,3988,2341,1743,3983,2341,1714,96,100,0,500,4116;
@400000005e44ffc51fcff343 #d,-,18,3842,2341,1383,44,0,271822,16852,3983,2342,1724,3842,2341,1363,95,100,0,500,4043;
@400000005e44ffc51fd932af #d,-,18,3260,2343,1186,45,0,270304,16758,3842,2344,1727,3260,2340,1015,91,100,0,500,3569;
@400000005e44ffc71fe636f5 #d,-,18,2497,2342,1174,45,0,268293,16634,3260,2343,1186,2497,2342,1144,90,100,0,500,2753;
@400000005e44ffc71fef0c35 #d,-,18,2501,2339,1165,46,0,266368,16514,2501,2342,1175,2497,2339,1164,89,100,0,500,2789;
@400000005e44ffc91ffc95a9 #d,-,18,2503,2339,1170,47,0,264522,16400,2503,2340,1171,2501,2339,1162,90,100,0,500,2775;
@400000005e44ffc9200478c4 #d,-,18,2505,2340,1159,47,0,262740,16289,2505,2340,1172,2503,2338,1159,90,100,0,500,2775;
@400000005e44ffcb20118837 #d,-,18,2505,2344,1166,48,0,261025,16183,2505,2344,1166,2505,2340,1157,90,100,0,500,2765;
@400000005e44ffcb2019aaa7 #d,-,18,2505,2344,1161,49,0,259908,16114,2505,2345,1167,2505,2344,1157,90,100,0,500,2761;
@400000005e44ffcd20275690 #d,-,18,2506,2342,1161,49,0,258306,16014,2506,2345,1165,2505,2342,1155,90,100,0,500,2770;
@400000005e44ffcd202fceae #d,-,18,2504,2345,1158,50,0,256255,15887,2506,2345,1163,2504,2342,1152,90,100,0,500,2753;
@400000005e44ffcf203b8679 #d,-,18,2503,2342,1163,51,0,254787,15796,2504,2345,1166,2503,2342,1155,90,100,0,500,2763;
@400000005e44ffcf20434e92 #d,-,18,2503,2342,1159,52,0,253369,15708,2503,2343,1163,2503,2342,1154,90,100,0,500,2756;
@400000005e44ffd120501f9f #d,-,18,2502,2341,1155,52,0,252001,15624,2503,2343,1163,2502,2341,1153,90,100,0,500,2761;
@400000005e44ffd12058dacb #d,-,18,2501,2343,1154,53,0,250669,15541,2502,2343,1158,2501,2341,1148,91,100,0,500,2746;
@400000005e44ffd320657c59 #d,-,18,2499,2341,1155,54,0,249390,15462,2501,2343,1163,2499,2341,1149,91,100,0,500,2744;
@400000005e44ffd3206e3b3f #d,-,18,2497,2342,1157,54,0,248157,15385,2499,2342,1159,2497,2340,1153,90,100,0,500,2751;
@400000005e44ffd5207c9ae7 #d,-,18,2496,2342,1153,55,0,246960,15311,2497,2343,1160,2496,2342,1151,90,100,0,500,2746;
@400000005e44ffd5208614ff #d,-,18,2502,2341,1308,56,0,246486,15282,2502,2343,1761,2496,2338,1149,90,100,0,500,2763;
@400000005e44ffd72095a8eb #d,-,18,3218,2339,2126,57,0,247080,15318,3218,2343,2504,2502,2339,1274,94,100,0,500,3417;
@400000005e44ffd7209f8887 #d,-,18,4825,2340,2153,58,0,248786,15424,4825,2341,2180,3218,2339,2120,97,100,0,500,4969;
@400000005e44ffd920aec6c5 #d,-,18,4769,2340,1973,60,0,250052,15503,4825,2341,2161,4769,2339,1966,95,100,0,500,4991;
@400000005e44ffd920b90f9f #d,-,18,4513,2340,1917,61,0,251544,15595,4769,2341,1973,4513,2340,1854,96,100,0,500,4659;
@400000005e44ffdb20c8a38b #d,-,18,4449,2342,1959,62,0,252678,15666,4513,2342,2010,4449,2339,1917,96,100,0,500,4604;
@400000005e44ffdb20d2c18d #d,-,18,4501,2341,1963,63,0,253757,15732,4501,2342,1966,4449,2341,1956,97,100,0,500,4640;
@400000005e44ffdd20e23a77 #d,-,18,4500,2341,1968,65,0,254813,15798,4501,2341,1971,4500,2341,1961,96,100,0,500,4640;
@400000005e44ffdd20ec38cf #d,-,18,4501,2341,1969,66,0,255459,15838,4501,2341,1973,4500,2341,1965,96,100,0,500,4652;
@400000005e44ffdf20fba1e4 #d,-,18,4502,2342,1964,67,0,256460,15900,4502,2342,1970,4501,2341,1963,96,100,0,500,4649;
@400000005e44ffdf2105fe4c #d,-,18,4502,2340,1974,68,0,257440,15961,4502,2342,1975,4502,2340,1964,96,100,0,500,4654;
@400000005e44ffe12115a6b6 #d,-,18,4504,2339,1979,70,0,258400,16020,4504,2340,1979,4502,2339,1969,96,100,0,500,4661;
@400000005e44ffe1211fe374 #d,-,18,4506,2341,1972,71,0,259695,16101,4506,2341,1982,4504,2339,1968,96,100,0,500,4666;
