@400000005e4a479c111867a3 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4a479c3b040444 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4a479d05777619 #f,-,48,181,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e4a479f058ab796 #d,-,18,2533,2347,1158,1,0,175481,10879,2535,2347,1173,2533,2344,1158,90,100,0,500,2784;
@400000005e4a47a10598d076 #d,-,18,2531,2345,1166,1,0,183542,11379,2533,2347,1167,2531,2345,1158,91,100,0,500,2775;
@400000005e4a47a105a150f7 #d,-,18,2529,2348,1154,2,0,177873,11028,2531,2349,1166,2529,2345,1151,91,100,0,500,2772;
@400000005e4a47a305ae703e #d,-,18,2526,2349,1159,3,0,178234,11050,2529,2350,1162,2526,2347,1151,91,100,0,500,2763;
@400000005e4a47a305b74de1 #d,-,18,2523,2350,1155,3,0,178448,11063,2526,2351,1164,2523,2347,1149,91,100,0,500,2763;
@400000005e4a47a505c45d53 #d,-,18,2520,2348,1155,4,0,178600,11073,2523,2350,1161,2520,2348,1152,91,100,0,500,2763;
@400000005e4a47a505cd70fa #d,-,18,2518,2350,1145,5,0,178586,11072,2520,2350,1159,2518,2347,1145,91,100,0,500,2758;
@400000005e4a47a705db0dfc #d,-,18,2513,2350,1149,5,0,178560,11070,2518,2350,1154,2513,2349,1144,91,100,0,500,2744;
@400000005e4a47a705e3861a #d,-,18,2509,2348,1147,6,0,178451,11063,2513,2350,1155,2509,2348,1143,91,100,0,500,2749;
@400000005e4a47a905efe588 #d,-,18,2505,2349,1148,7,0,178362,11058,2509,2349,1152,2505,2347,1141,91,100,0,500,2737;
@400000005e4a47a905f91d81 #d,-,18,2501,2347,1148,8,0,178301,11054,2505,2349,1151,2501,2346,1143,91,100,0,500,2739;
@400000005e4a47ab0606c4c2 #d,-,18,2497,2347,1144,8,0,178193,11048,2501,2348,1149,2497,2346,1139,91,100,0,500,2737;
@400000005e4a47ab060f778c #d,-,18,2493,2348,1138,9,0,178070,11040,2497,2349,1148,2493,2347,1138,91,100,0,500,2730;
@400000005e4a47ad061d2f91 #d,-,18,2489,2345,1145,10,0,179185,11109,2493,2348,1145,2489,2345,1138,91,100,0,500,2725;
@400000005e4a47ad0625ddb4 #d,-,18,2485,2346,1143,10,0,179032,11100,2489,2347,1147,2485,2344,1140,91,100,0,500,2727;
@400000005e4a47af06329866 #d,-,18,2482,2345,1144,11,0,177830,11025,2485,2347,1146,2482,2344,1138,91,100,0,500,2727;
@400000005e4a47af063b4a43 #d,-,18,2480,2346,1139,12,0,177739,11019,2482,2346,1148,2480,2344,1135,91,100,0,500,2725;
@400000005e4a47b10648db2a #d,-,18,2476,2344,1136,12,0,177634,11013,2480,2346,1141,2476,2344,1131,91,100,0,500,2715;
@400000005e4a47b106518593 #d,-,18,2473,2345,1141,13,0,177554,11008,2476,2345,1143,2473,2343,1134,91,100,0,500,2715;
@400000005e4a47b3066d8d6a #d,-,18,2471,2342,1139,14,0,177482,11003,2473,2345,1144,2471,2341,1135,90,100,0,500,2718;
@400000005e4a47b306802fa6 #d,-,18,2469,2341,1368,14,0,177719,11018,2471,2343,1368,2469,2341,1137,90,100,0,500,2718;
@400000005e4a47b5069257e1 #d,-,18,3068,2340,1144,15,0,179874,11152,3068,2342,1745,2469,2339,1144,95,100,0,500,3227;
@400000005e4a47b5069c527f #d,-,18,2922,2338,1965,16,0,183484,11376,3068,2341,2325,2922,2336,1144,95,100,0,500,3071;
@400000005e4a47b706ada397 #d,-,18,4437,2336,2091,18,0,190617,11818,4437,2339,2117,2922,2336,1965,94,100,0,500,4687;
@400000005e4a47b706b89149 #d,-,18,4761,2338,1954,19,0,195272,12106,4761,2339,2102,4437,2336,1926,96,100,0,500,4929;
@400000005e4a47b906c7ee42 #d,-,18,4461,2338,2006,20,0,199857,12391,4761,2339,2010,4461,2337,1825,96,100,0,500,4628;
@400000005e4a47b906d1f4fc #d,-,18,4456,2335,1955,21,0,204176,12658,4461,2340,2006,4456,2335,1925,97,100,0,500,4569;
@400000005e4a47bb06e171a0 #d,-,18,4456,2337,1947,23,0,208200,12908,4456,2338,1970,4456,2335,1932,96,100,0,500,4614;
@400000005e4a47bb06ebae5e #d,-,18,4457,2337,1960,24,0,211970,13142,4457,2338,1981,4456,2335,1926,96,100,0,500,4612;
@400000005e4a47bd06fbeadc #d,-,18,4459,2337,1825,25,0,215384,13353,4459,2338,1974,4457,2336,1825,96,100,0,500,4616;
@400000005e4a47bd0705de07 #d,-,18,4453,2337,1906,26,0,219438,13605,4459,2339,2074,4453,2336,1822,97,100,0,500,4590;
@400000005e4a47bf0716877c #d,-,18,4507,2339,1960,28,0,222576,13799,4507,2339,1984,4453,2335,1906,97,100,0,500,4626;
@400000005e4a47bf0720f773 #d,-,18,4503,2338,1957,29,0,224854,13940,4507,2340,1962,4503,2338,1950,97,100,0,500,4623;
@400000005e4a47c107315b0e #d,-,18,4500,2339,1961,30,0,227635,14113,4503,2340,1965,4500,2338,1944,97,100,0,500,4623;
@400000005e4a47c1073b5966 #d,-,18,4498,2339,1969,31,0,230285,14277,4500,2339,1972,4498,2337,1952,97,100,0,500,4626;
