@400000005e4b95a11a4dc3a0 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4b95a2089f561c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4b95a20eae0b03 #f,-,48,157,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e4b95a40ec480ff #d,-,18,2455,2372,1139,1,0,175011,10850,2455,2372,1142,2454,2370,1137,89,55,0,500,2744;
@400000005e4b95a60ed4d01e #d,-,18,2456,2371,1133,1,0,175587,10886,2456,2372,1140,2455,2371,1133,89,71,0,500,2742;
@400000005e4b95a60ede26d2 #d,-,18,2457,2371,1132,2,0,175670,10891,2457,2372,1135,2456,2371,1129,89,78,0,500,2734;
@400000005e4b95a80eed367f #d,-,18,2455,2370,1135,3,0,175689,10892,2457,2371,1136,2455,2368,1130,90,83,0,500,2727;
@400000005e4b95a80ef6e2e2 #d,-,18,2455,2369,1132,3,0,175726,10895,2455,2371,1136,2455,2369,1132,90,86,0,500,2727;
@400000005e4b95aa0f061d66 #d,-,18,2454,2369,1135,4,0,178376,11059,2455,2371,1137,2454,2368,1132,89,89,0,500,2730;
@400000005e4b95aa0f0f8f1d #d,-,18,2454,2371,1133,5,0,175754,10896,2454,2371,1135,2454,2368,1132,89,89,0,500,2730;
@400000005e4b95ac0f1f4b15 #d,-,18,2453,2370,1134,5,0,175722,10894,2454,2371,1135,2453,2368,1131,89,90,0,500,2730;
@400000005e4b95ac0f28acf7 #d,-,18,2453,2369,1133,6,0,175711,10894,2453,2371,1135,2453,2368,1132,89,91,0,500,2730;
@400000005e4b95ae0f373003 #d,-,18,2451,2370,1130,7,0,175636,10889,2453,2371,1133,2451,2368,1127,90,92,0,500,2723;
@400000005e4b95ae0f40b902 #d,-,18,2449,2369,1132,7,0,175574,10885,2451,2371,1133,2449,2369,1126,90,93,0,500,2720;
@400000005e4b95b00f4fec12 #d,-,18,2448,2370,1127,8,0,175521,10882,2449,2372,1133,2448,2369,1125,90,93,0,500,2718;
@400000005e4b95b00f591ba9 #d,-,18,2447,2372,1128,9,0,176778,10960,2448,2372,1131,2447,2370,1126,90,94,0,500,2718;
@400000005e4b95b20f67d4b9 #d,-,18,2446,2370,1125,9,0,175447,10877,2447,2372,1133,2446,2369,1125,89,94,0,500,2720;
@400000005e4b95b20f71a928 #d,-,18,2444,2371,1123,10,0,176502,10943,2446,2372,1132,2444,2370,1123,90,95,0,500,2715;
@400000005e4b95b40f81395b #d,-,18,2442,2372,1125,11,0,175321,10869,2444,2372,1130,2442,2370,1122,90,95,0,500,2713;
@400000005e4b95b40f8acabc #d,-,18,2441,2370,1127,11,0,175282,10867,2442,2372,1131,2441,2369,1124,89,95,0,500,2713;
@400000005e4b95b60f999b14 #d,-,18,2440,2371,1128,12,0,175246,10865,2441,2371,1131,2440,2369,1122,89,95,0,500,2715;
@400000005e4b95b60fa318e6 #d,-,18,2439,2372,1128,13,0,175214,10863,2440,2372,1131,2439,2369,1123,89,95,0,500,2713;
@400000005e4b95b80fb23868 #d,-,18,2438,2370,1128,13,0,175192,10861,2439,2372,1130,2438,2369,1124,89,96,0,500,2715;
@400000005e4b95b80fbbfc14 #d,-,18,2438,2371,1127,14,0,175165,10860,2438,2372,1129,2438,2369,1124,89,96,0,500,2715;
@400000005e4b95ba0fcbbf80 #d,-,18,2437,2370,1125,15,0,175135,10858,2438,2372,1130,2437,2369,1123,89,96,0,500,2713;
@400000005e4b95ba0fd52161 #d,-,18,2437,2370,1128,15,0,175851,10902,2437,2372,1129,2437,2369,1124,89,97,0,500,2713;
@400000005e4b95bc0fe47f49 #d,-,18,2436,2371,1128,16,0,175092,10855,2437,2372,1129,2436,2369,1126,89,96,0,500,2715;
@400000005e4b95bc0fedbeb5 #d,-,18,2436,2369,1129,17,0,175068,10854,2436,2371,1129,2436,2369,1126,89,96,0,500,2713;
@400000005e4b95be0ffc9ee3 #d,-,18,2435,2369,1127,17,0,175046,10852,2436,2371,1130,2435,2369,1126,89,97,0,500,2715;
@400000005e4b95be10062c8a #d,-,18,2434,2370,1126,18,0,175020,10851,2435,2370,1129,2434,2367,1124,89,97,0,500,2713;
@400000005e4b95c01015a92e #d,-,18,2433,2370,1120,19,0,174976,10848,2434,2373,1126,2433,2370,1119,89,97,0,500,2708;
@400000005e4b95c0101f2346 #d,-,18,2432,2373,1121,19,0,174935,10845,2433,2373,1125,2432,2370,1119,90,97,0,500,2701;
@400000005e4b95c2102e5cdc #d,-,18,2430,2372,1121,20,0,175466,10878,2432,2373,1125,2430,2372,1121,89,97,0,500,2704;
@400000005e4b95c210380585 #d,-,18,2429,2373,1123,21,0,174864,10841,2430,2373,1125,2429,2368,1121,89,97,0,500,2706;
@400000005e4b95c41047c17e #d,-,18,2429,2371,1125,21,0,174826,10839,2429,2373,1126,2429,2371,1121,89,97,0,500,2706;
@400000005e4b95c410515698 #d,-,18,2428,2372,1123,22,0,174803,10837,2429,2372,1126,2428,2370,1121,89,97,0,500,2708;
@400000005e4b95c610616bf9 #d,-,18,2427,2370,1125,23,0,174785,10836,2428,2372,1126,2427,2370,1122,89,97,0,500,2708;
@400000005e4b95c6106ae523 #d,-,18,2427,2371,1125,23,0,174764,10835,2427,2372,1126,2427,2370,1123,89,97,0,500,2708;
@400000005e4b95c8107a666f #d,-,18,2427,2369,1123,24,0,174744,10834,2427,2372,1126,2427,2369,1122,89,97,0,500,2708;
@400000005e4b95c810842661 #d,-,18,2427,2371,1130,25,0,174748,10834,2427,2371,1133,2427,2368,1123,89,97,0,500,2711;
@400000005e4b95ca1093a304 #d,-,18,2553,2369,1501,26,0,176056,10915,2553,2371,1602,2427,2369,1127,92,97,0,500,2765;
@400000005e4b95ca109ced9e #d,-,18,3575,2368,1612,27,0,178273,11052,3575,2369,1633,2553,2367,1501,96,97,0,500,3716;
@400000005e4b95cc10abf991 #d,-,18,3685,2369,1666,28,0,180793,11209,3685,2371,1694,3575,2368,1458,95,98,0,500,3872;
@400000005e4b95cc10b55045 #d,-,18,3559,2367,1562,29,0,182681,11326,3685,2370,1682,3559,2366,1474,94,98,0,500,3765;
@400000005e4b95ce10c4b5a1 #d,-,18,3665,2369,1557,30,0,183990,11407,3665,2370,1701,3559,2367,1444,96,98,0,500,3815;
@400000005e4b95ce10ce522f #d,-,18,3664,2366,1648,31,0,185892,11525,3665,2369,1680,3664,2366,1552,94,98,0,500,3863;
@400000005e4b95d010ddfe52 #d,-,18,3661,2368,1538,32,0,187584,11630,3664,2369,1663,3661,2366,1538,95,98,0,500,3832;
@400000005e4b95d010e7936c #d,-,18,3666,2367,1649,33,0,189312,11737,3666,2368,1661,3661,2366,1536,94,98,0,500,3874;
@400000005e4b95d210f713ca #d,-,18,3668,2368,1588,34,0,190914,11836,3668,2369,1649,3666,2366,1575,94,98,0,500,3870;
@400000005e4b95d211008a29 #d,-,18,3673,2367,1645,35,0,192473,11933,3673,2369,1648,3668,2366,1575,94,98,0,500,3877;
@400000005e4b95d4111016a2 #d,-,18,3674,2368,1610,36,0,193989,12027,3674,2368,1651,3673,2366,1590,94,98,0,500,3874;
@400000005e4b95d411199474 #d,-,18,3680,2364,1642,37,0,195430,12116,3680,2368,1653,3674,2364,1584,94,98,0,500,3884;
@400000005e4b95d611291118 #d,-,18,3681,2366,1630,38,0,196853,12204,3681,2367,1662,3680,2364,1583,94,98,0,500,3889;
@400000005e4b95d611325bb1 #d,-,18,3687,2364,1641,39,0,198577,12311,3687,2366,1645,3681,2363,1600,94,98,0,500,3893;
@400000005e4b95d8114111f5 #d,-,18,3690,2367,1636,40,0,199884,12392,3690,2367,1658,3687,2363,1591,94,98,0,500,3901;
@400000005e4b95d8114ace2e #d,-,18,3696,2365,1644,41,0,201148,12471,3696,2367,1657,3690,2365,1608,94,98,0,500,3901;
@400000005e4b95da1159e0a6 #d,-,18,3699,2365,1639,42,0,202006,12524,3699,2365,1673,3696,2364,1572,94,98,0,500,3919;
@400000005e4b95da11637a68 #d,-,18,3703,2366,1628,43,0,203166,12596,3703,2367,1654,3699,2364,1599,95,98,0,500,3891;
@400000005e4b95dc11731e2a #d,-,18,3706,2365,1648,44,0,204321,12667,3706,2367,1670,3703,2364,1580,94,98,0,500,3917;
@400000005e4b95dc117c939a #d,-,18,3704,2366,1610,45,0,205368,12732,3706,2367,1691,3704,2365,1530,96,98,0,500,3855;
@400000005e4b95de118b8fb8 #d,-,18,3757,2365,1656,46,0,206458,12800,3757,2367,1664,3704,2365,1604,95,98,0,500,3938;
@400000005e4b95de119540c3 #d,-,18,3752,2367,1595,47,0,207461,12862,3757,2367,1656,3752,2365,1593,96,98,0,500,3901;
@400000005e4b95e011a4f814 #d,-,18,3751,2365,1651,48,0,208476,12925,3752,2367,1667,3751,2364,1595,95,98,0,500,3919;
@400000005e4b95e011aea477 #d,-,18,3746,2367,1596,49,0,209421,12984,3751,2367,1662,3746,2365,1596,96,98,0,500,3893;
@400000005e4b95e211be34a9 #d,-,18,3745,2365,1660,50,0,210695,13063,3746,2367,1662,3745,2364,1596,95,98,0,500,3915;
@400000005e4b95e211c7aa1a #d,-,18,3687,2367,1615,51,0,211579,13117,3745,2367,1692,3687,2364,1545,94,98,0,500,3882;
@400000005e4b95e411d5c7a2 #d,-,18,3787,2365,1681,52,0,212121,13151,3787,2367,1681,3687,2365,1540,96,98,0,500,3943;
@400000005e4b95e411df359f #d,-,18,3687,2367,1635,53,0,212984,13205,3787,2367,1694,3687,2364,1557,94,98,0,500,3893;
@400000005e4b95e611ee58da #d,-,18,3741,2367,1616,54,0,213760,13253,3741,2367,1692,3687,2365,1547,96,98,0,500,3889;
@400000005e4b95e611f79fba #d,-,18,3740,2365,1649,56,0,214614,13306,3741,2367,1688,3740,2364,1616,95,98,0,500,3931;
@400000005e4b95e812062a39 #d,-,18,3743,2367,1634,57,0,215413,13355,3743,2367,1656,3740,2364,1625,95,98,0,500,3934;
@400000005e4b95e8121040c7 #d,-,18,3745,2365,1655,58,0,216218,13405,3745,2367,1662,3743,2364,1634,94,98,0,500,3946;
@400000005e4b95ea121fe489 #d,-,18,3749,2367,1644,59,0,217296,13472,3749,2367,1662,3745,2365,1629,94,99,0,500,3948;
