@400000005e4cea761367490c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4cea7701b731ea #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4cea7707c55942 #f,-,48,181,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e4cea7907d79153 #d,-,18,2490,2347,1153,1,0,177109,10980,2490,2347,1159,2489,2344,1150,90,100,0,500,2756;
@400000005e4cea7b07e56cbb #d,-,18,2491,2348,1156,1,0,177694,11017,2491,2348,1157,2490,2345,1151,90,100,0,500,2753;
@400000005e4cea7b07ee655f #d,-,18,2490,2348,1152,2,0,177924,11031,2491,2349,1156,2490,2347,1151,90,100,0,500,2753;
@400000005e4cea7d07fbc30d #d,-,18,2491,2346,1155,3,0,178092,11041,2491,2348,1157,2490,2346,1150,90,100,0,500,2753;
@400000005e4cea7d08042f10 #d,-,18,2490,2347,1150,4,0,178181,11047,2491,2348,1157,2490,2346,1150,90,100,0,500,2753;
@400000005e4cea7f0810d545 #d,-,18,2490,2349,1150,4,0,178123,11043,2490,2349,1151,2490,2346,1145,90,100,0,500,2749;
@400000005e4cea7f081a0984 #d,-,18,2488,2346,1151,5,0,178098,11042,2490,2349,1155,2488,2346,1147,90,100,0,500,2744;
@400000005e4cea810827bce1 #d,-,18,2487,2348,1149,6,0,178110,11042,2488,2348,1154,2487,2345,1149,90,100,0,500,2746;
@400000005e4cea8108305863 #d,-,18,2487,2347,1152,6,0,179886,11152,2487,2349,1156,2487,2346,1148,90,100,0,500,2749;
@400000005e4cea83083d6062 #d,-,18,2486,2346,1149,7,0,178088,11041,2487,2349,1154,2486,2346,1146,90,100,0,500,2746;
@400000005e4cea83084625ce #d,-,18,2485,2347,1145,8,0,178038,11038,2486,2347,1158,2485,2346,1141,90,100,0,500,2746;
@400000005e4cea850853e18c #d,-,18,2482,2345,1146,8,0,177974,11034,2485,2348,1151,2482,2345,1142,90,100,0,500,2734;
@400000005e4cea85085c8ce3 #d,-,18,2481,2346,1147,9,0,177929,11031,2482,2346,1150,2481,2344,1144,90,100,0,500,2734;
@400000005e4cea87086a01da #d,-,18,2480,2344,1147,10,0,177881,11028,2481,2347,1149,2480,2343,1144,90,100,0,500,2737;
@400000005e4cea870872c833 #d,-,18,2478,2344,1138,10,0,178914,11092,2480,2345,1148,2478,2341,1138,90,100,0,500,2730;
@400000005e4cea8908801d7f #d,-,18,2476,2346,1144,11,0,178779,11084,2478,2346,1145,2476,2343,1137,90,100,0,500,2723;
@400000005e4cea890888a573 #d,-,18,2474,2346,1141,12,0,177680,11016,2476,2346,1146,2474,2344,1141,90,100,0,500,2727;
@400000005e4cea8b0895d490 #d,-,18,2473,2346,1146,12,0,177632,11013,2474,2346,1146,2473,2344,1141,90,100,0,500,2727;
@400000005e4cea8b089eb5ec #d,-,18,2472,2343,1143,13,0,177589,11010,2473,2346,1146,2472,2343,1141,90,100,0,500,2727;
@400000005e4cea8d08abd533 #d,-,18,2471,2344,1145,14,0,177550,11008,2472,2345,1149,2471,2343,1141,90,100,0,500,2730;
@400000005e4cea8d08b51859 #d,-,18,2469,2345,1145,14,0,178309,11055,2471,2345,1146,2469,2343,1140,90,100,0,500,2727;
@400000005e4cea8f08bf0322 #d,-,18,2469,2343,1146,15,0,177476,11003,2469,2345,1148,2469,2342,1141,90,100,0,500,2730;
