@400000005e4e375b3869d568 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4e375c26c73f58 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4e375c2cd8fcf9 #f,-,48,145,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e4e375e2cf06c8d #d,-,18,2453,2366,1140,0,0,173983,10786,2453,2367,1140,2453,2365,1135,89,100,0,501,2734;
@400000005e4e37602d00fb00 #d,-,18,2453,2366,1133,1,0,174722,10832,2453,2367,1140,2453,2365,1133,89,100,0,501,2732;
@400000005e4e37602d0a78d2 #d,-,18,2454,2367,1139,2,0,175090,10855,2454,2367,1140,2453,2365,1133,89,100,0,501,2730;
@400000005e4e37622d1a476b #d,-,18,2453,2367,1136,2,0,175299,10868,2454,2368,1139,2453,2365,1135,89,100,0,501,2727;
@400000005e4e37622d23f014 #d,-,18,2453,2368,1138,3,0,175433,10876,2453,2368,1142,2453,2365,1135,89,100,0,501,2732;
@400000005e4e37642d33e5cb #d,-,18,2453,2367,1135,4,0,175526,10882,2453,2368,1140,2453,2365,1133,89,100,0,501,2732;
@400000005e4e37642d3d772b #d,-,18,2453,2367,1136,4,0,175557,10884,2453,2367,1139,2453,2365,1133,89,100,0,501,2727;
@400000005e4e37662d4d5dfb #d,-,18,2453,2367,1136,5,0,175581,10886,2453,2367,1139,2453,2365,1135,90,100,0,501,2725;
@400000005e4e37662d56cfb2 #d,-,18,2452,2365,1137,6,0,175599,10887,2453,2367,1140,2452,2365,1135,89,100,0,501,2730;
@400000005e4e37682d659d3f #d,-,18,2452,2366,1136,6,0,175628,10888,2452,2366,1138,2452,2364,1134,89,100,0,501,2725;
@400000005e4e37682d6f70bf #d,-,18,2451,2365,1133,7,0,175590,10886,2452,2366,1136,2451,2364,1131,90,100,0,501,2723;
@400000005e4e376a2d7e9b6f #d,-,18,2450,2363,1134,8,0,175535,10883,2451,2366,1135,2450,2363,1130,90,100,0,501,2715;
@400000005e4e376a2d883443 #d,-,18,2449,2364,1133,9,0,175510,10881,2450,2366,1135,2449,2363,1131,90,100,0,501,2718;
@400000005e4e376c2d97fb68 #d,-,18,2447,2366,1132,9,0,175487,10880,2449,2366,1136,2447,2364,1131,90,100,0,501,2715;
@400000005e4e376c2da17581 #d,-,18,2447,2365,1133,10,0,175468,10879,2447,2366,1136,2447,2364,1128,90,100,0,501,2718;
@400000005e4e376e2db0f5de #d,-,18,2446,2365,1130,11,0,175443,10877,2447,2365,1135,2446,2363,1130,90,100,0,501,2715;
@400000005e4e376e2dbb3afe #d,-,18,2445,2362,1133,11,0,176422,10938,2446,2365,1135,2445,2362,1130,89,100,0,501,2718;
@400000005e4e37702dcb57d2 #d,-,18,2444,2363,1128,12,0,175384,10873,2445,2365,1135,2444,2362,1128,90,100,0,501,2713;
@400000005e4e37702dd507ee #d,-,18,2443,2363,1133,13,0,175359,10872,2444,2365,1133,2443,2363,1128,90,100,0,501,2713;
@400000005e4e37722de4e2a2 #d,-,18,2442,2366,1132,13,0,175330,10870,2443,2366,1135,2442,2363,1130,90,100,0,501,2713;
@400000005e4e37722dee642e #d,-,18,2442,2365,1130,14,0,175310,10869,2442,2366,1135,2442,2363,1129,89,100,0,501,2718;
@400000005e4e37742dfd4904 #d,-,18,2441,2364,1130,15,0,175298,10868,2442,2365,1136,2441,2362,1130,89,100,0,501,2713;
@400000005e4e37742e079597 #d,-,18,2441,2365,1133,15,0,175287,10867,2441,2366,1135,2441,2363,1130,89,100,0,501,2715;
@400000005e4e37762e1bf057 #d,-,18,2441,2365,1135,16,0,175283,10867,2441,2365,1137,2441,2363,1129,89,100,0,501,2715;
@400000005e4e37762e267023 #d,-,18,2440,2364,1130,17,0,175268,10866,2441,2366,1136,2440,2362,1129,89,100,0,501,2720;
@400000005e4e37782e369912 #d,-,18,2439,2362,1622,17,0,176713,10956,2440,2364,1723,2439,2359,1127,90,100,0,501,2708;
@400000005e4e37782e40492f #d,-,18,3224,2361,1241,18,0,178251,11051,3224,2364,1622,2439,2361,1185,94,100,0,501,3408;
@400000005e4e377a2e50721e #d,-,18,3048,2359,1621,19,0,180234,11174,3224,2362,1629,3048,2358,1241,94,100,0,501,3223;
@400000005e4e377a2e5a037f #d,-,18,3537,2360,1602,20,0,182880,11338,3537,2361,1621,3048,2359,1577,95,100,0,501,3713;
@400000005e4e377c2e6a0cc4 #d,-,18,3591,2360,1557,21,0,185918,11526,3591,2361,1607,3537,2358,1557,95,100,0,501,3775;
@400000005e4e377c2e73ec60 #d,-,18,3592,2360,1605,22,0,187628,11632,3592,2361,1607,3591,2359,1553,94,100,0,501,3782;
@400000005e4e377e2e83cace #d,-,18,3592,2358,1603,23,0,190404,11805,3592,2361,1606,3592,2358,1579,95,100,0,501,3780;
@400000005e4e377e2e8dd099 #d,-,18,3595,2359,1588,24,0,191904,11898,3595,2361,1606,3592,2358,1588,94,100,0,501,3791;
@400000005e4e37802e9ddacd #d,-,18,3598,2358,1598,25,0,193855,12019,3598,2361,1598,3595,2358,1586,94,100,0,501,3803;
@400000005e4e37802ea7aa94 #d,-,18,3599,2361,1605,26,0,195716,12134,3599,2361,1612,3598,2358,1573,94,100,0,501,3794;
@400000005e4e37822eb78901 #d,-,18,3602,2361,1589,27,0,197460,12242,3602,2361,1607,3599,2359,1579,94,100,0,501,3799;
@400000005e4e37822ec148f3 #d,-,18,3605,2359,1607,28,0,199112,12344,3605,2361,1607,3602,2358,1569,94,100,0,501,3803;
@400000005e4e37842ed058a0 #d,-,18,3606,2361,1603,29,0,200718,12444,3606,2361,1610,3605,2359,1590,95,100,0,501,3794;
@400000005e4e37842eda5ab2 #d,-,18,3610,2361,1602,30,0,202770,12571,3610,2361,1612,3606,2359,1598,94,100,0,501,3820;
@400000005e4e37862eea63f7 #d,-,18,3615,2359,1615,31,0,203747,12632,3615,2361,1615,3610,2358,1601,94,100,0,501,3829;
@400000005e4e37862ef44393 #d,-,18,3619,2360,1594,32,0,205137,12718,3619,2361,1615,3615,2359,1594,94,100,0,501,3829;
@400000005e4e37882f041e47 #d,-,18,3623,2360,1604,33,0,206461,12800,3623,2362,1612,3619,2359,1590,94,100,0,501,3827;
@400000005e4e37882f0dfde3 #d,-,18,3625,2360,1608,34,0,207731,12879,3625,2362,1613,3623,2360,1592,94,100,0,501,3822;
@400000005e4e378a2f1cb6f3 #d,-,18,3627,2361,1580,35,0,209398,12982,3627,2362,1615,3625,2359,1580,94,100,0,501,3818;
@400000005e4e378a2f26add7 #d,-,18,3629,2362,1609,36,0,210092,13025,3629,2363,1617,3627,2361,1580,94,100,0,501,3829;
@400000005e4e378c2f364ddf #d,-,18,3631,2360,1607,37,0,211221,13095,3631,2362,1614,3629,2359,1598,94,100,0,501,3829;
@400000005e4e378c2f3ffdfc #d,-,18,3633,2362,1593,38,0,212276,13161,3633,2362,1616,3631,2359,1590,94,100,0,501,3825;
@400000005e4e378e2f4fb9f4 #d,-,18,3635,2361,1613,39,0,213314,13225,3635,2362,1619,3633,2360,1593,94,100,0,501,3829;
@400000005e4e378e2f595682 #d,-,18,3638,2360,1612,40,0,214318,13287,3638,2362,1617,3635,2359,1602,94,100,0,501,3841;
@400000005e4e37902f68c7f9 #d,-,18,3641,2361,1604,41,0,215272,13346,3641,2361,1617,3638,2360,1600,94,100,0,501,3839;
@400000005e4e37902f726841 #d,-,18,3643,2361,1620,42,0,216599,13429,3643,2361,1620,3641,2358,1592,95,100,0,501,3834;
@400000005e4e37922f8237c8 #d,-,18,3643,2359,1616,43,0,217078,13458,3643,2361,1622,3643,2359,1599,95,100,0,501,3832;
@400000005e4e37922f8bfb73 #d,-,18,3647,2360,1613,44,0,217945,13512,3647,2362,1616,3643,2359,1608,94,100,0,501,3858;
@400000005e4e37942f9b7bd1 #d,-,18,3650,2361,1613,45,0,218778,13564,3650,2361,1617,3647,2359,1609,94,100,0,501,3846;
@400000005e4e37942fa52834 #d,-,18,3652,2361,1593,46,0,219969,13638,3652,2362,1619,3650,2360,1593,94,100,0,501,3846;
@400000005e4e37962fb51b1f #d,-,18,3653,2362,1613,48,0,220328,13660,3653,2362,1625,3652,2360,1580,95,100,0,501,3837;
@400000005e4e37962fbed669 #d,-,18,3651,2361,1604,49,0,221056,13705,3653,2362,1619,3651,2360,1583,95,100,0,501,3827;
@400000005e4e37982fced0c7 #d,-,18,3652,2361,1607,50,0,222146,13773,3652,2363,1615,3651,2360,1603,95,100,0,501,3837;
@400000005e4e37982fd88cff #d,-,18,3653,2361,1610,51,0,222456,13792,3653,2363,1614,3652,2361,1604,95,100,0,501,3841;
@400000005e4e379a2fe8a260 #d,-,18,3654,2361,1607,52,0,223489,13856,3654,2363,1613,3653,2360,1604,95,100,0,501,3837;
@400000005e4e379a2ff259f0 #d,-,18,3654,2361,1613,53,0,223763,13873,3654,2363,1613,3654,2360,1604,95,100,0,501,3839;
@400000005e4e379c3001c7ad #d,-,18,3656,2362,1619,54,0,224402,13912,3656,2363,1623,3654,2360,1608,95,100,0,501,3846;
@400000005e4e379c300c17f9 #d,-,18,3657,2362,1607,55,0,225006,13950,3657,2362,1619,3656,2359,1605,95,100,0,501,3844;
@400000005e4e379e301bcb90 #d,-,18,3657,2362,1619,56,0,225599,13987,3657,2362,1621,3657,2360,1601,95,100,0,501,3841;
@400000005e4e379e30257080 #d,-,18,3658,2362,1615,57,0,226523,14044,3658,2363,1619,3657,2360,1608,95,100,0,501,3846;
@400000005e4e37a0303542d2 #d,-,18,3659,2360,1605,58,0,226730,14057,3659,2362,1617,3658,2360,1605,95,100,0,501,3848;
@400000005e4e37a0303f3e5f #d,-,18,3660,2361,1616,59,0,227267,14090,3660,2362,1616,3659,2359,1604,95,100,0,501,3844;
@400000005e4e37a2304ea3ba #d,-,18,3660,2358,1607,60,0,227788,14122,3660,2361,1623,3660,2358,1597,95,100,0,501,3841;
@400000005e4e37a230596960 #d,-,18,3660,2360,1608,61,0,228291,14154,3660,2361,1623,3660,2358,1590,95,100,0,501,3834;
@400000005e4e37a4306937f8 #d,-,18,3661,2359,1620,62,0,228799,14185,3661,2361,1620,3660,2358,1608,95,100,0,501,3851;
@400000005e4e37a43072f430 #d,-,18,3662,2361,1605,63,0,229279,14215,3662,2361,1620,3661,2358,1604,95,100,0,501,3851;
@400000005e4e37a6308255d2 #d,-,18,3663,2359,1616,64,0,230064,14264,3663,2361,1622,3662,2358,1600,95,100,0,501,3846;
