@400000005e4f87170754b960 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4f8717314023b7 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4f8717374d4dbd #f,-,48,109,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e4f8719375fc079 #d,-,18,2506,2360,1142,1,0,187474,11623,2509,2362,1153,2506,2359,1141,90,100,0,500,2765;
@400000005e4f871b376d4cb8 #d,-,18,2503,2360,1151,1,0,178482,11065,2506,2361,1152,2503,2359,1142,90,100,0,500,2753;
@400000005e4f871b3775f367 #d,-,18,2500,2362,1142,2,0,178239,11050,2503,2362,1151,2500,2359,1141,90,100,0,500,2756;
@400000005e4f871d3783694c #d,-,18,2496,2362,1145,3,0,178063,11039,2500,2362,1150,2496,2360,1138,90,100,0,500,2746;
@400000005e4f871d378c2744 #d,-,18,2493,2360,1147,3,0,177969,11034,2496,2362,1149,2493,2359,1142,90,100,0,500,2746;
@400000005e4f871f379969f0 #d,-,18,2490,2363,1140,4,0,177860,11027,2493,2363,1148,2490,2360,1140,90,100,0,500,2749;
@400000005e4f871f37a227e8 #d,-,18,2487,2364,1143,5,0,179929,11155,2490,2364,1144,2487,2361,1136,90,100,0,500,2742;
@400000005e4f872137af9924 #d,-,18,2483,2362,1141,6,0,179562,11132,2487,2364,1144,2483,2361,1137,90,100,0,500,2739;
@400000005e4f872137b86b99 #d,-,18,2481,2363,1141,6,0,177507,11005,2483,2363,1145,2481,2361,1138,90,100,0,500,2744;
@400000005e4f872337c5677d #d,-,18,2479,2363,1141,7,0,177466,11002,2481,2363,1146,2479,2361,1140,90,100,0,500,2744;
@400000005e4f872337cea330 #d,-,18,2477,2362,1141,8,0,177432,11000,2479,2363,1147,2477,2361,1137,90,100,0,500,2742;
@400000005e4f872537dc42fd #d,-,18,2476,2363,1134,8,0,177338,10994,2477,2364,1146,2476,2362,1133,90,100,0,500,2744;
@400000005e4f872537e4b762 #d,-,18,2473,2364,1136,9,0,177246,10989,2476,2365,1140,2473,2362,1133,90,100,0,500,2730;
@400000005e4f872737f1f654 #d,-,18,2471,2364,1138,10,0,177176,10984,2473,2365,1139,2471,2361,1135,90,100,0,500,2737;
@400000005e4f872737fb125c #d,-,18,2469,2361,1138,10,0,177124,10981,2471,2364,1143,2469,2361,1135,90,100,0,500,2732;
@400000005e4f872938089ae1 #d,-,18,2467,2361,1136,11,0,177078,10978,2469,2363,1142,2467,2361,1134,90,100,0,500,2737;
@400000005e4f87293811551f #d,-,18,2466,2362,1138,12,0,177029,10975,2467,2362,1140,2466,2360,1134,90,100,0,500,2734;
@400000005e4f872b381e5d1f #d,-,18,2464,2363,1131,12,0,176970,10972,2466,2363,1141,2464,2361,1131,90,100,0,500,2734;
@400000005e4f872b38274234 #d,-,18,2463,2362,1134,13,0,176882,10966,2464,2363,1137,2463,2361,1128,90,100,0,500,2725;
@400000005e4f872d3834ea63 #d,-,18,2460,2362,1132,14,0,176828,10963,2463,2364,1137,2460,2361,1130,90,100,0,500,2725;
@400000005e4f872d383d7257 #d,-,18,2459,2363,1139,14,0,176774,10959,2460,2364,1139,2459,2361,1128,90,100,0,500,2723;
@400000005e4f872f384b1225 #d,-,18,2457,2362,1132,15,0,177486,11004,2459,2364,1139,2457,2361,1128,90,100,0,500,2725;
@400000005e4f872f3853e853 #d,-,18,2455,2362,1134,16,0,176666,10953,2457,2364,1137,2455,2362,1129,90,100,0,500,2725;
@400000005e4f87313861cb2f #d,-,18,2454,2364,1135,16,0,176613,10950,2455,2364,1137,2454,2361,1128,90,100,0,500,2723;
@400000005e4f8731386a8927 #d,-,18,2453,2362,1131,17,0,176563,10946,2454,2364,1136,2453,2361,1127,90,100,0,500,2723;
@400000005e4f87333878412b #d,-,18,2452,2361,1131,18,0,176523,10944,2453,2362,1137,2452,2360,1130,90,100,0,500,2720;
@400000005e4f87333880ef4e #d,-,18,2450,2361,1132,18,0,177106,10980,2452,2363,1134,2450,2361,1128,90,100,0,500,2720;
@400000005e4f8735388d66f3 #d,-,18,2449,2364,1129,19,0,176431,10938,2450,2364,1135,2449,2361,1128,90,100,0,500,2718;
@400000005e4f873538966f6c #d,-,18,2449,2364,1134,20,0,176978,10972,2449,2364,1134,2449,2361,1127,90,100,0,500,2718;
@400000005e4f873738a3fbab #d,-,18,2447,2362,1126,21,0,176337,10932,2449,2364,1134,2447,2361,1124,90,100,0,500,2715;
@400000005e4f873738acddf5 #d,-,18,2445,2362,1130,21,0,176275,10929,2447,2364,1130,2445,2361,1122,90,100,0,500,2711;
@400000005e4f873938ba1bf8 #d,-,18,2443,2365,1125,22,0,176211,10925,2445,2365,1130,2443,2362,1122,90,100,0,500,2706;
@400000005e4f873938c33447 #d,-,18,2442,2362,1129,23,0,176164,10922,2443,2365,1132,2442,2362,1124,90,100,0,500,2713;
@400000005e4f873b38d02144 #d,-,18,2440,2363,1129,23,0,176120,10919,2442,2364,1133,2440,2362,1125,89,100,0,500,2713;
@400000005e4f873b38d8db82 #d,-,18,2440,2364,1130,24,0,176078,10916,2440,2364,1135,2440,2362,1126,89,100,0,500,2715;
@400000005e4f873d38e61213 #d,-,18,2439,2364,1131,25,0,176522,10944,2440,2364,1134,2439,2361,1126,89,100,0,500,2715;
