@400000005e537e3c1b969f76 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e537e3d09f3b683 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e537e3d10057512 #f,-,48,237,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e537e3f101bbf48 #d,-,18,2499,2350,1158,1,0,174180,10799,2499,2350,1161,2497,2348,1155,90,100,0,500,2763;
@400000005e537e41102bf099 #d,-,18,2499,2350,1149,1,0,175713,10894,2499,2351,1161,2499,2349,1148,90,100,0,500,2761;
@400000005e537e411035896e #d,-,18,2497,2351,1154,2,0,176372,10935,2499,2351,1156,2497,2350,1149,90,100,0,500,2749;
@400000005e537e4310454477 #d,-,18,2496,2349,1154,3,0,176825,10963,2497,2351,1159,2496,2348,1152,90,100,0,500,2756;
@400000005e537e43104e9ee6 #d,-,18,2495,2351,1154,3,0,180104,11166,2496,2352,1159,2495,2348,1148,90,100,0,500,2758;
@400000005e537e45105decf9 #d,-,18,2494,2349,1149,4,0,179870,11152,2495,2352,1155,2494,2349,1148,90,100,0,500,2751;
@400000005e537e451067a931 #d,-,18,2493,2353,1148,5,0,179605,11135,2494,2353,1153,2493,2349,1143,90,100,0,500,2749;
@400000005e537e4710778b58 #d,-,18,2490,2349,1146,5,0,179335,11118,2493,2353,1150,2490,2349,1142,90,100,0,500,2739;
@400000005e537e4710813048 #d,-,18,2488,2353,1148,6,0,177371,10997,2490,2353,1150,2488,2349,1144,90,100,0,500,2739;
@400000005e537e491090bcc1 #d,-,18,2486,2353,1146,7,0,177368,10996,2488,2355,1150,2486,2353,1142,90,100,0,500,2742;
@400000005e537e491099f873 #d,-,18,2483,2353,1141,8,0,177282,10991,2486,2354,1146,2483,2352,1137,90,100,0,500,2732;
@400000005e537e4b10a82128 #d,-,18,2481,2353,1146,8,0,177298,10992,2483,2353,1148,2481,2352,1140,90,100,0,500,2732;
@400000005e537e4b10b19efa #d,-,18,2480,2355,1143,9,0,177270,10990,2481,2355,1147,2480,2353,1141,90,100,0,500,2737;
@400000005e537e4d10c127ba #d,-,18,2478,2353,1142,10,0,177237,10988,2480,2355,1148,2478,2353,1139,90,100,0,500,2737;
@400000005e537e4d10cac08e #d,-,18,2475,2355,1137,10,0,177162,10984,2478,2355,1143,2475,2353,1134,90,100,0,500,2730;
@400000005e537e4f10dadd62 #d,-,18,2473,2353,1136,11,0,177114,10981,2475,2355,1144,2473,2353,1135,90,100,0,500,2723;
@400000005e537e4f10e45b34 #d,-,18,2471,2355,1138,12,0,178060,11039,2473,2355,1145,2471,2353,1136,90,100,0,500,2725;
@400000005e537e5110f3c803 #d,-,18,2468,2354,1133,12,0,177938,11032,2471,2355,1140,2468,2353,1132,90,100,0,500,2723;
@400000005e537e5110fdb774 #d,-,18,2466,2357,1139,13,0,177829,11025,2468,2357,1139,2466,2353,1133,90,100,0,500,2718;
@400000005e537e53110dccd4 #d,-,18,2464,2355,1136,14,0,176883,10966,2466,2358,1141,2464,2355,1135,90,100,0,500,2723;
@400000005e537e5311172389 #d,-,18,2462,2356,1139,14,0,176846,10964,2464,2357,1141,2462,2355,1135,90,100,0,500,2723;
@400000005e537e5511265e0d #d,-,18,2461,2354,1139,15,0,176805,10961,2462,2357,1140,2461,2354,1134,90,100,0,500,2723;
@400000005e537e55112fac60 #d,-,18,2460,2356,1136,16,0,176779,10960,2461,2356,1142,2460,2353,1135,90,100,0,500,2723;
@400000005e537e57113eea9e #d,-,18,2460,2356,1137,16,0,176756,10958,2460,2356,1142,2460,2354,1133,90,100,0,500,2723;
@400000005e537e5711487fb8 #d,-,18,2458,2354,1137,17,0,176712,10956,2460,2356,1140,2458,2354,1133,90,100,0,500,2718;
@400000005e537e591157fc5c #d,-,18,2457,2355,1140,18,0,176671,10953,2458,2356,1140,2457,2354,1133,90,100,0,500,2720;
@400000005e537e59116162e6 #d,-,18,2455,2353,1132,18,0,177246,10989,2457,2356,1140,2455,2353,1129,90,100,0,500,2718;
@400000005e537e5b1170ff34 #d,-,18,2453,2355,1131,19,0,176539,10945,2455,2355,1137,2453,2352,1128,90,100,0,500,2711;
@400000005e537e5b117aded0 #d,-,18,2451,2354,1134,20,0,176494,10942,2453,2356,1136,2451,2354,1129,90,100,0,500,2706;
@400000005e537e5d118c4f92 #d,-,18,2449,2351,1131,20,0,176443,10939,2451,2354,1138,2449,2351,1130,90,100,0,500,2711;
@400000005e537e5d1197f014 #d,-,18,2448,2349,1594,21,0,176879,10966,2449,2353,1594,2448,2349,1131,90,100,0,500,2708;
@400000005e537e5f11a6d8a4 #d,-,18,3178,2351,1210,22,0,178871,11090,3178,2351,1752,2448,2347,1210,95,100,0,500,3325;
@400000005e537e5f11b00392 #d,-,18,3763,2348,2114,23,0,183040,11348,3763,2352,2382,3178,2348,1185,94,100,0,500,3983;
@400000005e537e6111bd7977 #d,-,18,4385,2348,1838,25,0,186991,11593,4385,2349,2122,3763,2347,1838,94,100,0,500,4657;
@400000005e537e6111c65271 #d,-,18,4585,2349,1974,26,0,190627,11818,4585,2351,2165,4385,2347,1721,98,100,0,500,4678;
