@400000005e54d16139cb8850 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e54d162281cd404 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e54d1622e2bc751 #f,-,48,177,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e54d1642e423d4e #d,-,18,2448,2358,1140,0,0,169920,10535,2448,2358,1140,2447,2356,1135,89,100,0,500,2723;
@400000005e54d1662e52c35f #d,-,18,2449,2358,1138,1,0,178868,11089,2449,2358,1143,2448,2357,1136,89,100,0,500,2730;
@400000005e54d1662e5c6c08 #d,-,18,2449,2355,1136,2,0,173194,10738,2449,2358,1139,2449,2355,1134,89,100,0,500,2725;
@400000005e54d1682e6b92fe #d,-,18,2450,2355,1134,2,0,177517,11006,2450,2356,1138,2449,2355,1133,90,100,0,500,2718;
@400000005e54d1682e755f0b #d,-,18,2450,2354,1135,3,0,174120,10795,2450,2355,1139,2450,2353,1133,90,100,0,500,2718;
@400000005e54d16a2e852630 #d,-,18,2449,2355,1137,4,0,174365,10810,2450,2355,1137,2449,2352,1135,90,100,0,500,2718;
@400000005e54d16a2e8eaf2f #d,-,18,2449,2355,1137,4,0,174546,10821,2449,2356,1138,2449,2355,1135,90,100,0,500,2720;
@400000005e54d16c2e9d7903 #d,-,18,2450,2357,1137,5,0,176717,10956,2450,2357,1139,2449,2355,1134,90,100,0,500,2720;
@400000005e54d16c2ea65e18 #d,-,18,2449,2356,1138,6,0,174782,10836,2450,2357,1138,2449,2355,1134,90,100,0,500,2720;
@400000005e54d16e2eb56a0b #d,-,18,2449,2353,1136,7,0,176510,10943,2449,2356,1138,2449,2353,1131,90,100,0,500,2715;
@400000005e54d16e2ebeeb97 #d,-,18,2449,2352,1138,7,0,174925,10845,2449,2353,1139,2449,2352,1132,90,100,0,500,2718;
@400000005e54d1702ece96cc #d,-,18,2449,2354,1129,8,0,176334,10932,2449,2354,1139,2449,2352,1129,90,100,0,500,2718;
@400000005e54d1702ed8010f #d,-,18,2448,2354,1130,9,0,174952,10847,2449,2354,1135,2448,2353,1128,90,100,0,500,2713;
@400000005e54d1722ee80e0e #d,-,18,2446,2354,1132,9,0,176147,10921,2448,2354,1136,2446,2353,1130,90,100,0,500,2711;
@400000005e54d1722ef197fc #d,-,18,2445,2353,1127,10,0,174918,10844,2446,2354,1132,2445,2353,1127,90,100,0,500,2711;
@400000005e54d1742f01ad5c #d,-,18,2442,2354,1127,11,0,174857,10841,2445,2355,1129,2442,2353,1122,90,100,0,500,2699;
@400000005e54d1742f0b12f7 #d,-,18,2440,2357,1128,11,0,175795,10899,2442,2357,1129,2440,2354,1124,90,100,0,500,2694;
@400000005e54d1762f1acef0 #d,-,18,2438,2358,1127,12,0,174754,10834,2440,2358,1128,2438,2356,1125,90,100,0,500,2697;
@400000005e54d1762f2420fc #d,-,18,2436,2357,1127,13,0,174717,10832,2438,2358,1129,2436,2356,1125,90,100,0,500,2701;
@400000005e54d1782f335053 #d,-,18,2435,2357,1126,13,0,174684,10830,2436,2357,1131,2435,2355,1126,90,100,0,500,2699;
@400000005e54d1782f3d5ac6 #d,-,18,2434,2355,1125,14,0,174654,10828,2435,2358,1131,2434,2354,1124,90,100,0,500,2701;
@400000005e54d17a2f4ce73f #d,-,18,2433,2355,1128,15,0,174640,10827,2434,2356,1132,2433,2354,1124,90,100,0,500,2699;
@400000005e54d17a2f5673f8 #d,-,18,2432,2357,1129,15,0,174627,10826,2433,2358,1133,2432,2355,1125,89,100,0,500,2704;
@400000005e54d17c2f65ece2 #d,-,18,2432,2355,1129,16,0,174614,10826,2432,2357,1131,2432,2355,1126,89,100,0,500,2704;
@400000005e54d17c2f6f7316 #d,-,18,2431,2354,1129,17,0,174597,10825,2432,2355,1130,2431,2354,1127,90,100,0,500,2699;
@400000005e54d17e2f7e4f8a #d,-,18,2431,2354,1128,17,0,174587,10824,2431,2355,1131,2431,2353,1127,90,100,0,500,2701;
@400000005e54d17e2f87f834 #d,-,18,2431,2354,1128,18,0,174573,10823,2431,2355,1132,2431,2354,1123,90,100,0,500,2701;
@400000005e54d1802f9784ad #d,-,18,2430,2356,1126,19,0,174544,10821,2431,2356,1130,2430,2354,1123,90,100,0,500,2697;
@400000005e54d1802fa134c9 #d,-,18,2429,2357,1128,19,0,174527,10820,2430,2357,1129,2429,2356,1123,90,100,0,500,2694;
@400000005e54d1822fb11337 #d,-,18,2429,2358,1128,20,0,174525,10820,2429,2358,1130,2429,2357,1125,89,100,0,500,2699;
@400000005e54d1822fba987c #d,-,18,2429,2358,1129,21,0,174518,10820,2429,2358,1131,2429,2357,1127,89,100,0,500,2706;
@400000005e54d1842fca0280 #d,-,18,2429,2359,1127,21,0,174513,10819,2429,2359,1131,2429,2357,1126,89,100,0,500,2704;
@400000005e54d1842fd4c825 #d,-,18,2429,2360,1125,22,0,174498,10818,2429,2360,1128,2429,2358,1122,89,100,0,500,2701;
@400000005e54d1862fe4c63d #d,-,18,2428,2359,1127,23,0,174485,10818,2429,2360,1128,2428,2359,1122,89,100,0,500,2699;
@400000005e54d1862fee62cb #d,-,18,2428,2357,1123,23,0,174464,10816,2428,2359,1127,2428,2356,1122,90,100,0,500,2694;
@400000005e54d1882ffe3164 #d,-,18,2427,2357,1124,24,0,174449,10815,2428,2358,1128,2427,2356,1122,90,100,0,500,2694;
@400000005e54d18830078bd2 #d,-,18,2426,2358,1124,25,0,174434,10814,2427,2358,1127,2426,2356,1123,89,100,0,500,2697;
@400000005e54d18a3016ca10 #d,-,18,2426,2356,1126,25,0,174420,10814,2426,2358,1128,2426,2356,1124,90,100,0,500,2694;
@400000005e54d18a3020a9ac #d,-,18,2426,2356,1126,26,0,174403,10813,2426,2357,1127,2426,2355,1123,89,100,0,500,2697;
@400000005e54d18c30304d6e #d,-,18,2425,2357,1122,27,0,174387,10812,2426,2358,1128,2425,2356,1120,90,100,0,500,2694;
@400000005e54d18c3039f617 #d,-,18,2425,2359,1124,27,0,174372,10811,2425,2359,1130,2425,2356,1121,90,100,0,500,2694;
@400000005e54d18e304a07be #d,-,18,2424,2359,1127,28,0,174364,10810,2425,2359,1129,2424,2358,1124,89,100,0,500,2697;
@400000005e54d18e305390bd #d,-,18,2424,2360,1123,29,0,174350,10809,2424,2361,1129,2424,2359,1123,89,100,0,500,2701;
@400000005e54d19030630234 #d,-,18,2424,2359,1124,29,0,174333,10808,2424,2360,1127,2424,2358,1122,89,100,0,500,2699;
