@400000005e5624933687c794 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e56249424d87318 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5624942ae67f6d #f,-,48,49,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e5624962af8fe45 #d,-,18,2453,2383,1132,0,0,167282,10371,2453,2383,1139,2451,2382,1132,89,100,0,500,2746;
@400000005e5624982b072341 #d,-,18,2454,2384,1135,1,0,171134,10610,2454,2384,1139,2453,2382,1128,89,100,0,500,2744;
@400000005e5624982b0fc27d #d,-,18,2455,2385,1132,2,0,172743,10710,2455,2385,1136,2454,2384,1128,89,100,0,500,2746;
@400000005e56249a2b1c1e31 #d,-,18,2456,2385,1132,2,0,173605,10763,2456,2385,1135,2455,2384,1129,89,100,0,500,2742;
@400000005e56249a2b24b50b #d,-,18,2457,2384,1130,3,0,174180,10799,2457,2385,1137,2456,2384,1128,89,100,0,500,2744;
@400000005e56249c2b31ec8a #d,-,18,2458,2385,1130,4,0,174556,10822,2458,2385,1135,2457,2384,1128,89,100,0,500,2744;
@400000005e56249c2b3a871e #d,-,18,2458,2383,1132,4,0,174851,10840,2458,2385,1137,2458,2383,1129,89,100,0,500,2742;
@400000005e56249e2b47bdae #d,-,18,2459,2383,1130,5,0,175043,10852,2459,2384,1135,2458,2383,1129,89,100,0,500,2744;
@400000005e56249e2b505930 #d,-,18,2459,2386,1134,6,0,175209,10862,2459,2386,1137,2459,2383,1128,89,100,0,500,2744;
@400000005e5624a02b5d12f5 #d,-,18,2458,2385,1128,6,0,175275,10867,2459,2386,1134,2458,2385,1126,89,100,0,500,2739;
@400000005e5624a02b65f450 #d,-,18,2458,2385,1132,7,0,175355,10872,2458,2385,1133,2458,2382,1127,89,100,0,500,2739;
@400000005e5624a22b734e44 #d,-,18,2457,2384,1129,8,0,175410,10875,2458,2386,1133,2457,2384,1126,89,100,0,500,2734;
@400000005e5624a22b7be9c7 #d,-,18,2457,2386,1131,8,0,176756,10958,2457,2386,1133,2457,2384,1126,89,100,0,500,2739;
@400000005e5624a42b88ed1e #d,-,18,2456,2386,1130,9,0,175489,10880,2457,2386,1132,2456,2383,1126,89,100,0,500,2737;
@400000005e5624a42b91bf93 #d,-,18,2456,2384,1126,10,0,175515,10881,2456,2386,1134,2456,2384,1125,89,100,0,500,2737;
@400000005e5624a62b9ea075 #d,-,18,2455,2387,1131,10,0,175539,10883,2456,2387,1132,2455,2384,1124,89,100,0,500,2732;
@400000005e5624a62ba74ade #d,-,18,2455,2386,1129,11,0,175568,10885,2455,2387,1133,2455,2385,1126,89,100,0,500,2739;
@400000005e5624a82bb48616 #d,-,18,2454,2385,1132,12,0,175602,10887,2455,2387,1136,2454,2385,1127,89,100,0,500,2739;
@400000005e5624a82bbd2464 #d,-,18,2455,2387,1132,13,0,175632,10889,2455,2387,1134,2454,2385,1127,89,100,0,500,2742;
@400000005e5624aa2bca7a9e #d,-,18,2455,2385,1127,13,0,175666,10891,2455,2387,1135,2455,2384,1125,89,100,0,500,2742;
@400000005e5624aa2bd30a05 #d,-,18,2455,2387,1133,14,0,176512,10943,2455,2387,1133,2455,2384,1123,89,100,0,500,2739;
@400000005e5624ac2be05424 #d,-,18,2455,2385,1126,15,0,176498,10942,2455,2387,1134,2455,2384,1125,89,100,0,500,2734;
@400000005e5624ac2be92a53 #d,-,18,2455,2385,1135,15,0,176491,10942,2455,2387,1136,2455,2384,1126,89,100,0,500,2739;
@400000005e5624ae2bf655b6 #d,-,18,2455,2386,1130,16,0,175752,10896,2455,2387,1135,2455,2384,1128,89,100,0,500,2739;
@400000005e5624ae2bff2af7 #d,-,18,2455,2384,1134,17,0,175775,10898,2455,2387,1135,2455,2384,1126,89,100,0,500,2742;
@400000005e5624b02c0c4df8 #d,-,18,2455,2385,1129,17,0,175791,10899,2455,2386,1134,2455,2384,1125,89,100,0,500,2737;
@400000005e5624b02c150925 #d,-,18,2455,2383,1126,18,0,175790,10899,2455,2385,1132,2455,2383,1121,89,100,0,500,2737;
@400000005e5624b22c22339a #d,-,18,2454,2383,1126,19,0,175779,10898,2455,2385,1130,2454,2383,1122,89,100,0,500,2727;
@400000005e5624b22c2b482e #d,-,18,2452,2385,1126,19,0,175764,10897,2454,2385,1129,2452,2383,1122,89,100,0,500,2727;
@400000005e5624b42c38b1f8 #d,-,18,2451,2383,1121,20,0,175735,10895,2452,2385,1128,2451,2383,1121,89,100,0,500,2727;
@400000005e5624b42c41415f #d,-,18,2449,2385,1126,21,0,175709,10893,2451,2385,1133,2449,2382,1118,90,100,0,500,2718;
@400000005e5624b62c4e19df #d,-,18,2449,2383,1123,21,0,175697,10893,2449,2385,1131,2449,2383,1118,89,100,0,500,2732;
@400000005e5624b62c5751d7 #d,-,18,2447,2385,1128,22,0,175677,10892,2449,2385,1128,2447,2383,1119,89,100,0,500,2720;
@400000005e5624b82c646504 #d,-,18,2446,2382,1121,23,0,175647,10890,2447,2385,1128,2446,2382,1121,89,100,0,500,2723;
@400000005e5624b82c6ca62f #d,-,18,2445,2382,1290,23,0,175751,10896,2446,2384,1290,2445,2382,1121,89,100,0,500,2720;
