@400000005e5776cf2b1dfb07 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5776d0196d3f0d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5776d01f7b10b7 #f,-,48,189,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e5776d21f8d64b7 #d,-,18,2532,2349,1161,0,0,181489,11252,2533,2351,1169,2532,2349,1161,90,100,0,500,2791;
@400000005e5776d41f9ab290 #d,-,18,2531,2350,1164,1,0,181079,11226,2532,2350,1167,2531,2348,1160,90,100,0,500,2782;
@400000005e5776d41fa2e02d #d,-,18,2529,2351,1158,2,0,180825,11211,2531,2351,1165,2529,2349,1157,91,100,0,500,2777;
@400000005e5776d61fb07887 #d,-,18,2526,2351,1159,2,0,180589,11196,2529,2351,1163,2526,2351,1154,91,100,0,500,2772;
@400000005e5776d61fb90435 #d,-,18,2523,2351,1160,3,0,180466,11188,2526,2352,1163,2523,2350,1155,91,100,0,500,2763;
@400000005e5776d81fc6a4f1 #d,-,18,2521,2349,1152,4,0,180293,11178,2523,2351,1165,2521,2349,1152,91,100,0,500,2770;
@400000005e5776d81fcf309e #d,-,18,2518,2352,1154,4,0,180069,11164,2521,2352,1156,2518,2349,1147,91,100,0,500,2758;
@400000005e5776da1fdb986d #d,-,18,2514,2352,1152,5,0,179932,11155,2518,2353,1158,2514,2350,1148,91,100,0,500,2753;
@400000005e5776da1fe4b82f #d,-,18,2512,2351,1154,6,0,179810,11148,2514,2352,1156,2512,2350,1149,91,100,0,500,2753;
@400000005e5776dc1ff2605e #d,-,18,2509,2352,1155,7,0,179738,11143,2512,2352,1157,2509,2351,1151,91,100,0,500,2756;
@400000005e5776dc1ffafaf2 #d,-,18,2507,2350,1154,7,0,179667,11139,2509,2352,1156,2507,2350,1150,90,100,0,500,2761;
@400000005e5776de20081a3a #d,-,18,2506,2353,1151,8,0,179595,11134,2507,2353,1159,2506,2350,1149,90,100,0,500,2758;
@400000005e5776de2011425e #d,-,18,2503,2354,1147,9,0,179448,11125,2506,2354,1154,2503,2353,1143,90,100,0,500,2753;
@400000005e5776e0201e88c3 #d,-,18,2500,2354,1152,9,0,179352,11119,2503,2354,1155,2500,2353,1146,91,100,0,500,2746;
@400000005e5776e020274b63 #d,-,18,2497,2353,1145,10,0,179240,11112,2500,2354,1152,2497,2353,1143,90,100,0,500,2749;
@400000005e5776e220346249 #d,-,18,2494,2352,1146,11,0,179116,11105,2497,2354,1149,2494,2352,1141,90,100,0,500,2742;
@400000005e5776e2203dc15f #d,-,18,2491,2352,1148,11,0,179005,11098,2494,2353,1151,2491,2352,1141,90,100,0,500,2739;
@400000005e5776e4204b1b53 #d,-,18,2488,2353,1141,12,0,178915,11092,2491,2353,1149,2488,2352,1141,90,100,0,500,2739;
@400000005e5776e42053ae74 #d,-,18,2486,2352,1148,13,0,179753,11144,2488,2353,1148,2486,2352,1138,90,100,0,500,2737;
@400000005e5776e62060dd91 #d,-,18,2484,2352,1142,13,0,178754,11082,2486,2353,1149,2484,2352,1140,90,100,0,500,2737;
@400000005e5776e62069cdd3 #d,-,18,2482,2352,1143,14,0,179520,11130,2484,2353,1146,2482,2352,1140,90,100,0,500,2739;
@400000005e5776e820775747 #d,-,18,2480,2354,1139,15,0,178570,11071,2482,2354,1144,2480,2352,1135,90,100,0,500,2730;
@400000005e5776e8208018f9 #d,-,18,2477,2354,1143,15,0,179259,11114,2480,2354,1145,2477,2353,1137,90,100,0,500,2725;
@400000005e5776ea208db9b5 #d,-,18,2475,2353,1142,16,0,178416,11061,2477,2354,1146,2475,2352,1137,90,100,0,500,2727;
@400000005e5776ea20969b10 #d,-,18,2473,2353,1141,17,0,179051,11101,2475,2353,1146,2473,2352,1140,90,100,0,500,2732;
@400000005e5776ec20a3d1a1 #d,-,18,2472,2352,1142,17,0,178291,11054,2473,2353,1148,2472,2351,1139,90,100,0,500,2730;
@400000005e5776ec20ace27c #d,-,18,2471,2352,1144,18,0,178889,11091,2472,2353,1147,2471,2351,1139,90,100,0,500,2730;
@400000005e5776ee20b9c35d #d,-,18,2470,2350,1142,19,0,178184,11047,2471,2352,1147,2470,2349,1139,90,100,0,500,2730;
@400000005e5776ee20c27d9c #d,-,18,2469,2351,1145,20,0,178141,11044,2470,2351,1146,2469,2350,1137,90,100,0,500,2732;
@400000005e5776f020cfd790 #d,-,18,2468,2351,1141,20,0,178679,11078,2469,2352,1146,2468,2350,1137,90,100,0,500,2730;
@400000005e5776f020d90ae0 #d,-,18,2468,2351,1141,21,0,178040,11038,2468,2352,1146,2468,2351,1135,90,100,0,500,2730;
@400000005e5776f220e6da2d #d,-,18,2466,2352,1134,22,0,178516,11068,2468,2352,1141,2466,2351,1134,90,100,0,500,2723;
@400000005e5776f220efabb4 #d,-,18,2464,2352,1141,22,0,177916,11030,2466,2352,1142,2464,2351,1134,90,100,0,500,2723;
@400000005e5776f421030922 #d,-,18,2462,2352,1231,23,0,177924,11031,2464,2352,1231,2462,2351,1136,90,100,0,500,2720;
@400000005e5776f4210fb311 #d,-,18,3060,2350,1717,24,0,180932,11217,3060,2352,1746,2462,2350,1231,95,100,0,500,3199;
@400000005e5776f621225818 #d,-,18,3832,2349,1992,25,0,184741,11453,3832,2351,2153,3060,2349,1714,97,100,0,500,3946;
@400000005e5776f6212e46d5 #d,-,18,4739,2351,1929,27,0,188657,11696,4739,2351,2068,3832,2349,1922,97,100,0,500,4849;
@400000005e5776f82142b612 #d,-,18,4503,2351,1945,28,0,191647,11882,4739,2351,1969,4503,2350,1929,96,100,0,500,4668;
@400000005e5776f8214ee335 #d,-,18,4499,2351,1948,29,0,194954,12087,4503,2351,1957,4499,2350,1939,97,100,0,500,4626;
@400000005e5776fa21626a8c #d,-,18,4497,2352,1951,30,0,198107,12282,4499,2352,1957,4497,2351,1944,97,100,0,500,4626;
@400000005e5776fa216ee5ea #d,-,18,4496,2350,1953,31,0,201112,12468,4497,2352,1956,4496,2350,1947,97,100,0,500,4635;
@400000005e5776fc21806a3c #d,-,18,4495,2349,1960,33,0,203988,12647,4496,2350,1964,4495,2348,1951,96,100,0,500,4638;
@400000005e5776fc218c4dcc #d,-,18,4495,2348,1965,34,0,206742,12818,4495,2350,1965,4495,2348,1949,96,100,0,500,4640;
