@400000005e58c53526373c02 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e58c53614849f79 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e58c5361a92992e #f,-,48,113,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e58c53a1aa5d24a #d,-,18,2433,2374,1140,1,0,173768,10773,2433,2374,1154,2417,2370,1126,88,100,0,500,2751;
@400000005e58c53a1aaeac32 #d,-,18,2435,2374,1132,2,0,174459,10816,2435,2374,1151,2433,2373,1126,88,100,0,500,2737;
@400000005e58c53c1abb7d3f #d,-,18,2439,2374,1154,2,0,175163,10860,2439,2375,1157,2435,2374,1124,88,100,0,500,2751;
@400000005e58c53c1ac476d1 #d,-,18,2442,2373,1133,3,0,175357,10872,2442,2375,1154,2439,2373,1124,89,100,0,500,2742;
@400000005e58c53e1ad003c4 #d,-,18,2445,2373,1149,4,0,175649,10890,2445,2373,1155,2442,2372,1129,89,100,0,500,2746;
@400000005e58c53e1ad42a68 #d,-,18,2447,2372,1135,4,0,175665,10891,2447,2374,1149,2445,2372,1126,89,100,0,500,2744;
@400000005e58c5401adffd34 #d,-,18,2448,2374,1137,5,0,175832,10901,2448,2374,1152,2447,2372,1129,89,100,0,500,2744;
@400000005e58c5401ae6f2d3 #d,-,18,2450,2375,1137,6,0,175902,10905,2450,2375,1152,2448,2374,1128,89,100,0,500,2746;
@400000005e58c5421af3a07c #d,-,18,2452,2374,1134,6,0,176000,10912,2452,2376,1155,2450,2374,1129,89,100,0,500,2753;
@400000005e58c5421afc66d5 #d,-,18,2453,2374,1140,7,0,176055,10915,2453,2375,1154,2452,2373,1126,89,100,0,500,2744;
@400000005e58c5441b098d91 #d,-,18,2454,2375,1140,8,0,176171,10922,2454,2375,1158,2453,2374,1127,89,100,0,500,2753;
@400000005e58c5441b118c9d #d,-,18,2456,2375,1133,8,0,176184,10923,2456,2375,1154,2454,2374,1126,89,100,0,500,2746;
@400000005e58c5461b1dc5db #d,-,18,2456,2375,1138,9,0,176265,10928,2456,2375,1153,2456,2374,1129,89,100,0,500,2744;
@400000005e58c5461b213506 #d,-,18,2458,2374,1137,10,0,176279,10929,2458,2375,1154,2456,2374,1125,89,100,0,500,2749;
