@400000005e5cb41c20fb4fef #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5cb41d0f4ccedc #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5cb41d155bb60e #f,-,48,65,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e5cb42115784e40 #d,-,18,2511,2365,1152,1,0,189017,11719,2575,2368,1165,2511,2365,1151,90,100,0,500,2779;
@400000005e5cb4211581b110 #d,-,18,2510,2368,1151,2,0,185946,11528,2511,2368,1155,2510,2365,1150,90,100,0,500,2779;
@400000005e5cb423159149a5 #d,-,18,2508,2366,1148,2,0,179881,11152,2510,2368,1153,2508,2366,1148,90,100,0,500,2770;
@400000005e5cb423159abf15 #d,-,18,2506,2367,1147,3,0,179614,11136,2508,2368,1149,2506,2366,1145,90,100,0,500,2765;
@400000005e5cb42515aa1cfd #d,-,18,2504,2368,1144,4,0,179410,11123,2506,2369,1150,2504,2367,1144,90,100,0,500,2761;
@400000005e5cb42515b43eb9 #d,-,18,2501,2369,1143,4,0,179142,11106,2504,2369,1146,2501,2368,1137,90,100,0,500,2756;
@400000005e5cb42715c397f9 #d,-,18,2498,2367,1141,5,0,178958,11095,2501,2369,1146,2498,2366,1138,90,100,0,500,2751;
@400000005e5cb42715cd1211 #d,-,18,2494,2367,1138,6,0,178735,11081,2498,2368,1143,2494,2366,1136,90,100,0,500,2746;
@400000005e5cb42915dc57c2 #d,-,18,2490,2367,1140,6,0,178571,11071,2494,2368,1142,2490,2366,1137,90,100,0,500,2742;
@400000005e5cb42915e5a34a #d,-,18,2487,2368,1136,7,0,178410,11061,2490,2368,1140,2487,2366,1136,90,100,0,500,2742;
@400000005e5cb42b15f4be24 #d,-,18,2484,2367,1134,8,0,178228,11050,2487,2368,1138,2484,2367,1132,90,100,0,500,2737;
@400000005e5cb42b15fe24ad #d,-,18,2480,2367,1134,8,0,179444,11125,2484,2367,1136,2480,2366,1132,90,100,0,500,2730;
@400000005e5cb42d160cda04 #d,-,18,2477,2369,1129,9,0,177911,11030,2480,2369,1136,2477,2367,1127,90,100,0,500,2732;
@400000005e5cb42d16167692 #d,-,18,2473,2366,1130,10,0,178918,11092,2477,2369,1131,2473,2366,1126,90,100,0,500,2718;
@400000005e5cb42f1625bd31 #d,-,18,2469,2367,1133,10,0,177601,11011,2473,2367,1133,2469,2366,1128,90,100,0,500,2720;
@400000005e5cb42f162f2ee8 #d,-,18,2466,2367,1129,11,0,177469,11003,2469,2368,1133,2466,2366,1129,90,100,0,500,2723;
@400000005e5cb431163f0d56 #d,-,18,2463,2367,1131,12,0,177351,10995,2466,2368,1133,2463,2367,1127,90,100,0,500,2720;
@400000005e5cb43116489eb7 #d,-,18,2460,2367,1128,12,0,178137,11044,2463,2368,1132,2460,2367,1126,90,100,0,500,2723;
@400000005e5cb4331658796b #d,-,18,2457,2367,1128,13,0,177954,11033,2460,2368,1130,2457,2367,1125,90,100,0,500,2713;
