@400000005e5e06ef1ed98db7 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5e06f00d371663 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5e06f01349073d #f,-,48,185,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e5e06f2135ee836 #d,-,18,2602,2383,1161,0,0,195450,12117,2612,2383,1175,2602,2379,1160,91,100,0,499,2832;
@400000005e5e06f4136fefbc #d,-,18,2541,2380,1159,1,0,182847,11336,2602,2383,1164,2541,2379,1159,90,100,0,499,2817;
@400000005e5e06f413795645 #d,-,18,2540,2381,1159,2,0,182556,11318,2541,2381,1160,2540,2379,1156,90,100,0,499,2810;
@400000005e5e06f613888868 #d,-,18,2538,2383,1157,3,0,186348,11553,2540,2384,1162,2538,2379,1156,90,100,0,499,2806;
@400000005e5e06f61391fec6 #d,-,18,2538,2383,1153,3,0,182182,11295,2538,2384,1160,2538,2381,1153,90,100,0,499,2810;
@400000005e5e06f813a16422 #d,-,18,2536,2384,1152,4,0,181950,11280,2538,2384,1156,2536,2382,1149,90,100,0,499,2803;
@400000005e5e06f813aaf583 #d,-,18,2534,2382,1157,5,0,181835,11273,2536,2384,1158,2534,2382,1150,90,100,0,499,2796;
@400000005e5e06fa13bab08c #d,-,18,2532,2382,1153,5,0,181730,11267,2534,2384,1159,2532,2380,1152,90,100,0,499,2801;
@400000005e5e06fa13c4398c #d,-,18,2531,2380,1148,6,0,181543,11255,2532,2384,1155,2531,2380,1143,90,100,0,499,2801;
@400000005e5e06fc13d42415 #d,-,18,2528,2381,1148,7,0,183132,11354,2531,2383,1153,2528,2379,1145,90,100,0,499,2782;
@400000005e5e06fc13dda5a1 #d,-,18,2525,2382,1142,7,0,181227,11236,2528,2384,1148,2525,2381,1142,90,100,0,499,2784;
@400000005e5e06fe13ed41ef #d,-,18,2521,2383,1146,8,0,181079,11226,2525,2384,1147,2521,2382,1142,90,100,0,499,2777;
@400000005e5e06fe13f6bfc1 #d,-,18,2518,2383,1138,9,0,180888,11215,2521,2384,1146,2518,2381,1138,90,100,0,499,2777;
@400000005e5e07001405f68b #d,-,18,2514,2384,1142,10,0,180724,11204,2518,2384,1144,2514,2382,1138,90,100,0,499,2768;
@400000005e5e0700140f44de #d,-,18,2511,2385,1139,10,0,180590,11196,2514,2385,1143,2511,2382,1138,90,100,0,499,2770;
@400000005e5e0702141e6460 #d,-,18,2508,2383,1134,11,0,180429,11186,2511,2385,1142,2508,2381,1134,90,100,0,499,2768;
@400000005e5e070214282452 #d,-,18,2503,2383,1138,12,0,180262,11176,2508,2385,1139,2503,2382,1131,90,100,0,499,2756;
@400000005e5e0704143789ad #d,-,18,2500,2384,1135,12,0,181094,11227,2503,2385,1141,2500,2382,1133,90,100,0,499,2758;
@400000005e5e07041441263b #d,-,18,2497,2384,1138,13,0,180001,11160,2500,2385,1140,2497,2382,1133,90,100,0,499,2758;
@400000005e5e070614513428 #d,-,18,2494,2382,1134,14,0,179858,11151,2497,2384,1139,2494,2381,1130,90,100,0,499,2758;
@400000005e5e0706145aad52 #d,-,18,2490,2380,1134,14,0,179715,11142,2494,2383,1135,2490,2380,1129,90,100,0,499,2749;
@400000005e5e07081469e063 #d,-,18,2487,2383,1134,15,0,179584,11134,2490,2384,1136,2487,2380,1130,90,100,0,499,2749;
@400000005e5e07081473d748 #d,-,18,2484,2384,1133,16,0,179471,11127,2487,2384,1136,2484,2382,1129,90,100,0,499,2749;
@400000005e5e070a1483a227 #d,-,18,2482,2386,1133,16,0,180093,11165,2484,2386,1135,2482,2383,1130,90,100,0,499,2749;
@400000005e5e070a148d4ad0 #d,-,18,2479,2385,1131,17,0,179271,11114,2482,2387,1136,2479,2384,1131,90,100,0,499,2753;
@400000005e5e070c149d11f5 #d,-,18,2478,2387,1133,18,0,179177,11108,2479,2387,1134,2478,2385,1130,90,100,0,499,2751;
@400000005e5e070c14a69381 #d,-,18,2476,2385,1126,18,0,179715,11142,2478,2387,1133,2476,2384,1126,90,100,0,499,2746;
@400000005e5e070e14b63389 #d,-,18,2472,2387,1127,19,0,178953,11095,2476,2387,1129,2472,2384,1123,90,100,0,499,2739;
@400000005e5e070e14c00ac3 #d,-,18,2470,2385,1127,20,0,178860,11089,2472,2388,1130,2470,2385,1124,90,100,0,499,2734;
@400000005e5e071014d02ff9 #d,-,18,2468,2387,1126,20,0,179354,11119,2470,2387,1130,2468,2384,1123,90,100,0,499,2739;
@400000005e5e071014d9e3cf #d,-,18,2466,2387,1130,21,0,178686,11078,2468,2387,1131,2466,2384,1125,90,100,0,499,2737;
@400000005e5e071214e9d212 #d,-,18,2465,2386,1128,22,0,178605,11073,2466,2387,1132,2465,2385,1124,89,100,0,499,2742;
@400000005e5e071214f37abc #d,-,18,2463,2385,1128,22,0,179071,11102,2465,2388,1133,2463,2385,1125,89,100,0,499,2742;
@400000005e5e071415035929 #d,-,18,2462,2387,1131,23,0,178470,11065,2463,2388,1134,2462,2384,1125,89,100,0,499,2744;
@400000005e5e0714150d217d #d,-,18,2462,2386,1128,24,0,178402,11060,2462,2388,1132,2462,2385,1125,89,100,0,499,2744;
@400000005e5e0716151c539f #d,-,18,2461,2388,1131,25,0,178342,11057,2462,2388,1131,2461,2385,1126,89,100,0,499,2742;
@400000005e5e07161525c9fe #d,-,18,2460,2386,1126,25,0,178752,11082,2461,2388,1131,2460,2385,1124,89,100,0,499,2742;
@400000005e5e0718153526f8 #d,-,18,2459,2388,1128,26,0,178223,11049,2460,2389,1131,2459,2386,1125,89,100,0,499,2742;
@400000005e5e0718153e913b #d,-,18,2458,2388,1124,27,0,178164,11046,2459,2389,1130,2458,2387,1124,89,100,0,499,2742;
@400000005e5e071a1561c4b5 #d,-,18,2457,2388,1125,27,0,178538,11069,2458,2388,1127,2457,2385,1123,89,100,0,499,2737;
