@400000005e5f56f72bd6d741 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5f56f81a34cce4 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5f56f820469a59 #f,-,48,49,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e5f56fa205d3000 #d,-,18,2478,2391,1140,0,0,171468,10631,2478,2391,1142,2477,2389,1137,89,100,0,500,2768;
@400000005e5f56fc206ded04 #d,-,18,2479,2390,1141,1,0,174114,10795,2479,2393,1142,2478,2390,1137,89,100,0,500,2768;
@400000005e5f56fc20775747 #d,-,18,2479,2391,1130,2,0,175051,10853,2479,2391,1141,2479,2389,1130,89,100,0,500,2770;
@400000005e5f56fe20874944 #d,-,18,2477,2391,1134,2,0,175455,10878,2479,2392,1136,2477,2391,1130,89,100,0,500,2753;
@400000005e5f56fe2090bafa #d,-,18,2476,2393,1132,3,0,175715,10894,2477,2393,1135,2476,2390,1131,89,100,0,500,2753;
@400000005e5f570020a03c46 #d,-,18,2475,2392,1131,4,0,178624,11074,2476,2393,1136,2475,2392,1129,89,100,0,500,2753;
@400000005e5f570020a9d8d4 #d,-,18,2473,2392,1127,4,0,175954,10909,2475,2393,1132,2473,2392,1122,89,100,0,500,2749;
@400000005e5f570220b9c717 #d,-,18,2471,2391,1127,5,0,176032,10914,2473,2393,1132,2471,2391,1125,90,100,0,500,2742;
@400000005e5f570220c35016 #d,-,18,2470,2392,1133,6,0,176079,10916,2471,2393,1133,2470,2391,1126,90,100,0,500,2744;
@400000005e5f570420d33a9f #d,-,18,2468,2387,1128,7,0,176116,10919,2470,2392,1134,2468,2387,1127,89,100,0,500,2746;
@400000005e5f570420dccfba #d,-,18,2468,2390,1133,7,0,176160,10921,2468,2390,1134,2468,2387,1128,89,100,0,500,2746;
@400000005e5f570620ec737b #d,-,18,2466,2390,1130,8,0,176197,10924,2468,2390,1137,2466,2388,1128,89,100,0,500,2746;
@400000005e5f570620f5e532 #d,-,18,2467,2387,1131,9,0,176239,10926,2467,2391,1135,2466,2387,1127,89,100,0,500,2751;
@400000005e5f57082105cfbb #d,-,18,2465,2389,1128,9,0,176226,10926,2467,2389,1131,2465,2386,1125,89,100,0,500,2742;
@400000005e5f5708210f4d8d #d,-,18,2463,2387,1124,10,0,177305,10992,2465,2389,1129,2463,2387,1121,90,100,0,500,2734;
@400000005e5f570a211ef14f #d,-,18,2461,2386,1132,11,0,176144,10920,2463,2387,1132,2461,2385,1123,90,100,0,500,2730;
