@400000005e60a49b1e2168f6 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e60a49c0c72825f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e60a49c1280c100 #f,-,48,213,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e60a49e12933864 #d,-,18,2493,2358,1148,0,0,169222,10491,2495,2359,1156,2493,2358,1146,90,100,0,500,2753;
@400000005e60a4a012a13642 #d,-,18,2492,2358,1144,1,0,172456,10692,2493,2358,1152,2492,2358,1140,90,100,0,500,2753;
@400000005e60a4a012aa3ebc #d,-,18,2488,2358,1146,2,0,173693,10769,2492,2358,1147,2488,2357,1138,90,100,0,500,2739;
@400000005e60a4a212b7aff8 #d,-,18,2486,2358,1138,2,0,174330,10808,2488,2358,1147,2486,2357,1138,90,100,0,500,2742;
@400000005e60a4a212c037ec #d,-,18,2483,2358,1141,3,0,174714,10832,2486,2358,1145,2483,2357,1136,90,100,0,500,2730;
@400000005e60a4a412cd5ea7 #d,-,18,2480,2359,1136,4,0,174938,10846,2483,2359,1144,2480,2357,1134,90,100,0,500,2734;
@400000005e60a4a412d6733c #d,-,18,2476,2358,1140,4,0,175046,10852,2480,2359,1142,2476,2358,1133,90,100,0,500,2727;
@400000005e60a4a612e4b6f3 #d,-,18,2473,2359,1139,5,0,175163,10860,2476,2359,1142,2473,2358,1136,90,100,0,500,2725;
@400000005e60a4a612edc414 #d,-,18,2470,2359,1030,6,0,174701,10831,2473,2360,1142,2470,2359,1030,90,100,0,500,2732;
@400000005e60a4a812fc6222 #d,-,18,2290,2357,1130,6,0,174232,10802,2470,2359,1161,2290,2357,1029,88,100,0,500,2597;
@400000005e60a4a81305a0a0 #d,-,18,2453,2358,1133,7,0,174339,10809,2453,2358,1138,2290,2357,1130,90,100,0,500,2713;
@400000005e60a4aa1314470f #d,-,18,2452,2359,1139,8,0,174452,10816,2453,2360,1140,2452,2357,1133,90,100,0,500,2720;
@400000005e60a4aa131db50c #d,-,18,2451,2359,1136,8,0,174527,10820,2452,2360,1139,2451,2357,1133,90,100,0,500,2723;
@400000005e60a4ac132cad71 #d,-,18,2451,2358,1138,9,0,174621,10826,2451,2360,1142,2451,2358,1135,89,100,0,500,2727;
@400000005e60a4ac133607df #d,-,18,2450,2358,1138,10,0,174685,10830,2451,2358,1140,2450,2358,1135,89,100,0,500,2725;
@400000005e60a4ae13450b70 #d,-,18,2450,2358,1136,11,0,174750,10834,2450,2358,1141,2450,2357,1133,89,100,0,500,2725;
@400000005e60a4ae134e5250 #d,-,18,2450,2356,1142,11,0,174807,10838,2450,2358,1142,2450,2356,1133,89,100,0,500,2725;
@400000005e60a4b0135cf05e #d,-,18,2450,2356,1134,12,0,174859,10841,2450,2356,1142,2450,2356,1134,89,100,0,500,2725;
@400000005e60a4b013663be5 #d,-,18,2450,2357,1138,13,0,174905,10844,2450,2357,1139,2450,2355,1132,89,100,0,500,2723;
@400000005e60a4b2137487fe #d,-,18,2449,2356,1132,13,0,174904,10844,2450,2357,1138,2449,2356,1129,90,100,0,500,2720;
@400000005e60a4b2137e04e2 #d,-,18,2448,2355,1134,14,0,174884,10842,2449,2357,1135,2448,2354,1128,90,100,0,500,2713;
@400000005e60a4b4138d3f66 #d,-,18,2446,2353,1135,15,0,174885,10842,2448,2355,1136,2446,2353,1130,90,100,0,500,2711;
@400000005e60a4b41396a9a9 #d,-,18,2444,2356,1131,15,0,174885,10842,2446,2356,1137,2444,2353,1128,90,100,0,500,2713;
@400000005e60a4b613a58e7f #d,-,18,2444,2356,1131,16,0,174868,10841,2444,2357,1135,2444,2356,1127,90,100,0,500,2711;
@400000005e60a4b613af0897 #d,-,18,2441,2354,1126,17,0,174825,10839,2444,2356,1131,2441,2354,1122,90,100,0,500,2704;
@400000005e60a4b813bd4c4f #d,-,18,2439,2355,1132,17,0,174801,10837,2441,2355,1132,2439,2353,1124,90,100,0,500,2701;
@400000005e60a4b813c6c667 #d,-,18,2438,2354,1130,18,0,174783,10836,2439,2355,1134,2438,2354,1124,90,100,0,500,2701;
@400000005e60a4ba13d5d9ce #d,-,18,2436,2355,1130,19,0,174762,10835,2438,2356,1134,2436,2353,1125,90,100,0,500,2704;
@400000005e60a4ba13df37f5 #d,-,18,2436,2355,1134,19,0,174762,10835,2436,2355,1135,2436,2355,1129,89,100,0,500,2708;
@400000005e60a4bc13edd24a #d,-,18,2435,2352,1132,20,0,174752,10834,2436,2355,1136,2435,2352,1127,89,100,0,500,2708;
@400000005e60a4bc13f71929 #d,-,18,2435,2352,1134,21,0,174739,10833,2435,2352,1136,2435,2351,1129,89,100,0,500,2706;
@400000005e60a4be140643d8 #d,-,18,2434,2352,1133,21,0,174726,10833,2435,2352,1136,2434,2351,1128,89,100,0,500,2706;
@400000005e60a4be140fca0c #d,-,18,2434,2352,1130,22,0,174718,10832,2434,2352,1135,2434,2351,1127,89,100,0,500,2706;
