@400000005e62014d2a1aa790 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e62014e1876dd3b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e62014e1e87dfa9 #f,-,48,73,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e6201501e9e8437 #d,-,18,2553,2353,1179,0,0,178711,11080,2555,2354,1180,2553,2352,1169,90,100,0,500,2808;
@400000005e6201521eaebc0d #d,-,18,2552,2350,1169,1,0,180067,11164,2553,2353,1180,2552,2350,1169,90,100,0,500,2810;
@400000005e6201521eb80f08 #d,-,18,2551,2350,1174,2,0,180651,11200,2552,2352,1175,2551,2350,1169,91,100,0,500,2801;
@400000005e6201541ec7226e #d,-,18,2549,2348,1170,3,0,184890,11463,2551,2350,1175,2549,2348,1169,91,100,0,500,2796;
@400000005e6201541ed0daed #d,-,18,2547,2351,1173,3,0,181179,11233,2549,2351,1177,2547,2348,1170,91,100,0,500,2798;
@400000005e6201561ee01571 #d,-,18,2545,2347,1169,4,0,181164,11232,2547,2351,1173,2545,2347,1167,91,100,0,500,2794;
@400000005e6201561ee95896 #d,-,18,2543,2348,1159,5,0,181097,11228,2545,2348,1169,2543,2346,1159,91,100,0,500,2789;
@400000005e6201581ef89a8e #d,-,18,2539,2350,1169,5,0,181029,11223,2543,2350,1169,2539,2348,1158,91,100,0,500,2772;
@400000005e6201581f01f4fc #d,-,18,2535,2350,1149,6,0,180782,11208,2539,2351,1169,2535,2349,1149,91,100,0,500,2775;
@400000005e62015a1f11914a #d,-,18,2528,2350,1152,7,0,180541,11193,2535,2351,1154,2528,2349,1147,91,100,0,500,2749;
@400000005e62015a1f1aff47 #d,-,18,2523,2351,1153,7,0,180342,11181,2528,2352,1154,2523,2349,1148,91,100,0,500,2746;
@400000005e62015c1f2ab697 #d,-,18,2518,2350,1148,8,0,180139,11168,2523,2352,1154,2518,2350,1146,91,100,0,500,2749;
@400000005e62015c1f342494 #d,-,18,2512,2353,1150,9,0,179935,11156,2518,2353,1150,2512,2350,1145,91,100,0,500,2742;
@400000005e62015e1f436eee #d,-,18,2507,2351,1144,10,0,179769,11145,2512,2354,1153,2507,2351,1144,91,100,0,500,2742;
@400000005e62015e1f4cb213 #d,-,18,2503,2353,1150,10,0,179632,11137,2507,2354,1150,2503,2351,1143,91,100,0,500,2744;
@400000005e6201601f5bdcc2 #d,-,18,2499,2352,1138,11,0,179469,11127,2503,2353,1150,2499,2350,1138,91,100,0,500,2739;
@400000005e6201601f659cb4 #d,-,18,2494,2351,1143,12,0,179300,11116,2499,2353,1145,2494,2350,1138,91,100,0,500,2727;
@400000005e6201621f755c66 #d,-,18,2490,2353,1149,12,0,179196,11110,2494,2353,1153,2490,2350,1140,91,100,0,500,2727;
@400000005e6201621f7ec201 #d,-,18,2488,2351,1146,13,0,179087,11103,2490,2353,1150,2488,2351,1142,90,100,0,500,2742;
@400000005e6201641f8e1014 #d,-,18,2486,2353,1144,14,0,178982,11096,2488,2353,1149,2486,2350,1141,90,100,0,500,2737;
@400000005e6201641f980ab3 #d,-,18,2483,2351,1142,14,0,178873,11090,2486,2353,1144,2483,2351,1140,90,100,0,500,2732;
@400000005e6201661fa7ddf3 #d,-,18,2480,2353,1142,15,0,178761,11083,2483,2353,1144,2480,2351,1139,90,100,0,500,2730;
@400000005e6201661fb14bf0 #d,-,18,2476,2354,1136,16,0,178641,11075,2480,2354,1142,2476,2351,1135,90,100,0,500,2725;
@400000005e6201681fc131d2 #d,-,18,2473,2352,1137,16,0,178518,11068,2476,2354,1140,2473,2352,1136,90,100,0,500,2720;
@400000005e6201681fca799f #d,-,18,2470,2354,1139,17,0,178417,11061,2473,2354,1141,2470,2351,1136,90,100,0,500,2720;
@400000005e62016a1fd949f8 #d,-,18,2467,2353,1137,18,0,178317,11055,2470,2354,1142,2467,2352,1136,90,100,0,500,2720;
@400000005e62016a1fe37415 #d,-,18,2465,2355,1138,18,0,178225,11049,2467,2355,1140,2465,2352,1135,90,100,0,500,2723;
@400000005e62016c1ff3713f #d,-,18,2463,2354,1133,19,0,178119,11043,2465,2355,1139,2463,2353,1133,90,100,0,500,2720;
@400000005e62016c1ffcfee6 #d,-,18,2460,2354,1137,20,0,178016,11036,2463,2356,1137,2460,2353,1132,90,100,0,500,2713;
@400000005e62016e200cf0e3 #d,-,18,2457,2355,1136,20,0,177919,11030,2460,2356,1137,2457,2354,1131,90,100,0,500,2713;
@400000005e62016e20166653 #d,-,18,2455,2354,1131,21,0,177823,11025,2457,2355,1137,2455,2353,1131,90,100,0,500,2713;
@400000005e6201702025cbaf #d,-,18,2453,2357,1134,22,0,177743,11020,2455,2357,1137,2453,2354,1131,90,100,0,500,2713;
@400000005e62017020303078 #d,-,18,2451,2355,1135,22,0,177667,11015,2453,2357,1136,2451,2355,1132,90,100,0,500,2711;
@400000005e620172204002cb #d,-,18,2450,2356,1136,23,0,177604,11011,2451,2356,1137,2450,2354,1134,90,100,0,500,2715;
