@400000005e53805000b7d2cc #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e5380502aa54028 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e53805030b515c5 #f,-,48,65,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e53805430d21823 #d,-,18,2779,2334,1190,1,0,192598,11941,2785,2336,1220,2710,2333,1182,98,100,0,501,2810;
@400000005e53805430dce8f6 #d,-,18,2774,2337,1190,2,0,199946,12396,2779,2337,1190,2774,2333,1186,99,100,0,501,2778;
@400000005e53805630ec1fc0 #d,-,18,2771,2333,1188,3,0,194577,12063,2774,2337,1190,2771,2333,1187,99,100,0,501,2778;
@400000005e53805630f6786e #d,-,18,2768,2334,1191,3,0,195007,12090,2771,2335,1191,2768,2332,1186,99,100,0,501,2780;
@400000005e538058310329d1 #d,-,18,2765,2336,1211,4,0,198572,12311,2768,2337,1211,2765,2333,1186,99,100,0,501,2778;
@400000005e538058310d3444 #d,-,18,2766,2333,1192,5,0,195765,12137,2766,2336,1218,2765,2332,1181,98,100,0,501,2806;
@400000005e53805a311bea89 #d,-,18,2764,2335,1189,6,0,195896,12145,2766,2336,1192,2764,2331,1186,99,100,0,501,2778;
@400000005e53805a312655d8 #d,-,18,2761,2335,1187,6,0,195987,12151,2764,2336,1191,2761,2332,1187,99,100,0,501,2776;
@400000005e53805c3136960f #d,-,18,2759,2333,1189,7,0,197994,12275,2761,2336,1189,2759,2333,1186,99,100,0,500,2780;
@400000005e53805c3140cf14 #d,-,18,2757,2335,1202,8,0,196160,12161,2759,2335,1202,2757,2333,1186,99,100,0,500,2776;
@400000005e53805e315020e0 #d,-,18,2760,2337,1186,9,0,196339,12173,2760,2337,1219,2757,2334,1178,98,100,0,500,2810;
@400000005e53805e315a6600 #d,-,18,2757,2337,1188,10,0,196378,12175,2760,2339,1189,2757,2335,1186,99,100,0,500,2774;
@400000005e538060316a4cd0 #d,-,18,2756,2336,1184,10,0,196396,12176,2757,2339,1188,2756,2336,1184,99,100,0,500,2778;
@400000005e5380603175aeeb #d,-,18,2754,2340,1184,11,0,196426,12178,2756,2340,1188,2754,2336,1184,99,100,0,500,2780;
@400000005e53806231868338 #d,-,18,2871,2337,1578,12,0,198551,12310,2871,2340,1578,2754,2336,1184,100,100,0,501,2871;
@400000005e5380623190faa2 #d,-,18,3713,2336,1667,13,0,203316,12605,3713,2338,1713,2871,2334,1578,100,100,0,501,3713;
@400000005e53806431a1bc4e #d,-,18,3869,2337,1665,14,0,207371,12857,3869,2338,1668,3713,2333,1659,99,100,0,501,3896;
@400000005e53806431ac3772 #d,-,18,3869,2335,1665,15,0,211029,13083,3869,2337,1668,3869,2334,1663,99,100,0,501,3892;
@400000005e53806631bcc5e5 #d,-,18,3869,2337,1666,16,0,214326,13288,3869,2337,1667,3869,2334,1664,99,100,0,501,3894;
@400000005e53806631c72607 #d,-,18,3870,2336,1664,17,0,217308,13473,3870,2338,1667,3869,2335,1664,99,100,0,501,3896;
@400000005e53806831d700bb #d,-,18,3873,2336,1661,18,0,220115,13647,3873,2338,1698,3870,2334,1658,98,100,0,501,3915;
@400000005e53806831e22f9d #d,-,18,3874,2338,1665,20,0,222602,13801,3874,2339,1669,3873,2335,1661,99,100,0,501,3903;
@400000005e53806a31f2a6c8 #d,-,18,3873,2335,1665,21,0,224875,13942,3874,2338,1666,3873,2335,1663,99,100,0,501,3892;
@400000005e53806a31fd1305 #d,-,18,3872,2333,1664,22,0,227861,14127,3873,2337,1666,3872,2333,1662,99,100,0,501,3894;
@400000005e53806c320d81ce #d,-,18,3872,2337,1675,23,0,228932,14193,3872,2337,1682,3872,2333,1661,99,100,0,501,3888;
@400000005e53806c32181529 #d,-,18,3876,2337,1656,24,0,230796,14309,3876,2338,1697,3872,2335,1656,98,100,0,501,3920;
@400000005e53806e32292068 #d,-,18,3877,2338,1668,25,0,232481,14413,3877,2340,1669,3876,2335,1656,99,100,0,501,3910;
@400000005e53806e3234308f #d,-,18,3877,2339,1675,26,0,234078,14512,3877,2340,1679,3877,2336,1666,99,100,0,501,3904;
@400000005e5380703246e56b #d,-,18,3879,2338,1669,27,0,235551,14604,3879,2340,1675,3877,2337,1666,99,100,0,501,3915;
@400000005e53807032594499 #d,-,18,3880,2340,1669,28,0,236940,14690,3880,2340,1670,3879,2337,1669,99,100,0,501,3906;
@400000005e538072326a8222 #d,-,18,3882,2337,1666,29,0,239037,14820,3882,2340,1701,3880,2337,1666,99,100,0,501,3913;
@400000005e53807232768828 #d,-,18,3884,2336,1669,30,0,240229,14894,3884,2339,1671,3882,2335,1662,98,100,0,501,3928;
@400000005e5380743288b151 #d,-,18,3884,2338,1679,31,0,240692,14922,3884,2338,1689,3884,2335,1668,99,100,0,501,3906;
@400000005e538074329441fe #d,-,18,3886,2337,1675,32,0,241775,14990,3886,2338,1679,3884,2336,1669,99,100,0,501,3924;
@400000005e53807632a52d93 #d,-,18,3887,2335,1675,33,0,243487,15096,3887,2337,1676,3886,2335,1674,99,100,0,501,3913;
@400000005e53807632b01b44 #d,-,18,3889,2337,1685,35,0,243866,15119,3889,2337,1708,3887,2335,1673,99,100,0,501,3917;
@400000005e53807832c11e22 #d,-,18,3892,2337,1676,36,0,244793,15177,3892,2338,1685,3889,2334,1669,98,100,0,501,3945;
@400000005e53807832cbcc7e #d,-,18,3893,2333,1683,37,0,245689,15232,3893,2337,1684,3892,2333,1674,99,100,0,501,3917;
@400000005e53807a32d84b96 #d,-,18,3895,2332,1679,38,0,247162,15324,3895,2335,1683,3893,2332,1678,99,100,0,500,3929;
@400000005e53807a32e115aa #d,-,18,3895,2335,1679,39,0,247364,15336,3895,2336,1681,3895,2332,1678,99,100,0,500,3924;
@400000005e53807c32f13726 #d,-,18,3693,2336,1454,40,0,247335,15334,3895,2338,1679,3693,2334,1420,97,100,0,500,3773;
@400000005e53807c32fb9747 #d,-,18,3332,2338,1427,41,0,247097,15320,3693,2338,1454,3332,2336,1417,99,100,0,500,3358;
