@400000005e54d03d0307a2a1 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e54d03d2cf8580a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e54d03d33038a38 #f,-,48,113,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e54d03f331a7d00 #d,-,18,2777,2351,1187,1,0,195446,12117,2782,2351,1195,2777,2349,1185,99,100,0,500,2803;
@400000005e54d041332421f0 #d,-,18,2778,2350,1180,1,0,197476,12243,2778,2352,1220,2777,2349,1180,98,100,0,500,2813;
@400000005e54d041332c6b7e #d,-,18,2777,2352,1186,2,0,197643,12253,2778,2352,1189,2777,2349,1180,98,100,0,500,2808;
@400000005e54d043333c7ff0 #d,-,18,2775,2351,1186,3,0,197734,12259,2777,2352,1187,2775,2350,1185,99,100,0,500,2796;
@400000005e54d04333473a68 #d,-,18,2773,2351,1187,4,0,197752,12260,2775,2352,1188,2773,2350,1183,99,100,0,500,2794;
@400000005e54d045334fb640 #d,-,18,2771,2352,1185,4,0,197764,12261,2773,2352,1187,2771,2349,1185,99,100,0,500,2796;
@400000005e54d0453355bd74 #d,-,18,2772,2351,1182,5,0,198065,12280,2772,2352,1215,2771,2350,1182,98,100,0,500,2805;
@400000005e54d0473365a355 #d,-,18,2772,2353,1185,6,0,198050,12279,2772,2353,1187,2772,2350,1180,98,100,0,500,2812;
@400000005e54d047336ffc03 #d,-,18,2770,2354,1185,7,0,198026,12277,2772,2354,1186,2770,2351,1183,99,100,0,500,2794;
@400000005e54d04933803882 #d,-,18,2769,2352,1185,7,0,198007,12276,2770,2354,1185,2769,2351,1183,99,100,0,500,2792;
@400000005e54d049338a7186 #d,-,18,2768,2353,1184,8,0,198001,12276,2769,2354,1188,2768,2351,1184,99,100,0,500,2794;
@400000005e54d04b3392b66b #d,-,18,2768,2353,1185,9,0,199781,12386,2768,2353,1217,2768,2351,1183,98,100,0,500,2799;
@400000005e54d04b33964cb4 #d,-,18,2769,2352,1183,10,0,198120,12283,2769,2353,1187,2768,2350,1178,98,100,0,500,2817;
@400000005e54d04d339de9f6 #d,-,18,2768,2350,1185,10,0,199493,12368,2769,2352,1187,2768,2350,1183,99,100,0,500,2794;
@400000005e54d04d33a76b82 #d,-,18,2767,2351,1184,11,0,198090,12281,2768,2352,1187,2767,2349,1184,99,100,0,500,2794;
@400000005e54d04f33b0a28c #d,-,18,2766,2350,1186,12,0,198080,12281,2767,2352,1187,2766,2350,1184,99,100,0,500,2792;
@400000005e54d04f33b682a2 #d,-,18,2766,2349,1199,13,0,198190,12287,2766,2351,1217,2766,2349,1184,98,100,0,500,2794;
@400000005e54d05133c45962 #d,-,18,2768,2350,1315,13,0,198306,12294,2768,2351,1315,2766,2348,1179,98,100,0,500,2821;
@400000005e54d05133cc7bd2 #d,-,18,3174,2346,1622,15,0,201066,12466,3174,2350,1622,2768,2346,1315,100,100,0,500,3174;
@400000005e54d05333d53d84 #d,-,18,3674,2346,1613,16,0,205562,12744,3674,2348,1653,3174,2345,1606,99,100,0,500,3678;
@400000005e54d05333de0ff9 #d,-,18,3767,2344,1613,16,0,207650,12874,3767,2347,1619,3674,2344,1613,99,100,0,500,3792;
@400000005e54d05533edab58 #d,-,18,3768,2347,1646,18,0,210595,13056,3768,2347,1649,3767,2344,1613,99,100,0,500,3799;
@400000005e54d05533f85e5e #d,-,18,3773,2347,1617,19,0,213178,13217,3773,2347,1646,3768,2344,1611,98,100,0,500,3833;
@400000005e54d057340181d9 #d,-,18,3774,2347,1617,20,0,215553,13364,3774,2347,1622,3773,2345,1616,99,100,0,500,3803;
@400000005e54d0573408b997 #d,-,18,3774,2349,1616,21,0,218606,13553,3774,2349,1620,3774,2346,1616,99,100,0,500,3799;
@400000005e54d0593411dd13 #d,-,18,3775,2346,1618,22,0,219772,13625,3775,2349,1620,3774,2346,1615,99,100,0,500,3805;
@400000005e54d059341c6cb4 #d,-,18,3775,2347,1652,23,0,221718,13746,3775,2349,1653,3775,2346,1612,99,100,0,500,3803;
@400000005e54d05b342c0814 #d,-,18,3779,2350,1618,24,0,223465,13854,3779,2350,1652,3775,2347,1610,98,100,0,500,3830;
@400000005e54d05b3436d9d5 #d,-,18,3779,2349,1617,25,0,225855,14003,3779,2352,1619,3779,2348,1613,99,100,0,500,3803;
@400000005e54d05d3447ba3c #d,-,18,3779,2351,1614,26,0,226608,14049,3779,2352,1619,3779,2349,1614,99,100,0,501,3803;
@400000005e54d05d345274b5 #d,-,18,3779,2351,1618,27,0,228037,14138,3779,2352,1620,3779,2350,1614,99,100,0,501,3801;
@400000005e54d05f345bd696 #d,-,18,3781,2352,1650,28,0,229457,14226,3781,2353,1651,3779,2350,1612,99,100,0,501,3810;
@400000005e54d05f3464cf3b #d,-,18,3786,2351,1622,29,0,230750,14306,3786,2352,1650,3781,2349,1614,98,100,0,501,3851;
@400000005e54d061346f85f9 #d,-,18,3787,2353,1620,30,0,231953,14381,3787,2353,1622,3786,2350,1618,99,100,0,501,3814;
@400000005e54d061347a05c5 #d,-,18,3787,2352,1619,31,0,233087,14451,3787,2354,1623,3787,2351,1617,99,100,0,501,3814;
@400000005e54d0633485ec20 #d,-,18,3788,2351,1622,32,0,234153,14517,3788,2353,1622,3787,2351,1616,99,100,0,501,3814;
@400000005e54d06334910fd6 #d,-,18,3788,2353,1643,33,0,235200,14582,3788,2353,1643,3788,2351,1621,99,100,0,501,3815;
@400000005e54d06534a1b1d8 #d,-,18,3793,2352,1622,34,0,236164,14642,3793,2353,1650,3788,2351,1587,98,100,0,501,3851;
@400000005e54d06534ac63ee #d,-,18,3791,2351,1627,35,0,237101,14700,3793,2352,1628,3791,2350,1622,99,100,0,501,3801;
@400000005e54d06734b986f0 #d,-,18,3792,2352,1626,36,0,237983,14755,3792,2352,1629,3791,2349,1619,99,100,0,501,3826;
@400000005e54d06734c4be34 #d,-,18,3794,2351,1624,38,0,238821,14806,3794,2352,1627,3792,2349,1622,99,100,0,500,3824;
@400000005e54d06934d5ae71 #d,-,18,3794,2349,1643,39,0,239652,14858,3794,2351,1643,3794,2349,1624,99,100,0,500,3824;
@400000005e54d06934e08f19 #d,-,18,3848,2349,1629,40,0,240462,14908,3848,2351,1663,3794,2348,1616,99,100,0,500,3871;
@400000005e54d06b34edb309 #d,-,18,3842,2349,1631,41,0,241758,14989,3848,2351,1634,3842,2348,1629,100,100,0,500,3842;
@400000005e54d06b34f8554a #d,-,18,3838,2349,1628,42,0,241923,14999,3842,2351,1634,3838,2348,1625,100,100,0,500,3838;
@400000005e54d06d35094587 #d,-,18,3834,2351,1629,43,0,242590,15040,3838,2351,1631,3834,2349,1621,100,100,0,500,3834;
@400000005e54d06d351402cb #d,-,18,3831,2350,1631,44,0,243235,15080,3834,2351,1631,3831,2348,1624,100,100,0,500,3831;
@400000005e54d06f351ebd43 #d,-,18,3832,2347,1624,45,0,243899,15121,3832,2350,1663,3831,2347,1620,99,100,0,500,3856;
@400000005e54d06f3524df79 #d,-,18,3829,2346,1632,46,0,244992,15189,3832,2349,1633,3829,2346,1624,99,100,0,500,3835;
@400000005e54d07135342170 #d,-,18,3826,2348,1493,47,0,244840,15180,3829,2349,1632,3826,2346,1478,99,100,0,500,3833;
@400000005e54d071353f58b5 #d,-,18,3508,2350,1517,48,0,244994,15189,3826,2350,1517,3508,2347,1493,98,100,0,500,3557;
