@400000005e5621933293e7a7 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e56219420e4ed82 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e56219426f55f95 #f,-,48,125,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e5621962708dbbf #d,-,18,2767,2370,1176,1,0,192945,11962,2767,2371,1193,2764,2369,1167,97,100,0,500,2824;
@400000005e5621982716900a #d,-,18,2766,2368,1175,2,0,194485,12058,2767,2370,1176,2766,2367,1174,99,100,0,500,2792;
@400000005e5621982720b57f #d,-,18,2765,2370,1175,3,0,195274,12107,2766,2370,1176,2765,2368,1174,98,100,0,500,2794;
@400000005e56219a272b6b50 #d,-,18,2764,2369,1174,3,0,195732,12135,2765,2371,1176,2764,2369,1172,98,100,0,500,2796;
@400000005e56219a27365813 #d,-,18,2763,2371,1203,4,0,199524,12370,2764,2372,1203,2763,2369,1173,98,100,0,500,2792;
@400000005e56219c27459297 #d,-,18,2766,2371,1175,5,0,196567,12187,2766,2372,1205,2763,2369,1167,97,100,0,500,2824;
@400000005e56219c274fd3fd #d,-,18,2765,2371,1173,6,0,196696,12195,2766,2371,1175,2765,2370,1173,99,100,0,500,2790;
@400000005e56219e275ac47a #d,-,18,2764,2372,1173,6,0,196796,12201,2765,2373,1174,2764,2371,1172,98,100,0,500,2792;
@400000005e56219e276599f4 #d,-,18,2763,2371,1173,7,0,196866,12205,2764,2372,1174,2763,2370,1172,98,100,0,500,2792;
@400000005e5621a027703109 #d,-,18,2762,2372,1194,8,0,196972,12212,2763,2372,1194,2762,2370,1172,98,100,0,500,2790;
@400000005e5621a0277a9d46 #d,-,18,2765,2372,1174,9,0,197133,12222,2765,2373,1206,2762,2372,1165,97,100,0,500,2822;
@400000005e5621a22785917c #d,-,18,2763,2371,1173,9,0,197169,12224,2765,2373,1175,2763,2370,1172,99,100,0,500,2789;
@400000005e5621a227901c75 #d,-,18,2762,2371,1173,10,0,197193,12225,2763,2372,1174,2762,2370,1172,98,100,0,500,2792;
@400000005e5621a427a0131a #d,-,18,2761,2372,1173,11,0,197213,12227,2762,2372,1174,2761,2371,1172,98,100,0,500,2790;
@400000005e5621a427aa574b #d,-,18,2761,2370,1182,12,0,197245,12229,2761,2373,1182,2761,2370,1171,98,100,0,500,2792;
