@400000005e56c4c82302d486 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e56c4c9116687ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e56c4c9177a7ba9 #f,-,48,5,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e56c4cb17915e9c #d,-,18,2701,2383,1141,1,0,187838,11645,2701,2384,1171,2699,2380,1141,98,100,0,500,2733;
@400000005e56c4cd17a2995a #d,-,18,2701,2382,1144,2,0,189714,11762,2701,2383,1144,2701,2382,1141,98,100,0,500,2732;
@400000005e56c4cd17ad3f55 #d,-,18,2700,2382,1144,2,0,190684,11822,2701,2383,1146,2700,2381,1142,98,100,0,500,2733;
@400000005e56c4cf17bdc29b #d,-,18,2700,2385,1145,3,0,191258,11858,2700,2385,1145,2700,2382,1143,98,100,0,500,2733;
@400000005e56c4cf17c7ff59 #d,-,18,2704,2383,1141,4,0,191968,11902,2704,2385,1175,2700,2383,1136,97,100,0,500,2762;
@400000005e56c4d117d84704 #d,-,18,2703,2383,1144,5,0,192190,11915,2704,2385,1145,2703,2383,1141,98,100,0,500,2733;
@400000005e56c4d117e284b1 #d,-,18,2702,2384,1144,5,0,192341,11925,2703,2385,1144,2702,2382,1142,98,100,0,500,2733;
@400000005e56c4d317f28df6 #d,-,18,2702,2385,1143,6,0,194658,12068,2702,2385,1145,2702,2382,1143,98,100,0,500,2733;
@400000005e56c4d317fcbbcd #d,-,18,2701,2384,1143,7,0,192553,11938,2702,2385,1144,2701,2383,1142,98,100,0,500,2733;
@400000005e56c4d5180c08f1 #d,-,18,2704,2384,1136,7,0,192808,11954,2704,2386,1174,2701,2384,1135,98,100,0,500,2751;
@400000005e56c4d518165673 #d,-,18,2703,2384,1143,8,0,192857,11957,2704,2386,1144,2703,2384,1136,98,100,0,500,2739;
@400000005e56c4d71826adf3 #d,-,18,2703,2384,1145,9,0,192898,11959,2703,2386,1145,2703,2383,1142,98,100,0,500,2732;
@400000005e56c4d71830fe40 #d,-,18,2703,2383,1143,10,0,194394,12052,2703,2385,1153,2703,2383,1143,98,100,0,500,2742;
@400000005e56c4d91841694f #d,-,18,2703,2384,1147,10,0,193037,11968,2703,2386,1147,2703,2383,1143,98,100,0,500,2737;
@400000005e56c4d9184b927e #d,-,18,2706,2385,1139,11,0,193222,11979,2706,2385,1177,2703,2383,1139,98,100,0,500,2753;
