@400000005e5773fe08c512b7 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e5773fe32b14727 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5773fe38c15fd2 #f,-,48,249,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e57740038d8cf67 #d,-,18,2719,2351,1169,1,0,194982,12088,2719,2353,1171,2717,2351,1169,98,100,0,501,2755;
@400000005e57740238ea8aab #d,-,18,2719,2353,1168,1,0,194995,12089,2719,2353,1170,2719,2350,1168,98,100,0,501,2755;
@400000005e57740238f4b882 #d,-,18,2719,2353,1188,2,0,195605,12127,2719,2354,1196,2719,2352,1168,98,100,0,501,2755;
@400000005e5774043903b3b2 #d,-,18,2722,2354,1167,3,0,195372,12113,2722,2354,1188,2719,2352,1161,97,100,0,501,2778;
@400000005e577404390e6e2a #d,-,18,2722,2354,1168,4,0,195245,12105,2722,2355,1168,2722,2352,1166,98,100,0,501,2753;
@400000005e577406391dee88 #d,-,18,2721,2353,1168,4,0,195192,12101,2722,2354,1169,2721,2352,1167,98,100,0,501,2753;
@400000005e57740639282c34 #d,-,18,2721,2355,1167,5,0,195153,12099,2721,2355,1168,2721,2352,1167,98,100,0,501,2753;
@400000005e57740839387026 #d,-,18,2720,2353,1195,6,0,197683,12256,2721,2355,1195,2720,2352,1166,98,100,0,501,2753;
@400000005e5774083942c42c #d,-,18,2723,2354,1167,7,0,195296,12108,2723,2355,1195,2720,2352,1160,98,100,0,501,2778;
@400000005e57740a39520acc #d,-,18,2723,2355,1167,7,0,195248,12105,2723,2356,1168,2723,2353,1167,98,100,0,501,2755;
@400000005e57740a395c1cb2 #d,-,18,2722,2355,1168,8,0,195218,12103,2723,2356,1168,2722,2354,1166,98,100,0,501,2755;
@400000005e57740c396be01e #d,-,18,2722,2353,1168,9,0,195193,12101,2722,2355,1169,2722,2352,1167,98,100,0,501,2755;
@400000005e57740c3976f045 #d,-,18,2722,2355,1195,10,0,195268,12106,2722,2355,1195,2722,2352,1167,98,100,0,501,2755;
@400000005e57740e39870d19 #d,-,18,2724,2355,1167,10,0,195265,12106,2724,2355,1195,2722,2353,1160,97,100,0,501,2780;
@400000005e57740e39919458 #d,-,18,2723,2353,1167,11,0,195235,12104,2724,2355,1168,2723,2353,1166,98,100,0,501,2751;
@400000005e57741039a1cd1d #d,-,18,2723,2352,1168,12,0,195215,12103,2723,2354,1169,2723,2351,1166,98,100,0,501,2751;
@400000005e57741039abfdbf #d,-,18,2722,2354,1167,13,0,195197,12102,2723,2355,1169,2722,2352,1167,98,100,0,500,2755;
@400000005e57741239bbbd71 #d,-,18,2721,2354,1191,13,0,195222,12103,2722,2354,1191,2721,2352,1167,98,100,0,500,2753;
@400000005e57741239c6a67a #d,-,18,2725,2353,1168,14,0,195256,12105,2725,2354,1196,2721,2352,1161,97,100,0,500,2781;
@400000005e57741439d6a3a4 #d,-,18,2723,2352,1168,15,0,196195,12164,2725,2354,1169,2723,2351,1167,99,100,0,500,2749;
@400000005e57741439e12370 #d,-,18,2723,2353,1167,16,0,195213,12103,2723,2354,1169,2723,2351,1166,98,100,0,500,2751;
@400000005e57741639f15019 #d,-,18,2722,2354,1167,16,0,195194,12102,2723,2355,1168,2722,2352,1166,98,100,0,500,2755;
@400000005e57741639fbb3f4 #d,-,18,2722,2355,1180,17,0,195196,12102,2722,2355,1180,2722,2353,1166,98,100,0,500,2753;
@400000005e5774183a0bf073 #d,-,18,2725,2353,1167,18,0,195237,12104,2725,2355,1195,2722,2352,1160,98,100,0,500,2780;
@400000005e5774183a16394c #d,-,18,2723,2354,1168,19,0,195224,12103,2725,2355,1168,2723,2352,1166,99,100,0,500,2749;
@400000005e57741a3a261046 #d,-,18,2722,2354,1167,19,0,195208,12102,2723,2355,1169,2722,2353,1167,98,100,0,500,2753;
@400000005e57741a3a310cdf #d,-,18,2722,2354,1167,20,0,195201,12102,2722,2355,1169,2722,2353,1167,98,100,0,500,2755;
@400000005e57741c3a4094af #d,-,18,2722,2355,1169,21,0,195876,12144,2722,2355,1169,2722,2352,1166,98,100,0,500,2753;
@400000005e57741c3a4b2451 #d,-,18,2725,2354,1165,22,0,195236,12104,2725,2356,1196,2722,2353,1161,98,100,0,500,2780;
@400000005e57741e3a5b60cf #d,-,18,2723,2356,1167,22,0,195225,12103,2725,2356,1169,2723,2354,1165,98,100,0,501,2753;
@400000005e57741e3a65a146 #d,-,18,2723,2352,1166,23,0,195835,12141,2723,2356,1168,2723,2352,1166,98,100,0,501,2753;
@400000005e5774203a762c00 #d,-,18,2722,2354,1167,24,0,195198,12102,2723,2355,1168,2722,2351,1166,98,100,0,501,2751;
@400000005e5774203a80a723 #d,-,18,2721,2350,1160,25,0,195167,12100,2722,2354,1169,2721,2350,1160,98,100,0,501,2753;
@400000005e5774223a907202 #d,-,18,2722,2350,1160,25,0,195185,12101,2722,2351,1193,2721,2349,1159,98,100,0,501,2757;
@400000005e5774223a9b5fb4 #d,-,18,2720,2352,1164,26,0,195708,12133,2722,2352,1166,2720,2349,1160,98,100,0,501,2751;
@400000005e5774243aab978a #d,-,18,2719,2349,1166,27,0,195125,12097,2720,2352,1167,2719,2349,1163,99,100,0,501,2742;
