@400000005e58c2ed16d21699 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e58c2ee0521b04e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e58c2ee0b2ee2b6 #f,-,48,241,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e58c2f00b4023f9 #d,-,18,2759,2333,1195,1,0,190505,11811,2759,2337,1195,2758,2333,1192,98,100,0,500,2794;
@400000005e58c2f20b4f8a43 #d,-,18,2759,2333,1214,1,0,194238,12042,2759,2334,1221,2759,2333,1194,98,100,0,500,2797;
@400000005e58c2f20b599870 #d,-,18,2763,2333,1192,2,0,195145,12099,2763,2334,1214,2759,2332,1186,98,100,0,500,2819;
@400000005e58c2f40b63fc4b #d,-,18,2762,2333,1192,3,0,195705,12133,2763,2334,1195,2762,2332,1192,98,100,0,500,2792;
@400000005e58c2f40b6ece0c #d,-,18,2762,2332,1194,4,0,196084,12157,2762,2333,1194,2762,2331,1192,98,100,0,500,2794;
@400000005e58c2f60b7ec77c #d,-,18,2762,2332,1193,4,0,196348,12173,2762,2333,1195,2762,2331,1191,98,100,0,500,2792;
@400000005e58c2f60b89043a #d,-,18,2761,2333,1221,5,0,196785,12200,2762,2333,1221,2761,2332,1192,98,100,0,500,2794;
@400000005e58c2f80b962be4 #d,-,18,2764,2332,1192,6,0,196894,12207,2764,2333,1221,2761,2331,1185,98,100,0,500,2815;
@400000005e58c2f80ba0f9eb #d,-,18,2763,2333,1192,7,0,199053,12341,2764,2333,1193,2763,2332,1191,99,100,0,500,2790;
@400000005e58c2fa0baf7fc2 #d,-,18,2763,2332,1193,7,0,197039,12216,2763,2333,1193,2763,2331,1191,99,100,0,500,2790;
@400000005e58c2fa0bb9bd6e #d,-,18,2762,2332,1192,8,0,198802,12325,2763,2333,1193,2762,2332,1191,98,100,0,500,2790;
@400000005e58c2fc0bc9884d #d,-,18,2761,2333,1220,9,0,198811,12326,2762,2333,1220,2761,2332,1190,98,100,0,500,2789;
@400000005e58c2fc0bd3b17c #d,-,18,2763,2330,1184,10,0,198714,12320,2763,2333,1221,2761,2329,1184,98,100,0,500,2813;
@400000005e58c2fe0be2e0d3 #d,-,18,2760,2331,1190,10,0,197203,12226,2763,2331,1191,2760,2329,1180,99,100,0,500,2771;
@400000005e58c2fe0bedaa33 #d,-,18,2759,2334,1187,11,0,197181,12225,2760,2334,1190,2759,2331,1186,99,100,0,500,2781;
@400000005e58c3000bfd9875 #d,-,18,2757,2335,1186,12,0,197168,12224,2759,2335,1189,2757,2334,1185,99,100,0,500,2780;
@400000005e58c3000c07ec7c #d,-,18,2756,2334,1202,13,0,197181,12225,2757,2335,1202,2756,2333,1185,99,100,0,500,2780;
@400000005e58c3020c178510 #d,-,18,2756,2334,1186,14,0,197152,12223,2756,2335,1204,2756,2333,1172,98,100,0,500,2794;
@400000005e58c3020c2196f7 #d,-,18,2753,2333,1182,14,0,197098,12220,2756,2334,1186,2753,2333,1180,99,100,0,500,2767;
@400000005e58c3040c2e5cd7 #d,-,18,2751,2333,1182,15,0,197038,12216,2753,2333,1183,2751,2332,1181,99,100,0,500,2765;
@400000005e58c3040c392e97 #d,-,18,2748,2333,1182,16,0,196990,12213,2751,2334,1183,2748,2333,1180,99,100,0,500,2767;
@400000005e58c3060c4693b9 #d,-,18,2747,2335,1189,17,0,196955,12211,2748,2335,1189,2747,2333,1180,99,100,0,500,2767;
@400000005e58c3060c50d8d8 #d,-,18,2747,2334,1180,17,0,196919,12208,2747,2335,1199,2747,2333,1169,98,100,0,500,2783;
@400000005e58c3080c6093e2 #d,-,18,2743,2335,1177,18,0,196859,12205,2747,2335,1181,2743,2333,1176,99,100,0,500,2755;
@400000005e58c3080c6ac1b9 #d,-,18,2741,2335,1177,19,0,196791,12201,2743,2335,1178,2741,2333,1176,99,100,0,500,2758;
@400000005e58c30a0c79118c #d,-,18,2739,2334,1176,20,0,196732,12197,2741,2335,1178,2739,2333,1176,99,100,0,500,2757;
@400000005e58c30a0c8463d3 #d,-,18,2737,2334,1179,20,0,196686,12194,2739,2335,1180,2737,2333,1176,99,100,0,500,2758;
@400000005e58c30c0c92f2fa #d,-,18,2738,2334,1174,21,0,196676,12193,2738,2335,1201,2737,2332,1168,98,100,0,500,2778;
@400000005e58c30c0c9d56d5 #d,-,18,2735,2334,1176,22,0,196620,12190,2738,2335,1178,2735,2332,1174,99,100,0,500,2755;
@400000005e58c30e0cacef6a #d,-,18,2733,2335,1175,23,0,196568,12187,2735,2335,1177,2733,2334,1175,99,100,0,500,2753;
