@400000005e5cbb5d2d0233ed #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e5cbb5e1841a7b5 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5cbb5e1e471d30 #f,-,48,233,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e5cbb601e5428e9 #d,-,18,2738,2346,1178,1,0,192258,11919,2738,2349,1182,2735,2346,1173,98,100,0,500,2776;
@400000005e5cbb621e5efe64 #d,-,18,2739,2348,1180,1,0,193899,12021,2739,2349,1182,2738,2346,1178,98,100,0,500,2778;
@400000005e5cbb621e64fd36 #d,-,18,2740,2350,1194,2,0,195246,12105,2740,2350,1210,2739,2348,1178,98,100,0,500,2776;
@400000005e5cbb641e6e405b #d,-,18,2743,2348,1179,3,0,195468,12119,2743,2350,1194,2740,2347,1172,97,100,0,500,2805;
@400000005e5cbb641e73ce7d #d,-,18,2743,2350,1179,4,0,195632,12129,2743,2350,1179,2743,2347,1177,98,100,0,500,2774;
@400000005e5cbb661e7d736c #d,-,18,2743,2350,1177,5,0,195780,12138,2743,2350,1181,2743,2349,1176,98,100,0,500,2778;
@400000005e5cbb661e833792 #d,-,18,2742,2349,1178,5,0,198420,12302,2743,2350,1181,2742,2348,1176,98,100,0,500,2774;
@400000005e5cbb681e8cdc81 #d,-,18,2743,2351,1204,6,0,198439,12303,2743,2352,1207,2742,2349,1176,98,100,0,500,2778;
@400000005e5cbb681e927216 #d,-,18,2746,2349,1177,7,0,196175,12162,2746,2352,1204,2743,2349,1168,98,100,0,500,2801;
@400000005e5cbb6a1e9bc157 #d,-,18,2745,2352,1176,8,0,196198,12164,2746,2352,1179,2745,2349,1175,98,100,0,500,2776;
@400000005e5cbb6a1ea15332 #d,-,18,2744,2351,1178,8,0,197884,12268,2745,2353,1178,2744,2351,1175,99,100,0,500,2771;
@400000005e5cbb6c1eaa91af #d,-,18,2744,2353,1175,9,0,196216,12165,2744,2353,1178,2744,2351,1174,98,100,0,500,2774;
@400000005e5cbb6c1eb0335f #d,-,18,2743,2355,1207,10,0,196356,12174,2744,2355,1207,2743,2351,1174,98,100,0,500,2773;
@400000005e5cbb6e1eb97685 #d,-,18,2745,2351,1175,11,0,196346,12173,2745,2356,1207,2743,2351,1166,98,100,0,500,2799;
@400000005e5cbb6e1ebf00ed #d,-,18,2744,2353,1175,11,0,196337,12172,2745,2353,1177,2744,2351,1174,99,100,0,500,2769;
@400000005e5cbb701ec83f6a #d,-,18,2744,2352,1174,12,0,196322,12172,2744,2353,1177,2744,2351,1173,99,100,0,500,2771;
@400000005e5cbb701ecdd4ff #d,-,18,2743,2354,1174,13,0,197437,12241,2744,2354,1178,2743,2351,1173,98,100,0,500,2773;
@400000005e5cbb721ed727fa #d,-,18,2742,2352,1204,14,0,196390,12176,2743,2354,1204,2742,2352,1173,98,100,0,500,2771;
@400000005e5cbb721edccd63 #d,-,18,2745,2355,1175,14,0,196425,12178,2745,2355,1206,2742,2352,1168,97,100,0,500,2803;
@400000005e5cbb741ee627d1 #d,-,18,2744,2355,1174,15,0,196414,12177,2745,2355,1176,2744,2353,1173,99,100,0,500,2771;
@400000005e5cbb741eebc981 #d,-,18,2744,2353,1173,16,0,196409,12177,2744,2355,1177,2744,2353,1173,98,100,0,500,2773;
@400000005e5cbb761ef517d4 #d,-,18,2741,2353,1172,17,0,196348,12173,2744,2355,1173,2741,2353,1164,99,100,0,500,2762;
@400000005e5cbb761efaae57 #d,-,18,2740,2354,1195,17,0,196356,12174,2741,2354,1195,2740,2352,1171,99,100,0,500,2762;
@400000005e5cbb781f05b262 #d,-,18,2742,2352,1170,18,0,196363,12174,2742,2354,1202,2740,2352,1163,98,100,0,500,2794;
@400000005e5cbb781f0c6d55 #d,-,18,2739,2351,1171,19,0,196331,12172,2742,2354,1172,2739,2351,1170,99,100,0,500,2757;
@400000005e5cbb7a1f15b434 #d,-,18,2738,2353,1169,20,0,196298,12170,2739,2354,1172,2738,2351,1169,99,100,0,500,2762;
@400000005e5cbb7a1f1b460f #d,-,18,2737,2353,1170,20,0,196268,12168,2738,2354,1172,2737,2351,1169,99,100,0,500,2760;
@400000005e5cbb7c1f249462 #d,-,18,2735,2350,1185,21,0,196250,12167,2737,2354,1185,2735,2350,1169,99,100,0,500,2762;
@400000005e5cbb7c1f2a2283 #d,-,18,2738,2353,1166,22,0,196267,12168,2738,2353,1204,2735,2350,1160,98,100,0,500,2792;
@400000005e5cbb7e1f33890d #d,-,18,2735,2352,1171,23,0,196233,12166,2738,2353,1171,2735,2350,1166,99,100,0,500,2749;
@400000005e5cbb7e1f392d88 #d,-,18,2734,2350,1169,24,0,196198,12164,2735,2352,1171,2734,2350,1169,99,100,0,500,2758;
@400000005e5cbb801f428c9e #d,-,18,2732,2349,1172,24,0,196165,12162,2734,2351,1172,2732,2349,1168,99,100,0,500,2755;
@400000005e5cbb801f485cdf #d,-,18,2731,2350,1172,25,0,196138,12160,2732,2351,1172,2731,2349,1169,99,100,0,500,2758;
@400000005e5cbb821f51ce96 #d,-,18,2734,2349,1168,26,0,196165,12162,2734,2350,1201,2731,2347,1164,98,100,0,500,2783;
@400000005e5cbb821f5773ff #d,-,18,2732,2351,1169,27,0,196135,12160,2734,2351,1172,2732,2348,1168,99,100,0,500,2758;
@400000005e5cbb841f60ce6d #d,-,18,2731,2349,1170,27,0,196114,12159,2732,2351,1172,2731,2349,1169,99,100,0,500,2757;
@400000005e5cbb841f666c64 #d,-,18,2730,2350,1170,28,0,196087,12157,2731,2351,1171,2730,2348,1169,98,100,0,500,2758;
@400000005e5cbb861f6fc6d2 #d,-,18,2729,2351,1161,29,0,196046,12154,2730,2351,1171,2729,2348,1161,99,100,0,500,2755;
@400000005e5cbb861f756793 #d,-,18,2729,2349,1165,30,0,196055,12155,2729,2351,1196,2729,2349,1160,98,100,0,500,2764;
@400000005e5cbb881f7ebe48 #d,-,18,2728,2350,1167,30,0,196027,12153,2729,2351,1172,2728,2349,1165,98,100,0,500,2764;
@400000005e5cbb881f846fcd #d,-,18,2727,2350,1170,31,0,196000,12152,2728,2351,1170,2727,2348,1166,99,100,0,500,2749;
@400000005e5cbb8a1f8dddca #d,-,18,2726,2350,1168,32,0,196431,12178,2727,2351,1170,2726,2348,1167,98,100,0,500,2755;
@400000005e5cbb8a1f937e8b #d,-,18,2725,2350,1170,33,0,195945,12148,2726,2350,1171,2725,2347,1168,99,100,0,500,2749;
@400000005e5cbb8c1f9d1fc1 #d,-,18,2726,2348,1160,33,0,195963,12149,2726,2350,1198,2725,2348,1160,98,100,0,500,2767;
@400000005e5cbb8c1fa2f3bc #d,-,18,2726,2349,1166,34,0,195935,12148,2726,2350,1171,2726,2348,1160,98,100,0,500,2762;
@400000005e5cbb8e1fac4e2a #d,-,18,2724,2349,1166,35,0,195904,12146,2726,2350,1168,2724,2348,1165,99,100,0,500,2749;
@400000005e5cbb8e1fb1ec20 #d,-,18,2723,2350,1167,36,0,195876,12144,2724,2350,1168,2723,2348,1165,99,100,0,500,2748;
@400000005e5cbb901fbb2f46 #d,-,18,2722,2348,1166,36,0,195847,12142,2723,2350,1167,2722,2347,1165,99,100,0,500,2748;
@400000005e5cbb901fc0c4db #d,-,18,2722,2350,1162,37,0,195865,12143,2722,2350,1198,2722,2347,1162,98,100,0,500,2757;
@400000005e5cbb921fca3a4b #d,-,18,2723,2348,1168,38,0,195834,12141,2723,2350,1168,2722,2347,1159,98,100,0,500,2765;
@400000005e5cbb921fcfd841 #d,-,18,2722,2349,1165,39,0,195807,12140,2723,2349,1168,2722,2347,1165,99,100,0,500,2749;
@400000005e5cbb941fd93ecb #d,-,18,2721,2348,1167,39,0,195786,12138,2722,2349,1170,2721,2348,1165,99,100,0,500,2746;
@400000005e5cbb941fdedf8c #d,-,18,2720,2348,1161,40,0,195758,12137,2721,2348,1168,2720,2346,1161,98,100,0,500,2749;
@400000005e5cbb961fef7661 #d,-,18,2719,2349,1167,41,0,195760,12137,2720,2349,1194,2719,2347,1159,99,100,0,500,2741;
@400000005e5cbb961ffb68d8 #d,-,18,3188,2347,1663,42,0,197082,12219,3188,2349,1713,2719,2345,1159,100,100,0,500,3188;
@400000005e5cbb98200cb27d #d,-,18,3898,2348,1669,43,0,198526,12308,3898,2348,1669,3188,2346,1659,99,100,0,500,3931;
@400000005e5cbb9820194c97 #d,-,18,3898,2349,1667,44,0,199944,12396,3898,2349,1675,3898,2348,1665,99,100,0,500,3922;
@400000005e5cbb9a20337886 #d,-,18,3898,2348,1670,45,0,201309,12481,3898,2349,1671,3898,2348,1667,99,100,0,500,3926;
@400000005e5cbb9a203e78d8 #d,-,18,3900,2347,1690,46,0,202672,12565,3900,2348,1703,3898,2347,1668,99,100,0,500,3928;
