@400000005e5dfe6f3ae25349 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e5dfe70294016a2 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5dfe702f537a26 #f,-,48,185,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e5dfe722f6b8e92 #d,-,18,2668,2362,1139,1,0,188528,11688,2670,2364,1140,2668,2360,1133,98,100,0,501,2696;
@400000005e5dfe742f7d5d65 #d,-,18,2667,2364,1139,1,0,189297,11736,2668,2364,1140,2667,2362,1137,98,100,0,501,2694;
@400000005e5dfe742f8792b0 #d,-,18,2667,2362,1140,2,0,189661,11759,2667,2364,1140,2667,2361,1137,98,100,0,501,2696;
@400000005e5dfe762f9784ad #d,-,18,2666,2361,1151,3,0,190393,11804,2667,2364,1172,2666,2360,1137,98,100,0,500,2698;
@400000005e5dfe762fa27529 #d,-,18,2669,2361,1139,4,0,190405,11805,2669,2363,1151,2666,2360,1131,98,100,0,500,2723;
@400000005e5dfe782fb29e19 #d,-,18,2668,2363,1141,4,0,190478,11809,2669,2363,1142,2668,2361,1137,98,100,0,500,2698;
@400000005e5dfe782fbd1de5 #d,-,18,2667,2363,1139,5,0,190504,11811,2668,2364,1141,2667,2361,1138,98,100,0,500,2698;
@400000005e5dfe7a2fcd9421 #d,-,18,2666,2361,1141,6,0,190549,11814,2667,2363,1142,2666,2360,1138,98,100,0,500,2696;
@400000005e5dfe7a2fd807d1 #d,-,18,2666,2364,1164,7,0,190794,11829,2666,2364,1170,2666,2361,1138,98,100,0,500,2700;
@400000005e5dfe7c2fe89644 #d,-,18,2669,2365,1139,7,0,190774,11827,2669,2365,1164,2666,2363,1132,97,100,0,500,2724;
@400000005e5dfe7c2ff2c41b #d,-,18,2668,2364,1139,8,0,190775,11828,2669,2365,1139,2668,2363,1138,98,100,0,501,2700;
@400000005e5dfe7e3003e2e9 #d,-,18,2667,2365,1145,9,0,192287,11921,2668,2365,1145,2667,2362,1137,98,100,0,501,2696;
@400000005e5dfe7e300e430b #d,-,18,2668,2362,1139,10,0,190824,11831,2668,2365,1146,2667,2362,1139,98,100,0,501,2705;
@400000005e5dfe80301db83c #d,-,18,2667,2364,1173,10,0,190976,11840,2668,2365,1173,2667,2362,1138,98,100,0,501,2700;
@400000005e5dfe803028d749 #d,-,18,2671,2362,1141,11,0,190998,11841,2671,2365,1173,2667,2362,1133,97,100,0,501,2733;
@400000005e5dfe823039522d #d,-,18,2670,2365,1141,12,0,191011,11842,2671,2365,1143,2670,2362,1140,98,100,0,501,2701;
@400000005e5dfe823043c5de #d,-,18,2670,2364,1142,13,0,191011,11842,2670,2366,1142,2670,2364,1139,98,100,0,501,2703;
@400000005e5dfe843054580a #d,-,18,2670,2363,1141,13,0,192050,11907,2670,2365,1142,2670,2363,1141,98,100,0,501,2703;
@400000005e5dfe84305ed063 #d,-,18,2669,2365,1170,14,0,192068,11908,2670,2365,1170,2669,2363,1140,98,100,0,501,2701;
