@400000005e5f58d11fe417ff #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e5f58d20e2e72bc #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5f58d21438217c #f,-,48,65,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e5f58d4144b6f15 #d,-,18,2758,2374,1163,1,0,189146,11727,2761,2375,1187,2758,2372,1163,99,100,0,500,2771;
@400000005e5f58d6145d0f57 #d,-,18,2755,2376,1162,2,0,191318,11861,2758,2376,1166,2755,2373,1162,99,100,0,500,2773;
@400000005e5f58d61467485b #d,-,18,2752,2373,1164,3,0,197176,12224,2755,2376,1165,2752,2373,1162,99,100,0,500,2771;
@400000005e5f58d8146f8986 #d,-,18,2750,2375,1193,3,0,193468,11995,2752,2375,1193,2750,2372,1164,99,100,0,500,2773;
@400000005e5f58d8147987de #d,-,18,2752,2372,1165,4,0,193979,12026,2752,2375,1193,2750,2372,1157,98,100,0,500,2801;
@400000005e5f58da14894b4a #d,-,18,2750,2373,1165,5,0,194303,12046,2752,2374,1167,2750,2372,1163,99,100,0,500,2767;
@400000005e5f58da14939f50 #d,-,18,2748,2374,1163,6,0,194508,12059,2750,2375,1165,2748,2372,1163,99,100,0,500,2774;
@400000005e5f58dc14a3a4dc #d,-,18,2747,2374,1162,6,0,194693,12070,2748,2374,1167,2747,2374,1162,99,100,0,500,2771;
@400000005e5f58dc14adc698 #d,-,18,2745,2373,1187,7,0,194894,12083,2747,2374,1187,2745,2373,1162,99,100,0,500,2771;
@400000005e5f58de14b6276e #d,-,18,2748,2376,1162,8,0,195107,12096,2748,2377,1195,2745,2373,1156,98,100,0,500,2801;
@400000005e5f58de14c02e27 #d,-,18,2746,2377,1163,9,0,195180,12101,2748,2377,1163,2746,2375,1161,99,100,0,500,2767;
@400000005e5f58e014ca4c29 #d,-,18,2744,2377,1161,9,0,195249,12105,2746,2378,1163,2744,2375,1161,99,100,0,500,2771;
@400000005e5f58e014d51cfc #d,-,18,2744,2379,1161,10,0,195316,12109,2744,2379,1163,2744,2376,1161,99,100,0,500,2771;
@400000005e5f58e214de3190 #d,-,18,2742,2380,1174,11,0,195389,12114,2744,2381,1174,2742,2378,1160,98,100,0,500,2771;
@400000005e5f58e214e6e815 #d,-,18,2746,2380,1161,12,0,195539,12123,2746,2381,1192,2742,2380,1155,97,100,0,500,2803;
@400000005e5f58e414f649b7 #d,-,18,2744,2379,1161,12,0,195578,12125,2746,2380,1162,2744,2379,1160,99,100,0,500,2769;
@400000005e5f58e41500c121 #d,-,18,2743,2382,1161,13,0,195606,12127,2744,2382,1163,2743,2379,1160,98,100,0,500,2773;
@400000005e5f58e6150925b1 #d,-,18,2742,2379,1161,14,0,195626,12128,2743,2382,1161,2742,2379,1158,98,100,0,500,2771;
@400000005e5f58e61513626e #d,-,18,2741,2380,1162,15,0,196628,12190,2742,2380,1163,2741,2378,1159,98,100,0,500,2771;
@400000005e5f58e81523c60a #d,-,18,2744,2381,1158,15,0,195757,12136,2744,2382,1191,2741,2379,1152,98,100,0,500,2797;
@400000005e5f58e8152e4d4a #d,-,18,2743,2380,1160,16,0,196663,12193,2744,2381,1164,2743,2379,1158,98,100,0,500,2771;
@400000005e5f58ea153ea110 #d,-,18,2741,2382,1159,17,0,195786,12138,2743,2382,1161,2741,2379,1159,98,100,0,500,2771;
@400000005e5f58ea1548fd78 #d,-,18,2741,2382,1161,18,0,195804,12139,2741,2383,1163,2741,2382,1158,98,100,0,500,2769;
@400000005e5f58ec1558b10f #d,-,18,2740,2380,1161,18,0,195807,12140,2741,2383,1161,2740,2380,1158,98,100,0,500,2771;
@400000005e5f58ec1562e659 #d,-,18,2743,2380,1155,19,0,195888,12145,2743,2381,1190,2740,2380,1153,98,100,0,500,2792;
@400000005e5f58ee157155d6 #d,-,18,2741,2383,1158,20,0,195884,12144,2743,2383,1161,2741,2380,1155,98,100,0,500,2776;
@400000005e5f58ee157c22ef #d,-,18,2740,2382,1160,21,0,195884,12144,2741,2383,1160,2740,2382,1158,99,100,0,500,2767;
@400000005e5f58f01588489f #d,-,18,2740,2381,1159,21,0,195887,12145,2740,2382,1162,2740,2380,1158,98,100,0,500,2771;
