@400000005e60af322c870bdd #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e60af331ad35ab9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e60af3320e11d7b #f,-,48,5,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e60af3520f17142 #d,-,18,2771,2350,1188,1,0,196420,12178,2772,2351,1196,2771,2350,1187,98,100,0,500,2801;
@400000005e60af3720ffc888 #d,-,18,2771,2348,1217,2,0,197467,12242,2771,2350,1217,2771,2347,1187,98,100,0,500,2801;
@400000005e60af37210a5f9c #d,-,18,2774,2349,1190,3,0,197882,12268,2774,2349,1219,2771,2347,1181,98,100,0,500,2829;
@400000005e60af3921180058 #d,-,18,2773,2349,1188,3,0,197980,12274,2774,2349,1190,2773,2348,1188,99,100,0,500,2796;
@400000005e60af39212230fb #d,-,18,2772,2349,1187,4,0,197990,12275,2773,2350,1189,2772,2349,1187,99,100,0,500,2797;
@400000005e60af3b212c920b #d,-,18,2771,2347,1188,5,0,198045,12278,2772,2349,1189,2771,2346,1187,98,100,0,500,2799;
@400000005e60af3b21370d2f #d,-,18,2770,2349,1208,6,0,198126,12283,2771,2350,1208,2770,2347,1186,99,100,0,500,2796;
@400000005e60af3d2141f27e #d,-,18,2772,2350,1187,6,0,198249,12291,2772,2350,1217,2770,2349,1180,98,100,0,500,2824;
@400000005e60af3d214c0bd8 #d,-,18,2770,2349,1179,7,0,198088,12281,2772,2350,1187,2770,2349,1175,99,100,0,500,2787;
@400000005e60af3f215a25a7 #d,-,18,2767,2352,1180,8,0,198025,12277,2770,2352,1185,2767,2349,1179,99,100,0,500,2780;
@400000005e60af3f2164db77 #d,-,18,2765,2350,1181,9,0,197945,12272,2767,2352,1182,2765,2349,1180,99,100,0,500,2783;
@400000005e60af412174fcf3 #d,-,18,2763,2351,1183,9,0,199345,12359,2765,2352,1183,2763,2350,1170,99,100,0,500,2780;
@400000005e60af41217f45cc #d,-,18,2763,2350,1174,10,0,199275,12355,2763,2353,1209,2763,2350,1171,98,100,0,500,2799;
@400000005e60af43218ff2fb #d,-,18,2760,2353,1175,11,0,197756,12260,2763,2354,1177,2760,2350,1174,99,100,0,500,2771;
@400000005e60af43219a56d7 #d,-,18,2757,2352,1175,12,0,197666,12255,2760,2354,1176,2757,2352,1174,99,100,0,500,2774;
