@400000005e61f78d05b13e4b #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e61f78d2fa26554 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e61f78d35acefde #f,-,48,145,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e61f78f35c19166 #d,-,18,2762,2366,1173,0,0,185933,11527,2764,2368,1174,2761,2366,1166,99,100,0,499,2780;
@400000005e61f79135d2f254 #d,-,18,2761,2366,1174,1,0,190754,11826,2762,2367,1176,2761,2366,1172,98,100,0,499,2794;
@400000005e61f79135dd3b2d #d,-,18,2761,2368,1176,2,0,198612,12313,2761,2369,1176,2761,2366,1174,98,100,0,499,2789;
@400000005e61f79335ed5bba #d,-,18,2764,2364,1173,3,0,198808,12326,2764,2368,1206,2761,2364,1169,98,100,0,499,2819;
@400000005e61f79335f76da1 #d,-,18,2763,2367,1176,4,0,194924,12085,2764,2368,1177,2763,2364,1173,98,100,0,499,2792;
@400000005e61f7953606fa1a #d,-,18,2762,2367,1174,4,0,195327,12110,2763,2367,1176,2762,2366,1173,98,100,0,499,2790;
@400000005e61f7953611a4bd #d,-,18,2761,2367,1176,5,0,195607,12127,2762,2369,1176,2761,2366,1173,98,100,0,499,2790;
@400000005e61f79736208131 #d,-,18,2760,2369,1173,6,0,195845,12142,2761,2369,1177,2760,2366,1173,98,100,0,499,2792;
@400000005e61f797362ab2c2 #d,-,18,2763,2368,1169,7,0,196218,12165,2763,2369,1204,2760,2367,1167,98,100,0,499,2810;
@400000005e61f79936350f2a #d,-,18,2762,2369,1174,7,0,196341,12173,2763,2369,1175,2762,2367,1169,98,100,0,499,2796;
@400000005e61f799363fd116 #d,-,18,2761,2367,1174,8,0,196443,12179,2762,2369,1176,2761,2366,1170,98,100,0,499,2789;
@400000005e61f79b364dd39c #d,-,18,2760,2365,1175,9,0,196520,12184,2761,2368,1177,2760,2360,1173,98,100,0,499,2790;
@400000005e61f79b365823e9 #d,-,18,2759,2366,1174,10,0,196593,12188,2760,2366,1178,2759,2365,1174,98,100,0,499,2789;
@400000005e61f79d366093a5 #d,-,18,2761,2364,1168,10,0,198168,12286,2761,2366,1204,2759,2363,1168,98,100,0,499,2805;
@400000005e61f79d36663cc9 #d,-,18,2761,2367,1174,11,0,196824,12203,2761,2367,1177,2761,2364,1168,98,100,0,499,2803;
@400000005e61f79f366ed491 #d,-,18,2760,2364,1178,12,0,196865,12205,2761,2367,1179,2760,2364,1173,98,100,0,499,2789;
@400000005e61f79f3678d2e9 #d,-,18,2760,2366,1175,13,0,196902,12207,2760,2366,1178,2760,2364,1174,98,100,0,499,2792;
@400000005e61f7a136895187 #d,-,18,2759,2364,1176,13,0,196929,12209,2760,2366,1176,2759,2363,1174,98,100,0,499,2789;
@400000005e61f7a136939e1a #d,-,18,2760,2365,1171,14,0,197070,12218,2760,2366,1205,2759,2363,1171,98,100,0,499,2799;
@400000005e61f7a3369c44c9 #d,-,18,2761,2364,1176,15,0,197075,12218,2761,2366,1177,2760,2362,1167,98,100,0,499,2806;
@400000005e61f7a336a2f848 #d,-,18,2760,2365,1174,16,0,197095,12219,2761,2365,1176,2760,2363,1174,98,100,0,499,2790;
@400000005e61f7a536af48cf #d,-,18,2759,2363,1177,16,0,197104,12220,2760,2366,1177,2759,2362,1174,98,100,0,499,2789;
@400000005e61f7a536ba2977 #d,-,18,2759,2365,1174,17,0,197121,12221,2759,2365,1177,2759,2362,1174,98,100,0,500,2789;
@400000005e61f7a736c9c20b #d,-,18,2759,2362,1176,18,0,197221,12227,2759,2365,1207,2759,2361,1174,98,100,0,500,2792;
@400000005e61f7a736d41258 #d,-,18,2761,2365,1175,19,0,197999,12275,2761,2365,1177,2759,2362,1169,98,100,0,500,2813;
@400000005e61f7a936dc7aa1 #d,-,18,2760,2363,1175,20,0,197222,12227,2761,2365,1176,2760,2363,1174,98,100,0,500,2789;
@400000005e61f7a936e6a017 #d,-,18,2759,2364,1175,20,0,197228,12228,2760,2364,1176,2759,2362,1174,98,100,0,500,2789;
@400000005e61f7ab36f63049 #d,-,18,2758,2364,1175,21,0,197230,12228,2759,2364,1176,2758,2363,1174,98,100,0,500,2787;
@400000005e61f7ab3700915a #d,-,18,2758,2362,1189,22,0,197309,12233,2758,2364,1205,2758,2361,1174,98,100,0,500,2789;
@400000005e61f7ad370cf929 #d,-,18,2760,2363,1175,23,0,197302,12232,2760,2363,1189,2758,2361,1168,98,100,0,500,2812;
@400000005e61f7ad37174976 #d,-,18,2759,2363,1175,23,0,197298,12232,2760,2363,1177,2759,2361,1174,98,100,0,500,2789;
@400000005e61f7af372055a9 #d,-,18,2758,2363,1175,24,0,197301,12232,2759,2363,1176,2758,2361,1174,98,100,0,500,2787;
@400000005e61f7af372b80d2 #d,-,18,2757,2361,1176,25,0,197303,12232,2758,2363,1177,2757,2360,1175,98,100,0,500,2787;
@400000005e61f7b1373c07d1 #d,-,18,2757,2361,1203,26,0,197944,12272,2757,2362,1208,2757,2360,1175,98,100,0,500,2789;
@400000005e61f7b137464cf1 #d,-,18,2760,2359,1176,26,0,197920,12271,2760,2361,1203,2757,2358,1171,98,100,0,500,2815;
@400000005e61f7b3375659f0 #d,-,18,2759,2361,1176,27,0,197362,12236,2760,2362,1178,2759,2357,1176,98,100,0,500,2789;
@400000005e61f7b337616dd0 #d,-,18,2758,2359,1176,28,0,197362,12236,2759,2361,1178,2758,2359,1176,98,100,0,500,2789;
@400000005e61f7b53771e8b4 #d,-,18,2758,2360,1359,29,0,197507,12245,2758,2361,1359,2758,2358,1175,98,100,0,500,2787;
@400000005e61f7b5377d13dd #d,-,18,3123,2357,1591,30,0,198782,12324,3123,2360,1591,2758,2357,1359,100,100,0,500,3123;
@400000005e61f7b7378f24d0 #d,-,18,3559,2357,1688,31,0,200562,12434,3559,2359,1719,3123,2357,1354,100,100,0,500,3559;
@400000005e61f7b7379aaa50 #d,-,18,3996,2359,1689,32,0,202617,12562,3996,2359,1700,3559,2357,1684,99,100,0,500,4011;
@400000005e61f7b937ac3abd #d,-,18,3992,2359,1684,33,0,204540,12681,3996,2360,1689,3992,2358,1679,100,100,0,500,3992;
@400000005e61f7b937b79477 #d,-,18,3988,2360,1684,34,0,206381,12795,3992,2361,1685,3988,2359,1683,100,100,0,500,3988;
