@400000005e65f68d049c9e63 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e65f68d2e9a2d3c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e65f68d34aec504 #f,-,48,177,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e65f68f34c6e0e4 #d,-,18,2776,2358,1185,1,0,191656,11882,2779,2360,1212,2775,2358,1171,98,100,0,500,2806;
@400000005e65f69134d90566 #d,-,18,2777,2358,1182,2,0,193619,12004,2777,2360,1187,2776,2357,1178,98,100,0,500,2821;
@400000005e65f69134e36587 #d,-,18,2775,2356,1183,3,0,194672,12069,2777,2360,1183,2775,2356,1181,99,100,0,500,2796;
@400000005e65f69334f3e06c #d,-,18,2773,2357,1185,3,0,199151,12347,2775,2358,1185,2773,2356,1183,99,100,0,500,2797;
@400000005e65f69334fdee99 #d,-,18,2772,2357,1184,4,0,195760,12137,2773,2357,1186,2772,2354,1184,99,100,0,500,2796;
@400000005e65f695350db204 #d,-,18,2771,2353,1202,5,0,196423,12178,2772,2357,1215,2771,2349,1184,99,100,0,500,2797;
@400000005e65f69535189b0e #d,-,18,2773,2354,1184,6,0,196568,12187,2773,2356,1202,2771,2353,1177,98,100,0,500,2822;
@400000005e65f69735288950 #d,-,18,2772,2355,1184,6,0,196717,12196,2773,2355,1186,2772,2353,1183,99,100,0,500,2796;
@400000005e65f6973532e1ff #d,-,18,2770,2355,1184,7,0,196847,12204,2772,2355,1186,2770,2353,1184,99,100,0,500,2796;
@400000005e65f6993542b80b #d,-,18,2769,2354,1184,8,0,196954,12211,2770,2355,1186,2769,2353,1183,99,100,0,500,2796;
@400000005e65f699354cf5b7 #d,-,18,2769,2353,1212,9,0,198851,12328,2769,2355,1215,2769,2352,1184,99,100,0,500,2796;
@400000005e65f69b355d44d6 #d,-,18,2771,2354,1185,9,0,198773,12323,2771,2354,1212,2769,2352,1177,98,100,0,500,2822;
@400000005e65f69b35677ec8 #d,-,18,2770,2353,1184,10,0,197314,12233,2771,2354,1185,2770,2352,1183,99,100,0,500,2796;
@400000005e65f69d35764b67 #d,-,18,2769,2352,1185,11,0,197355,12236,2770,2354,1188,2769,2352,1183,99,100,0,500,2794;
@400000005e65f69d35811d28 #d,-,18,2768,2352,1185,12,0,197398,12238,2769,2354,1188,2768,2352,1184,98,100,0,500,2796;
@400000005e65f69f35913642 #d,-,18,2767,2351,1217,13,0,197536,12247,2768,2353,1218,2767,2351,1185,98,100,0,500,2796;
@400000005e65f69f359bb520 #d,-,18,2770,2353,1186,13,0,198661,12317,2770,2353,1217,2767,2351,1178,98,100,0,500,2822;
@400000005e65f6a135abaf7e #d,-,18,2769,2351,1185,14,0,198618,12314,2770,2353,1186,2769,2350,1184,99,100,0,500,2796;
@400000005e65f6a135b6135a #d,-,18,2768,2352,1185,15,0,198589,12312,2769,2353,1187,2768,2351,1184,99,100,0,500,2794;
@400000005e65f6a335c4dc3f #d,-,18,2767,2354,1184,16,0,197622,12252,2768,2354,1186,2767,2352,1184,98,100,0,500,2796;
@400000005e65f6a335cfc9f0 #d,-,18,2766,2353,1216,16,0,197699,12257,2767,2354,1216,2766,2351,1184,98,100,0,500,2794;
@400000005e65f6a535df42da #d,-,18,2769,2352,1187,17,0,197728,12259,2769,2353,1217,2766,2351,1177,98,100,0,500,2822;
@400000005e65f6a535e9bdfe #d,-,18,2768,2351,1184,18,0,197728,12259,2769,2353,1187,2768,2350,1183,99,100,0,500,2790;
