@400000005e6744412738312f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6744421582c699 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6744421b855d44 #f,-,48,93,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e6744441b97e38f #d,-,18,2751,2340,1184,1,0,188340,11677,2751,2341,1185,2748,2340,1183,97,100,0,500,2810;
@400000005e6744461ba43f43 #d,-,18,2751,2342,1184,1,0,191614,11880,2751,2342,1186,2751,2340,1182,99,100,0,500,2776;
@400000005e6744461bae5218 #d,-,18,2750,2342,1184,2,0,193040,11968,2751,2343,1185,2750,2342,1182,98,100,0,500,2780;
@400000005e6744481bb8c121 #d,-,18,2749,2341,1183,3,0,193845,12018,2750,2343,1185,2749,2341,1180,98,100,0,500,2778;
@400000005e6744481bc3494f #d,-,18,2749,2342,1208,4,0,194537,12061,2749,2343,1208,2749,2341,1182,98,100,0,500,2780;
@400000005e67444a1bd2bd91 #d,-,18,2752,2341,1184,4,0,195068,12094,2752,2342,1214,2749,2340,1179,97,100,0,500,2810;
@400000005e67444a1bdcc804 #d,-,18,2751,2342,1184,5,0,195289,12107,2752,2342,1184,2751,2340,1182,99,100,0,500,2776;
@400000005e67444c1be93835 #d,-,18,2751,2341,1182,6,0,197771,12261,2751,2342,1186,2751,2341,1181,99,100,0,500,2778;
@400000005e67444c1bf3fddb #d,-,18,2750,2339,1185,7,0,195592,12126,2751,2341,1185,2750,2338,1182,98,100,0,500,2778;
@400000005e67444e1c018dd3 #d,-,18,2749,2339,1200,7,0,195752,12136,2750,2339,1200,2749,2338,1182,98,100,0,500,2778;
@400000005e67444e1c0bc31e #d,-,18,2752,2341,1186,8,0,197682,12256,2752,2342,1215,2749,2338,1178,98,100,0,500,2808;
@400000005e6744501c1627e8 #d,-,18,2751,2341,1183,9,0,197616,12252,2752,2341,1186,2751,2341,1182,99,100,0,500,2778;
@400000005e6744501c210c49 #d,-,18,2750,2340,1184,10,0,196091,12157,2751,2341,1185,2750,2339,1182,99,100,0,500,2776;
@400000005e6744521c2c1143 #d,-,18,2750,2341,1182,10,0,196136,12160,2750,2342,1185,2750,2339,1182,98,100,0,500,2780;
@400000005e6744521c3636b8 #d,-,18,2749,2341,1187,11,0,196175,12162,2750,2341,1187,2749,2340,1182,99,100,0,500,2776;
@400000005e6744541c43329c #d,-,18,2752,2340,1181,12,0,196333,12172,2752,2341,1216,2749,2340,1176,98,100,0,500,2806;
@400000005e6744541c4e0cbf #d,-,18,2750,2340,1184,13,0,196350,12173,2752,2341,1184,2750,2340,1181,99,100,0,500,2776;
@400000005e6744561c5e5823 #d,-,18,2750,2342,1182,13,0,196371,12175,2750,2343,1185,2750,2340,1181,98,100,0,500,2778;
@400000005e6744561c68d436 #d,-,18,2749,2341,1183,14,0,196379,12175,2750,2343,1184,2749,2341,1180,98,100,0,500,2778;
@400000005e6744581c792f70 #d,-,18,2748,2340,1185,15,0,196397,12176,2749,2342,1186,2748,2339,1180,99,100,0,500,2774;
@400000005e6744581c834d72 #d,-,18,2751,2341,1179,16,0,196504,12183,2751,2342,1216,2748,2340,1177,98,100,0,500,2803;
