@400000005e6894bd07784731 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6894bd316e11a9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6894bd37733ca3 #f,-,48,209,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e6894bf37843453 #d,-,18,2777,2348,1190,1,0,198216,12289,2779,2349,1222,2776,2347,1187,99,100,0,500,2796;
@400000005e6894c13795dfc2 #d,-,18,2776,2349,1190,1,0,198313,12295,2777,2349,1192,2776,2347,1189,99,100,0,501,2801;
@400000005e6894c137a0439e #d,-,18,2774,2347,1190,2,0,203807,12636,2776,2349,1191,2774,2347,1188,99,100,0,501,2799;
@400000005e6894c337a9d4ff #d,-,18,2774,2347,1199,3,0,198383,12299,2774,2349,1199,2774,2347,1189,99,100,0,501,2801;
@400000005e6894c337b3ef47 #d,-,18,2777,2348,1192,4,0,198685,12318,2777,2349,1221,2774,2347,1183,98,100,0,501,2828;
@400000005e6894c537bc53d7 #d,-,18,2775,2346,1191,5,0,198654,12316,2777,2349,1193,2775,2346,1189,99,100,0,501,2797;
@400000005e6894c537c22418 #d,-,18,2774,2346,1190,5,0,201216,12475,2775,2348,1191,2774,2345,1188,99,100,0,500,2799;
@400000005e6894c737d01220 #d,-,18,2773,2346,1190,6,0,198576,12311,2774,2348,1192,2773,2345,1190,99,100,0,500,2799;
@400000005e6894c737da5386 #d,-,18,2772,2348,1189,7,0,198532,12309,2773,2348,1191,2772,2345,1189,99,100,0,500,2797;
@400000005e6894c937ea493d #d,-,18,2775,2347,1187,8,0,198689,12318,2775,2348,1222,2772,2345,1182,98,100,0,500,2824;
@400000005e6894c937f4576a #d,-,18,2773,2346,1189,8,0,198662,12317,2775,2348,1192,2773,2345,1187,99,100,0,500,2801;
@400000005e6894cb3803e3e3 #d,-,18,2772,2346,1191,9,0,198630,12315,2773,2348,1191,2772,2345,1189,99,100,0,500,2797;
@400000005e6894cb380ec932 #d,-,18,2771,2349,1188,10,0,198595,12312,2772,2349,1191,2771,2346,1187,99,100,0,500,2797;
@400000005e6894cd381c751b #d,-,18,2770,2349,1188,11,0,198565,12311,2771,2349,1189,2770,2347,1188,99,100,0,500,2796;
@400000005e6894cd3826e512 #d,-,18,2773,2346,1182,12,0,199944,12396,2773,2349,1221,2770,2346,1181,98,100,0,500,2815;
@400000005e6894cf38375021 #d,-,18,2772,2347,1189,12,0,198639,12315,2773,2348,1192,2772,2345,1182,98,100,0,500,2806;
@400000005e6894cf3841697b #d,-,18,2771,2349,1188,13,0,198618,12314,2772,2349,1191,2771,2346,1188,99,100,0,500,2797;
@400000005e6894d13849e553 #d,-,18,2770,2348,1189,14,0,198587,12312,2771,2349,1190,2770,2347,1187,99,100,0,500,2796;
@400000005e6894d138544575 #d,-,18,2769,2347,1187,15,0,198565,12311,2770,2349,1191,2769,2347,1187,98,100,0,500,2797;
@400000005e6894d338649de4 #d,-,18,2770,2346,1184,15,0,199593,12374,2770,2348,1218,2769,2346,1184,98,100,0,500,2805;
@400000005e6894d3386ea769 #d,-,18,2771,2347,1187,16,0,198602,12313,2771,2349,1192,2770,2346,1182,98,100,0,500,2812;
@400000005e6894d538785012 #d,-,18,2769,2347,1191,17,0,198577,12311,2771,2349,1191,2769,2346,1186,99,100,0,500,2794;
@400000005e6894d5388321d3 #d,-,18,2769,2349,1180,18,0,198541,12309,2769,2349,1191,2769,2347,1180,98,100,0,500,2797;
@400000005e6894d7388be82d #d,-,18,2766,2349,1187,18,0,199288,12355,2769,2349,1188,2766,2347,1177,99,100,0,500,2781;
