@400000005e1438d60676c0ba #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e1438d630659df6 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1438d636759ab1 #f,-,48,32,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e1438d8368b707d #d,-,18,2500,2375,1151,0,0,171737,10647,2500,2376,1151,2499,2375,1148,90,100,0,500,2775;
@400000005e1438da369ce9a1 #d,-,18,2500,2376,1145,1,0,174851,10840,2500,2376,1152,2500,2375,1145,90,100,0,500,2770;
@400000005e1438da36a62465 #d,-,18,2498,2377,1031,2,0,174358,10810,2500,2377,1146,2498,2376,1031,90,100,0,500,2765;
@400000005e1438dc36b39a4a #d,-,18,2308,2376,1121,2,0,173305,10744,2498,2378,1154,2308,2376,1029,88,100,0,500,2616;
@400000005e1438dc36bc3124 #d,-,18,2463,2375,1138,3,0,173946,10784,2463,2376,1139,2308,2375,1121,90,100,0,500,2725;
@400000005e1438de36c973d0 #d,-,18,2463,2375,1136,4,0,174387,10812,2463,2375,1140,2463,2374,1130,89,100,0,500,2742;
@400000005e1438de36d20e64 #d,-,18,2463,2379,1136,4,0,174786,10836,2463,2379,1141,2463,2375,1131,89,100,0,500,2742;
@400000005e1438e036df4d56 #d,-,18,2464,2378,1132,5,0,175039,10852,2464,2379,1139,2463,2377,1129,89,100,0,500,2749;
@400000005e1438e036e7dcbd #d,-,18,2463,2378,1125,6,0,175131,10858,2464,2379,1137,2463,2378,1125,89,100,0,500,2739;
@400000005e1438e236f4adca #d,-,18,2461,2378,1128,6,0,175206,10862,2463,2378,1130,2461,2377,1124,90,100,0,500,2725;
@400000005e1438e236fde5c2 #d,-,18,2460,2379,1127,7,0,175254,10865,2461,2379,1130,2460,2378,1123,90,100,0,500,2727;
@400000005e1438e4370d142b #d,-,18,2459,2378,1130,8,0,175284,10867,2460,2379,1132,2459,2378,1125,90,100,0,500,2725;
@400000005e1438e43716acff #d,-,18,2457,2376,1149,8,0,175362,10872,2459,2380,1149,2457,2376,1124,90,100,0,500,2725;
@400000005e1438e637279121 #d,-,18,3306,2372,2073,10,0,185270,11486,3306,2376,2344,2457,2371,1149,94,100,0,500,3488;
@400000005e1438e6373272b7 #d,-,18,4625,2373,1993,11,0,195114,12097,4625,2374,2098,3306,2372,1987,95,100,0,500,4832;
@400000005e1438e837428f8b #d,-,18,4629,2371,1917,12,0,203012,12586,4629,2374,2059,4625,2371,1889,95,100,0,500,4841;
@400000005e1438e8374c6f27 #d,-,18,4365,2373,1887,13,0,210644,13059,4629,2373,1958,4365,2371,1808,96,100,0,500,4540;
@400000005e1438ea375d6a91 #d,-,18,4435,2375,1910,15,0,216489,13422,4435,2375,1920,4365,2373,1881,97,100,0,500,4569;
@400000005e1438ea37685ec7 #d,-,18,4432,2374,1908,16,0,221735,13747,4435,2375,1915,4432,2374,1901,96,100,0,500,4574;
@400000005e1438ec3779c816 #d,-,18,4432,2370,1914,17,0,226486,14042,4432,2374,1918,4432,2369,1905,96,100,0,500,4578;
@400000005e1438ec378457b7 #d,-,18,4431,2373,1906,18,0,230778,14308,4432,2373,1915,4431,2370,1904,96,100,0,500,4581;
@400000005e1438ee3794d1ad #d,-,18,4430,2374,1914,20,0,233656,14486,4431,2374,1918,4430,2373,1906,96,100,0,500,4576;
@400000005e1438ee379f41a4 #d,-,18,4430,2372,1918,21,0,237305,14712,4430,2374,1920,4430,2371,1910,96,100,0,500,4585;
@400000005e1438f037b1d051 #d,-,18,4432,2372,1917,22,0,240667,14921,4432,2372,1923,4430,2371,1913,96,100,0,500,4595;
@400000005e1438f037bd64b7 #d,-,18,4433,2373,1919,23,0,243769,15113,4433,2373,1923,4432,2371,1913,96,100,0,500,4597;
@400000005e1438f237cdbc38 #d,-,18,4436,2373,1923,24,0,246670,15293,4436,2373,1928,4433,2372,1919,96,100,0,500,4602;
@400000005e1438f237d79f8d #d,-,18,4439,2371,1919,26,0,249342,15459,4439,2373,1925,4436,2371,1916,96,100,0,500,4609;
@400000005e1438f437e7d852 #d,-,18,4440,2372,1925,27,0,251832,15613,4440,2372,1927,4439,2371,1917,96,100,0,500,4604;
@400000005e1438f437f2b8f9 #d,-,18,4443,2373,1933,28,0,254206,15760,4443,2373,1934,4440,2371,1925,96,100,0,500,4616;
@400000005e1438f6380278ab #d,-,18,4446,2372,1925,29,0,256396,15896,4446,2373,1933,4443,2371,1924,96,100,0,500,4623;
@400000005e1438f6380c01ab #d,-,18,4448,2374,1925,31,0,258446,16023,4448,2375,1928,4446,2371,1922,96,100,0,500,4619;
@400000005e1438f838196401 #d,-,18,4449,2379,1218,32,0,258014,15996,4449,2380,1929,4448,2374,930,96,100,0,500,4616;
@400000005e1438f8382221f8 #d,-,18,2511,2378,1145,32,0,255749,15856,4449,2380,1282,2511,2378,1105,84,100,0,500,2986;
@400000005e1438fa382ecbe7 #d,-,18,2514,2378,1158,33,0,253595,15722,2514,2379,1176,2511,2377,1145,89,100,0,500,2803;
@400000005e1438fa38379e5c #d,-,18,2515,2380,1146,34,0,252235,15638,2515,2380,1173,2514,2378,1142,89,100,0,500,2798;
@400000005e1438fc3844d4ed #d,-,18,2513,2378,1147,34,0,249536,15471,2515,2380,1152,2513,2377,1140,90,100,0,500,2775;
@400000005e1438fc384dc176 #d,-,18,2510,2377,1144,35,0,247648,15354,2513,2378,1149,2510,2377,1140,90,100,0,500,2765;
@400000005e1438fe385ba098 #d,-,18,2509,2379,1142,36,0,245851,15242,2510,2379,1148,2509,2376,1138,90,100,0,500,2770;
@400000005e1438fe38643fd4 #d,-,18,2505,2377,1135,36,0,244116,15135,2509,2379,1142,2505,2377,1131,90,100,0,500,2756;
@400000005e14390038714f46 #d,-,18,2502,2378,1134,37,0,242470,15033,2505,2378,1142,2502,2376,1134,90,100,0,500,2753;
@400000005e143900387a6b4e #d,-,18,2496,2378,1133,38,0,240879,14934,2502,2379,1139,2496,2378,1127,91,100,0,500,2742;
@400000005e14390238881f99 #d,-,18,2493,2376,1132,39,0,239371,14841,2496,2378,1138,2493,2375,1129,90,100,0,500,2742;
@400000005e1439023890aa58 #d,-,18,2489,2378,1133,39,0,237918,14750,2493,2378,1137,2489,2376,1127,90,100,0,500,2742;
@400000005e143904389d7038 #d,-,18,2484,2377,1125,40,0,236515,14663,2489,2378,1133,2484,2376,1124,90,100,0,500,2730;
@400000005e14390438a6713e #d,-,18,2480,2377,1125,41,0,235174,14580,2484,2378,1132,2480,2376,1122,90,100,0,500,2730;
@400000005e14390638b3fd7c #d,-,18,2475,2377,1126,41,0,234380,14531,2480,2377,1128,2475,2375,1120,90,100,0,500,2720;
@400000005e14390638bcb7bb #d,-,18,2470,2379,1126,42,0,233131,14454,2475,2379,1130,2470,2377,1122,90,100,0,500,2718;
@400000005e14390838cbeacb #d,-,18,2466,2376,1142,43,0,231455,14350,2470,2379,1142,2466,2376,1121,90,100,0,500,2720;
@400000005e14390838d55155 #d,-,18,3288,2374,2081,44,0,233667,14487,3288,2376,2407,2466,2371,1142,93,100,0,500,3505;
@400000005e14390a38e72f0f #d,-,18,4619,2375,1981,45,0,235245,14585,4619,2375,2108,3288,2374,1981,94,100,0,500,4872;
@400000005e14390a38f279e2 #d,-,18,4675,2373,1919,46,0,236998,14693,4675,2375,2068,4619,2373,1878,96,100,0,500,4860;
@400000005e14390c3902e8ab #d,-,18,4361,2373,1884,48,0,238471,14785,4675,2374,1953,4361,2372,1802,96,100,0,500,4540;
@400000005e14390c390b4d3a #d,-,18,4431,2375,1906,49,0,239947,14876,4431,2375,1917,4361,2373,1880,97,100,0,500,4567;
@400000005e14390e391a77e9 #d,-,18,4428,2372,1901,50,0,241367,14964,4431,2375,1911,4428,2372,1898,97,100,0,500,4564;
@400000005e14390e39248e78 #d,-,18,4427,2372,1918,51,0,242761,15051,4428,2373,1919,4427,2372,1901,96,100,0,500,4574;
@400000005e14391039362a12 #d,-,18,4427,2374,1907,53,0,244093,15133,4427,2374,1918,4427,2372,1903,96,100,0,500,4581;
@400000005e1439103941975b #d,-,18,4428,2374,1911,54,0,245387,15213,4428,2374,1916,4427,2373,1904,96,100,0,500,4581;
@400000005e1439123951c04a #d,-,18,4428,2371,1923,55,0,246648,15292,4428,2374,1923,4428,2370,1906,96,100,0,500,4583;
@400000005e143912395b6cad #d,-,18,4430,2372,1916,56,0,247874,15368,4430,2372,1923,4428,2370,1915,96,100,0,500,4595;
@400000005e143914396bcc8f #d,-,18,4432,2373,1919,57,0,249057,15441,4432,2374,1920,4430,2372,1913,96,100,0,500,4595;
@400000005e1439143975c72d #d,-,18,4434,2372,1920,59,0,250220,15513,4434,2374,1927,4432,2372,1919,96,100,0,500,4604;
@400000005e1439163987b4bc #d,-,18,4437,2374,1922,60,0,251342,15583,4437,2374,1925,4434,2371,1918,96,100,0,500,4612;
@400000005e1439163992c129 #d,-,18,4439,2372,1919,61,0,252425,15650,4439,2375,1925,4437,2371,1914,96,100,0,500,4604;
@400000005e14391839a19270 #d,-,18,4442,2374,1933,62,0,253495,15716,4442,2374,1935,4439,2372,1919,96,100,0,500,4614;
@400000005e14391839aaf098 #d,-,18,4446,2375,1925,64,0,254535,15781,4446,2375,1935,4442,2374,1921,96,100,0,500,4626;
@400000005e14391a39ba883e #d,-,18,4449,2372,1921,65,0,255535,15843,4449,2375,1931,4446,2372,1917,96,100,0,500,4621;
@400000005e14391a39c3a446 #d,-,18,4450,2378,1188,66,0,255387,15834,4450,2379,1928,4449,2372,907,96,100,0,500,4614;
@400000005e14391c39d2e72c #d,-,18,2539,2378,1148,67,0,254343,15769,4450,2378,1306,2539,2377,1095,83,100,0,500,3024;
@400000005e14391c39dcd968 #d,-,18,2539,2376,1155,67,0,253291,15704,2539,2378,1162,2539,2376,1148,90,100,0,500,2801;
@400000005e14391e39ec56fb #d,-,18,2536,2378,1151,68,0,252253,15639,2539,2378,1155,2536,2376,1149,90,100,0,500,2787;
@400000005e14391e39f5d025 #d,-,18,2532,2377,1145,69,0,251237,15576,2536,2379,1153,2532,2377,1144,91,100,0,500,2782;
@400000005e1439203a058c1d #d,-,18,2529,2377,1150,69,0,250244,15515,2532,2378,1151,2529,2377,1144,91,100,0,500,2772;
@400000005e1439203a0ee2d2 #d,-,18,2525,2379,1143,70,0,249274,15455,2529,2379,1151,2525,2377,1143,90,100,0,500,2775;
@400000005e1439223a1e4385 #d,-,18,2520,2377,1141,71,0,248319,15395,2525,2379,1146,2520,2377,1137,91,100,0,500,2768;
@400000005e1439223a284685 #d,-,18,2515,2376,1134,71,0,247698,15357,2520,2378,1141,2515,2376,1130,91,100,0,500,2753;
@400000005e1439243a38018f #d,-,18,2459,2378,1132,72,0,246767,15299,2515,2378,1136,2459,2376,1129,89,100,0,500,2739;
@400000005e1439243a417ba7 #d,-,18,2459,2376,1135,73,0,245861,15243,2459,2378,1138,2459,2375,1130,89,100,0,500,2737;
@400000005e1439263a516da4 #d,-,18,2459,2378,1124,73,0,244966,15187,2459,2378,1137,2459,2375,1124,89,100,0,500,2737;
@400000005e1439263a5ad42d #d,-,18,2457,2379,1132,74,0,243784,15114,2459,2380,1132,2457,2378,1123,90,100,0,500,2725;
@400000005e1439283a69f2c1 #d,-,18,2456,2377,1129,75,0,242941,15062,2457,2379,1134,2456,2376,1127,89,100,0,500,2730;
@400000005e1439283a73fd34 #d,-,18,2456,2379,1129,75,0,242116,15011,2456,2379,1132,2456,2376,1126,89,100,0,500,2730;
@400000005e14392a3a828b6d #d,-,18,2455,2376,1124,76,0,241306,14960,2456,2379,1129,2455,2376,1123,90,100,0,500,2727;
@400000005e14392a3a8bcad9 #d,-,18,2452,2377,1145,77,0,240515,14911,2455,2378,1145,2452,2375,1119,90,100,0,500,2718;
@400000005e14392c3a9ba947 #d,-,18,3300,2372,2039,78,0,241425,14968,3300,2377,2217,2452,2372,1145,95,100,0,500,3443;
@400000005e14392c3aa6405b #d,-,18,4593,2374,1966,79,0,242514,15035,4593,2374,2056,3300,2371,1966,95,100,0,500,4787;
@400000005e14392e3ab42e64 #d,-,18,4594,2374,1890,81,0,243449,15093,4594,2374,2010,4593,2373,1890,96,100,0,500,4768;
