@400000005e158b5a0d504f3f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e158b5a373e9c20 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e158b5b01b1b39e #f,-,48,24,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e158b5d01c402f7 #d,-,18,2506,2340,1159,0,0,179557,11132,2506,2342,1168,2505,2340,1153,90,100,0,501,2761;
@400000005e158b5f01d210aa #d,-,18,2504,2340,1159,1,0,186330,11552,2506,2343,1164,2504,2340,1157,90,100,0,501,2753;
@400000005e158b5f01db43fb #d,-,18,2503,2340,1155,2,0,179214,11111,2504,2343,1161,2503,2340,1149,90,100,0,501,2753;
@400000005e158b6101e82123 #d,-,18,2501,2342,1157,3,0,179060,11101,2503,2342,1158,2501,2340,1153,91,100,0,501,2746;
@400000005e158b6101f0c7d2 #d,-,18,2498,2341,1147,3,0,178734,11081,2501,2342,1157,2498,2340,1144,91,100,0,501,2742;
@400000005e158b6301fe11f1 #d,-,18,2495,2342,1156,4,0,181296,11240,2498,2342,1156,2495,2339,1147,91,100,0,501,2732;
@400000005e158b630206cc2f #d,-,18,2492,2341,1146,5,0,180814,11210,2495,2342,1160,2492,2338,1146,91,100,0,501,2737;
@400000005e158b650214648a #d,-,18,2490,2340,1144,5,0,178254,11051,2492,2341,1154,2490,2339,1141,91,100,0,501,2734;
@400000005e158b65021cdca8 #d,-,18,2485,2339,1143,6,0,178026,11037,2490,2342,1148,2485,2339,1138,91,100,0,501,2713;
@400000005e158b67022c2701 #d,-,18,2482,2339,1150,7,0,177909,11030,2485,2340,1151,2482,2338,1143,91,100,0,501,2723;
@400000005e158b670236d918 #d,-,18,2480,2340,1157,7,0,177787,11022,2482,2341,1157,2480,2338,1139,91,100,0,501,2723;
@400000005e158b690245bdee #d,-,18,2970,2338,1801,8,0,186024,11533,2970,2340,2082,2480,2335,1157,94,100,0,501,3130;
@400000005e158b69024f56c2 #d,-,18,4373,2334,2008,10,0,196016,12153,4373,2338,2050,2970,2334,1801,99,100,0,501,4415;
@400000005e158b6b025e4f26 #d,-,18,4475,2335,1894,11,0,204415,12673,4475,2337,2063,4373,2334,1876,96,100,0,501,4645;
@400000005e158b6b02684d7e #d,-,18,4470,2337,1975,12,0,211670,13123,4475,2337,2006,4470,2334,1859,97,100,0,501,4569;
