@400000005e182e043919ace2 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e182e052769d06d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e182e052d780026 #f,-,48,71,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e182e072d8cd3f9 #d,-,18,2572,2360,1158,0,0,182413,11309,2580,2360,1185,2572,2359,1152,91,100,0,500,2798;
@400000005e182e092d9d17ea #d,-,18,2566,2361,1156,1,0,181737,11267,2572,2361,1162,2566,2358,1155,92,100,0,500,2784;
@400000005e182e092da68d5b #d,-,18,2560,2358,1157,2,0,181332,11242,2566,2361,1162,2560,2358,1153,92,100,0,500,2779;
@400000005e182e0b2db4b6fe #d,-,18,2505,2360,1151,2,0,185156,11479,2560,2360,1157,2505,2358,1147,90,100,0,500,2770;
@400000005e182e0b2dbdd6c0 #d,-,18,2505,2358,1168,3,0,180839,11212,2505,2360,1168,2505,2357,1151,90,100,0,500,2765;
@400000005e182e0d2dcb8a1c #d,-,18,2505,2361,1148,4,0,180562,11194,2505,2361,1168,2505,2358,1148,90,100,0,500,2770;
@400000005e182e0d2dd5140a #d,-,18,2503,2360,1145,4,0,180282,11177,2505,2361,1152,2503,2359,1144,90,100,0,500,2758;
@400000005e182e0f2de41ffd #d,-,18,2500,2360,1145,5,0,179966,11157,2503,2361,1146,2500,2360,1137,91,100,0,500,2746;
@400000005e182e0f2ded4ea5 #d,-,18,2497,2358,1143,6,0,179733,11143,2500,2360,1148,2497,2358,1141,91,100,0,500,2742;
@400000005e182e112dfbe8fa #d,-,18,2495,2360,1148,7,0,179586,11134,2497,2361,1151,2495,2358,1143,90,100,0,500,2746;
@400000005e182e112e055f58 #d,-,18,2493,2360,1140,7,0,179402,11122,2495,2361,1149,2493,2360,1138,90,100,0,500,2749;
@400000005e182e132e13e264 #d,-,18,2490,2360,1140,8,0,179189,11109,2493,2361,1144,2490,2359,1136,90,100,0,500,2739;
@400000005e182e132e1d0d53 #d,-,18,2486,2359,1138,9,0,178966,11095,2490,2360,1141,2486,2359,1133,91,100,0,500,2727;
@400000005e182e152e2c0d2b #d,-,18,2483,2363,1136,9,0,178803,11085,2486,2363,1143,2483,2359,1136,90,100,0,500,2730;
@400000005e182e152e3563df #d,-,18,2480,2362,1140,10,0,178671,11077,2483,2363,1142,2480,2362,1134,90,100,0,500,2734;
@400000005e182e172e448f7d #d,-,18,2478,2362,1132,11,0,178528,11068,2480,2362,1141,2478,2361,1132,90,100,0,500,2730;
@400000005e182e172e4e0133 #d,-,18,2474,2361,1134,11,0,178353,11057,2478,2362,1136,2474,2360,1127,90,100,0,500,2725;
@400000005e182e192e5cd9ee #d,-,18,2471,2361,1133,12,0,179178,11109,2474,2362,1136,2471,2361,1130,91,100,0,500,2715;
@400000005e182e192e661d13 #d,-,18,2468,2362,1131,13,0,179001,11098,2471,2363,1138,2468,2361,1129,90,100,0,500,2718;
@400000005e182e1b2e74bb21 #d,-,18,2465,2361,1133,13,0,178841,11088,2468,2363,1133,2465,2361,1130,90,100,0,500,2718;
@400000005e182e1b2e7e4067 #d,-,18,2463,2361,1128,14,0,178677,11077,2465,2363,1134,2463,2361,1128,90,100,0,500,2715;
@400000005e182e1d2e8cc72c #d,-,18,2461,2362,1130,15,0,177710,11018,2463,2362,1130,2461,2360,1125,90,100,0,500,2713;
@400000005e182e1d2e960a52 #d,-,18,2458,2362,1131,15,0,177596,11010,2461,2363,1131,2458,2362,1128,90,100,0,500,2711;
@400000005e182e1f2ea4725b #d,-,18,2455,2361,1133,16,0,177503,11005,2458,2363,1134,2455,2361,1128,90,100,0,500,2713;
@400000005e182e1f2eae45dc #d,-,18,2454,2364,1129,17,0,177412,10999,2455,2364,1133,2454,2361,1128,90,100,0,500,2715;
@400000005e182e212ebc33e4 #d,-,18,2452,2364,1125,17,0,177322,10994,2454,2365,1131,2452,2364,1125,90,100,0,500,2713;
@400000005e182e212ec4f684 #d,-,18,2507,2360,1922,18,0,180113,11167,2507,2364,2076,2452,2359,1125,91,100,0,500,2734;
@400000005e182e232ed38c31 #d,-,18,4503,2360,2026,20,0,185476,11499,4503,2361,2177,2507,2359,1787,100,100,0,500,4503;
@400000005e182e232edcbf81 #d,-,18,4617,2359,1937,21,0,190229,11794,4617,2361,2099,4503,2358,1845,96,100,0,500,4792;
@400000005e182e252eeab232 #d,-,18,4425,2360,1899,22,0,194400,12052,4617,2360,1950,4425,2358,1881,96,100,0,500,4602;
@400000005e182e252ef3fccb #d,-,18,4423,2361,1902,23,0,198329,12296,4425,2361,1932,4423,2360,1899,96,100,0,500,4569;
@400000005e182e272f024d8c #d,-,18,4423,2360,1904,25,0,202015,12524,4423,2362,1931,4423,2359,1902,96,100,0,500,4576;
@400000005e182e272f0bc6b6 #d,-,18,4423,2360,1911,26,0,205467,12738,4423,2360,1935,4423,2359,1900,96,100,0,500,4567;
@400000005e182e292f19c93c #d,-,18,4422,2361,1913,27,0,208731,12941,4423,2362,1930,4422,2360,1904,96,100,0,500,4569;
@400000005e182e292f228aee #d,-,18,4422,2359,1908,28,0,212406,13169,4422,2362,1922,4422,2359,1908,96,100,0,500,4571;
@400000005e182e2b2f2fed43 #d,-,18,4422,2357,1909,30,0,215308,13349,4422,2360,1925,4422,2356,1908,96,100,0,500,4571;
@400000005e182e2b2f38de74 #d,-,18,4421,2356,1912,31,0,217483,13484,4422,2358,1931,4421,2356,1909,96,100,0,500,4571;
@400000005e182e2d2f465724 #d,-,18,4423,2359,1912,32,0,220692,13682,4423,2359,1936,4421,2356,1912,96,100,0,500,4583;
@400000005e182e2d2f4f151c #d,-,18,4424,2358,1918,33,0,222620,13802,4424,2359,1936,4423,2358,1912,96,100,0,500,4578;
@400000005e182e2f2f5d1f16 #d,-,18,4425,2357,1914,34,0,225000,13950,4425,2359,1938,4424,2357,1914,96,100,0,500,4588;
@400000005e182e2f2f661c62 #d,-,18,4427,2358,1922,36,0,227286,14091,4427,2358,1938,4425,2357,1914,96,100,0,500,4588;
@400000005e182e312f73f322 #d,-,18,4430,2357,1925,37,0,229473,14227,4430,2358,1943,4427,2357,1922,96,100,0,500,4602;
@400000005e182e312f7d2a2c #d,-,18,4433,2356,1927,38,0,231574,14357,4433,2358,1944,4430,2356,1924,96,100,0,500,4602;
@400000005e182e332f8aaef8 #d,-,18,4437,2357,1927,39,0,233579,14481,4437,2357,1945,4433,2355,1926,96,100,0,500,4612;
@400000005e182e332f93790b #d,-,18,4440,2356,1924,41,0,235493,14600,4440,2357,1948,4437,2356,1924,96,100,0,500,4607;
@400000005e182e352fa0db61 #d,-,18,4443,2354,1929,42,0,237331,14714,4443,2356,1947,4440,2354,1923,96,100,0,500,4609;
@400000005e182e352fa9959f #d,-,18,4445,2354,1934,43,0,239098,14824,4445,2355,1953,4443,2354,1928,96,100,0,500,4612;
@400000005e182e372fb6c4bc #d,-,18,4449,2352,1934,44,0,241307,14961,4449,2355,1957,4445,2352,1934,96,100,0,500,4626;
@400000005e182e372fc00f55 #d,-,18,4452,2353,1934,46,0,242931,15061,4452,2354,1954,4449,2352,1933,96,100,0,500,4626;
@400000005e182e392fcd9c82 #d,-,18,4454,2352,1936,47,0,244010,15128,4454,2354,1953,4452,2351,1934,96,100,0,500,4621;
@400000005e182e392fd656c1 #d,-,18,4457,2354,1935,48,0,245991,15251,4457,2354,1954,4454,2352,1934,96,100,0,500,4623;
@400000005e182e3b2fe3db8c #d,-,18,4459,2353,1936,49,0,246959,15311,4459,2355,1953,4457,2353,1935,96,100,0,500,4621;
@400000005e182e3b2fed02c1 #d,-,18,4460,2353,1938,51,0,248347,15397,4460,2354,1949,4459,2352,1936,96,100,0,500,4619;
@400000005e182e3d2ffae1e3 #d,-,18,4461,2355,1932,52,0,249686,15480,4461,2355,1951,4460,2353,1932,96,100,0,500,4619;
@400000005e182e3d3003fa32 #d,-,18,4462,2354,1933,53,0,250972,15560,4462,2355,1949,4461,2353,1931,96,100,0,500,4616;
@400000005e182e3f30116b6e #d,-,18,4463,2354,1940,54,0,252227,15638,4463,2354,1954,4462,2352,1933,96,100,0,500,4619;
@400000005e182e3f301a3582 #d,-,18,4465,2355,1941,56,0,253449,15713,4465,2355,1958,4463,2354,1940,96,100,0,500,4628;
@400000005e182e413027932f #d,-,18,4468,2352,1942,57,0,254626,15786,4468,2355,1953,4465,2352,1940,96,100,0,500,4635;
@400000005e182e413031098e #d,-,18,4470,2355,1939,58,0,255759,15857,4470,2355,1956,4468,2352,1937,96,100,0,500,4628;
@400000005e182e43303ef797 #d,-,18,4471,2353,1939,59,0,256856,15925,4471,2355,1952,4470,2353,1937,96,100,0,500,4628;
@400000005e182e43304898cd #d,-,18,4472,2355,1939,61,0,258339,16017,4472,2355,1955,4471,2353,1938,96,100,0,500,4626;
@400000005e182e4530564fe3 #d,-,18,4470,2355,1914,62,0,259357,16080,4472,2355,2016,4470,2354,1874,96,100,0,500,4616;
@400000005e182e45305f2258 #d,-,18,4475,2356,1906,63,0,260339,16141,4475,2356,1961,4470,2354,1906,96,100,0,500,4645;
@400000005e182e47306c8fdb #d,-,18,4477,2356,1940,64,0,261335,16202,4477,2357,1991,4475,2355,1906,96,100,0,500,4642;
@400000005e182e473075c32c #d,-,18,4480,2358,1941,66,0,262280,16261,4480,2358,1960,4477,2356,1935,96,100,0,500,4640;
