@400000005e1d72ee29f3881e #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e1d72ef18439bd4 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d72ef1e512f17 #f,-,48,231,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e1d72f11e635752 #d,-,18,2437,2342,1129,1,0,181725,11266,2438,2343,1137,2437,2341,1128,90,100,0,500,2697;
@400000005e1d72f31e71a813 #d,-,18,2437,2343,1135,1,0,179354,11119,2437,2343,1137,2437,2341,1129,90,100,0,500,2699;
@400000005e1d72f31e7a3b34 #d,-,18,2436,2342,1130,2,0,173788,10774,2437,2343,1138,2436,2342,1128,90,100,0,500,2694;
@400000005e1d72f51e874333 #d,-,18,2435,2341,1130,3,0,173837,10777,2436,2343,1137,2435,2341,1126,90,100,0,500,2697;
@400000005e1d72f51e903f91 #d,-,18,2434,2340,1131,3,0,173916,10782,2435,2342,1138,2434,2340,1127,90,100,0,500,2689;
@400000005e1d72f71e9e2626 #d,-,18,2433,2340,1130,4,0,173933,10783,2434,2341,1135,2433,2340,1128,90,100,0,500,2692;
@400000005e1d72f71ea69a8b #d,-,18,2432,2341,1132,5,0,173946,10784,2433,2341,1135,2432,2339,1128,90,100,0,500,2692;
@400000005e1d72f91eb3d11b #d,-,18,2431,2344,1136,5,0,173972,10786,2432,2344,1136,2431,2341,1127,90,100,0,500,2694;
@400000005e1d72f91ebc9002 #d,-,18,2431,2344,1127,6,0,173992,10787,2431,2344,1137,2431,2343,1127,90,100,0,500,2692;
@400000005e1d72fb1ec9af4a #d,-,18,2430,2343,1133,7,0,174009,10788,2431,2344,1136,2430,2343,1125,90,100,0,500,2697;
@400000005e1d72fb1ed2a7ee #d,-,18,2430,2344,1129,7,0,174047,10790,2430,2344,1137,2430,2342,1128,90,100,0,500,2694;
@400000005e1d72fd1ee0192a #d,-,18,2431,2342,1138,8,0,174101,10794,2431,2344,1138,2430,2342,1129,90,100,0,500,2701;
@400000005e1d72fd1ee8ac4b #d,-,18,2431,2343,1128,9,0,174127,10795,2431,2343,1138,2431,2341,1126,90,100,0,500,2697;
@400000005e1d72ff1ef5008c #d,-,18,2431,2344,1135,9,0,174178,10799,2431,2344,1136,2431,2343,1128,90,100,0,500,2701;
@400000005e1d72ff1efe204d #d,-,18,2431,2344,1134,10,0,174205,10800,2431,2345,1138,2431,2343,1129,90,100,0,500,2697;
@400000005e1d73011f15042f #d,-,18,2432,2343,1135,11,0,174237,10802,2432,2344,1139,2431,2343,1130,90,100,0,500,2699;
@400000005e1d73011f24cf0e #d,-,18,2432,2344,1134,11,0,174266,10804,2432,2344,1139,2432,2343,1129,90,100,0,500,2701;
@400000005e1d73031f351b61 #d,-,18,2952,2339,1899,12,0,178159,11045,2952,2344,1899,2432,2339,1134,96,100,0,500,3052;
@400000005e1d73031f3e4650 #d,-,18,3717,2339,1865,14,0,184182,11419,3717,2340,1932,2952,2339,1773,93,100,0,500,3979;
@400000005e1d73051f4df62d #d,-,18,4308,2336,1911,15,0,190328,11800,4308,2340,1947,3717,2336,1865,96,100,0,500,4460;
@400000005e1d73051f5777b9 #d,-,18,4403,2336,1941,16,0,196243,12167,4403,2337,1968,4308,2335,1911,96,100,0,500,4548;
@400000005e1d73071f66b23d #d,-,18,4469,2337,1939,17,0,201516,12494,4469,2337,1989,4403,2336,1902,97,100,0,500,4600;
@400000005e1d73071f706702 #d,-,18,4399,2336,1926,19,0,206327,12792,4469,2337,1942,4399,2336,1922,96,100,0,500,4552;
@400000005e1d73091f7f0c83 #d,-,18,4402,2336,1937,20,0,210777,13068,4402,2336,1938,4399,2335,1926,96,100,0,500,4564;
@400000005e1d73091f88d02e #d,-,18,4404,2339,1933,21,0,214870,13322,4404,2339,1937,4402,2336,1926,96,100,0,500,4559;
@400000005e1d730b1f98517a #d,-,18,4406,2340,1937,22,0,218677,13558,4406,2340,1941,4404,2339,1929,96,100,0,500,4564;
@400000005e1d730b1fa2116c #d,-,18,4409,2338,1938,23,0,222218,13777,4409,2340,1938,4406,2338,1929,96,100,0,500,4569;
@400000005e1d730d1fb18e10 #d,-,18,4411,2338,1934,25,0,226294,14030,4411,2339,1941,4409,2337,1932,96,100,0,500,4571;
@400000005e1d730d1fbb2b8c #d,-,18,4414,2338,1940,26,0,229361,14220,4414,2339,1941,4411,2337,1930,96,100,0,500,4576;
@400000005e1d730f1fc9cd54 #d,-,18,4416,2338,1941,27,0,231503,14353,4416,2340,1945,4414,2338,1934,96,100,0,500,4574;
@400000005e1d730f1fd3a48e #d,-,18,4419,2336,1942,28,0,234976,14568,4419,2339,1946,4416,2336,1937,96,100,0,500,4588;
@400000005e1d73111fe2cb84 #d,-,18,4422,2337,1942,30,0,236814,14682,4422,2337,1946,4419,2336,1936,96,100,0,500,4583;
@400000005e1d73111fece986 #d,-,18,4425,2338,1940,31,0,239938,14876,4425,2339,1947,4422,2336,1937,96,100,0,500,4588;
@400000005e1d73131ffc2050 #d,-,18,4428,2339,1952,32,0,241541,14975,4428,2339,1952,4425,2338,1937,96,100,0,500,4590;
@400000005e1d73132005b924 #d,-,18,4432,2338,1944,33,0,243735,15111,4432,2339,1956,4428,2337,1944,96,100,0,500,4602;
@400000005e1d73152014f3a9 #d,-,18,4436,2338,1951,35,0,245804,15239,4436,2339,1951,4432,2338,1942,96,100,0,500,4604;
@400000005e1d7315201e9036 #d,-,18,4438,2340,1952,36,0,247764,15361,4438,2340,1952,4436,2337,1944,96,100,0,500,4602;
@400000005e1d7317202d7c7f #d,-,18,4442,2339,1951,37,0,249646,15478,4442,2340,1956,4438,2339,1948,96,100,0,500,4612;
@400000005e1d7317203729d1 #d,-,18,4445,2338,1955,38,0,251426,15588,4445,2339,1956,4442,2337,1946,96,100,0,500,4609;
@400000005e1d7319204594a6 #d,-,18,4448,2339,1952,40,0,253128,15693,4448,2339,1957,4445,2338,1945,96,100,0,500,4612;
