@400000005e1ec62b24bc20bf #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e1ec62c130b696d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1ec62c1919e762 #f,-,48,127,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e1ec62e192c3a74 #d,-,18,2521,2349,1162,0,0,178204,11048,2575,2350,1166,2521,2348,1157,90,100,0,500,2779;
@400000005e1ec630193a3499 #d,-,18,2519,2348,1155,1,0,178837,11087,2521,2349,1162,2519,2347,1155,91,100,0,500,2768;
@400000005e1ec63019432983 #d,-,18,2517,2350,1157,2,0,178984,11097,2519,2350,1161,2517,2348,1149,91,100,0,500,2765;
@400000005e1ec63219509706 #d,-,18,2515,2349,1153,2,0,179035,11100,2517,2350,1161,2515,2346,1151,91,100,0,500,2758;
@400000005e1ec63219590b6b #d,-,18,2512,2347,1151,3,0,178936,11094,2515,2349,1158,2512,2347,1146,91,100,0,500,2756;
@400000005e1ec6341965b55a #d,-,18,2508,2345,1153,4,0,178845,11088,2512,2348,1157,2508,2345,1142,91,100,0,500,2744;
@400000005e1ec634196e6bdf #d,-,18,2505,2346,1143,4,0,178645,11076,2508,2346,1155,2505,2343,1142,91,100,0,500,2746;
@400000005e1ec636197b7024 #d,-,18,2501,2348,1147,5,0,178526,11068,2505,2348,1152,2501,2345,1139,91,100,0,500,2732;
@400000005e1ec63619843df1 #d,-,18,2497,2348,1141,6,0,178416,11061,2501,2349,1153,2497,2348,1139,91,100,0,500,2737;
@400000005e1ec63819917481 #d,-,18,2495,2350,1146,7,0,178300,11054,2497,2350,1154,2495,2347,1137,91,100,0,500,2737;
@400000005e1ec638199a4e6a #d,-,18,2491,2349,1140,7,0,178167,11046,2495,2350,1148,2491,2348,1133,91,100,0,500,2730;
@400000005e1ec63a19a76db2 #d,-,18,2487,2348,1143,8,0,178032,11038,2491,2349,1144,2487,2347,1134,91,100,0,500,2723;
@400000005e1ec63a19b079e5 #d,-,18,2484,2348,1139,9,0,177938,11032,2487,2349,1149,2484,2348,1138,91,100,0,500,2725;
@400000005e1ec63c19bde3ae #d,-,18,2480,2346,1136,9,0,177798,11023,2484,2348,1142,2480,2346,1134,91,100,0,500,2720;
@400000005e1ec63c19c66f5b #d,-,18,2477,2348,1138,10,0,178830,11087,2480,2348,1139,2477,2346,1132,91,100,0,500,2713;
@400000005e1ec63e19d36012 #d,-,18,2473,2350,1134,11,0,177542,11007,2477,2350,1142,2473,2348,1131,91,100,0,500,2713;
@400000005e1ec63e19dc5c70 #d,-,18,2469,2350,1133,11,0,177399,10998,2473,2352,1137,2469,2350,1126,91,100,0,500,2713;
@400000005e1ec64019ea00e6 #d,-,18,2465,2349,1132,12,0,178212,11049,2469,2350,1137,2465,2347,1128,91,100,0,500,2701;
@400000005e1ec64019f2b3b0 #d,-,18,2461,2352,1133,13,0,177121,10981,2465,2352,1136,2461,2349,1129,90,100,0,500,2708;
@400000005e1ec64219ffe1df #d,-,18,2458,2349,1134,13,0,177005,10974,2461,2352,1137,2458,2349,1128,90,100,0,500,2706;
@400000005e1ec6421a08c7e3 #d,-,18,2455,2352,1130,14,0,176907,10968,2458,2352,1138,2455,2349,1130,90,100,0,500,2708;
@400000005e1ec6441a15917c #d,-,18,2453,2353,1127,15,0,176799,10961,2455,2354,1133,2453,2351,1127,90,100,0,500,2706;
@400000005e1ec6441a1e3f9f #d,-,18,2449,2354,1126,15,0,176663,10953,2453,2354,1132,2449,2352,1122,90,100,0,500,2697;
@400000005e1ec6461a2bc0b1 #d,-,18,2446,2355,1124,16,0,176544,10945,2449,2355,1134,2446,2353,1123,90,100,0,500,2692;
@400000005e1ec6461a348e7e #d,-,18,2443,2354,1132,17,0,176446,10939,2446,2355,1132,2443,2354,1122,90,100,0,500,2697;
@400000005e1ec6481a41dd45 #d,-,18,2440,2354,1122,17,0,176344,10933,2443,2355,1133,2440,2353,1122,90,100,0,500,2697;
@400000005e1ec6481a4aed31 #d,-,18,2438,2354,1129,18,0,176255,10927,2440,2354,1129,2438,2354,1122,90,100,0,500,2694;
@400000005e1ec64a1a57dde8 #d,-,18,2436,2352,1123,19,0,176162,10922,2438,2355,1130,2436,2352,1123,90,100,0,500,2692;
@400000005e1ec64a1a60b329 #d,-,18,2434,2353,1130,19,0,176090,10917,2436,2353,1132,2434,2352,1123,90,100,0,500,2697;
@400000005e1ec64c1a6dbee2 #d,-,18,2433,2352,1127,20,0,176009,10912,2434,2354,1130,2433,2352,1122,90,100,0,500,2694;
@400000005e1ec64c1a76cfbd #d,-,18,2432,2354,1131,21,0,175955,10909,2433,2354,1136,2432,2351,1126,90,100,0,500,2697;
@400000005e1ec64e1a84645d #d,-,18,2432,2354,1137,21,0,175931,10907,2432,2355,1137,2432,2354,1130,89,100,0,500,2708;
@400000005e1ec64e1a8d60bb #d,-,18,2433,2353,1130,22,0,175905,10906,2433,2354,1137,2432,2353,1130,89,100,0,500,2713;
@400000005e1ec6501a9c9012 #d,-,18,2434,2352,1127,23,0,175872,10904,2434,2353,1139,2433,2351,1127,89,100,0,500,2708;
@400000005e1ec6501aa65eeb #d,-,18,2433,2346,1837,24,0,176982,10972,2434,2353,1837,2433,2346,1120,90,100,0,500,2697;
@400000005e1ec6521ab61ae3 #d,-,18,4118,2348,2061,25,0,181579,11257,4118,2348,2116,2433,2344,1837,100,100,0,500,4118;
@400000005e1ec6521ac0ccfa #d,-,18,4797,2347,1883,26,0,185570,11505,4797,2349,2097,4118,2347,1856,97,100,0,500,4922;
@400000005e1ec6541ad0c66a #d,-,18,4431,2347,1918,27,0,189003,11718,4797,2348,1942,4431,2347,1883,95,100,0,500,4619;
@400000005e1ec6541adb65e0 #d,-,18,4429,2351,1926,29,0,192252,11919,4431,2351,1930,4429,2347,1917,97,100,0,500,4559;
@400000005e1ec6561aeabb66 #d,-,18,4427,2352,1922,30,0,195336,12110,4429,2352,1926,4427,2350,1913,97,100,0,500,4562;
@400000005e1ec6561af50440 #d,-,18,4425,2349,1928,31,0,198283,12293,4427,2352,1929,4425,2349,1917,96,100,0,500,4562;
@400000005e1ec6581b04849d #d,-,18,4425,2349,1925,32,0,201097,12468,4425,2350,1934,4425,2349,1921,96,100,0,500,4571;
@400000005e1ec6581b0ef0da #d,-,18,4425,2351,1928,34,0,203792,12635,4425,2351,1934,4425,2348,1924,96,100,0,500,4576;
