@400000005e22b5b51b12d0b6 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e22b5b609667e6e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b5b60f75d386 #f,-,48,123,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e22b5b80f8c1a03 #d,-,18,2427,2357,1130,0,0,179333,11118,2427,2359,1130,2427,2356,1126,89,100,0,500,2704;
@400000005e22b5ba0f9d0686 #d,-,18,2427,2359,1125,1,0,170099,10546,2427,2359,1130,2427,2356,1125,89,100,0,500,2708;
@400000005e22b5ba0fa66867 #d,-,18,2427,2358,1129,2,0,171265,10618,2427,2359,1131,2427,2357,1125,89,100,0,500,2704;
@400000005e22b5bc0fb5e152 #d,-,18,2427,2359,1128,2,0,171945,10660,2427,2360,1131,2427,2357,1125,89,100,0,500,2706;
@400000005e22b5bc0fbf4422 #d,-,18,2428,2358,1131,3,0,172482,10693,2428,2359,1135,2427,2357,1128,89,100,0,500,2708;
@400000005e22b5be0fcea5c3 #d,-,18,2429,2359,1129,4,0,172787,10712,2429,2360,1134,2428,2358,1122,89,100,0,500,2713;
@400000005e22b5be0fd80b5e #d,-,18,2429,2358,1145,4,0,173088,10731,2429,2359,1149,2429,2357,1124,89,100,0,500,2704;
@400000005e22b5c00fe7bef5 #d,-,18,2430,2359,1132,5,0,173267,10742,2430,2360,1145,2429,2358,1123,89,100,0,500,2715;
@400000005e22b5c00ff115aa #d,-,18,2431,2358,1126,6,0,173379,10749,2431,2360,1132,2430,2358,1125,89,100,0,500,2708;
@400000005e22b5c210004059 #d,-,18,2431,2360,1131,6,0,173496,10756,2431,2360,1132,2431,2358,1125,89,100,0,500,2706;
@400000005e22b5c21009e18f #d,-,18,2431,2358,1125,7,0,173568,10761,2431,2360,1131,2431,2358,1123,89,100,0,500,2706;
@400000005e22b5c41016f4bb #d,-,18,2426,2357,1045,8,0,172697,10707,2431,2359,1129,2426,2357,1013,90,100,0,500,2692;
@400000005e22b5c4101f6566 #d,-,18,2298,2360,1131,8,0,172764,10711,2426,2360,1147,2298,2357,1044,89,100,0,500,2569;
@400000005e22b5c6102c5175 #d,-,18,2421,2359,1126,9,0,172832,10715,2421,2360,1131,2298,2358,1123,89,100,0,500,2704;
@400000005e22b5c610353eec #d,-,18,2421,2360,1122,10,0,172882,10718,2421,2360,1127,2421,2358,1120,89,100,0,500,2699;
@400000005e22b5c810428551 #d,-,18,2420,2360,1120,10,0,172900,10719,2421,2361,1126,2420,2359,1116,89,100,0,500,2692;
@400000005e22b5c8104b04e3 #d,-,18,2419,2359,1122,11,0,172899,10719,2420,2361,1124,2419,2359,1116,89,100,0,500,2689;
@400000005e22b5ca1057d6de #d,-,18,2418,2360,1120,12,0,172914,10720,2419,2361,1126,2418,2358,1116,89,100,0,500,2689;
@400000005e22b5ca1060b392 #d,-,18,2417,2361,1125,12,0,172927,10721,2418,2361,1127,2417,2360,1117,89,100,0,500,2687;
@400000005e22b5cc106df284 #d,-,18,2417,2360,1121,13,0,172953,10723,2417,2361,1125,2417,2359,1118,89,100,0,500,2694;
@400000005e22b5cc10767a78 #d,-,18,2417,2359,1117,14,0,172957,10723,2417,2360,1124,2417,2358,1117,89,100,0,500,2687;
@400000005e22b5ce10838631 #d,-,18,2416,2360,1127,14,0,172986,10725,2417,2360,1127,2416,2358,1117,89,100,0,500,2689;
@400000005e22b5ce108c2926 #d,-,18,2416,2358,1124,15,0,173006,10726,2416,2361,1130,2416,2358,1120,89,100,0,500,2694;
@400000005e22b5d0109901a6 #d,-,18,2417,2359,1130,16,0,173066,10730,2417,2359,1131,2416,2358,1123,89,100,0,500,2701;
