@400000005e255cfb0f208b75 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e255cfb390a33f8 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255cfc037dd45e #f,-,48,210,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e255cfe03905248 #d,-,18,2534,2361,1164,0,0,173688,10768,2534,2361,1166,2534,2360,1161,90,100,0,500,2791;
@400000005e255d00039eec9c #d,-,18,2532,2359,1155,1,0,176468,10941,2534,2361,1164,2532,2359,1152,90,100,0,500,2787;
@400000005e255d0003a7bf11 #d,-,18,2530,2358,1149,2,0,177570,11009,2532,2360,1167,2530,2357,1149,91,100,0,500,2775;
@400000005e255d0203b4e212 #d,-,18,2526,2358,1153,2,0,177910,11030,2530,2358,1155,2526,2356,1147,91,100,0,500,2770;
@400000005e255d0203bdee45 #d,-,18,2523,2358,1156,3,0,178204,11048,2526,2358,1159,2523,2357,1149,91,100,0,500,2761;
@400000005e255d0403caabc3 #d,-,18,2520,2359,1152,4,0,178339,11057,2523,2360,1158,2520,2358,1147,91,100,0,500,2765;
@400000005e255d0403d3571b #d,-,18,2516,2361,1145,4,0,178301,11054,2520,2361,1152,2516,2359,1142,91,100,0,500,2758;
@400000005e255d0603e0b4c8 #d,-,18,2512,2362,1147,5,0,178307,11055,2516,2363,1153,2512,2360,1143,91,100,0,500,2751;
@400000005e255d0603e963da #d,-,18,2509,2362,1147,6,0,178342,11057,2512,2362,1154,2509,2362,1142,90,100,0,500,2758;
@400000005e255d0803f686db #d,-,18,2505,2361,1140,6,0,178232,11050,2509,2362,1148,2505,2360,1134,91,100,0,500,2749;
@400000005e255d0803ff930e #d,-,18,2501,2363,1146,7,0,178179,11047,2505,2363,1147,2501,2360,1136,91,100,0,500,2737;
@400000005e255d0a040c83c5 #d,-,18,2498,2365,1133,8,0,178123,11043,2501,2365,1146,2498,2363,1133,91,100,0,500,2742;
@400000005e255d0a04153a49 #d,-,18,2494,2365,1135,9,0,178022,11037,2498,2365,1141,2494,2364,1131,91,100,0,500,2739;
@400000005e255d0c04227cf5 #d,-,18,2490,2362,1136,9,0,177905,11030,2494,2365,1139,2490,2362,1128,91,100,0,500,2727;
@400000005e255d0c042b5235 #d,-,18,2486,2362,1133,10,0,178946,11094,2490,2363,1138,2486,2362,1128,91,100,0,500,2727;
@400000005e255d0e04388152 #d,-,18,2481,2363,1133,11,0,177670,11015,2486,2364,1137,2481,2362,1127,91,100,0,500,2718;
@400000005e255d0e04418612 #d,-,18,2477,2364,1148,11,0,178636,11075,2481,2364,1152,2477,2363,1127,91,100,0,500,2720;
@400000005e255d10044e8a58 #d,-,18,2475,2365,1133,12,0,177509,11005,2477,2365,1148,2475,2364,1121,90,100,0,500,2727;
@400000005e255d100457b18d #d,-,18,2472,2363,1123,13,0,178294,11054,2475,2366,1133,2472,2362,1120,90,100,0,500,2720;
@400000005e255d1204655249 #d,-,18,2467,2363,1128,13,0,178133,11044,2472,2364,1134,2467,2363,1122,91,100,0,500,2708;
@400000005e255d12046df53f #d,-,18,2464,2363,1128,14,0,177143,10982,2467,2365,1130,2464,2363,1123,90,100,0,500,2713;
