@400000005e26ada506230bed #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e26ada5301c063c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e26ada5362dac95 #f,-,48,118,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e26ada7364449ae #d,-,18,2427,2341,1138,1,0,167993,10415,2427,2342,1142,2422,2340,1134,89,100,0,500,2708;
@400000005e26ada93654b877 #d,-,18,2428,2342,1137,1,0,170424,10566,2428,2343,1139,2427,2339,1134,89,100,0,500,2704;
@400000005e26ada9365eaf5c #d,-,18,2430,2341,1138,2,0,171682,10644,2430,2342,1140,2428,2341,1136,89,100,0,500,2704;
@400000005e26adab366d7ce9 #d,-,18,2432,2340,1137,3,0,172397,10688,2432,2342,1141,2430,2339,1135,89,100,0,500,2708;
@400000005e26adab367705e8 #d,-,18,2433,2341,1138,3,0,172870,10717,2433,2342,1141,2432,2340,1135,89,100,0,500,2706;
@400000005e26adad3686d929 #d,-,18,2434,2343,1140,4,0,173206,10738,2434,2344,1141,2433,2341,1136,89,100,0,500,2708;
@400000005e26adad36903ec4 #d,-,18,2435,2345,1136,5,0,173456,10754,2435,2345,1141,2434,2343,1135,89,100,0,500,2711;
@400000005e26adaf369f98f2 #d,-,18,2435,2344,1139,5,0,173651,10766,2435,2345,1139,2435,2343,1135,89,100,0,500,2706;
@400000005e26adaf36a99b04 #d,-,18,2436,2342,1137,6,0,173820,10776,2436,2344,1141,2435,2342,1136,89,100,0,500,2708;
@400000005e26adb136b94727 #d,-,18,2437,2345,1138,7,0,173946,10784,2437,2345,1139,2436,2342,1134,89,100,0,500,2708;
@400000005e26adb136c2adb1 #d,-,18,2438,2343,1143,7,0,175622,10888,2438,2345,1144,2437,2342,1138,89,100,0,500,2711;
@400000005e26adb336d2a367 #d,-,18,2441,2344,1139,8,0,175678,10892,2441,2346,1145,2438,2343,1139,89,100,0,500,2718;
