@400000005e27fcc934682ad7 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e27fcca22b78ace #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e27fcca28c53dbb #f,-,48,150,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e27fccc28d73ed9 #d,-,18,2403,2333,1124,1,0,169355,10500,2403,2334,1132,2399,2331,1123,89,100,0,500,2675;
@400000005e27fcce28e5be2b #d,-,18,2404,2332,1133,1,0,170771,10587,2404,2333,1134,2403,2332,1124,89,100,0,500,2678;
@400000005e27fcce28ee4d92 #d,-,18,2405,2333,1127,2,0,171387,10626,2405,2333,1133,2404,2332,1124,89,100,0,500,2678;
@400000005e27fcd028fc9149 #d,-,18,2406,2334,1130,3,0,171752,10648,2406,2335,1132,2405,2333,1123,89,100,0,500,2678;
@400000005e27fcd029066d2b #d,-,18,2335,2331,1127,3,0,170117,10547,2406,2334,1133,2335,2331,1017,88,100,0,500,2633;
@400000005e27fcd229156949 #d,-,18,2336,2332,1129,4,0,170748,10586,2336,2334,1154,2335,2331,1122,90,100,0,500,2595;
@400000005e27fcd2291e907f #d,-,18,2431,2333,1135,5,0,171219,10615,2431,2334,1138,2336,2331,1129,90,100,0,500,2689;
@400000005e27fcd4292df5da #d,-,18,2430,2331,1133,5,0,171551,10636,2431,2333,1138,2430,2330,1131,90,100,0,500,2692;
@400000005e27fcd4293706b5 #d,-,18,2429,2333,1132,6,0,171788,10650,2430,2334,1138,2429,2331,1130,90,100,0,500,2689;
@400000005e27fcd62944c9e7 #d,-,18,2429,2332,1133,7,0,171981,10662,2429,2334,1136,2429,2331,1130,90,100,0,500,2687;
@400000005e27fcd6294e923a #d,-,18,2428,2333,1130,7,0,172142,10672,2429,2334,1136,2428,2332,1129,90,100,0,500,2687;
@400000005e27fcd8295d4f04 #d,-,18,2427,2333,1133,8,0,172266,10680,2428,2334,1136,2427,2331,1128,90,100,0,500,2687;
@400000005e27fcd8296686fc #d,-,18,2427,2335,1126,9,0,172373,10687,2427,2335,1134,2427,2332,1126,90,100,0,500,2682;
@400000005e27fcda2974f58b #d,-,18,2426,2334,1133,9,0,172475,10693,2427,2335,1134,2426,2334,1126,90,100,0,500,2685;
@400000005e27fcda297ed8e1 #d,-,18,2425,2335,1129,10,0,172537,10697,2426,2335,1133,2425,2334,1127,90,100,0,500,2685;
@400000005e27fcdc298d830a #d,-,18,2424,2336,1131,11,0,172600,10701,2425,2337,1133,2424,2334,1126,90,100,0,500,2682;
@400000005e27fcdc2996b2a1 #d,-,18,2424,2334,1131,11,0,172640,10703,2424,2336,1134,2424,2334,1125,90,100,0,500,2685;
@400000005e27fcde29a58b5b #d,-,18,2423,2334,1127,12,0,172684,10706,2424,2335,1135,2423,2333,1126,90,100,0,500,2680;
@400000005e27fcde29aede56 #d,-,18,2422,2335,1132,13,0,172723,10708,2423,2335,1134,2422,2333,1126,90,100,0,500,2682;
@400000005e27fce029bdd212 #d,-,18,2421,2333,1129,13,0,173589,10762,2422,2335,1137,2421,2332,1128,90,100,0,500,2685;
@400000005e27fce029c73128 #d,-,18,2422,2335,1135,14,0,173616,10764,2422,2335,1137,2421,2333,1129,90,100,0,500,2687;
@400000005e27fce229d63c2d #d,-,18,2422,2334,1134,15,0,172870,10717,2422,2336,1137,2422,2334,1129,90,100,0,500,2689;
@400000005e27fce229df6451 #d,-,18,2422,2335,1129,15,0,172919,10720,2422,2335,1137,2422,2334,1128,89,100,0,500,2692;
@400000005e27fce429ed5abb #d,-,18,2423,2337,1133,16,0,172969,10724,2423,2337,1138,2422,2335,1129,90,100,0,500,2692;
@400000005e27fce429f750b1 #d,-,18,2423,2335,1127,17,0,173011,10726,2423,2337,1139,2423,2334,1127,90,100,0,500,2689;
@400000005e27fce62a05b059 #d,-,18,2424,2336,1134,17,0,173059,10729,2424,2337,1136,2423,2333,1127,90,100,0,500,2692;
@400000005e27fce62a0efbe1 #d,-,18,2424,2336,1130,18,0,173100,10732,2424,2337,1134,2424,2335,1126,90,100,0,500,2687;
@400000005e27fce82a1db8aa #d,-,18,2424,2338,1132,19,0,173137,10734,2424,2338,1136,2424,2335,1127,90,100,0,500,2689;
@400000005e27fce82a279c00 #d,-,18,2425,2338,1135,19,0,173177,10736,2425,2338,1136,2424,2337,1128,90,100,0,500,2689;
@400000005e27fcea2a367101 #d,-,18,2425,2336,1132,20,0,173772,10773,2425,2339,1136,2425,2335,1129,90,100,0,500,2692;
@400000005e27fcea2a3facb3 #d,-,18,2426,2337,1135,21,0,173240,10740,2426,2338,1136,2425,2335,1129,90,100,0,500,2692;
@400000005e27fcec2a4e3ea5 #d,-,18,2425,2334,1882,21,0,174386,10811,2426,2338,1883,2425,2334,1128,90,100,0,500,2689;
@400000005e27fcec2a578585 #d,-,18,3477,2332,1791,23,0,177043,10976,3477,2334,1882,2425,2331,1465,96,100,0,500,3590;
@400000005e27fcee2a6529fa #d,-,18,3821,2334,1736,24,0,179979,11158,3821,2334,1791,3477,2332,1683,96,100,0,500,3948;
@400000005e27fcee2a6e3e8f #d,-,18,3914,2332,1729,25,0,182804,11333,3914,2334,1738,3821,2332,1721,95,100,0,500,4078;
@400000005e27fcf02a7c154f #d,-,18,3914,2333,1732,26,0,185480,11499,3914,2333,1734,3914,2332,1714,95,100,0,500,4078;
@400000005e27fcf02a84dba9 #d,-,18,3914,2331,1720,27,0,187995,11655,3914,2333,1732,3914,2331,1718,96,100,0,500,4074;
@400000005e27fcf22a92e0fa #d,-,18,3913,2330,1726,28,0,190389,11804,3914,2331,1735,3913,2330,1715,96,100,0,500,4069;
@400000005e27fcf22a9bc6fe #d,-,18,3912,2331,1721,29,0,192637,11943,3913,2332,1727,3912,2330,1714,96,100,0,500,4066;
@400000005e27fcf42aaaae9f #d,-,18,3910,2330,1717,30,0,194772,12075,3912,2331,1730,3910,2328,1712,96,100,0,500,4055;
@400000005e27fcf42ab434d3 #d,-,18,3909,2331,1725,31,0,196808,12202,3910,2331,1726,3909,2329,1714,96,100,0,500,4057;
@400000005e27fcf62ac2ea29 #d,-,18,3907,2332,1723,32,0,198750,12322,3909,2332,1730,3907,2330,1715,96,100,0,500,4055;
@400000005e27fcf62acc6bb5 #d,-,18,3907,2332,1729,33,0,200629,12439,3907,2332,1731,3907,2331,1720,95,100,0,500,4071;
@400000005e27fcf82adb8ef1 #d,-,18,3908,2330,1725,34,0,202870,12577,3908,2332,1734,3907,2329,1718,96,100,0,500,4069;
@400000005e27fcf82ae4c9b5 #d,-,18,3909,2331,1729,36,0,204145,12657,3909,2331,1737,3908,2329,1721,95,100,0,500,4076;
@400000005e27fcfa2af40c9b #d,-,18,3911,2332,1728,37,0,205804,12759,3911,2332,1742,3909,2331,1722,95,100,0,500,4083;
@400000005e27fcfa2afdbcb7 #d,-,18,3912,2331,1720,38,0,207388,12858,3912,2332,1739,3911,2329,1720,95,100,0,500,4083;
@400000005e27fcfc2b0d6432 #d,-,18,3914,2332,1732,39,0,208919,12953,3914,2332,1740,3912,2330,1719,95,100,0,500,4083;
@400000005e27fcfc2b16afba #d,-,18,3916,2331,1730,40,0,210394,13044,3916,2333,1746,3914,2330,1726,95,100,0,500,4090;
@400000005e27fcfe2b2584ba #d,-,18,3918,2332,1737,41,0,211817,13132,3918,2332,1741,3916,2330,1723,95,100,0,500,4090;
@400000005e27fcfe2b2eb80b #d,-,18,3920,2332,1739,42,0,213180,13217,3920,2332,1744,3918,2332,1727,95,100,0,500,4090;
@400000005e27fd002b3d4644 #d,-,18,3921,2331,1745,43,0,214502,13299,3921,2332,1747,3920,2331,1731,95,100,0,500,4092;
@400000005e27fd002b46d3eb #d,-,18,3924,2333,1745,44,0,215783,13378,3924,2333,1745,3921,2331,1730,95,100,0,500,4104;
@400000005e27fd022b56199c #d,-,18,3926,2331,1738,45,0,217406,13479,3926,2333,1745,3924,2330,1732,95,100,0,500,4102;
@400000005e27fd022b5f7051 #d,-,18,3928,2333,1739,46,0,218195,13528,3928,2334,1746,3926,2330,1726,95,100,0,500,4100;
@400000005e27fd042b6f27a1 #d,-,18,3929,2331,1736,48,0,219719,13622,3929,2333,1748,3928,2331,1725,95,100,0,500,4100;
@400000005e27fd042b785738 #d,-,18,3931,2334,1744,49,0,220828,13691,3931,2334,1747,3929,2331,1734,95,100,0,500,4100;
@400000005e27fd062b8816ea #d,-,18,3934,2331,1745,50,0,221523,13734,3934,2334,1749,3931,2331,1730,95,100,0,500,4107;
@400000005e27fd062b916d9e #d,-,18,3935,2331,1740,51,0,222561,13798,3935,2331,1752,3934,2330,1730,95,100,0,500,4109;
@400000005e27fd082ba143aa #d,-,18,3938,2332,1746,52,0,223574,13861,3938,2333,1752,3935,2331,1731,95,100,0,500,4109;
@400000005e27fd082baa8f32 #d,-,18,3940,2331,1739,53,0,224548,13921,3940,2332,1750,3938,2330,1733,95,100,0,500,4111;
@400000005e27fd0a2bb919b1 #d,-,18,3942,2331,1741,54,0,225493,13980,3942,2332,1753,3940,2330,1737,95,100,0,500,4111;
@400000005e27fd0a2bc28f21 #d,-,18,3943,2330,1736,55,0,226403,14037,3943,2331,1749,3942,2329,1732,95,100,0,500,4111;
@400000005e27fd0c2bd26262 #d,-,18,3944,2331,1730,56,0,227284,14091,3944,2332,1751,3943,2329,1730,95,100,0,500,4109;
@400000005e27fd0c2bdbc444 #d,-,18,3945,2331,1750,57,0,228157,14145,3945,2332,1754,3944,2331,1730,96,100,0,500,4109;
@400000005e27fd0e2beb5565 #d,-,18,3947,2331,1745,59,0,229352,14219,3947,2331,1759,3945,2329,1744,95,100,0,500,4123;
@400000005e27fd0e2bf49029 #d,-,18,3950,2329,1757,60,0,230174,14270,3950,2332,1758,3947,2329,1739,95,100,0,500,4128;
@400000005e27fd102c03ce66 #d,-,18,3952,2331,1752,61,0,230973,14320,3952,2331,1757,3950,2329,1741,95,100,0,500,4123;
@400000005e27fd102c0ddc93 #d,-,18,3954,2330,1755,62,0,231417,14347,3954,2331,1759,3952,2329,1743,95,100,0,500,4126;
@400000005e27fd122c1cc8dc #d,-,18,3955,2331,1751,63,0,232171,14394,3955,2331,1755,3954,2329,1742,95,100,0,500,4123;
