@400000005e29488c367f4f75 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e29488d24dbc299 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e29488d2aec5368 #f,-,48,30,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e29488f2b038585 #d,-,18,2445,2371,1130,1,0,169255,10493,2445,2372,1134,2445,2370,1126,89,100,0,500,2723;
@400000005e2948912b13dd05 #d,-,18,2446,2369,1128,1,0,171243,10617,2446,2371,1132,2445,2368,1127,89,100,0,500,2725;
@400000005e2948912b1d4b02 #d,-,18,2446,2371,1128,2,0,172285,10681,2446,2371,1133,2446,2369,1128,89,100,0,500,2723;
@400000005e2948932b2c5e69 #d,-,18,2446,2369,1130,3,0,172926,10721,2446,2371,1133,2446,2369,1127,89,100,0,500,2725;
@400000005e2948932b35f73d #d,-,18,2446,2372,1128,3,0,173383,10749,2446,2372,1133,2446,2369,1128,89,100,0,500,2725;
@400000005e2948952b4525a6 #d,-,18,2446,2369,1129,4,0,173673,10767,2446,2372,1132,2446,2369,1127,89,100,0,500,2723;
@400000005e2948952b4eabd9 #d,-,18,2446,2370,1126,5,0,173875,10780,2446,2370,1131,2446,2369,1126,89,100,0,500,2723;
@400000005e2948972b5e76b8 #d,-,18,2446,2371,1129,5,0,174018,10789,2446,2371,1129,2446,2370,1126,89,100,0,500,2720;
@400000005e2948972b680371 #d,-,18,2445,2369,1126,6,0,174118,10795,2446,2371,1130,2445,2369,1125,89,100,0,500,2718;
@400000005e2948992b77984c #d,-,18,2444,2369,1128,7,0,174188,10799,2445,2370,1131,2444,2369,1126,89,100,0,500,2718;
@400000005e2948992b813120 #d,-,18,2443,2368,1137,8,0,174293,10806,2444,2369,1137,2443,2367,1127,89,100,0,500,2720;
@400000005e29489b2b906343 #d,-,18,2443,2369,1126,8,0,175659,10890,2443,2369,1137,2443,2367,1125,89,100,0,500,2723;
@400000005e29489b2b99e5bd #d,-,18,2442,2367,1131,9,0,175595,10886,2443,2370,1131,2442,2367,1125,89,100,0,500,2715;
@400000005e29489d2ba8be77 #d,-,18,2441,2368,1129,10,0,174385,10811,2442,2368,1131,2441,2366,1125,89,100,0,500,2715;
@400000005e29489d2bb295b1 #d,-,18,2441,2368,1128,10,0,174434,10814,2441,2369,1133,2441,2368,1126,89,100,0,500,2718;
@400000005e29489f2bc2644a #d,-,18,2441,2366,1126,11,0,174453,10816,2441,2368,1130,2441,2365,1125,89,100,0,500,2718;
@400000005e29489f2bcc0580 #d,-,18,2440,2370,1128,12,0,174477,10817,2441,2370,1130,2440,2366,1125,89,100,0,500,2715;
@400000005e2948a12bdbc444 #d,-,18,2440,2369,1130,12,0,174499,10818,2440,2370,1131,2440,2368,1125,89,100,0,500,2718;
@400000005e2948a12be54e31 #d,-,18,2439,2371,1126,13,0,174512,10819,2440,2371,1131,2439,2369,1125,89,100,0,500,2718;
