@400000005e2a9acc2ab8a150 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e2a9acd19080147 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e2a9acd1f153b22 #f,-,48,42,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e2a9acf1f27adde #d,-,18,2412,2350,1127,0,0,171121,10609,2412,2350,1130,2411,2349,1126,89,100,0,501,2692;
@400000005e2a9ad11f353663 #d,-,18,2412,2351,1124,1,0,172037,10666,2412,2351,1132,2412,2349,1123,89,100,0,501,2692;
@400000005e2a9ad11f3e23db #d,-,18,2413,2351,1128,2,0,172456,10692,2413,2351,1131,2412,2349,1123,89,100,0,501,2689;
@400000005e2a9ad31f4cbd40 #d,-,18,2414,2349,1124,2,0,172652,10704,2414,2351,1132,2413,2348,1124,89,100,0,501,2689;
@400000005e2a9ad31f563fbb #d,-,18,2414,2351,1130,3,0,172828,10715,2414,2352,1130,2414,2348,1124,89,100,0,500,2692;
@400000005e2a9ad51f640a5f #d,-,18,2414,2352,1050,4,0,171468,10631,2414,2352,1130,2414,2350,1018,89,100,0,500,2694;
@400000005e2a9ad51f6df16f #d,-,18,2270,2349,1133,4,0,171543,10635,2414,2352,1151,2270,2349,1046,88,100,0,500,2552;
@400000005e2a9ad71f7ced8d #d,-,18,2419,2350,1131,5,0,173876,10780,2419,2352,1133,2270,2349,1125,89,100,0,500,2694;
@400000005e2a9ad71f862497 #d,-,18,2419,2352,1125,6,0,171982,10662,2419,2352,1131,2419,2350,1125,89,100,0,500,2697;
@400000005e2a9ad91f946583 #d,-,18,2419,2351,1127,6,0,172138,10672,2419,2353,1132,2419,2350,1124,89,100,0,501,2694;
@400000005e2a9ad91f9d98d4 #d,-,18,2418,2351,1125,7,0,172241,10679,2419,2352,1131,2418,2349,1123,89,100,0,501,2692;
@400000005e2a9adb1fabed4f #d,-,18,2418,2351,1127,8,0,172340,10685,2418,2353,1130,2418,2351,1123,89,100,0,501,2689;
@400000005e2a9adb1fb5a987 #d,-,18,2418,2350,1127,8,0,172413,10689,2418,2352,1131,2418,2350,1123,89,100,0,501,2692;
@400000005e2a9add1fc4b845 #d,-,18,2417,2352,1126,9,0,173692,10768,2418,2352,1130,2417,2350,1123,89,100,0,501,2692;
@400000005e2a9add1fcdf03e #d,-,18,2417,2352,1127,10,0,172540,10697,2417,2352,1129,2417,2350,1123,89,100,0,501,2689;
@400000005e2a9adf1fdc091e #d,-,18,2417,2352,1123,10,0,172587,10700,2417,2354,1130,2417,2352,1121,89,100,0,501,2689;
@400000005e2a9adf1fe57361 #d,-,18,2417,2352,1128,11,0,172637,10703,2417,2354,1129,2417,2351,1123,89,100,0,501,2692;
@400000005e2a9ae11ff3ee0b #d,-,18,2416,2352,1127,12,0,172674,10705,2417,2353,1130,2416,2351,1124,89,100,0,501,2689;
@400000005e2a9ae11ffd60b0 #d,-,18,2417,2352,1125,12,0,173610,10763,2417,2353,1131,2416,2350,1124,89,100,0,501,2694;
@400000005e2a9ae3200beee9 #d,-,18,2417,2353,1126,13,0,172752,10710,2417,2354,1130,2417,2350,1122,89,100,0,501,2694;
@400000005e2a9ae32015beb0 #d,-,18,2417,2352,1124,14,0,172785,10712,2417,2354,1129,2417,2351,1122,89,100,0,501,2689;
@400000005e2a9ae52024c5fb #d,-,18,2417,2352,1128,14,0,172815,10714,2417,2354,1130,2417,2352,1123,89,100,0,501,2692;
@400000005e2a9ae5202e0921 #d,-,18,2417,2353,1128,15,0,172861,10717,2417,2353,1133,2417,2351,1125,89,100,0,501,2697;
@400000005e2a9ae7203c9fbb #d,-,18,2418,2352,1131,16,0,172903,10720,2418,2353,1132,2417,2351,1126,89,100,0,501,2699;
@400000005e2a9ae72045f2b6 #d,-,18,2419,2353,1128,16,0,172948,10722,2419,2354,1132,2418,2351,1126,89,100,0,500,2699;
@400000005e2a9ae920545617 #d,-,18,2420,2354,1129,17,0,173647,10766,2420,2354,1132,2419,2351,1125,89,100,0,501,2699;
@400000005e2a9ae9205e2998 #d,-,18,2420,2355,1131,18,0,173022,10727,2420,2355,1132,2420,2353,1125,89,100,0,500,2699;
@400000005e2a9aeb206d1227 #d,-,18,2421,2353,1126,18,0,173048,10728,2421,2355,1132,2420,2352,1126,89,100,0,501,2701;
