@400000005e2e987317824fdd #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e2e987405d1de65 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e2e98740be02cda #f,-,48,22,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e2e98760bf27106 #d,-,18,2484,2366,1135,1,0,170867,10593,2489,2368,1141,2484,2366,1128,90,100,0,501,2732;
@400000005e2e98780c00b965 #d,-,18,2481,2369,1140,1,0,179179,11109,2484,2369,1146,2481,2365,1135,90,100,0,501,2730;
@400000005e2e98780c095040 #d,-,18,2478,2367,1134,2,0,173819,10776,2481,2369,1141,2478,2367,1131,90,100,0,501,2734;
@400000005e2e987a0c15a0c7 #d,-,18,2475,2367,1128,3,0,174157,10797,2478,2368,1137,2475,2366,1127,90,100,0,501,2727;
@400000005e2e987a0c1eb915 #d,-,18,2471,2367,1133,3,0,177436,11001,2475,2368,1137,2471,2366,1126,90,100,0,501,2718;
@400000005e2e987c0c2c419a #d,-,18,2468,2367,1126,4,0,174476,10817,2471,2368,1134,2468,2365,1124,90,100,0,501,2720;
@400000005e2e987c0c34b9b9 #d,-,18,2464,2368,1129,5,0,174530,10820,2468,2368,1134,2464,2365,1123,90,100,0,501,2711;
@400000005e2e987e0c41b1e3 #d,-,18,2461,2368,1133,5,0,174603,10825,2464,2369,1134,2461,2366,1126,90,100,0,501,2711;
@400000005e2e987e0c4ae17a #d,-,18,2459,2370,1126,6,0,176474,10941,2461,2370,1137,2459,2367,1126,90,100,0,501,2723;
@400000005e2e98800c58911c #d,-,18,2457,2367,1133,7,0,174723,10832,2459,2370,1133,2457,2367,1124,90,100,0,501,2715;
@400000005e2e98800c6153bc #d,-,18,2454,2369,1118,7,0,174666,10829,2457,2369,1133,2454,2367,1118,90,100,0,501,2713;
@400000005e2e98820c6e535a #d,-,18,2450,2368,1129,8,0,176004,10912,2454,2370,1129,2450,2368,1117,90,100,0,501,2699;
@400000005e2e98820c776f62 #d,-,18,2447,2370,1125,9,0,174606,10825,2450,2371,1129,2447,2367,1121,90,100,0,501,2708;
@400000005e2e98840c84c1e3 #d,-,18,2445,2368,1128,9,0,174587,10824,2447,2370,1132,2445,2367,1119,90,100,0,501,2706;
@400000005e2e98840c8d7867 #d,-,18,2443,2369,1127,10,0,175685,10892,2445,2370,1130,2443,2367,1120,90,100,0,501,2706;
@400000005e2e98860c9b0595 #d,-,18,2441,2370,1120,11,0,174522,10820,2443,2370,1127,2441,2367,1117,90,100,0,501,2704;
@400000005e2e98860ca3a88a #d,-,18,2438,2369,1126,11,0,174479,10817,2441,2371,1126,2438,2368,1119,90,100,0,501,2697;
@400000005e2e98880cb1635a #d,-,18,2436,2368,1119,12,0,175361,10872,2438,2370,1127,2436,2368,1116,90,100,0,501,2699;
@400000005e2e98880cba25fa #d,-,18,2434,2369,1128,13,0,174420,10814,2436,2370,1128,2434,2367,1118,90,100,0,501,2699;
@400000005e2e988a0cc7a70c #d,-,18,2434,2368,1122,13,0,174402,10812,2434,2369,1128,2434,2367,1120,90,100,0,501,2704;
@400000005e2e988a0cd07c4c #d,-,18,2432,2367,1125,14,0,174385,10811,2434,2369,1128,2432,2367,1119,90,100,0,501,2701;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
