@400000005e2fe47326f803b9 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e2fe47415551353 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e2fe4741b65d2b3 #f,-,48,154,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e2fe4761b7d371a #d,-,18,2692,2380,1211,1,0,191646,11882,2695,2381,1221,2692,2378,1207,91,100,0,500,2931;
@400000005e2fe4781b8dd91c #d,-,18,2688,2378,1209,1,0,191511,11873,2692,2380,1214,2688,2378,1207,91,100,0,500,2924;
@400000005e2fe4781b9756ee #d,-,18,2684,2379,1206,2,0,191216,11855,2688,2381,1210,2684,2378,1204,92,100,0,500,2917;
@400000005e2fe47a1ba76895 #d,-,18,2681,2380,1210,3,0,191108,11848,2684,2381,1210,2681,2378,1205,91,100,0,500,2917;
@400000005e2fe47a1bb0da4c #d,-,18,2677,2378,1202,4,0,190962,11839,2681,2381,1211,2677,2378,1202,91,100,0,500,2917;
@400000005e2fe47c1bc014d0 #d,-,18,2674,2379,1199,4,0,190731,11825,2677,2381,1204,2674,2378,1199,91,100,0,500,2907;
@400000005e2fe47c1bca1328 #d,-,18,2669,2379,1194,5,0,190448,11807,2674,2381,1199,2669,2378,1193,92,100,0,500,2896;
@400000005e2fe47e1bd9de07 #d,-,18,2663,2380,1195,6,0,190213,11793,2669,2381,1197,2663,2379,1191,92,100,0,500,2886;
@400000005e2fe47e1be2d2f1 #d,-,18,2659,2381,1199,6,0,190042,11782,2663,2381,1199,2659,2379,1194,92,100,0,500,2888;
@400000005e2fe4801bf25bb1 #d,-,18,2655,2379,1196,7,0,189903,11774,2659,2381,1199,2655,2378,1195,91,100,0,500,2891;
@400000005e2fe4801bfba290 #d,-,18,2651,2379,1190,8,0,189689,11760,2655,2381,1197,2651,2379,1186,91,100,0,500,2888;
@400000005e2fe4821c0a7f04 #d,-,18,2645,2380,1187,9,0,189452,11746,2651,2381,1191,2645,2378,1185,91,100,0,500,2877;
@400000005e2fe4821c13c5e3 #d,-,18,2639,2379,1187,9,0,190621,11818,2645,2381,1189,2639,2378,1181,92,100,0,500,2867;
@400000005e2fe4841c2313f6 #d,-,18,2634,2380,1184,10,0,189046,11720,2639,2381,1190,2634,2378,1182,91,100,0,500,2865;
@400000005e2fe4841c2c91c8 #d,-,18,2629,2378,1184,11,0,188887,11711,2634,2380,1188,2629,2378,1183,91,100,0,500,2865;
@400000005e2fe4861c3b7e11 #d,-,18,2625,2379,1182,11,0,188703,11699,2629,2380,1187,2625,2378,1180,91,100,0,500,2862;
@400000005e2fe4861c457c69 #d,-,18,2620,2377,1181,12,0,188524,11688,2625,2379,1185,2620,2377,1178,91,100,0,500,2851;
@400000005e2fe4881c559a2c #d,-,18,2616,2377,1185,13,0,188372,11679,2620,2378,1186,2616,2376,1181,91,100,0,500,2858;
@400000005e2fe4881c5f42d5 #d,-,18,2613,2374,1184,14,0,188242,11671,2616,2377,1186,2613,2374,1182,91,100,0,500,2855;
@400000005e2fe48a1c6f7aab #d,-,18,2610,2373,1181,14,0,188118,11663,2613,2375,1185,2610,2373,1180,91,100,0,500,2858;
@400000005e2fe48a1c790852 #d,-,18,2606,2373,1180,15,0,187973,11654,2610,2373,1183,2606,2373,1174,91,100,0,500,2848;
@400000005e2fe48c1c88afcd #d,-,18,2603,2373,1181,16,0,187872,11648,2606,2374,1184,2603,2373,1180,91,100,0,500,2848;
@400000005e2fe48c1c92dda4 #d,-,18,2601,2375,1182,17,0,187767,11641,2603,2376,1184,2601,2372,1178,91,100,0,500,2851;
@400000005e2fe48e1ca2e330 #d,-,18,2599,2375,1178,17,0,187682,11636,2601,2375,1186,2599,2374,1178,91,100,0,500,2851;
@400000005e2fe48e1cac8377 #d,-,18,2597,2373,1179,18,0,187593,11630,2599,2375,1184,2597,2373,1178,91,100,0,500,2853;
@400000005e2fe4901cbc9165 #d,-,18,2595,2375,1179,19,0,187489,11624,2597,2376,1182,2595,2373,1174,91,100,0,500,2846;
@400000005e2fe4901cc5e819 #d,-,18,2593,2375,1180,19,0,187419,11619,2595,2376,1184,2593,2375,1179,91,100,0,500,2848;
@400000005e2fe4921cd4b872 #d,-,18,2592,2376,1179,20,0,187343,11615,2593,2377,1185,2592,2375,1177,90,100,0,500,2851;
@400000005e2fe4921cde697d #d,-,18,2590,2376,1181,21,0,187267,11610,2592,2377,1181,2590,2376,1177,90,100,0,500,2848;
@400000005e2fe4941cedf9af #d,-,18,2589,2379,1180,22,0,187206,11606,2590,2379,1182,2589,2376,1178,90,100,0,500,2851;
@400000005e2fe4941cf7a259 #d,-,18,2588,2378,1176,22,0,187131,11602,2589,2380,1180,2588,2378,1175,90,100,0,500,2846;
@400000005e2fe4961d07697e #d,-,18,2587,2374,1176,23,0,187064,11598,2588,2378,1182,2587,2374,1176,90,100,0,500,2846;
@400000005e2fe4961d115447 #d,-,18,2585,2375,1174,24,0,186972,11592,2587,2375,1177,2585,2373,1171,91,100,0,500,2839;
@400000005e2fe4981d20c978 #d,-,18,2582,2375,1173,24,0,186877,11586,2585,2376,1175,2582,2375,1170,91,100,0,500,2827;
@400000005e2fe4981d2a85b0 #d,-,18,2579,2378,1172,25,0,186795,11581,2582,2379,1176,2579,2375,1171,91,100,0,500,2832;
@400000005e2fe49a1eb864b6 #d,-,18,2577,2375,1176,26,0,187232,11608,2579,2378,1177,2577,2375,1172,90,100,0,500,2834;
@400000005e2fe49a1f4b04bc #d,-,18,2824,2375,1609,27,0,188838,11707,2824,2376,1837,2577,2373,1172,95,100,0,500,2964;
@400000005e2fe49c1f81cba9 #d,-,18,3551,2371,1956,28,0,190340,11801,3551,2375,1956,2824,2371,1307,92,100,0,500,3846;
@400000005e2fe49c1f8c8d95 #d,-,18,4487,2372,2130,29,0,194541,12061,4487,2373,2204,3551,2370,1956,100,100,0,500,4487;
@400000005e2fe49e1f9d98d4 #d,-,18,4848,2371,1975,30,0,197964,12273,4848,2373,2130,4487,2371,1922,96,100,0,500,5017;
@400000005e2fe49e1fa80157 #d,-,18,4545,2374,1966,32,0,201061,12465,4848,2374,1975,4545,2371,1950,96,100,0,500,4694;
@400000005e2fe4a01fb8dd17 #d,-,18,4547,2372,1968,33,0,204039,12650,4547,2374,1972,4545,2372,1964,96,100,0,500,4711;
@400000005e2fe4a01fc37c8d #d,-,18,4549,2373,1966,34,0,206871,12826,4549,2374,1972,4547,2372,1963,96,100,0,500,4716;
@400000005e2fe4a21fd4a2ce #d,-,18,4550,2370,1970,36,0,209587,12994,4550,2373,1972,4549,2370,1966,96,100,0,500,4711;
@400000005e2fe4a21fde62c0 #d,-,18,4553,2373,1968,37,0,212177,13154,4553,2373,1973,4550,2370,1964,96,100,0,500,4718;
@400000005e2fe4a41feed631 #d,-,18,4554,2373,1968,38,0,215116,13337,4554,2373,1972,4553,2372,1965,96,100,0,500,4716;
@400000005e2fe4a41ff9ea12 #d,-,18,4556,2374,1976,39,0,217499,13484,4556,2374,1977,4554,2373,1966,96,100,0,500,4718;
@400000005e2fe4a62006137b #d,-,18,4558,2373,1974,41,0,219353,13599,4558,2374,1977,4556,2373,1971,96,100,0,500,4730;
@400000005e2fe4a6200b4eb9 #d,-,18,4562,2372,1977,42,0,221581,13738,4562,2373,1983,4558,2372,1971,96,100,0,500,4735;
@400000005e2fe4a8201bae9b #d,-,18,4566,2373,1972,43,0,223716,13870,4566,2373,1983,4562,2372,1970,96,100,0,500,4742;
@400000005e2fe4a820264d23 #d,-,18,4569,2373,1975,44,0,226209,14024,4569,2373,1982,4566,2372,1972,96,100,0,500,4740;
@400000005e2fe4aa20368d5b #d,-,18,4572,2377,1980,46,0,227762,14121,4572,2377,1984,4569,2373,1973,96,100,0,500,4744;
@400000005e2fe4aa20409f41 #d,-,18,4575,2376,1977,47,0,230094,14265,4575,2377,1982,4572,2375,1972,96,100,0,500,4744;
@400000005e2fe4ac205138e1 #d,-,18,4578,2378,1982,48,0,231518,14354,4578,2378,1986,4575,2376,1976,96,100,0,500,4754;
@400000005e2fe4ac205bcff6 #d,-,18,4581,2377,1978,50,0,233295,14464,4581,2379,1985,4578,2377,1972,96,100,0,500,4751;
@400000005e2fe4ae206cd008 #d,-,18,4584,2379,1982,51,0,235015,14570,4584,2379,1983,4581,2376,1975,96,100,0,500,4751;
@400000005e2fe4ae20771527 #d,-,18,4587,2377,1987,52,0,236696,14675,4587,2379,1991,4584,2377,1980,96,100,0,500,4758;
@400000005e2fe4b0208725e0 #d,-,18,4591,2377,1980,53,0,238312,14775,4591,2378,1990,4587,2376,1980,96,100,0,500,4770;
@400000005e2fe4b02091b0d9 #d,-,18,4594,2377,1989,55,0,239878,14872,4594,2377,1990,4591,2375,1980,96,100,0,500,4766;
@400000005e2fe4b220a247ad #d,-,18,4597,2377,1987,56,0,241796,14991,4597,2379,1991,4594,2377,1983,96,100,0,500,4768;
@400000005e2fe4b220aceda9 #d,-,18,4600,2379,1985,57,0,243256,15081,4600,2380,1988,4597,2376,1981,96,100,0,500,4770;
@400000005e2fe4b420bd9bc6 #d,-,18,4601,2378,1987,59,0,244280,15145,4601,2380,1990,4600,2377,1981,96,100,0,500,4763;
@400000005e2fe4b420c7fbe8 #d,-,18,4604,2380,1986,60,0,245657,15230,4604,2381,1991,4601,2378,1981,96,100,0,500,4773;
@400000005e2fe4b620d90e9a #d,-,18,4606,2379,1990,61,0,247000,15314,4606,2381,1993,4604,2378,1984,96,100,0,500,4773;
@400000005e2fe4b620e35773 #d,-,18,4609,2380,1989,62,0,248309,15395,4609,2380,1995,4606,2378,1985,96,100,0,500,4780;
@400000005e2fe4b820f49143 #d,-,18,4612,2379,1991,64,0,249572,15473,4612,2380,1994,4609,2379,1983,96,100,0,500,4780;
@400000005e2fe4b820fecb36 #d,-,18,4614,2382,1986,65,0,250796,15549,4614,2382,1992,4612,2379,1985,96,100,0,500,4777;
@400000005e2fe4ba210f9367 #d,-,18,4615,2380,1992,66,0,251988,15623,4615,2382,1992,4614,2379,1985,96,100,0,500,4780;
