@400000005e3139f71a2e39fd #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3139f8087e7c44 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3139f80e8cce73 #f,-,48,130,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e3139fa0e9f29e7 #d,-,18,2528,2368,1150,1,0,174212,10801,2531,2369,1165,2528,2366,1150,90,55,0,500,2782;
@400000005e3139fc0eacd5d0 #d,-,18,2525,2367,1153,1,0,176151,10921,2528,2368,1156,2525,2366,1148,91,71,0,500,2772;
@400000005e3139fc0eb5da90 #d,-,18,2522,2366,1143,2,0,176805,10961,2525,2367,1153,2522,2365,1143,91,78,0,500,2768;
@400000005e3139fe0ec35ba1 #d,-,18,2518,2367,1149,3,0,181017,11223,2522,2368,1150,2518,2366,1143,91,85,0,500,2761;
@400000005e3139fe0ecbb7cf #d,-,18,2514,2367,1141,3,0,180524,11192,2518,2367,1149,2514,2364,1140,91,87,0,500,2758;
@400000005e313a000ed90e0a #d,-,18,2510,2365,1143,4,0,177486,11004,2514,2367,1147,2510,2365,1139,91,88,0,500,2751;
@400000005e313a000ee1dbd7 #d,-,18,2506,2365,1143,5,0,177523,11006,2510,2367,1146,2506,2364,1137,91,89,0,500,2749;
@400000005e313a020eeedc63 #d,-,18,2502,2368,1135,5,0,177502,11005,2506,2369,1146,2502,2365,1135,91,90,0,500,2749;
@400000005e313a020ef7c532 #d,-,18,2497,2369,1139,6,0,177412,10999,2502,2369,1139,2497,2367,1130,91,91,0,500,2734;
@400000005e313a040f0463f4 #d,-,18,2493,2369,1139,7,0,177339,10995,2497,2370,1140,2493,2367,1133,91,92,0,500,2737;
@400000005e313a040f0cfbbd #d,-,18,2489,2367,1133,7,0,178757,11082,2493,2370,1139,2489,2366,1131,90,94,0,500,2737;
@400000005e313a060f1a0b2f #d,-,18,2485,2368,1133,8,0,177138,10982,2489,2369,1134,2485,2366,1127,91,93,0,500,2730;
@400000005e313a060f23001a #d,-,18,2480,2369,1132,9,0,177059,10977,2485,2369,1137,2480,2367,1130,91,94,0,500,2725;
@400000005e313a080f3042c6 #d,-,18,2478,2369,1137,9,0,177020,10975,2480,2369,1137,2478,2367,1132,90,94,0,500,2734;
@400000005e313a080f38f4a2 #d,-,18,2475,2368,1132,10,0,176949,10970,2478,2370,1138,2475,2367,1129,90,94,0,500,2732;
@400000005e313a0a0f45edbb #d,-,18,2472,2368,1130,11,0,176870,10965,2475,2369,1132,2472,2366,1126,90,95,0,500,2727;
@400000005e313a0a0f4f24c5 #d,-,18,2468,2369,1128,11,0,177758,11021,2472,2369,1132,2468,2366,1124,90,96,0,500,2715;
@400000005e313a0c0f5cb965 #d,-,18,2464,2368,1129,12,0,176675,10953,2468,2369,1131,2464,2366,1126,90,95,0,500,2720;
@400000005e313a0c0f65353e #d,-,18,2461,2370,1127,13,0,176593,10948,2464,2370,1131,2461,2368,1126,90,95,0,500,2720;
@400000005e313a0e0f723d3d #d,-,18,2459,2369,1133,13,0,176518,10944,2461,2370,1133,2459,2367,1125,90,96,0,500,2720;
@400000005e313a0e0f7b0750 #d,-,18,2456,2369,1125,14,0,177257,10989,2459,2370,1133,2456,2367,1125,90,96,0,500,2718;
@400000005e313a100f888fd5 #d,-,18,2454,2369,1123,15,0,176364,10934,2456,2369,1130,2454,2366,1122,90,96,0,500,2720;
@400000005e313a100f912b58 #d,-,18,2450,2369,1119,16,0,176260,10928,2454,2369,1125,2450,2367,1116,90,96,0,500,2704;
@400000005e313a120f9e98db #d,-,18,2447,2369,1128,16,0,176188,10923,2450,2369,1129,2447,2367,1119,90,96,0,500,2708;
@400000005e313a120fa7336f #d,-,18,2445,2369,1120,17,0,176110,10918,2447,2370,1128,2445,2367,1119,90,96,0,500,2711;
@400000005e313a140fb2d898 #d,-,18,2442,2369,1121,18,0,176011,10912,2445,2370,1122,2442,2367,1115,90,97,0,500,2706;
@400000005e313a140fbb4c0f #d,-,18,2439,2370,1119,18,0,175925,10907,2442,2370,1123,2439,2367,1116,90,97,0,500,2697;
@400000005e313a160fc8ae65 #d,-,18,2437,2370,1122,19,0,175854,10902,2439,2371,1125,2437,2368,1117,90,97,0,500,2704;
@400000005e313a160fd12df7 #d,-,18,2435,2370,1119,20,0,175788,10898,2437,2370,1125,2435,2368,1119,89,97,0,500,2706;
@400000005e313a180fdde7bb #d,-,18,2433,2369,1121,20,0,175713,10894,2435,2370,1123,2433,2368,1116,90,97,0,500,2701;
@400000005e313a180fe70fde #d,-,18,2431,2368,1120,21,0,176200,10924,2433,2370,1125,2431,2368,1116,90,97,0,500,2701;
@400000005e313a1a0ff47500 #d,-,18,2430,2367,1124,22,0,176134,10920,2431,2370,1125,2430,2366,1116,89,97,0,500,2701;
@400000005e313a1a0ffd32f7 #d,-,18,2429,2368,1120,22,0,175543,10883,2430,2369,1126,2429,2367,1120,89,97,0,500,2706;
@400000005e313a1c100adb27 #d,-,18,2429,2368,1125,23,0,175499,10880,2429,2369,1128,2429,2367,1119,89,97,0,500,2706;
@400000005e313a1c101376a9 #d,-,18,2427,2371,1118,24,0,175442,10877,2429,2372,1126,2427,2368,1118,89,97,0,500,2701;
@400000005e313a1e1020a980 #d,-,18,2426,2369,1123,24,0,175392,10874,2427,2371,1123,2426,2368,1118,89,97,0,500,2704;
@400000005e313a1e102963be #d,-,18,2426,2369,1119,25,0,175349,10871,2426,2370,1126,2426,2367,1118,89,97,0,500,2701;
