@400000005e328b663529dd3f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e328b672389b72c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e328b67299b699f #f,-,48,86,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e328b6929b162d0 #d,-,18,2651,2371,1207,1,0,198085,12281,2653,2372,1210,2651,2369,1203,91,100,0,501,2896;
@400000005e328b6b29c1c66b #d,-,18,2651,2369,1201,1,0,194885,12082,2651,2371,1211,2651,2369,1195,91,100,0,501,2903;
@400000005e328b6b29cb284d #d,-,18,2648,2372,1193,2,0,188191,11667,2651,2372,1202,2648,2369,1192,91,100,0,501,2884;
@400000005e328b6d29dafb8e #d,-,18,2645,2370,1201,3,0,188206,11668,2648,2372,1211,2645,2370,1184,91,100,0,501,2881;
@400000005e328b6d29e47d19 #d,-,18,2641,2371,1197,4,0,188142,11664,2645,2372,1201,2641,2369,1194,91,100,0,501,2872;
@400000005e328b6f29f44bb2 #d,-,18,2638,2370,1195,4,0,188098,11662,2641,2372,1202,2638,2370,1191,91,100,0,501,2881;
@400000005e328b6f29fdad94 #d,-,18,2635,2371,1192,5,0,187955,11653,2638,2372,1195,2635,2370,1187,91,100,0,501,2870;
@400000005e328b712a0d0f35 #d,-,18,2631,2370,1113,6,0,186779,11580,2635,2373,1195,2631,2370,1073,91,100,0,501,2865;
@400000005e328b712a167205 #d,-,18,2451,2369,1199,6,0,186624,11570,2631,2372,1220,2451,2369,1108,90,100,0,501,2723;
@400000005e328b732a261d3a #d,-,18,2601,2371,1185,7,0,186629,11571,2601,2371,1199,2451,2369,1185,90,100,0,501,2867;
@400000005e328b732a2f73ef #d,-,18,2600,2369,1194,8,0,186634,11571,2601,2371,1194,2600,2368,1185,90,100,0,501,2858;
@400000005e328b752a3eba8e #d,-,18,2601,2367,1188,9,0,188107,11662,2601,2370,1194,2600,2367,1185,90,100,0,501,2862;
@400000005e328b752a484747 #d,-,18,2600,2366,1187,9,0,186610,11569,2601,2369,1190,2600,2366,1182,91,100,0,501,2855;
@400000005e328b772a581e41 #d,-,18,2600,2367,1187,10,0,186586,11568,2600,2368,1192,2600,2365,1182,91,100,0,501,2853;
@400000005e328b772a61b35c #d,-,18,2599,2367,1186,11,0,186565,11567,2600,2368,1190,2599,2365,1184,91,100,0,501,2853;
@400000005e328b792a718a56 #d,-,18,2598,2365,1191,11,0,186555,11566,2599,2368,1191,2598,2365,1185,91,100,0,501,2851;
@400000005e328b792a7aeff2 #d,-,18,2598,2366,1187,12,0,186522,11564,2598,2367,1191,2598,2365,1187,90,100,0,500,2858;
@400000005e328b7b2a8a8113 #d,-,18,2598,2366,1185,13,0,186485,11562,2598,2367,1190,2598,2365,1182,91,100,0,500,2853;
@400000005e328b7b2a942d76 #d,-,18,2596,2364,1183,14,0,187379,11617,2598,2367,1191,2596,2364,1182,91,100,0,500,2848;
@400000005e328b7d2aa3ffc8 #d,-,18,2595,2366,1183,14,0,187297,11612,2596,2367,1189,2595,2364,1180,91,100,0,500,2848;
@400000005e328b7d2aad89b6 #d,-,18,2593,2366,1184,15,0,186348,11553,2595,2366,1186,2593,2364,1181,91,100,0,501,2843;
@400000005e328b7f2abd7bb2 #d,-,18,2592,2366,1182,16,0,186306,11551,2593,2367,1187,2592,2365,1181,91,100,0,501,2843;
@400000005e328b7f2ac6e5f6 #d,-,18,2591,2364,1187,17,0,186274,11549,2592,2366,1188,2591,2363,1182,91,100,0,501,2846;
@400000005e328b812ad694e4 #d,-,18,2590,2361,1184,17,0,186233,11546,2591,2364,1190,2590,2361,1181,91,100,0,501,2843;
@400000005e328b812ae045ef #d,-,18,2589,2363,1183,18,0,186200,11544,2590,2364,1189,2589,2361,1182,91,100,0,501,2843;
@400000005e328b832af03f5f #d,-,18,2587,2365,1176,19,0,186117,11539,2589,2366,1183,2587,2363,1174,91,100,0,501,2834;
@400000005e328b832af9c94d #d,-,18,2584,2364,1180,19,0,186049,11535,2587,2365,1181,2584,2363,1174,91,100,0,501,2827;
@400000005e328b852b09d292 #d,-,18,2583,2363,1180,20,0,186642,11571,2584,2365,1183,2583,2363,1176,91,100,0,501,2829;
@400000005e328b852b135b91 #d,-,18,2580,2365,1177,21,0,185933,11527,2583,2366,1182,2580,2363,1174,91,100,0,501,2829;
@400000005e328b872b22d47b #d,-,18,2579,2364,1179,22,0,185883,11524,2580,2366,1183,2579,2363,1176,91,100,0,501,2827;
@400000005e328b872b2c8940 #d,-,18,2577,2364,1181,22,0,185836,11521,2579,2365,1183,2577,2363,1178,91,100,0,501,2829;
@400000005e328b892b3c57d9 #d,-,18,2577,2364,1179,23,0,186358,11554,2577,2365,1184,2577,2362,1176,90,100,0,501,2832;
@400000005e328b892b4623e6 #d,-,18,2576,2366,1178,24,0,185746,11516,2577,2367,1180,2576,2362,1176,91,100,0,501,2825;
@400000005e328b8b2b56060d #d,-,18,2575,2367,1179,24,0,185707,11513,2576,2368,1181,2575,2366,1176,91,100,0,501,2829;
@400000005e328b8b2b5f7051 #d,-,18,2574,2367,1179,25,0,185670,11511,2575,2368,1181,2574,2366,1177,90,100,0,501,2834;
@400000005e328b8d2b6f0c9f #d,-,18,2573,2368,1174,26,0,185620,11508,2574,2369,1180,2573,2366,1174,90,100,0,501,2829;
