@400000005e3180872441d47a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3180881293052b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e31808818a11d9c #f,-,48,214,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e31808a18b36582 #d,-,18,2688,2348,1212,1,0,188134,11664,2691,2351,1233,2688,2348,1209,92,100,0,500,2917;
@400000005e31808c18c1054f #d,-,18,2683,2348,1209,2,0,188668,11697,2688,2349,1216,2683,2347,1209,92,100,0,500,2893;
@400000005e31808c18c9db7e #d,-,18,2678,2351,1212,2,0,188880,11710,2683,2351,1214,2678,2348,1207,92,100,0,500,2893;
@400000005e31808e18d773d8 #d,-,18,2672,2351,1202,3,0,188789,11704,2678,2351,1212,2672,2351,1202,92,100,0,500,2881;
@400000005e31808e18dffadd #d,-,18,2667,2350,1208,4,0,188821,11706,2672,2351,1211,2667,2350,1202,92,100,0,500,2881;
@400000005e31809018ec4f1e #d,-,18,2662,2349,1201,5,0,188743,11702,2667,2351,1208,2662,2349,1200,92,100,0,500,2877;
@400000005e31809018f55024 #d,-,18,2657,2350,1202,5,0,188667,11697,2662,2350,1207,2657,2349,1201,92,100,0,500,2872;
@400000005e3180921902d8a9 #d,-,18,2652,2353,1199,6,0,188561,11690,2657,2353,1205,2652,2349,1198,92,100,0,500,2872;
@400000005e318092190b92e7 #d,-,18,2647,2350,1196,7,0,188391,11680,2652,2353,1201,2647,2349,1191,92,100,0,500,2865;
@400000005e3180941918aabc #d,-,18,2642,2351,1198,7,0,188251,11671,2647,2352,1200,2642,2350,1195,92,100,0,500,2855;
@400000005e318094192149f8 #d,-,18,2637,2353,1195,8,0,188146,11665,2642,2353,1201,2637,2351,1193,92,100,0,500,2858;
@400000005e318096192e174b #d,-,18,2632,2352,1190,9,0,187992,11655,2637,2353,1197,2632,2351,1188,92,100,0,500,2853;
@400000005e3180961937659e #d,-,18,2627,2356,1193,10,0,187869,11647,2632,2356,1195,2627,2352,1188,92,100,0,500,2846;
@400000005e318098194502a0 #d,-,18,2623,2353,1190,10,0,187754,11640,2627,2356,1196,2623,2353,1188,92,100,0,500,2848;
@400000005e318098194de042 #d,-,18,2620,2351,1194,11,0,187652,11634,2623,2353,1197,2620,2351,1190,91,100,0,500,2848;
@400000005e31809a195b26a7 #d,-,18,2616,2353,1190,12,0,187554,11628,2620,2354,1195,2616,2351,1188,91,100,0,500,2848;
