@400000005e33da4336d1f362 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e33da442530c889 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33da442b4289e3 #f,-,48,18,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e33da462b5b2738 #d,-,18,2463,2355,1139,0,0,189085,11723,2464,2355,1144,2463,2353,1138,90,100,0,499,2734;
@400000005e33da482b6c846b #d,-,18,2463,2358,1141,1,0,176537,10945,2463,2358,1143,2463,2355,1138,90,100,0,499,2732;
@400000005e33da482b7630ce #d,-,18,2463,2361,1138,2,0,176562,10946,2463,2361,1143,2463,2358,1136,90,100,0,499,2734;
@400000005e33da4a2b861f11 #d,-,18,2463,2362,1141,2,0,176576,10947,2463,2362,1143,2463,2360,1135,90,100,0,499,2734;
@400000005e33da4a2b8fbf59 #d,-,18,2462,2362,1136,3,0,176558,10946,2463,2362,1141,2462,2360,1135,90,100,0,499,2734;
@400000005e33da4c2b9f8a38 #d,-,18,2462,2363,1135,4,0,176524,10944,2462,2363,1141,2462,2360,1135,90,100,0,499,2734;
@400000005e33da4c2ba91f52 #d,-,18,2461,2363,1132,4,0,176422,10938,2462,2363,1137,2461,2361,1129,90,100,0,500,2730;
@400000005e33da4e2bb90268 #d,-,18,2459,2362,1132,5,0,176328,10932,2461,2363,1138,2459,2361,1129,90,100,0,500,2723;
@400000005e33da4e2bc2803a #d,-,18,2458,2362,1138,6,0,176283,10929,2459,2362,1138,2458,2360,1131,90,100,0,500,2725;
@400000005e33da502bd1b617 #d,-,18,2457,2362,1132,6,0,177928,11031,2458,2362,1138,2457,2360,1130,90,100,0,500,2723;
@400000005e33da502bdb5ec0 #d,-,18,2456,2361,1134,7,0,176205,10924,2457,2362,1136,2456,2359,1130,90,100,0,500,2725;
@400000005e33da522bea474f #d,-,18,2455,2358,1137,8,0,176169,10922,2456,2361,1137,2455,2358,1130,90,100,0,499,2723;
@400000005e33da522bf45936 #d,-,18,2454,2358,1135,8,0,176150,10921,2455,2359,1139,2454,2357,1132,90,100,0,499,2723;
@400000005e33da542c044fdb #d,-,18,2454,2358,1137,9,0,176133,10920,2454,2359,1138,2454,2357,1132,90,100,0,499,2725;
@400000005e33da542c0e03b1 #d,-,18,2454,2357,1136,10,0,177262,10990,2454,2359,1137,2454,2356,1132,90,100,0,499,2725;
@400000005e33da562c1e0583 #d,-,18,2454,2357,1136,11,0,176105,10918,2454,2358,1139,2454,2356,1132,90,100,0,499,2723;
@400000005e33da562c276fc6 #d,-,18,2453,2357,1132,11,0,176069,10916,2454,2359,1138,2453,2357,1130,90,100,0,499,2725;
@400000005e33da582c3755a7 #d,-,18,2451,2357,1130,12,0,176021,10913,2453,2359,1135,2451,2356,1128,90,100,0,499,2715;
@400000005e33da582c40cfc0 #d,-,18,2450,2358,1135,13,0,176900,10967,2451,2360,1137,2450,2357,1129,90,100,0,500,2718;
@400000005e33da5a2c5063ac #d,-,18,2450,2358,1128,13,0,175954,10909,2450,2360,1137,2450,2357,1127,90,100,0,500,2718;
@400000005e33da5a2c5a1fe4 #d,-,18,2449,2359,1136,14,0,175932,10907,2450,2361,1136,2449,2358,1127,90,100,0,500,2718;
@400000005e33da5c2c6a73ab #d,-,18,2448,2359,1130,15,0,175898,10905,2449,2360,1136,2448,2358,1128,90,100,0,500,2718;
@400000005e33da5c2c744bd3 #d,-,18,2447,2359,1133,15,0,175868,10903,2448,2359,1137,2447,2356,1128,89,100,0,500,2720;
@400000005e33da5e2c848fc5 #d,-,18,2447,2360,1136,16,0,175846,10902,2447,2360,1138,2447,2357,1129,89,100,0,500,2720;
@400000005e33da5e2c8e4bfd #d,-,18,2446,2360,1132,17,0,175826,10901,2447,2360,1137,2446,2359,1130,89,100,0,500,2720;
@400000005e33da602c9e26b1 #d,-,18,2446,2360,1138,17,0,176484,10942,2446,2360,1138,2446,2357,1129,89,100,0,500,2723;
@400000005e33da602ca7b723 #d,-,18,2446,2361,1127,18,0,175785,10898,2446,2361,1138,2446,2359,1126,89,100,0,500,2720;
@400000005e33da622cb74fb8 #d,-,18,2444,2359,1129,19,0,175738,10895,2446,2361,1132,2444,2358,1122,90,100,0,500,2713;
@400000005e33da622cc0d4fd #d,-,18,2443,2358,1131,19,0,175695,10893,2444,2361,1132,2443,2358,1124,90,100,0,500,2706;
@400000005e33da642cd03a59 #d,-,18,2441,2359,1128,20,0,176242,10927,2443,2360,1133,2441,2358,1125,90,100,0,500,2711;
@400000005e33da642cd9cbba #d,-,18,2440,2358,1131,21,0,175636,10889,2441,2361,1132,2440,2357,1124,89,100,0,500,2713;
@400000005e33da662ce9644e #d,-,18,2439,2360,1125,21,0,175604,10887,2440,2360,1133,2439,2357,1124,89,100,0,500,2711;
@400000005e33da662cf36660 #d,-,18,2439,2359,1129,22,0,175583,10886,2439,2361,1133,2439,2359,1125,89,100,0,500,2713;
@400000005e33da682d034d2f #d,-,18,2439,2360,1129,23,0,175559,10884,2439,2361,1133,2439,2359,1124,89,100,0,500,2711;
@400000005e33da682d0d2469 #d,-,18,2438,2359,1129,23,0,175541,10883,2439,2361,1134,2438,2359,1126,89,100,0,500,2713;
@400000005e33da6a2d1d0691 #d,-,18,2438,2358,1133,24,0,175523,10882,2438,2362,1133,2438,2358,1126,89,100,0,500,2715;
@400000005e33da6a2d26881d #d,-,18,2438,2359,1129,25,0,175502,10881,2438,2361,1134,2438,2358,1126,89,100,0,500,2713;
@400000005e33da6c2d35e24b #d,-,18,2438,2358,1133,25,0,175491,10880,2438,2360,1136,2438,2358,1128,89,100,0,500,2715;
