@400000005e12e71b3ab2a471 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e12e71c29037f74 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e12e71c2f14db4b #f,-,48,83,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e12e71e2f2bc2e6 #d,-,18,2651,2364,1132,1,0,183294,11364,2652,2367,1142,2651,2364,1125,98,55,0,500,2680;
@400000005e12e7202f394f25 #d,-,18,2652,2365,1132,1,0,185701,11513,2652,2365,1134,2651,2363,1131,98,71,0,500,2687;
@400000005e12e7202f4370e1 #d,-,18,2651,2366,1132,2,0,186840,11584,2652,2367,1134,2651,2365,1132,98,78,0,500,2687;
@400000005e12e7222f533bc0 #d,-,18,2651,2365,1160,3,0,187753,11640,2651,2366,1160,2651,2365,1132,98,83,0,500,2687;
@400000005e12e7222f5d2eeb #d,-,18,2655,2367,1135,4,0,191599,11879,2655,2367,1163,2651,2365,1125,97,87,0,500,2717;
@400000005e12e7242f6cdb0e #d,-,18,2655,2365,1133,4,0,191397,11866,2655,2367,1135,2655,2364,1133,98,89,0,500,2685;
@400000005e12e7242f77a0b3 #d,-,18,2655,2366,1134,5,0,188810,11706,2655,2366,1135,2655,2364,1133,98,89,0,500,2691;
@400000005e12e7262f84907c #d,-,18,2655,2366,1133,6,0,191146,11851,2655,2366,1135,2655,2366,1133,98,91,0,500,2691;
@400000005e12e7262f8e7fed #d,-,18,2655,2365,1157,7,0,191187,11853,2655,2366,1157,2655,2364,1132,98,92,0,500,2691;
@400000005e12e7282f9e08ac #d,-,18,2660,2367,1135,7,0,189460,11746,2660,2367,1165,2655,2365,1127,97,92,0,500,2730;
@400000005e12e7282fa8878a #d,-,18,2659,2365,1136,8,0,189564,11752,2660,2367,1137,2659,2365,1135,98,93,0,500,2689;
@400000005e12e72a2fb4ad39 #d,-,18,2659,2366,1135,9,0,189634,11757,2659,2366,1136,2659,2364,1134,98,93,0,500,2694;
@400000005e12e72a2fbf0d5b #d,-,18,2661,2364,1161,10,0,189930,11775,2661,2366,1161,2659,2364,1135,98,94,0,500,2705;
@400000005e12e72c2fccd8ee #d,-,18,2713,2363,1159,10,0,190237,11794,2713,2364,1162,2661,2362,1154,98,94,0,500,2749;
@400000005e12e72c2fd6ead5 #d,-,18,2715,2362,1145,11,0,190498,11810,2715,2365,1182,2713,2362,1142,98,94,0,500,2764;
@400000005e12e72e2fe30823 #d,-,18,2710,2362,1145,12,0,190599,11817,2715,2363,1147,2710,2362,1145,99,95,0,500,2719;
@400000005e12e72e2fedc29b #d,-,18,2707,2364,1146,13,0,190695,11823,2710,2364,1148,2707,2361,1145,99,95,0,500,2717;
@400000005e12e7302ffdf2fe #d,-,18,2704,2363,1136,13,0,191766,11889,2707,2365,1147,2704,2363,1136,99,96,0,500,2717;
@400000005e12e730300814ba #d,-,18,2699,2362,1139,14,0,191705,11885,2704,2364,1140,2699,2362,1136,99,96,0,500,2700;
@400000005e12e732301687f0 #d,-,18,2697,2362,1134,15,0,191750,11888,2699,2362,1168,2697,2361,1130,99,96,0,500,2719;
@400000005e12e73230215d6b #d,-,18,2693,2362,1137,15,0,191706,11885,2697,2363,1140,2693,2361,1134,99,96,0,500,2701;
@400000005e12e734302db1ab #d,-,18,2689,2360,1137,16,0,190820,11830,2693,2362,1138,2689,2360,1135,99,96,0,500,2696;
@400000005e12e7343037df83 #d,-,18,2685,2363,1138,17,0,191619,11880,2689,2363,1139,2685,2359,1137,99,97,0,500,2696;
@400000005e12e7363044c41e #d,-,18,2682,2364,1136,18,0,191581,11878,2685,2364,1139,2682,2363,1136,99,97,0,500,2696;
@400000005e12e736304aaba7 #d,-,18,2682,2362,1130,18,0,191618,11880,2682,2364,1168,2682,2362,1129,98,97,0,500,2712;
@400000005e12e73830544cdd #d,-,18,2680,2365,1136,19,0,190872,11834,2682,2365,1139,2680,2362,1130,99,97,0,500,2707;
@400000005e12e738305ec448 #d,-,18,2677,2365,1137,20,0,190861,11833,2680,2365,1137,2677,2362,1135,99,97,0,500,2696;
@400000005e12e73a3069a997 #d,-,18,2675,2362,1147,21,0,190874,11834,2677,2365,1148,2675,2362,1137,99,97,0,500,2696;
@400000005e12e73a3073bf38 #d,-,18,2675,2363,1140,21,0,190882,11834,2675,2363,1147,2675,2361,1138,98,97,0,500,2707;
@400000005e12e73c308330af #d,-,18,2675,2360,1134,22,0,190956,11839,2675,2363,1172,2675,2360,1134,98,97,0,500,2710;
@400000005e12e73c308e0629 #d,-,18,2676,2363,1141,23,0,190961,11839,2676,2363,1142,2675,2360,1134,98,97,0,500,2719;
@400000005e12e73e30995c29 #d,-,18,2674,2364,1139,24,0,190963,11839,2676,2364,1141,2674,2362,1138,99,97,0,500,2701;
@400000005e12e73e30a3c867 #d,-,18,2673,2364,1140,24,0,190970,11840,2674,2365,1141,2673,2364,1138,98,97,0,500,2701;
@400000005e12e74030b41012 #d,-,18,2673,2365,1139,25,0,190975,11840,2673,2365,1140,2673,2363,1139,98,97,0,500,2701;
@400000005e12e74030be0e6a #d,-,18,2673,2363,1138,26,0,191039,11844,2673,2365,1171,2673,2361,1138,98,97,0,500,2707;
@400000005e12e74230cd700b #d,-,18,2674,2364,1138,27,0,191032,11844,2674,2365,1141,2673,2361,1133,98,97,0,500,2724;
@400000005e12e74230d831f7 #d,-,18,2673,2363,1139,27,0,191031,11843,2674,2364,1140,2673,2361,1138,98,97,0,500,2701;
@400000005e12e74430e512d9 #d,-,18,2672,2364,1140,28,0,191034,11844,2673,2364,1141,2672,2362,1138,98,97,0,500,2700;
