@400000005e142b7004f662c6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e142b702ede850f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e142b7034e53289 #f,-,48,167,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e142b7234f5fba8 #d,-,18,2667,2342,1157,1,0,190728,11825,2667,2342,1183,2665,2342,1149,98,100,0,500,2708;
@400000005e142b7435073dda #d,-,18,2670,2342,1149,2,0,190818,11830,2670,2342,1157,2667,2341,1143,97,100,0,500,2730;
@400000005e142b7435113c31 #d,-,18,2671,2343,1152,3,0,190969,11840,2671,2345,1152,2670,2342,1149,98,100,0,500,2703;
@400000005e142b7635197230 #d,-,18,2671,2342,1151,3,0,191061,11845,2671,2343,1152,2671,2342,1150,98,100,0,500,2705;
@400000005e142b76351e30a2 #d,-,18,2671,2342,1152,4,0,191123,11849,2671,2343,1152,2671,2341,1151,98,100,0,500,2705;
@400000005e142b78352d6ee0 #d,-,18,2671,2342,1170,5,0,191503,11873,2671,2342,1183,2671,2341,1151,98,100,0,500,2705;
@400000005e142b783537b400 #d,-,18,2674,2342,1152,5,0,191482,11871,2674,2342,1170,2671,2341,1144,97,100,0,500,2732;
@400000005e142b7a35400c74 #d,-,18,2674,2341,1152,6,0,191477,11871,2674,2342,1152,2674,2341,1150,98,100,0,500,2707;
@400000005e142b7a3545aa6a #d,-,18,2673,2341,1152,7,0,191474,11871,2674,2342,1153,2673,2341,1151,98,100,0,500,2703;
@400000005e142b7c35524484 #d,-,18,2673,2341,1153,8,0,191461,11870,2673,2341,1153,2673,2341,1150,98,100,0,500,2707;
@400000005e142b7c355c4ef7 #d,-,18,2673,2340,1183,8,0,191638,11881,2673,2341,1185,2673,2340,1150,98,100,0,500,2703;
@400000005e142b7e3564a3b2 #d,-,18,2676,2341,1151,9,0,191606,11879,2676,2341,1183,2673,2340,1143,97,100,0,500,2732;
@400000005e142b7e356ee8d1 #d,-,18,2675,2341,1152,10,0,191579,11877,2676,2341,1152,2675,2341,1149,99,100,0,500,2701;
@400000005e142b803578b125 #d,-,18,2674,2340,1152,11,0,191563,11876,2675,2341,1153,2674,2340,1151,98,100,0,500,2703;
@400000005e142b80358376ca #d,-,18,2674,2340,1152,11,0,191555,11876,2674,2340,1153,2674,2339,1151,98,100,0,500,2703;
@400000005e142b8235928a31 #d,-,18,2673,2340,1184,12,0,191643,11881,2674,2340,1184,2673,2339,1151,98,100,0,500,2703;
@400000005e142b82359d2146 #d,-,18,2676,2340,1153,13,0,191644,11881,2676,2341,1184,2673,2340,1145,97,100,0,500,2733;
@400000005e142b8435a5a84b #d,-,18,2675,2341,1151,13,0,191633,11881,2676,2341,1153,2675,2340,1151,98,100,0,500,2703;
@400000005e142b8435b04b7b #d,-,18,2675,2342,1152,14,0,191613,11880,2675,2342,1152,2675,2341,1150,98,100,0,500,2703;
@400000005e142b8635c044eb #d,-,18,2674,2341,1152,15,0,191600,11879,2675,2342,1152,2674,2340,1150,98,100,0,500,2703;
@400000005e142b8635ca7def #d,-,18,2673,2342,1179,16,0,191631,11881,2674,2342,1179,2673,2341,1150,98,100,0,500,2701;
@400000005e142b8835d5e86c #d,-,18,2676,2342,1151,16,0,191651,11882,2676,2342,1182,2673,2342,1142,97,100,0,500,2735;
@400000005e142b8835e0b93f #d,-,18,2675,2343,1150,17,0,191634,11881,2676,2343,1151,2675,2342,1149,99,100,0,500,2698;
@400000005e142b8a35e9315d #d,-,18,2674,2343,1152,18,0,191630,11881,2675,2343,1152,2674,2342,1149,98,100,0,500,2703;
@400000005e142b8a35f3cfe5 #d,-,18,2674,2342,1151,19,0,191619,11880,2674,2343,1152,2674,2342,1150,98,100,0,500,2705;
@400000005e142b8c35fc30bb #d,-,18,2674,2342,1171,20,0,191636,11881,2674,2342,1171,2674,2341,1150,98,100,0,500,2705;
@400000005e142b8c360135f5 #d,-,18,2677,2342,1152,20,0,191687,11884,2677,2342,1183,2674,2340,1145,97,100,0,500,2737;
