@400000005e157fb10cc60d44 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e157fb136ab35ba #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e157fb20116c386 #f,-,48,247,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e157fb6013330e0 #d,-,18,2640,2346,1144,1,0,191951,11901,2640,2349,1170,2639,2343,1135,98,100,0,500,2676;
@400000005e157fb6013de6b1 #d,-,18,2642,2345,1139,2,0,185225,11483,2642,2346,1144,2640,2344,1130,97,100,0,500,2700;
@400000005e157fb8014e5579 #d,-,18,2642,2346,1138,3,0,186166,11542,2642,2346,1140,2642,2344,1138,98,100,0,500,2676;
@400000005e157fb8015896df #d,-,18,2643,2346,1139,3,0,186773,11579,2643,2347,1141,2642,2343,1138,98,100,0,500,2675;
@400000005e157fba01693527 #d,-,18,2642,2344,1139,4,0,187187,11605,2643,2346,1140,2642,2343,1138,98,100,0,500,2678;
@400000005e157fba01734e81 #d,-,18,2642,2345,1160,5,0,187799,11643,2642,2346,1171,2642,2343,1138,98,100,0,500,2676;
@400000005e157fbc0182b796 #d,-,18,2646,2345,1139,6,0,187964,11653,2646,2347,1160,2642,2344,1132,97,100,0,500,2705;
@400000005e157fbc018d8957 #d,-,18,2646,2345,1139,6,0,188116,11663,2646,2346,1141,2646,2344,1138,98,100,0,500,2676;
@400000005e157fbe019d929c #d,-,18,2645,2344,1140,7,0,188239,11670,2646,2346,1140,2645,2343,1139,98,100,0,500,2678;
@400000005e157fbe01a81268 #d,-,18,2645,2342,1140,8,0,190032,11782,2645,2345,1141,2645,2342,1139,98,100,0,500,2678;
@400000005e157fc001aff1ca #d,-,18,2645,2343,1169,8,0,188601,11693,2645,2345,1170,2645,2342,1139,98,100,0,500,2676;
@400000005e157fc001b63b1e #d,-,18,2648,2344,1141,9,0,188660,11696,2648,2346,1169,2645,2343,1132,97,100,0,500,2705;
@400000005e157fc201c05566 #d,-,18,2647,2346,1138,10,0,188718,11700,2648,2346,1141,2647,2343,1138,98,100,0,500,2678;
@400000005e157fc201ca0583 #d,-,18,2647,2345,1143,11,0,188776,11704,2647,2346,1143,2647,2344,1138,98,100,0,500,2676;
@400000005e157fc401d9f00c #d,-,18,2648,2345,1139,11,0,190018,11781,2648,2346,1148,2647,2343,1139,98,100,0,500,2685;
@400000005e157fc401e47b05 #d,-,18,2647,2344,1172,12,0,188983,11717,2648,2346,1172,2647,2343,1139,98,100,0,500,2678;
@400000005e157fc601ecf6dd #d,-,18,2651,2347,1142,13,0,189058,11721,2651,2347,1173,2647,2344,1134,97,100,0,500,2712;
@400000005e157fc601f31559 #d,-,18,2650,2344,1141,13,0,189086,11723,2651,2347,1142,2650,2344,1140,98,100,0,500,2678;
@400000005e157fc801fcca1e #d,-,18,2650,2344,1140,14,0,189112,11724,2650,2346,1141,2650,2343,1140,98,100,0,501,2682;
@400000005e157fc802083c0f #d,-,18,2649,2345,1140,15,0,189140,11726,2650,2347,1142,2649,2344,1139,98,100,0,501,2680;
@400000005e157fca0218b24b #d,-,18,2649,2346,1166,16,0,189204,11730,2649,2347,1166,2649,2344,1138,98,100,0,501,2678;
@400000005e157fca02244b59 #d,-,18,2652,2345,1143,16,0,189272,11734,2652,2347,1171,2649,2344,1133,97,100,0,501,2710;
@400000005e157fcc022f7a3c #d,-,18,2651,2347,1140,17,0,189290,11736,2652,2347,1143,2651,2345,1140,98,100,0,501,2678;
@400000005e157fcc02366fdb #d,-,18,2651,2344,1140,18,0,189302,11736,2651,2347,1142,2651,2344,1140,98,100,0,501,2680;
@400000005e157fce0247b980 #d,-,18,2651,2347,1141,19,0,190040,11782,2651,2347,1142,2651,2344,1140,98,100,0,501,2682;
@400000005e157fce0252fbf1 #d,-,18,2650,2348,1153,19,0,189348,11739,2651,2351,1153,2650,2347,1137,98,100,0,501,2680;
@400000005e157fd00262e67b #d,-,18,2654,2349,1141,20,0,189418,11743,2654,2350,1171,2650,2347,1132,97,100,0,501,2712;
@400000005e157fd0026e500a #d,-,18,2652,2347,1140,21,0,190080,11784,2654,2350,1141,2652,2347,1139,99,100,0,501,2678;
@400000005e157fd20279e918 #d,-,18,2652,2346,1140,22,0,189440,11745,2652,2348,1141,2652,2346,1138,98,100,0,501,2682;
@400000005e157fd20282e1bc #d,-,18,2651,2346,1139,22,0,189449,11745,2652,2348,1142,2651,2346,1139,98,100,0,500,2682;
@400000005e157fd2028c026d #d,-,18,2651,2349,1141,23,0,189460,11746,2651,2350,1141,2651,2346,1139,98,100,0,500,2682;
@400000005e157fd402944ec5 #d,-,18,2654,2348,1143,24,0,189536,11751,2654,2349,1171,2651,2346,1135,98,100,0,500,2707;
@400000005e157fd4029a9819 #d,-,18,2655,2347,1142,24,0,189566,11753,2655,2348,1152,2654,2345,1141,98,100,0,500,2696;
@400000005e157fd602a32c28 #d,-,18,2654,2347,1145,25,0,189585,11754,2655,2347,1145,2654,2345,1141,98,100,0,500,2685;
@400000005e157fd602a90b4f #d,-,18,2655,2346,1143,26,0,189604,11755,2655,2347,1145,2654,2345,1142,98,100,0,500,2691;
@400000005e157fd802b81389 #d,-,18,2654,2347,1143,27,0,189621,11756,2655,2348,1145,2654,2345,1142,98,100,0,500,2689;
@400000005e157fd802c23544 #d,-,18,2658,2346,1138,27,0,189694,11761,2658,2348,1174,2654,2345,1136,98,100,0,500,2707;
@400000005e157fda02ccdfe8 #d,-,18,2658,2347,1143,28,0,190192,11791,2658,2347,1145,2658,2345,1138,98,100,0,500,2698;
@400000005e157fda02d7a947 #d,-,18,2657,2346,1144,29,0,189724,11762,2658,2347,1144,2657,2344,1142,98,100,0,500,2691;
@400000005e157fdc02e04c3d #d,-,18,2657,2345,1144,30,0,189739,11763,2657,2346,1145,2657,2344,1143,98,100,0,500,2689;
@400000005e157fdc02e77b99 #d,-,18,2657,2346,1143,30,0,189754,11764,2657,2347,1145,2657,2345,1142,98,100,0,500,2689;
@400000005e157fde02f01362 #d,-,18,2659,2347,1137,31,0,189813,11768,2659,2348,1174,2657,2345,1137,98,100,0,500,2698;
@400000005e157fde02f82155 #d,-,18,2660,2346,1144,32,0,189825,11769,2660,2348,1145,2659,2346,1137,98,100,0,500,2707;
@400000005e157fe0030800b1 #d,-,18,2659,2345,1144,33,0,190257,11795,2660,2348,1145,2659,2345,1143,98,100,0,500,2691;
@400000005e157fe003125c2b #d,-,18,2659,2346,1143,33,0,190257,11795,2659,2348,1145,2659,2345,1143,98,100,0,500,2689;
@400000005e157fe2032288d4 #d,-,18,2658,2344,1451,34,0,190044,11782,2659,2348,1451,2658,2344,1142,98,100,0,500,2689;
@400000005e157fe2032ced9e #d,-,18,3221,2346,1270,35,0,191223,11855,3221,2347,1555,2658,2343,1270,100,100,0,500,3221;
@400000005e157fe4033cb87d #d,-,18,3215,2345,1290,36,0,191748,11888,3221,2348,1328,3215,2344,1254,98,100,0,500,3249;
@400000005e157fe4034766da #d,-,18,3042,2344,1307,37,0,192313,11923,3215,2345,1345,3042,2341,1288,99,100,0,500,3070;
@400000005e157fe603504bef #d,-,18,3044,2344,1313,38,0,192811,11954,3044,2345,1314,3042,2342,1299,98,100,0,500,3091;
@400000005e157fe6035698fc #d,-,18,3044,2344,1308,38,0,193302,11984,3044,2346,1313,3044,2343,1308,98,100,0,500,3075;
@400000005e157fe8035fbd66 #d,-,18,3045,2344,1324,39,0,193818,12016,3045,2346,1341,3044,2343,1307,99,100,0,500,3075;
@400000005e157fe803668af9 #d,-,18,3048,2344,1309,40,0,194268,12044,3048,2345,1324,3045,2343,1302,98,100,0,501,3102;
@400000005e157fea0376c777 #d,-,18,3048,2345,1309,41,0,194707,12071,3048,2346,1310,3048,2344,1308,99,100,0,501,3075;
@400000005e157fea03814389 #d,-,18,3048,2347,1309,42,0,195126,12097,3048,2347,1310,3048,2344,1307,99,100,0,501,3073;
@400000005e157fec0391f82b #d,-,18,3047,2345,1308,43,0,195534,12123,3048,2347,1309,3047,2345,1308,99,100,0,501,3073;
@400000005e157fec039c593b #d,-,18,3047,2343,1336,44,0,195965,12149,3047,2347,1341,3047,2343,1307,99,100,0,501,3073;
