@400000005e16ca712349eb80 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e16ca7211977702 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e16ca7217a2d407 #f,-,48,119,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e16ca7417b317f8 #d,-,18,2708,2370,1150,1,0,188083,11661,2710,2370,1185,2707,2367,1149,99,100,0,499,2724;
@400000005e16ca7617c3e4d1 #d,-,18,2707,2365,1149,2,0,189887,11773,2708,2370,1153,2707,2365,1149,98,100,0,499,2735;
@400000005e16ca7617ce5882 #d,-,18,2706,2365,1151,2,0,190763,11827,2707,2367,1152,2706,2365,1149,99,100,0,499,2733;
@400000005e16ca7817d6b869 #d,-,18,2705,2365,1160,3,0,191353,11863,2706,2365,1160,2705,2363,1150,99,100,0,499,2732;
@400000005e16ca7817dc1440 #d,-,18,2708,2366,1151,4,0,191981,11902,2708,2366,1182,2705,2364,1144,98,100,0,499,2762;
@400000005e16ca7a17ebb801 #d,-,18,2707,2364,1151,5,0,192197,11916,2708,2366,1153,2707,2363,1150,99,100,0,499,2732;
@400000005e16ca7a17f60c08 #d,-,18,2705,2365,1149,5,0,194754,12074,2707,2366,1151,2705,2364,1149,99,100,0,499,2732;
@400000005e16ca7c17fe7451 #d,-,18,2704,2364,1151,6,0,194600,12065,2705,2365,1152,2704,2363,1149,99,100,0,499,2730;
@400000005e16ca7c1808a5e2 #d,-,18,2703,2365,1152,7,0,192533,11937,2704,2367,1152,2703,2364,1150,98,100,0,499,2732;
@400000005e16ca7e18194b9d #d,-,18,2706,2365,1148,8,0,192778,11952,2706,2366,1182,2703,2364,1144,98,100,0,499,2757;
@400000005e16ca7e1823b421 #d,-,18,2705,2364,1152,8,0,192829,11955,2706,2365,1153,2705,2363,1148,98,100,0,499,2737;
@400000005e16ca801832c3ce #d,-,18,2704,2364,1152,9,0,192880,11958,2705,2365,1153,2704,2363,1150,98,100,0,499,2732;
@400000005e16ca80183dfecc #d,-,18,2704,2363,1152,10,0,192909,11960,2704,2365,1153,2704,2362,1149,98,100,0,499,2732;
@400000005e16ca82184cdb40 #d,-,18,2703,2364,1151,11,0,192926,11961,2704,2364,1152,2703,2361,1150,98,100,0,499,2732;
@400000005e16ca8218575664 #d,-,18,2705,2363,1145,11,0,193070,11970,2705,2364,1182,2703,2362,1143,98,100,0,499,2748;
@400000005e16ca84185fc70f #d,-,18,2704,2363,1151,12,0,194232,12042,2705,2364,1153,2704,2362,1145,98,100,0,499,2741;
@400000005e16ca841865e944 #d,-,18,2703,2360,1150,13,0,194172,12038,2704,2363,1152,2703,2360,1149,99,100,0,499,2728;
