@400000005e18244106bee20f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e18244130a978fd #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e18244136b9d782 #f,-,48,207,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e18244336cedad4 #d,-,18,2674,2335,1159,1,0,188624,11694,2731,2338,1173,2671,2334,1154,98,100,0,500,2726;
@400000005e18244536dd5937 #d,-,18,2675,2338,1162,2,0,189887,11773,2675,2338,1162,2674,2334,1158,98,100,0,500,2716;
@400000005e18244536e855cf #d,-,18,2676,2335,1175,2,0,190681,11822,2676,2338,1175,2675,2335,1158,98,100,0,500,2719;
@400000005e18244736f323d7 #d,-,18,2681,2337,1161,3,0,191353,11863,2681,2338,1193,2676,2335,1152,97,100,0,500,2749;
@400000005e18244736fd644e #d,-,18,2681,2338,1158,4,0,194776,12076,2681,2338,1161,2681,2337,1158,98,100,0,500,2714;
@400000005e1824493705cc97 #d,-,18,2682,2338,1158,5,0,191656,11882,2682,2338,1160,2681,2338,1158,98,100,0,500,2717;
@400000005e182449370fbc09 #d,-,18,2682,2336,1158,5,0,191751,11888,2682,2338,1162,2682,2335,1158,98,100,0,500,2717;
@400000005e18244b37187a00 #d,-,18,2682,2336,1163,6,0,193992,12027,2682,2336,1163,2682,2335,1157,98,100,0,500,2717;
@400000005e18244b3720de90 #d,-,18,2686,2337,1158,7,0,194018,12029,2686,2337,1192,2682,2335,1152,97,100,0,500,2746;
@400000005e18244d3729756a #d,-,18,2686,2337,1160,8,0,193871,12020,2686,2337,1161,2686,2337,1158,98,100,0,500,2717;
@400000005e18244d3733786a #d,-,18,2685,2336,1159,8,0,193749,12012,2686,2337,1160,2685,2335,1159,98,100,0,500,2716;
@400000005e18244f373bd852 #d,-,18,2685,2336,1159,9,0,192147,11913,2685,2336,1160,2685,2335,1158,98,100,0,500,2717;
@400000005e18244f3744f45a #d,-,18,2685,2336,1158,10,0,192166,11914,2685,2337,1161,2685,2334,1158,98,100,0,500,2717;
