@400000005e1d72a1179942a6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1d72a205e5f705 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d72a20bf602a7 #f,-,48,39,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e1d72a40c0642df #d,-,18,2688,2335,1159,1,0,186459,11560,2688,2336,1168,2688,2334,1156,98,100,0,500,2717;
@400000005e1d72a60c17a874 #d,-,18,2687,2336,1160,2,0,188371,11679,2688,2336,1161,2687,2335,1158,98,100,0,500,2716;
@400000005e1d72a60c21ae3f #d,-,18,2687,2334,1167,2,0,189951,11776,2687,2336,1191,2687,2333,1160,98,100,0,500,2717;
@400000005e1d72a80c2a4608 #d,-,18,2690,2334,1158,3,0,190357,11802,2690,2335,1167,2687,2333,1155,98,100,0,500,2742;
@400000005e1d72a80c34f0ab #d,-,18,2689,2333,1160,4,0,190663,11821,2690,2335,1161,2689,2332,1158,99,100,0,500,2714;
@400000005e1d72aa0c454472 #d,-,18,2688,2334,1159,5,0,190883,11834,2689,2335,1161,2688,2333,1159,98,100,0,500,2716;
@400000005e1d72aa0c4f3a68 #d,-,18,2687,2332,1159,5,0,191060,11845,2688,2334,1162,2687,2332,1159,99,100,0,500,2714;
@400000005e1d72ac0c5793cb #d,-,18,2686,2332,1181,6,0,191451,11870,2687,2333,1193,2686,2329,1159,98,100,0,500,2714;
@400000005e1d72ac0c625970 #d,-,18,2689,2333,1161,7,0,191504,11873,2689,2333,1181,2686,2329,1154,97,100,0,500,2744;
@400000005e1d72ae0c6ab1e4 #d,-,18,2688,2333,1161,8,0,193335,11986,2689,2333,1162,2688,2332,1160,98,100,0,500,2716;
@400000005e1d72ae0c753924 #d,-,18,2688,2331,1159,8,0,191638,11881,2688,2333,1162,2688,2331,1159,98,100,0,500,2716;
@400000005e1d72b00c833f63 #d,-,18,2687,2331,1160,9,0,191681,11884,2688,2332,1162,2687,2331,1159,99,100,0,500,2714;
@400000005e1d72b00c8d8483 #d,-,18,2686,2332,1197,10,0,191880,11896,2687,2332,1197,2686,2330,1160,98,100,0,500,2716;
@400000005e1d72b20c99e7aa #d,-,18,2753,2330,1192,10,0,192270,11920,2753,2333,1205,2686,2330,1190,99,100,0,500,2778;
@400000005e1d72b20ca4a223 #d,-,18,2751,2332,1179,11,0,192468,11933,2753,2332,1192,2751,2329,1174,99,100,0,500,2778;
@400000005e1d72b40cb39225 #d,-,18,2746,2334,1162,12,0,192484,11934,2751,2335,1179,2746,2332,1157,100,100,0,500,2746;
@400000005e1d72b40cbde360 #d,-,18,2684,2333,1161,13,0,192492,11934,2746,2334,1168,2684,2333,1160,98,100,0,500,2717;
@400000005e1d72b60cce55e3 #d,-,18,2684,2332,1193,13,0,192574,11939,2684,2333,1193,2684,2332,1159,98,100,0,500,2719;
@400000005e1d72b60cd8779e #d,-,18,2687,2334,1162,14,0,192587,11940,2687,2335,1193,2684,2332,1153,97,100,0,500,2748;
@400000005e1d72b80ce0f377 #d,-,18,2687,2334,1160,15,0,192569,11939,2687,2335,1162,2687,2334,1160,99,100,0,500,2714;
@400000005e1d72b80ce84adf #d,-,18,2687,2335,1159,16,0,192557,11938,2687,2335,1162,2687,2333,1159,98,100,0,500,2717;
@400000005e1d72ba0cf1473d #d,-,18,2686,2335,1160,16,0,192550,11938,2687,2336,1162,2686,2333,1159,98,100,0,500,2717;
@400000005e1d72ba0cf5e33a #d,-,18,2686,2332,1188,17,0,192576,11939,2686,2336,1188,2686,2332,1159,98,100,0,500,2716;
@400000005e1d72bc0cfeff42 #d,-,18,2689,2336,1161,18,0,193374,11989,2689,2336,1191,2686,2332,1152,97,100,0,500,2746;
@400000005e1d72bc0d091c55 #d,-,18,2688,2334,1159,19,0,192585,11940,2689,2336,1161,2688,2334,1159,99,100,0,500,2712;
@400000005e1d72be0d1912fa #d,-,18,2687,2334,1160,20,0,192574,11939,2688,2336,1161,2687,2334,1159,98,100,0,500,2716;
@400000005e1d72be0d232c54 #d,-,18,2687,2335,1160,20,0,192561,11938,2687,2335,1161,2687,2334,1160,99,100,0,500,2714;
@400000005e1d72c00d2b85b7 #d,-,18,2687,2334,1186,21,0,192604,11941,2687,2335,1186,2687,2332,1160,98,100,0,500,2717;
@400000005e1d72c00d307761 #d,-,18,2692,2333,1162,22,0,192649,11944,2692,2335,1198,2687,2333,1153,97,100,0,500,2760;
@400000005e1d72c20d3fdcbd #d,-,18,2690,2335,1161,23,0,193261,11982,2692,2335,1162,2690,2332,1160,99,100,0,500,2712;
@400000005e1d72c20d4aece4 #d,-,18,2689,2333,1161,23,0,193234,11980,2690,2335,1163,2689,2332,1160,99,100,0,500,2716;
@400000005e1d72c40d58ee7b #d,-,18,2688,2334,1162,24,0,192624,11942,2689,2335,1162,2688,2332,1160,98,100,0,500,2717;
@400000005e1d72c40d63c3f6 #d,-,18,2688,2333,1166,25,0,192618,11942,2688,2335,1166,2688,2332,1160,98,100,0,500,2717;
@400000005e1d72c60d70147d #d,-,18,2691,2332,1159,25,0,192665,11945,2691,2334,1194,2688,2332,1154,98,100,0,500,2744;
@400000005e1d72c60d7ada22 #d,-,18,2690,2334,1160,26,0,192655,11944,2691,2334,1162,2690,2332,1159,99,100,0,500,2716;
@400000005e1d72c80d83981a #d,-,18,2689,2333,1160,27,0,192645,11944,2690,2334,1162,2689,2333,1160,99,100,0,500,2716;
@400000005e1d72c80d8d447d #d,-,18,2688,2329,1161,28,0,192633,11943,2689,2333,1162,2688,2329,1160,98,100,0,500,2716;
@400000005e1d72ca0d959de0 #d,-,18,2687,2330,1164,28,0,192631,11943,2688,2332,1164,2687,2328,1161,99,100,0,500,2714;
@400000005e1d72ca0d9d1f31 #d,-,18,2690,2331,1157,29,0,192666,11945,2690,2331,1193,2687,2329,1155,98,100,0,500,2739;
@400000005e1d72cc0dab2571 #d,-,18,2689,2329,1163,30,0,192662,11945,2690,2331,1164,2689,2329,1157,98,100,0,500,2721;
@400000005e1d72cc0db6025f #d,-,18,2689,2328,1164,31,0,192649,11944,2689,2329,1164,2689,2328,1162,99,100,0,500,2716;
@400000005e1d72ce0dbf93c0 #d,-,18,2688,2329,1163,31,0,192638,11943,2689,2330,1164,2688,2328,1162,98,100,0,500,2716;
@400000005e1d72ce0dc9b57b #d,-,18,2687,2329,1163,32,0,192628,11942,2688,2330,1163,2687,2329,1161,98,100,0,500,2716;
@400000005e1d72d00dd15677 #d,-,18,2689,2328,1155,33,0,192664,11945,2689,2330,1194,2687,2328,1154,98,100,0,500,2730;
@400000005e1d72d00dd74a1c #d,-,18,2689,2328,1162,34,0,192659,11944,2689,2330,1165,2689,2328,1155,98,100,0,500,2726;
