@400000005e1ebc9816ce51c0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1ebc9905203630 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1ebc990b29fc38 #f,-,48,127,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e1ebc9b0b40b542 #d,-,18,2666,2334,1152,1,0,196864,12205,2666,2335,1183,2663,2333,1150,98,100,0,500,2694;
@400000005e1ebc9d0b508ff7 #d,-,18,2665,2333,1151,2,0,188847,11708,2666,2334,1153,2665,2332,1151,98,100,0,500,2696;
@400000005e1ebc9d0b5ae043 #d,-,18,2665,2334,1150,3,0,189336,11738,2665,2334,1153,2665,2333,1150,98,100,0,500,2698;
@400000005e1ebc9f0b6aab22 #d,-,18,2664,2335,1179,3,0,189824,11769,2665,2335,1179,2664,2333,1149,98,100,0,500,2694;
@400000005e1ebc9f0b74d451 #d,-,18,2668,2335,1152,4,0,190137,11788,2668,2336,1182,2664,2335,1144,97,100,0,500,2728;
@400000005e1ebca10b841af1 #d,-,18,2667,2333,1152,5,0,190227,11794,2668,2335,1153,2667,2333,1151,99,100,0,500,2692;
@400000005e1ebca10b8e739f #d,-,18,2666,2333,1153,6,0,190309,11799,2667,2334,1153,2666,2332,1151,98,100,0,500,2696;
@400000005e1ebca30b9cd347 #d,-,18,2666,2336,1152,6,0,190373,11803,2666,2336,1154,2666,2333,1150,98,100,0,500,2698;
@400000005e1ebca30ba7274e #d,-,18,2666,2335,1172,7,0,190488,11810,2666,2336,1172,2666,2335,1151,98,100,0,500,2696;
@400000005e1ebca50bb71d04 #d,-,18,2669,2334,1152,8,0,190651,11820,2669,2335,1184,2666,2334,1144,97,100,0,500,2728;
@400000005e1ebca50bc1524e #d,-,18,2668,2334,1162,8,0,190697,11823,2669,2335,1162,2668,2333,1151,99,100,0,500,2692;
@400000005e1ebca70bd02b09 #d,-,18,2669,2336,1152,9,0,190745,11826,2669,2336,1162,2668,2333,1152,98,100,0,500,2707;
@400000005e1ebca70bdb18ba #d,-,18,2668,2334,1154,10,0,190771,11827,2669,2337,1155,2668,2334,1152,98,100,0,500,2700;
@400000005e1ebca90be95144 #d,-,18,2668,2334,1161,11,0,190801,11829,2668,2335,1161,2668,2333,1152,98,100,0,500,2700;
@400000005e1ebca90bf3cc68 #d,-,18,2672,2335,1153,11,0,190941,11838,2672,2335,1185,2668,2332,1147,97,100,0,500,2728;
@400000005e1ebcab0c038c1a #d,-,18,2671,2335,1153,12,0,190951,11838,2672,2335,1155,2671,2334,1153,98,100,0,500,2700;
@400000005e1ebcab0c0de3da #d,-,18,2670,2332,1153,13,0,190960,11839,2671,2335,1155,2670,2332,1153,98,100,0,500,2701;
@400000005e1ebcad0c1de966 #d,-,18,2670,2333,1154,14,0,190968,11840,2670,2333,1155,2670,2332,1153,98,100,0,500,2701;
@400000005e1ebcad0c28ab51 #d,-,18,2669,2335,1155,14,0,190975,11840,2670,2336,1155,2669,2332,1150,98,100,0,500,2700;
@400000005e1ebcaf0c387277 #d,-,18,2673,2336,1149,15,0,191079,11846,2673,2336,1184,2669,2335,1146,98,100,0,500,2723;
@400000005e1ebcaf0c42e627 #d,-,18,2672,2337,1153,16,0,191085,11847,2673,2337,1155,2672,2335,1149,98,100,0,500,2707;
@400000005e1ebcb10c531b32 #d,-,18,2671,2337,1152,16,0,191082,11847,2672,2337,1154,2671,2336,1151,98,100,0,500,2700;
@400000005e1ebcb10c5d4cc3 #d,-,18,2671,2337,1152,17,0,191876,11896,2671,2338,1153,2671,2336,1151,98,100,0,500,2700;
@400000005e1ebcb30c6cc5ad #d,-,18,2670,2336,1152,18,0,191085,11847,2671,2338,1152,2670,2336,1151,98,100,0,500,2700;
@400000005e1ebcb30c77e4bb #d,-,18,2672,2331,1151,19,0,191160,11851,2672,2336,1184,2670,2329,1150,98,100,0,500,2716;
@400000005e1ebcb50c875278 #d,-,18,2672,2337,1152,20,0,191162,11852,2672,2337,1156,2672,2331,1150,98,100,0,500,2714;
@400000005e1ebcb50c91ed46 #d,-,18,2672,2338,1151,20,0,191164,11852,2672,2338,1155,2672,2333,1151,98,100,0,500,2701;
@400000005e1ebcb70ca26be4 #d,-,18,2671,2337,1152,21,0,191166,11852,2672,2339,1153,2671,2337,1151,98,100,0,500,2701;
@400000005e1ebcb70cacef6a #d,-,18,2671,2337,1152,22,0,191803,11891,2671,2338,1153,2671,2337,1151,98,100,0,500,2701;
@400000005e1ebcb90cbdb027 #d,-,18,2672,2338,1145,23,0,191854,11895,2672,2338,1185,2671,2337,1145,98,100,0,500,2710;
@400000005e1ebcb90cc7d59d #d,-,18,2673,2338,1151,23,0,191232,11856,2673,2339,1154,2672,2338,1144,98,100,0,500,2721;
@400000005e1ebcbb0cd82d1d #d,-,18,2672,2336,1152,24,0,191810,11892,2673,2338,1153,2672,2336,1151,98,100,0,500,2700;
@400000005e1ebcbb0ce2d04d #d,-,18,2672,2335,1152,25,0,191789,11890,2672,2336,1154,2672,2335,1151,98,100,0,500,2701;
@400000005e1ebcbd0cf29ee6 #d,-,18,2671,2335,1154,25,0,191773,11889,2672,2336,1154,2671,2335,1151,98,100,0,500,2701;
@400000005e1ebcbd0cfd8435 #d,-,18,2672,2335,1153,26,0,191291,11860,2672,2335,1186,2671,2334,1152,98,100,0,500,2705;
@400000005e1ebcbf0d0d42f9 #d,-,18,2674,2335,1153,27,0,191286,11859,2674,2335,1156,2672,2334,1146,98,100,0,500,2726;
@400000005e1ebcbf0d17bf0b #d,-,18,2673,2335,1154,28,0,191787,11890,2674,2335,1155,2673,2334,1152,98,100,0,500,2703;
@400000005e1ebcc10d284163 #d,-,18,2673,2335,1153,28,0,191289,11859,2673,2335,1155,2673,2334,1153,98,100,0,500,2703;
@400000005e1ebcc10d32631e #d,-,18,2673,2337,1162,29,0,191311,11861,2673,2337,1162,2673,2334,1153,98,100,0,500,2703;
@400000005e1ebcc30d4323dc #d,-,18,2674,2337,1164,30,0,191370,11864,2674,2338,1187,2673,2336,1152,98,100,0,500,2716;
@400000005e1ebcc30d4d78d1 #d,-,18,2676,2336,1154,31,0,191361,11864,2676,2337,1164,2674,2335,1147,98,100,0,500,2728;
@400000005e1ebcc50d5d33db #d,-,18,2676,2336,1155,31,0,191360,11864,2676,2336,1155,2676,2335,1153,98,100,0,500,2705;
@400000005e1ebcc50d680d0f #d,-,18,2675,2336,1153,32,0,191357,11864,2676,2336,1155,2675,2335,1152,98,100,0,500,2703;
@400000005e1ebcc70d789055 #d,-,18,2674,2334,1154,33,0,191357,11864,2675,2336,1155,2674,2334,1153,99,100,0,500,2701;
@400000005e1ebcc70d82fba4 #d,-,18,2673,2334,1178,33,0,191405,11867,2674,2334,1186,2673,2333,1153,98,100,0,500,2701;
@400000005e1ebcc90d9362f9 #d,-,18,2676,2333,1155,34,0,191399,11866,2676,2334,1178,2673,2333,1147,97,100,0,500,2732;
@400000005e1ebcc90d9d9bfd #d,-,18,2676,2335,1154,35,0,191400,11866,2676,2335,1156,2676,2333,1153,98,100,0,500,2705;
@400000005e1ebccb0dae1328 #d,-,18,2675,2336,1155,36,0,191401,11866,2676,2336,1156,2675,2335,1153,98,100,0,500,2705;
@400000005e1ebccb0db85fbb #d,-,18,2675,2336,1154,36,0,191401,11866,2675,2336,1155,2675,2335,1153,98,100,0,500,2703;
@400000005e1ebccd0dc82326 #d,-,18,2674,2335,1185,37,0,191436,11869,2675,2337,1186,2674,2335,1152,98,100,0,500,2703;
@400000005e1ebccd0dd31c05 #d,-,18,2677,2335,1154,38,0,191436,11869,2677,2336,1185,2674,2335,1147,97,100,0,500,2732;
@400000005e1ebccf0de5cd28 #d,-,18,2676,2334,1154,39,0,191436,11869,2677,2335,1156,2676,2334,1154,99,100,0,500,2701;
@400000005e1ebccf0df370af #d,-,18,2675,2331,1444,40,0,191622,11880,2676,2334,1444,2675,2331,1154,98,100,0,500,2705;
@400000005e1ebcd10e045117 #d,-,18,3215,2331,1354,40,0,192643,11943,3215,2332,1534,2675,2329,1354,100,100,0,500,3215;
@400000005e1ebcd10e0ed856 #d,-,18,3213,2334,1331,41,0,193432,11992,3215,2334,1354,3213,2331,1266,98,100,0,500,3273;
@400000005e1ebcd30e1f91a0 #d,-,18,3066,2334,1318,42,0,193899,12021,3213,2334,1341,3066,2333,1304,99,100,0,500,3095;
@400000005e1ebcd30e2a116c #d,-,18,3065,2330,1308,43,0,193969,12026,3066,2335,1318,3065,2330,1304,99,100,0,500,3089;
@400000005e1ebcd50e353c95 #d,-,18,3061,2331,1313,44,0,194381,12051,3065,2331,1317,3061,2330,1308,99,100,0,500,3064;
@400000005e1ebcd50e40259f #d,-,18,3059,2330,1315,45,0,195094,12095,3061,2331,1315,3059,2329,1309,99,100,0,500,3070;
@400000005e1ebcd70e5075ab #d,-,18,3058,2329,1343,46,0,195505,12121,3059,2331,1343,3058,2329,1315,99,100,0,500,3080;
@400000005e1ebcd70e5b0906 #d,-,18,3061,2330,1319,46,0,195900,12145,3061,2330,1351,3058,2329,1309,98,100,0,500,3112;
@400000005e1ebcd90e6b8b5e #d,-,18,3060,2331,1318,47,0,195953,12149,3061,2331,1320,3060,2330,1317,99,100,0,500,3077;
@400000005e1ebcd90e760ee3 #d,-,18,3059,2332,1318,48,0,196311,12171,3060,2332,1320,3059,2331,1317,99,100,0,500,3080;
@400000005e1ebcdb0e7ed44f #d,-,18,3058,2331,1312,49,0,196651,12192,3059,2333,1320,3058,2331,1310,99,100,0,500,3082;
@400000005e1ebcdb0e859b5c #d,-,18,3056,2332,1327,50,0,197278,12231,3058,2333,1327,3056,2331,1312,99,100,0,500,3068;
@400000005e1ebcdd0e8e7cb8 #d,-,18,3058,2332,1313,51,0,197614,12252,3058,2332,1345,3056,2331,1307,98,100,0,500,3102;
@400000005e1ebcdd0e974e3f #d,-,18,3055,2332,1314,51,0,197914,12270,3058,2332,1315,3055,2331,1312,99,100,0,500,3066;
@400000005e1ebcdf0ea01498 #d,-,18,3054,2330,1314,52,0,197920,12271,3055,2333,1314,3054,2330,1311,99,100,0,500,3068;
@400000005e1ebcdf0eaa7c2e #d,-,18,3052,2329,1313,53,0,198207,12288,3054,2330,1315,3052,2329,1311,99,100,0,500,3070;
@400000005e1ebce10eb3cb6f #d,-,18,3051,2330,1317,54,0,198486,12306,3052,2330,1317,3051,2328,1310,99,100,0,500,3068;
@400000005e1ebce10eba8a1b #d,-,18,3053,2330,1310,55,0,198783,12324,3053,2331,1347,3051,2329,1303,98,100,0,500,3095;
@400000005e1ebce30ec56ac2 #d,-,18,3051,2331,1315,56,0,199048,12340,3053,2331,1316,3051,2329,1310,99,100,0,500,3070;
@400000005e1ebce30ec8fd51 #d,-,18,3050,2331,1314,56,0,199303,12356,3051,2332,1315,3050,2331,1310,99,100,0,500,3070;
@400000005e1ebce50ed2e81a #d,-,18,3048,2327,1315,57,0,199550,12372,3050,2331,1317,3048,2323,1311,99,100,0,500,3066;
@400000005e1ebce50edd3867 #d,-,18,3047,2326,1316,58,0,199793,12387,3048,2327,1317,3047,2326,1314,99,100,0,500,3066;
@400000005e1ebce70eed712c #d,-,18,3050,2326,1311,59,0,200056,12403,3050,2326,1350,3047,2325,1308,98,100,0,500,3091;
@400000005e1ebce70ef86dc4 #d,-,18,3049,2327,1315,60,0,200287,12417,3050,2327,1318,3049,2326,1311,99,100,0,500,3077;
@400000005e1ebce90f07f683 #d,-,18,3048,2327,1315,61,0,200511,12431,3049,2327,1317,3048,2326,1313,99,100,0,500,3070;
@400000005e1ebce90f1271a7 #d,-,18,3047,2327,1313,61,0,200729,12445,3048,2328,1317,3047,2326,1313,99,100,0,500,3068;
