@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b9191b261a96 #f,-,48,167,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e22b91b1b3bc58b #d,-,18,2669,2355,1138,1,0,183655,11386,2672,2356,1139,2669,2353,1136,99,55,0,500,2685;
@400000005e22b91d1b4785b7 #d,-,18,2667,2352,1138,1,0,185894,11525,2669,2355,1139,2667,2352,1137,99,71,0,500,2685;
@400000005e22b91d1b517439 #d,-,18,2665,2350,1158,2,0,187182,11605,2667,2353,1158,2665,2350,1138,99,78,0,500,2685;
@400000005e22b91f1b5d1c2e #d,-,18,2667,2352,1141,3,0,192048,11906,2667,2352,1169,2665,2350,1133,98,85,0,500,2716;
@400000005e22b91f1b67b343 #d,-,18,2665,2349,1139,4,0,191713,11886,2667,2352,1141,2665,2348,1139,99,87,0,500,2684;
@400000005e22b9211b777a68 #d,-,18,2663,2352,1140,4,0,188662,11697,2665,2352,1141,2663,2349,1139,99,88,0,500,2685;
@400000005e22b9211b8190f7 #d,-,18,2662,2349,1139,5,0,191318,11861,2663,2352,1142,2662,2348,1139,99,90,0,500,2687;
@400000005e22b9231b911d70 #d,-,18,2661,2351,1155,6,0,189097,11724,2662,2352,1155,2661,2349,1139,99,90,0,500,2687;
@400000005e22b9231b9c1dc2 #d,-,18,2665,2352,1139,7,0,189402,11742,2665,2353,1171,2661,2351,1134,97,91,0,500,2723;
@400000005e22b9251ba4d800 #d,-,18,2663,2353,1141,7,0,189520,11750,2665,2353,1142,2663,2352,1139,99,92,0,500,2689;
@400000005e22b9251ba9aa01 #d,-,18,2663,2353,1140,8,0,189591,11754,2663,2353,1141,2663,2351,1140,98,93,0,500,2692;
@400000005e22b9271bb25ccb #d,-,18,2662,2351,1141,9,0,189660,11758,2663,2353,1142,2662,2351,1139,98,93,0,500,2691;
@400000005e22b9271bb7c015 #d,-,18,2662,2353,1142,10,0,189726,11763,2662,2353,1142,2662,2351,1140,98,94,0,500,2691;
@400000005e22b9291bc081c7 #d,-,18,2665,2353,1138,10,0,189907,11774,2665,2353,1170,2662,2353,1134,98,94,0,500,2714;
@400000005e22b9291bcb5afb #d,-,18,2664,2352,1142,11,0,189950,11776,2665,2353,1143,2664,2351,1138,98,94,0,500,2696;
@400000005e22b92b1bd59046 #d,-,18,2663,2354,1140,12,0,189987,11779,2664,2354,1142,2663,2352,1139,98,95,0,500,2692;
@400000005e22b92b1be0372f #d,-,18,2662,2351,1140,12,0,191081,11847,2663,2354,1141,2662,2351,1140,98,96,0,500,2692;
@400000005e22b92d1bf07eda #d,-,18,2662,2351,1141,13,0,191042,11844,2662,2352,1141,2662,2351,1139,98,96,0,500,2691;
@400000005e22b92d1bfab06b #d,-,18,2664,2354,1134,14,0,191112,11848,2664,2354,1170,2662,2350,1133,98,96,0,500,2705;
@400000005e22b92f1c06a69c #d,-,18,2664,2353,1141,15,0,190162,11790,2664,2354,1142,2664,2353,1134,98,96,0,500,2703;
@400000005e22b92f1c118beb #d,-,18,2663,2351,1142,15,0,191047,11844,2664,2354,1142,2663,2351,1138,98,96,0,500,2691;
@400000005e22b9311c1fc475 #d,-,18,2662,2351,1141,16,0,190179,11791,2663,2352,1142,2662,2350,1140,98,96,0,500,2692;
@400000005e22b9311c29e277 #d,-,18,2661,2352,1140,17,0,190191,11791,2662,2352,1143,2661,2350,1140,98,96,0,500,2691;
@400000005e22b9331c39096d #d,-,18,2662,2353,1136,18,0,190285,11797,2662,2353,1171,2661,2352,1136,98,96,0,500,2700;
@400000005e22b9331c440605 #d,-,18,2664,2352,1141,18,0,190292,11798,2664,2353,1143,2662,2352,1134,98,96,0,500,2708;
@400000005e22b9351c4cdfed #d,-,18,2663,2352,1141,19,0,190302,11798,2664,2353,1142,2663,2352,1140,98,97,0,500,2692;
@400000005e22b9351c56b36e #d,-,18,2662,2350,1142,20,0,190308,11799,2663,2352,1143,2662,2350,1140,98,97,0,500,2692;
@400000005e22b9371c5f0f9c #d,-,18,2662,2351,1141,21,0,190314,11799,2662,2351,1143,2662,2349,1141,98,97,0,500,2691;
@400000005e22b9371c678b74 #d,-,18,2662,2352,1143,21,0,190391,11804,2662,2352,1170,2662,2350,1140,98,97,0,500,2696;
@400000005e22b9391c784878 #d,-,18,2664,2352,1141,22,0,190383,11803,2664,2353,1143,2662,2352,1133,98,97,0,500,2712;
@400000005e22b9391c82b0fb #d,-,18,2663,2352,1140,23,0,190386,11803,2664,2352,1142,2663,2351,1140,98,97,0,500,2692;
@400000005e22b93b1c8b2cd4 #d,-,18,2662,2351,1142,24,0,190385,11803,2663,2352,1142,2662,2350,1140,98,97,0,500,2691;
@400000005e22b93b1c94407a #d,-,18,2662,2352,1142,24,0,190391,11804,2662,2352,1142,2662,2351,1140,98,97,0,500,2691;
@400000005e22b93d1ca311c1 #d,-,18,2661,2354,1155,25,0,190455,11808,2662,2354,1168,2661,2352,1141,98,97,0,500,2692;
@400000005e22b93d1cadf710 #d,-,18,2664,2351,1142,26,0,190449,11807,2664,2354,1155,2661,2351,1134,98,97,0,500,2716;
@400000005e22b93f1cbe3b02 #d,-,18,2663,2351,1141,26,0,190450,11807,2664,2352,1142,2663,2351,1140,98,97,0,500,2692;
@400000005e22b93f1cc8aeb2 #d,-,18,2663,2352,1142,27,0,190453,11808,2663,2352,1144,2663,2350,1141,98,97,0,500,2692;
@400000005e22b9411cd22069 #d,-,18,2662,2351,1143,28,0,190954,11839,2663,2352,1143,2662,2351,1142,98,98,0,500,2692;
@400000005e22b9411cdd11d4 #d,-,18,2662,2349,1166,29,0,190996,11841,2662,2351,1171,2662,2345,1143,98,98,0,500,2694;
@400000005e22b9431ce5bff7 #d,-,18,2665,2350,1142,29,0,190986,11841,2665,2350,1166,2662,2346,1138,97,98,0,500,2721;
@400000005e22b9431cefd686 #d,-,18,2664,2349,1142,30,0,190519,11812,2665,2350,1143,2664,2349,1141,98,98,0,500,2692;
