@400000005e255b3d062ebb56 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e255b3d3017e353 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255b3d362690c7 #f,-,48,77,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e255b3f363c5a77 #d,-,18,2730,2362,1185,1,0,192679,11946,2738,2363,1185,2730,2361,1156,99,100,0,500,2742;
@400000005e255b41364db038 #d,-,18,2731,2364,1158,1,0,193474,11995,2731,2364,1187,2730,2362,1151,98,100,0,500,2773;
@400000005e255b413657ecf6 #d,-,18,2728,2362,1157,2,0,193622,12004,2731,2364,1158,2728,2362,1156,99,100,0,500,2741;
@400000005e255b433667c037 #d,-,18,2725,2365,1157,3,0,193709,12009,2728,2365,1157,2725,2362,1155,99,100,0,500,2742;
@400000005e255b433671ce64 #d,-,18,2723,2364,1158,4,0,193747,12012,2725,2365,1158,2723,2364,1155,99,100,0,500,2742;
@400000005e255b4536805c9c #d,-,18,2720,2364,1174,4,0,193838,12017,2723,2364,1174,2720,2364,1154,99,100,0,500,2739;
@400000005e255b45368b1e88 #d,-,18,2722,2364,1158,5,0,194016,12029,2722,2364,1184,2720,2363,1151,98,100,0,500,2769;
@400000005e255b4736982687 #d,-,18,2720,2363,1156,6,0,193994,12027,2722,2364,1159,2720,2362,1155,99,100,0,500,2739;
@400000005e255b4736a234b4 #d,-,18,2718,2361,1158,7,0,193987,12027,2720,2363,1158,2718,2360,1156,99,100,0,500,2741;
@400000005e255b4936b0f26d #d,-,18,2716,2362,1156,7,0,193982,12026,2718,2362,1159,2716,2361,1155,99,100,0,500,2739;
@400000005e255b4936bb8981 #d,-,18,2715,2359,1164,8,0,193987,12027,2716,2362,1164,2715,2359,1154,99,100,0,500,2742;
@400000005e255b4b36ca1f2d #d,-,18,2717,2359,1157,9,0,194109,12034,2717,2360,1186,2715,2358,1151,98,100,0,500,2765;
@400000005e255b4b36d48f24 #d,-,18,2715,2359,1158,10,0,194088,12033,2717,2359,1160,2715,2358,1156,99,100,0,500,2739;
@400000005e255b4d36e1f534 #d,-,18,2714,2358,1157,10,0,194070,12032,2715,2359,1159,2714,2358,1157,99,100,0,500,2739;
@400000005e255b4d36ec1e63 #d,-,18,2712,2357,1159,11,0,194055,12031,2714,2358,1159,2712,2357,1156,99,100,0,500,2739;
@400000005e255b4f36fbe942 #d,-,18,2711,2359,1157,12,0,194034,12030,2712,2359,1159,2711,2357,1156,98,100,0,500,2739;
@400000005e255b4f370678e3 #d,-,18,2714,2357,1155,13,0,194114,12035,2714,2359,1185,2711,2357,1151,98,100,0,500,2760;
@400000005e255b5137164008 #d,-,18,2712,2359,1156,13,0,194110,12034,2714,2360,1161,2712,2356,1155,98,100,0,500,2744;
@400000005e255b513720f992 #d,-,18,2711,2359,1157,14,0,194090,12033,2712,2361,1157,2711,2359,1155,98,100,0,500,2739;
@400000005e255b5337313257 #d,-,18,2710,2360,1157,15,0,194077,12032,2711,2361,1158,2710,2358,1156,98,100,0,500,2739;
@400000005e255b53373b7eea #d,-,18,2709,2361,1156,16,0,194060,12031,2710,2361,1158,2709,2360,1155,98,100,0,500,2737;
@400000005e255b55374b0f1c #d,-,18,2711,2359,1151,16,0,194121,12035,2711,2361,1185,2709,2358,1150,98,100,0,500,2753;
@400000005e255b5537554cc9 #d,-,18,2711,2358,1157,17,0,194104,12034,2711,2359,1159,2711,2358,1151,98,100,0,500,2748;
@400000005e255b5737648ec0 #d,-,18,2710,2357,1155,18,0,194088,12033,2711,2358,1158,2710,2357,1155,98,100,0,500,2739;
@400000005e255b57376f92cc #d,-,18,2707,2358,1157,19,0,194027,12029,2710,2358,1157,2707,2357,1146,99,100,0,500,2728;
@400000005e255b59377fafa0 #d,-,18,2706,2360,1152,20,0,193991,12027,2707,2362,1157,2706,2357,1150,99,100,0,500,2728;
@400000005e255b593789e130 #d,-,18,2706,2359,1154,20,0,194063,12031,2706,2360,1188,2706,2359,1152,98,100,0,500,2739;
@400000005e255b5b37998138 #d,-,18,2708,2360,1158,21,0,194058,12031,2708,2360,1160,2706,2359,1153,98,100,0,500,2762;
@400000005e255b5b37a3b683 #d,-,18,2708,2360,1158,22,0,194054,12031,2708,2361,1159,2708,2360,1157,98,100,0,500,2742;
@400000005e255b5d37b342fc #d,-,18,2707,2359,1154,23,0,194018,12029,2708,2360,1158,2707,2359,1150,98,100,0,500,2739;
@400000005e255b5d37be2c05 #d,-,18,2705,2362,1152,23,0,193988,12027,2707,2362,1154,2705,2359,1151,99,100,0,500,2728;
@400000005e255b5f37cd5a6e #d,-,18,2704,2362,1151,24,0,194020,12029,2705,2362,1182,2704,2361,1151,99,100,0,500,2730;
@400000005e255b5f37d818a0 #d,-,18,2705,2361,1145,25,0,193963,12025,2705,2362,1152,2704,2361,1144,98,100,0,500,2749;
@400000005e255b6137e7b8a8 #d,-,18,2704,2359,1188,26,0,194058,12031,2705,2361,1189,2704,2359,1145,99,100,0,500,2726;
@400000005e255b6137f1e67f #d,-,18,2773,2359,1170,26,0,194154,12037,2773,2360,1189,2704,2358,1170,98,100,0,500,2808;
@400000005e255b633800e29d #d,-,18,2769,2360,1161,27,0,194210,12041,2773,2361,1181,2769,2359,1161,99,100,0,500,2778;
@400000005e255b63380b7150 #d,-,18,2764,2360,1174,28,0,194291,12046,2769,2361,1192,2764,2360,1161,99,100,0,500,2767;
@400000005e255b65381b76db #d,-,18,2761,2361,1149,29,0,194282,12045,2764,2361,1174,2761,2360,1149,99,100,0,500,2781;
@400000005e255b653825f2ed #d,-,18,2696,2361,1147,29,0,194249,12043,2761,2362,1153,2696,2361,1147,98,100,0,500,2735;
@400000005e255b67383678ff #d,-,18,2694,2361,1143,30,0,194175,12038,2696,2362,1147,2694,2361,1140,99,100,0,500,2716;
@400000005e255b673840d567 #d,-,18,2691,2363,1143,31,0,194109,12034,2694,2363,1143,2691,2361,1142,99,100,0,500,2708;
@400000005e255b6938513902 #d,-,18,2688,2365,1165,32,0,194100,12034,2691,2365,1171,2688,2363,1142,99,100,0,500,2707;
@400000005e255b69385b6232 #d,-,18,2690,2364,1142,32,0,194037,12030,2690,2365,1165,2688,2364,1136,98,100,0,500,2733;
@400000005e255b6b386b259d #d,-,18,2688,2364,1142,33,0,194413,12053,2690,2365,1143,2688,2364,1141,99,100,0,500,2708;
@400000005e255b6b3875eefc #d,-,18,2685,2362,1142,34,0,194348,12049,2688,2365,1143,2685,2362,1140,99,100,0,500,2707;
@400000005e255b6d38856073 #d,-,18,2683,2361,1143,34,0,193870,12019,2685,2363,1143,2683,2361,1140,99,100,0,500,2707;
@400000005e255b6d388fad06 #d,-,18,2682,2362,1169,35,0,194264,12044,2683,2363,1170,2682,2361,1141,99,100,0,500,2707;
@400000005e255b6f38a02ba4 #d,-,18,2684,2363,1143,36,0,193813,12016,2684,2363,1169,2682,2362,1136,98,100,0,500,2735;
@400000005e255b6f38aa7bf1 #d,-,18,2683,2364,1143,37,0,194155,12037,2684,2365,1144,2683,2362,1140,99,100,0,500,2707;
@400000005e255b7138bad371 #d,-,18,2681,2363,1143,37,0,194106,12034,2683,2365,1144,2681,2363,1142,99,100,0,500,2708;
@400000005e255b7138c50502 #d,-,18,2680,2363,1142,38,0,194056,12031,2681,2364,1144,2680,2363,1142,98,100,0,500,2708;
@400000005e255b7338d4ac7d #d,-,18,2679,2364,1169,39,0,193666,12007,2680,2364,1169,2679,2362,1142,98,100,0,500,2708;
@400000005e255b7338dfb177 #d,-,18,2682,2363,1143,40,0,193636,12005,2682,2364,1170,2679,2363,1135,97,100,0,500,2737;
@400000005e255b7538f043a3 #d,-,18,2680,2364,1141,40,0,193598,12003,2682,2364,1143,2680,2362,1141,99,100,0,500,2705;
@400000005e255b7538faaef2 #d,-,18,2679,2365,1140,41,0,193560,12000,2680,2365,1143,2679,2363,1140,98,100,0,500,2708;
@400000005e255b77390b8ba0 #d,-,18,2678,2364,1142,42,0,193524,11998,2679,2365,1142,2678,2364,1140,98,100,0,500,2707;
@400000005e255b773915d833 #d,-,18,2678,2364,1166,43,0,193503,11997,2678,2365,1166,2678,2364,1141,98,100,0,500,2707;
@400000005e255b7939262bfa #d,-,18,2680,2365,1143,43,0,193488,11996,2680,2365,1171,2678,2364,1135,97,100,0,500,2737;
@400000005e255b793930516f #d,-,18,2679,2363,1142,44,0,193456,11994,2680,2365,1144,2679,2363,1141,98,100,0,500,2707;
@400000005e255b7b3942a570 #d,-,18,2679,2362,1143,45,0,193426,11992,2679,2363,1145,2679,2362,1142,98,100,0,500,2708;
@400000005e255b7b395016ad #d,-,18,2678,2362,1142,46,0,193394,11990,2679,2363,1144,2678,2361,1142,98,100,0,500,2708;
@400000005e255b7d395d7814 #d,-,18,2947,2360,1512,46,0,194192,12039,2947,2363,1512,2678,2360,1142,100,100,0,500,2947;
@400000005e255b7d39683a00 #d,-,18,3603,2360,1649,47,0,195415,12115,3603,2361,1664,2947,2359,1512,99,100,0,500,3611;
@400000005e255b7f3977c679 #d,-,18,3883,2355,1660,49,0,196689,12194,3883,2361,1661,3603,2355,1636,99,100,0,500,3892;
@400000005e255b7f3982b7e4 #d,-,18,3880,2362,1654,50,0,197911,12270,3883,2362,1661,3880,2355,1622,99,100,0,500,3887;
@400000005e255b813991e293 #d,-,18,3878,2360,1637,51,0,199098,12344,3880,2362,1658,3878,2358,1626,99,100,0,500,3890;
@400000005e255b81399c59fe #d,-,18,3877,2360,1644,52,0,200261,12416,3878,2361,1662,3877,2360,1631,99,100,0,500,3888;
@400000005e255b8339aae47d #d,-,18,3879,2357,1660,53,0,201417,12487,3879,2360,1678,3877,2357,1626,99,100,0,500,3915;
@400000005e255b8339b61f7b #d,-,18,3879,2356,1655,54,0,202514,12555,3879,2357,1664,3879,2356,1634,99,100,0,500,3896;
@400000005e255b8539c6cd98 #d,-,18,3877,2355,1642,55,0,203573,12621,3879,2357,1662,3877,2355,1633,99,100,0,500,3896;
@400000005e255b8539d22b0c #d,-,18,3878,2356,1645,56,0,204622,12686,3878,2356,1675,3877,2354,1639,99,100,0,500,3903;
@400000005e255b8739e313d5 #d,-,18,3877,2356,1659,57,0,205637,12749,3878,2357,1667,3877,2355,1634,99,100,0,500,3896;
@400000005e255b8739ed9ece #d,-,18,3881,2355,1664,58,0,206652,12812,3881,2356,1697,3877,2354,1642,99,100,0,500,3920;
@400000005e255b8939fdabcd #d,-,18,3883,2351,1655,59,0,207624,12872,3883,2355,1678,3881,2351,1644,98,100,0,500,3924;
@400000005e255b893a08628c #d,-,18,3883,2352,1646,60,0,208561,12930,3883,2352,1673,3883,2351,1645,99,100,0,500,3908;
@400000005e255b8b3a19ac31 #d,-,18,3883,2351,1662,61,0,209480,12987,3883,2352,1673,3883,2351,1644,99,100,0,500,3906;
@400000005e255b8b3a24100c #d,-,18,3885,2351,1670,63,0,210394,13044,3885,2352,1683,3883,2348,1648,99,100,0,500,3920;
@400000005e255b8d3a349352 #d,-,18,3889,2353,1660,64,0,211298,13100,3889,2353,1703,3885,2351,1650,98,100,0,500,3931;
@400000005e255b8d3a3f67de #d,-,18,3891,2353,1645,65,0,212149,13153,3891,2353,1678,3889,2352,1644,98,100,0,500,3936;
@400000005e255b8f3a4fc407 #d,-,18,3891,2352,1665,66,0,212988,13205,3891,2353,1676,3891,2351,1645,99,100,0,500,3913;
@400000005e255b8f3a5aad10 #d,-,18,3894,2351,1673,67,0,213820,13256,3894,2352,1693,3891,2351,1648,99,100,0,500,3933;
@400000005e255b913a6a548b #d,-,18,3895,2352,1676,68,0,214626,13306,3895,2353,1680,3894,2351,1651,99,100,0,500,3928;
@400000005e255b913a74fb75 #d,-,18,3898,2352,1653,69,0,215432,13356,3898,2353,1700,3895,2350,1650,99,100,0,500,3936;
@400000005e255b933a862dd1 #d,-,18,3900,2352,1658,70,0,216194,13404,3900,2352,1680,3898,2351,1646,98,100,0,500,3947;
@400000005e255b933a90c03e #d,-,18,3902,2351,1675,71,0,216953,13451,3902,2352,1686,3900,2351,1654,99,100,0,500,3931;
@400000005e255b953aa068a7 #d,-,18,3904,2351,1681,72,0,217689,13496,3904,2351,1681,3902,2350,1654,99,100,0,500,3933;
@400000005e255b953aab0ea2 #d,-,18,3904,2352,1665,73,0,218405,13541,3904,2353,1681,3904,2351,1654,99,100,0,500,3935;
@400000005e255b973abae1e3 #d,-,18,3906,2351,1661,75,0,219130,13586,3906,2352,1711,3904,2350,1655,99,100,0,500,3936;
@400000005e255b973ac63070 #d,-,18,3909,2350,1675,76,0,219816,13628,3909,2352,1684,3906,2350,1654,98,100,0,500,3956;
@400000005e255b993ad6c656 #d,-,18,3912,2351,1683,77,0,220504,13671,3912,2352,1696,3909,2350,1657,99,100,0,500,3951;
@400000005e255b993ae15d6b #d,-,18,3913,2351,1678,78,0,221169,13712,3913,2351,1689,3912,2350,1657,99,100,0,500,3942;
@400000005e255b9b3af162f6 #d,-,18,3914,2350,1662,79,0,221813,13752,3914,2351,1688,3913,2350,1660,99,100,0,500,3947;
@400000005e255b9b3afcadca #d,-,18,3914,2351,1689,80,0,222712,13808,3914,2351,1713,3914,2350,1661,99,100,0,500,3942;
@400000005e255b9d3b0c26b4 #d,-,18,3919,2349,1684,81,0,223332,13846,3919,2351,1689,3914,2349,1656,98,100,0,500,3967;
@400000005e255b9d3b166ae5 #d,-,18,3919,2348,1683,82,0,223705,13869,3919,2349,1687,3919,2347,1659,99,100,0,500,3944;
@400000005e255b9f3b25fc06 #d,-,18,3919,2347,1664,83,0,224530,13920,3919,2348,1688,3919,2346,1662,99,100,0,500,3947;
@400000005e255b9f3b30b94a #d,-,18,3919,2350,1669,84,0,224883,13942,3919,2350,1688,3919,2346,1662,99,100,0,500,3940;
@400000005e255ba13b403e4f #d,-,18,3920,2350,1712,85,0,225478,13979,3920,2350,1712,3919,2349,1663,99,100,0,500,3942;
@400000005e255ba13b4ac1d5 #d,-,18,3924,2350,1683,86,0,226041,14014,3924,2351,1712,3920,2350,1658,98,100,0,500,3974;
@400000005e255ba33b5a4e4e #d,-,18,3924,2348,1670,87,0,226600,14049,3924,2350,1700,3924,2347,1661,99,100,0,500,3951;
@400000005e255ba33b64e91c #d,-,18,3925,2348,1670,89,0,227141,14082,3925,2349,1692,3924,2348,1664,99,100,0,500,3956;
@400000005e255ba53b73ae48 #d,-,18,3925,2349,1685,90,0,227679,14116,3925,2349,1693,3925,2347,1667,99,100,0,500,3949;
@400000005e255ba53b7e4cd0 #d,-,18,3927,2349,1723,91,0,228222,14149,3927,2350,1723,3925,2348,1666,99,100,0,500,3954;
@400000005e255ba73b8f73ff #d,-,18,3931,2348,1679,92,0,228740,14181,3931,2349,1723,3927,2347,1665,98,100,0,500,3986;
@400000005e255ba73b9a4d33 #d,-,18,3931,2346,1669,93,0,229242,14213,3931,2348,1693,3931,2346,1665,99,100,0,500,3952;
@400000005e255baa00103062 #d,-,18,3930,2346,1683,94,0,229739,14243,3931,2348,1693,3930,2345,1668,99,100,0,500,3951;
@400000005e255baa001abb5b #d,-,18,3931,2346,1695,95,0,230230,14274,3931,2346,1696,3930,2345,1670,99,100,0,500,3952;
@400000005e255bac002bfd8d #d,-,18,3932,2346,1708,96,0,230719,14304,3932,2347,1713,3931,2345,1670,99,100,0,500,3958;
@400000005e255bac003684cc #d,-,18,3935,2345,1670,97,0,231193,14334,3935,2346,1708,3932,2345,1663,98,100,0,500,3984;
@400000005e255bae00478125 #d,-,18,3934,2347,1681,98,0,231655,14362,3935,2348,1693,3934,2345,1669,99,100,0,500,3949;
@400000005e255bae00520c1e #d,-,18,3934,2348,1692,100,0,232110,14390,3934,2348,1694,3934,2347,1670,99,100,0,500,3954;
@400000005e255bb00062dcb0 #d,-,18,3934,2347,1684,101,0,232555,14418,3934,2348,1693,3934,2346,1669,99,100,0,500,3956;
@400000005e255bb0006dfcac #d,-,18,3934,2348,1698,102,0,233008,14446,3934,2349,1714,3934,2347,1669,99,100,0,500,3956;
@400000005e255bb2007f26a7 #d,-,18,3936,2349,1591,103,0,233545,14479,3936,2349,1724,3934,2347,1553,98,100,0,500,3990;
@400000005e255bb2008b1564 #d,-,18,3695,2347,1603,104,0,233843,14498,3936,2349,1612,3695,2346,1580,99,100,0,500,3718;
