@400000005e2612df25c8f97c #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e2612e01415b909 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e2612e01a26b404 #f,-,48,89,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e2612e21a36c102 #d,-,18,2642,2369,1156,1,0,186513,11563,2642,2369,1156,2641,2366,1130,98,100,0,501,2676;
@400000005e2612e41a3fd597 #d,-,18,2648,2368,1140,2,0,188191,11667,2648,2369,1161,2642,2366,1125,97,100,0,501,2719;
@400000005e2612e41a4a87ae #d,-,18,2649,2369,1131,2,0,193461,11994,2649,2369,1140,2648,2367,1129,98,100,0,501,2687;
@400000005e2612e61a526f71 #d,-,18,2648,2368,1132,3,0,188884,11710,2649,2369,1134,2648,2366,1130,98,100,0,501,2682;
@400000005e2612e61a55b691 #d,-,18,2649,2370,1131,4,0,189075,11722,2649,2370,1133,2648,2366,1131,98,100,0,501,2684;
@400000005e2612e81a5dd547 #d,-,18,2649,2372,1141,4,0,189243,11733,2649,2372,1141,2649,2368,1131,98,100,0,501,2685;
@400000005e2612e81a689733 #d,-,18,2653,2370,1132,5,0,189558,11752,2653,2372,1163,2649,2369,1122,97,100,0,501,2714;
@400000005e2612ea1a714db7 #d,-,18,2653,2368,1132,6,0,191753,11888,2653,2371,1134,2653,2368,1130,98,100,0,501,2684;
@400000005e2612ea1a75aa5f #d,-,18,2652,2370,1131,7,0,189653,11758,2653,2371,1132,2652,2367,1131,98,100,0,501,2685;
@400000005e2612ec1a7ea303 #d,-,18,2652,2369,1131,7,0,189707,11761,2652,2371,1134,2652,2368,1131,98,100,0,501,2684;
@400000005e2612ec1a894279 #d,-,18,2653,2369,1131,8,0,189734,11763,2653,2371,1133,2652,2367,1131,98,100,0,501,2687;
@400000005e2612ee1a99285b #d,-,18,2656,2368,1129,9,0,189915,11774,2656,2371,1162,2653,2368,1126,98,100,0,501,2708;
@400000005e2612ee1aa3887c #d,-,18,2655,2367,1132,10,0,189931,11775,2656,2370,1135,2655,2367,1129,98,100,0,501,2691;
@400000005e2612f01ab3adb2 #d,-,18,2655,2368,1132,10,0,189923,11775,2655,2370,1132,2655,2367,1130,98,100,0,501,2684;
@400000005e2612f01abe0a1a #d,-,18,2654,2367,1133,11,0,189937,11776,2655,2368,1134,2654,2365,1131,98,100,0,501,2684;
@400000005e2612f21ac65761 #d,-,18,2654,2365,1134,12,0,191067,11846,2654,2367,1135,2654,2363,1132,98,100,0,501,2684;
@400000005e2612f21ad08090 #d,-,18,2657,2366,1127,13,0,190062,11783,2657,2367,1166,2654,2363,1126,98,100,0,501,2703;
@400000005e2612f41ae0280c #d,-,18,2657,2368,1134,13,0,190066,11784,2657,2368,1135,2657,2365,1127,98,100,0,501,2698;
@400000005e2612f41aea49c7 #d,-,18,2656,2367,1132,14,0,190064,11784,2657,2368,1134,2656,2365,1131,98,100,0,501,2684;
@400000005e2612f61af77171 #d,-,18,2655,2368,1132,15,0,190063,11783,2656,2370,1133,2655,2367,1131,98,100,0,501,2684;
@400000005e2612f61b027936 #d,-,18,2655,2370,1132,16,0,190061,11783,2655,2372,1133,2655,2367,1131,98,100,0,501,2685;
@400000005e2612f81b10dd86 #d,-,18,2656,2371,1124,16,0,190149,11789,2656,2373,1162,2655,2370,1124,98,100,0,501,2694;
@400000005e2612f81b1b2dd3 #d,-,18,2657,2371,1130,17,0,190140,11788,2657,2373,1133,2656,2370,1123,98,100,0,501,2703;
@400000005e2612fa1b2ad907 #d,-,18,2656,2372,1130,18,0,190131,11788,2657,2374,1131,2656,2370,1128,98,100,0,501,2685;
@400000005e2612fa1b34ff6b #d,-,18,2656,2372,1130,18,0,190123,11787,2656,2373,1131,2656,2371,1129,99,100,0,501,2682;
@400000005e2612fc1b3d506c #d,-,18,2655,2371,1130,19,0,190823,11831,2656,2374,1131,2655,2371,1129,98,100,0,501,2685;
@400000005e2612fc1b46aada #d,-,18,2655,2373,1131,20,0,190194,11792,2655,2374,1160,2655,2371,1130,98,100,0,501,2687;
@400000005e2612fe1b56eb12 #d,-,18,2657,2371,1132,21,0,190174,11790,2657,2374,1133,2655,2369,1125,98,100,0,501,2708;
@400000005e2612fe1b611087 #d,-,18,2657,2372,1131,21,0,190169,11790,2657,2373,1132,2657,2369,1129,98,100,0,501,2685;
@400000005e2613001b70cf4b #d,-,18,2656,2370,1136,22,0,190171,11790,2657,2373,1136,2656,2370,1130,98,100,0,501,2685;
@400000005e2613001b7b52d1 #d,-,18,2657,2370,1137,23,0,190801,11829,2657,2373,1139,2656,2370,1136,98,100,0,501,2694;
@400000005e2613021b842900 #d,-,18,2658,2371,1153,24,0,190304,11798,2658,2372,1168,2657,2369,1137,98,100,0,501,2701;
@400000005e2613021b8dfc80 #d,-,18,2663,2371,1136,24,0,190318,11799,2663,2373,1153,2658,2370,1130,97,100,0,501,2728;
@400000005e2613041b9d9426 #d,-,18,2663,2372,1136,25,0,190338,11800,2663,2374,1138,2663,2370,1135,98,100,0,501,2701;
@400000005e2613041ba88591 #d,-,18,2663,2373,1130,26,0,190342,11801,2663,2374,1137,2663,2371,1129,98,100,0,501,2698;
@400000005e2613061bb5df85 #d,-,18,2662,2370,1130,27,0,190330,11800,2663,2374,1132,2662,2370,1129,99,100,0,501,2685;
