@400000005e26a2490a1705ed #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e26a2493405084d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e26a2493a0bf42c #f,-,48,117,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e26a24b3a1e349e #d,-,18,2677,2344,1144,1,0,185565,11505,2683,2344,1144,2677,2343,1143,99,100,0,499,2689;
@400000005e26a24d3a2fc41d #d,-,18,2674,2343,1143,1,0,187408,11619,2677,2344,1145,2674,2342,1143,99,100,0,499,2691;
@400000005e26a24d3a39fd21 #d,-,18,2675,2341,1138,2,0,194131,12036,2675,2344,1172,2674,2341,1137,98,100,0,499,2705;
@400000005e26a24f3a424e22 #d,-,18,2673,2344,1142,3,0,193292,11984,2675,2344,1144,2673,2341,1138,99,100,0,499,2700;
@400000005e26a24f3a47e85e #d,-,18,2671,2346,1142,4,0,189316,11737,2673,2347,1143,2671,2344,1140,99,100,0,499,2689;
@400000005e26a2513a5783be #d,-,18,2668,2347,1143,4,0,189458,11746,2671,2347,1144,2668,2345,1141,99,100,0,499,2689;
@400000005e26a2513a61732f #d,-,18,2667,2347,1143,5,0,189590,11754,2668,2348,1144,2667,2347,1140,99,100,0,499,2691;
@400000005e26a2533a69cba4 #d,-,18,2668,2346,1136,6,0,189881,11772,2668,2348,1170,2667,2345,1136,98,100,0,499,2700;
@400000005e26a2533a741836 #d,-,18,2667,2347,1142,6,0,189919,11775,2668,2348,1143,2667,2346,1135,98,100,0,499,2707;
@400000005e26a2553a7f57dd #d,-,18,2666,2346,1142,7,0,189981,11778,2667,2348,1144,2666,2345,1141,99,100,0,499,2691;
@400000005e26a2553a8a1167 #d,-,18,2665,2347,1143,8,0,190004,11780,2666,2348,1143,2665,2346,1141,99,100,0,499,2689;
@400000005e26a2573a99966c #d,-,18,2664,2346,1142,9,0,191561,11876,2665,2347,1143,2664,2346,1141,98,100,0,499,2691;
@400000005e26a2573aa3db8c #d,-,18,2664,2348,1141,9,0,191632,11881,2664,2349,1170,2664,2346,1141,98,100,0,499,2696;
@400000005e26a2593aae765a #d,-,18,2665,2345,1143,10,0,190217,11793,2665,2348,1145,2664,2345,1134,98,100,0,499,2710;
@400000005e26a2593ab9339e #d,-,18,2664,2347,1148,11,0,190282,11797,2665,2348,1150,2664,2345,1142,98,100,0,499,2694;
@400000005e26a25b3ac1f284 #d,-,18,2664,2346,1142,12,0,190286,11797,2664,2348,1149,2664,2346,1139,98,100,0,499,2700;
@400000005e26a25b3acadb53 #d,-,18,2663,2347,1143,12,0,190302,11798,2664,2348,1144,2663,2345,1142,98,100,0,499,2691;
@400000005e26a25d3ad3a920 #d,-,18,2663,2345,1152,13,0,190422,11806,2663,2347,1172,2663,2345,1141,98,100,0,499,2691;
@400000005e26a25d3ade736e #d,-,18,2665,2346,1142,14,0,190396,11804,2665,2347,1152,2663,2344,1134,98,100,0,499,2716;
@400000005e26a25f3ae6ff1b #d,-,18,2664,2345,1143,15,0,190400,11804,2665,2346,1144,2664,2344,1142,99,100,0,499,2689;
@400000005e26a25f3af16e23 #d,-,18,2663,2346,1142,15,0,190393,11804,2664,2347,1143,2663,2344,1141,98,100,0,499,2691;
@400000005e26a2613af9e9fc #d,-,18,2662,2345,1143,16,0,190401,11804,2663,2348,1144,2662,2344,1142,98,100,0,499,2691;
