@400000005e27eab21ede6f8d #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e27eab30d2e5fdf #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e27eab3133868f5 #f,-,48,153,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e27eab5134bbe01 #d,-,18,2648,2354,1168,1,0,185933,11527,2648,2356,1169,2645,2353,1137,98,100,0,500,2694;
@400000005e27eab71355f34c #d,-,18,2652,2353,1141,2,0,187395,11618,2652,2355,1168,2648,2352,1134,97,100,0,500,2717;
@400000005e27eab7135a9f1d #d,-,18,2653,2354,1141,2,0,188170,11666,2653,2354,1142,2652,2352,1140,98,100,0,500,2691;
@400000005e27eab913638079 #d,-,18,2654,2353,1142,3,0,188620,11694,2654,2354,1142,2653,2351,1140,98,100,0,500,2691;
@400000005e27eab9136ce25a #d,-,18,2655,2354,1142,4,0,188958,11715,2655,2354,1143,2654,2352,1141,98,100,0,500,2691;
@400000005e27eabb137c2540 #d,-,18,2655,2353,1170,5,0,189384,11741,2655,2354,1170,2655,2352,1141,98,100,0,500,2694;
@400000005e27eabb1386336d #d,-,18,2659,2353,1142,5,0,189584,11754,2659,2354,1170,2655,2352,1134,97,100,0,500,2719;
@400000005e27eabd1392cd87 #d,-,18,2659,2353,1142,6,0,189693,11760,2659,2353,1143,2659,2351,1141,98,100,0,500,2691;
@400000005e27eabd139da302 #d,-,18,2659,2354,1142,7,0,189791,11767,2659,2354,1143,2659,2352,1140,98,100,0,500,2692;
@400000005e27eabf13a9efcf #d,-,18,2659,2353,1141,8,0,189871,11772,2659,2354,1143,2659,2352,1140,98,100,0,500,2694;
@400000005e27eabf13b3fa42 #d,-,18,2659,2352,1166,8,0,190018,11781,2659,2354,1166,2659,2352,1141,98,100,0,500,2692;
@400000005e27eac113c36357 #d,-,18,2662,2352,1144,9,0,190135,11788,2662,2354,1170,2659,2352,1135,97,100,0,500,2721;
@400000005e27eac113ce3c8c #d,-,18,2662,2353,1141,10,0,190158,11789,2662,2354,1144,2662,2351,1140,98,100,0,500,2689;
@400000005e27eac313de1af9 #d,-,18,2661,2351,1142,10,0,191461,11870,2662,2354,1142,2661,2351,1141,98,100,0,500,2692;
@400000005e27eac313e84c8a #d,-,18,2661,2353,1141,11,0,190217,11793,2661,2355,1142,2661,2351,1141,98,100,0,500,2692;
@400000005e27eac513f09170 #d,-,18,2661,2353,1157,12,0,190269,11796,2661,2355,1157,2661,2353,1141,98,100,0,500,2692;
@400000005e27eac513fa07ce #d,-,18,2664,2354,1141,13,0,190364,11802,2664,2355,1170,2661,2353,1135,97,100,0,500,2721;
@400000005e27eac71404ffbe #d,-,18,2664,2352,1142,13,0,190380,11803,2664,2355,1144,2664,2352,1141,98,100,0,500,2691;
@400000005e27eac7140f0a32 #d,-,18,2663,2354,1141,14,0,191347,11863,2664,2354,1143,2663,2352,1141,98,100,0,500,2692;
@400000005e27eac914174f17 #d,-,18,2663,2354,1140,15,0,190404,11805,2663,2355,1142,2663,2352,1140,98,100,0,500,2692;
@400000005e27eac9141c0abe #d,-,18,2662,2352,1147,16,0,190416,11805,2663,2355,1147,2662,2352,1140,98,100,0,500,2692;
@400000005e27eacb142a239e #d,-,18,2666,2352,1140,16,0,190498,11810,2666,2354,1170,2662,2352,1134,98,100,0,500,2717;
@400000005e27eacb14345ca2 #d,-,18,2664,2355,1140,17,0,191291,11860,2666,2355,1142,2664,2352,1140,98,100,0,500,2691;
@400000005e27eacd1443edc3 #d,-,18,2663,2355,1141,18,0,190500,11811,2664,2355,1142,2663,2353,1140,98,100,0,500,2691;
@400000005e27eacd144e0ad7 #d,-,18,2663,2356,1142,19,0,190503,11811,2663,2356,1142,2663,2353,1140,98,100,0,500,2691;
