@400000005e29441822c1fe7e #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e2944191113d31a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e29441917214f14 #f,-,48,205,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e29441b173878cf #d,-,18,2684,2392,1131,1,0,202051,12527,2686,2394,1132,2684,2391,1126,99,100,0,500,2710;
@400000005e29441d1741db9f #d,-,18,2685,2392,1133,1,0,190823,11831,2685,2394,1143,2684,2392,1131,98,100,0,500,2721;
@400000005e29441d174c62df #d,-,18,2687,2394,1129,2,0,191806,11892,2687,2394,1163,2685,2392,1129,98,100,0,500,2732;
@400000005e29441f175cd1a7 #d,-,18,2688,2394,1135,3,0,191938,11900,2688,2394,1137,2687,2392,1128,98,100,0,500,2739;
@400000005e29441f1767269c #d,-,18,2688,2393,1135,4,0,192023,11905,2688,2395,1135,2688,2392,1134,98,100,0,500,2723;
@400000005e29442117772c28 #d,-,18,2687,2392,1134,4,0,192083,11909,2688,2394,1135,2687,2392,1133,98,100,0,500,2719;
@400000005e29442117812a7f #d,-,18,2687,2394,1134,5,0,192126,11911,2687,2394,1136,2687,2392,1133,98,100,0,500,2723;
@400000005e2944231790ea32 #d,-,18,2687,2392,1136,6,0,192399,11928,2687,2394,1163,2687,2392,1133,98,100,0,500,2723;
@400000005e294423179ba002 #d,-,18,2689,2393,1134,7,0,192367,11926,2689,2394,1136,2687,2391,1128,98,100,0,501,2742;
@400000005e29442517a436dc #d,-,18,2688,2394,1134,7,0,192361,11926,2689,2394,1135,2688,2392,1133,98,100,0,501,2719;
@400000005e29442517aa4583 #d,-,18,2688,2391,1133,8,0,192356,11926,2688,2394,1136,2688,2391,1133,98,100,0,501,2719;
@400000005e29442717ba7a8e #d,-,18,2688,2392,1137,9,0,193926,12023,2688,2393,1138,2688,2390,1133,98,100,0,501,2721;
@400000005e29442717c501cd #d,-,18,2688,2391,1149,10,0,192556,11938,2688,2393,1162,2688,2390,1135,98,100,0,501,2724;
@400000005e29442917d560c1 #d,-,18,2690,2390,1135,10,0,192509,11935,2690,2392,1149,2688,2390,1128,98,100,0,501,2744;
@400000005e29442917dfa99a #d,-,18,2689,2392,1135,11,0,192496,11934,2690,2392,1136,2689,2390,1134,98,100,0,500,2719;
@400000005e29442b17efa03f #d,-,18,2689,2393,1134,12,0,192484,11934,2689,2393,1136,2689,2390,1133,98,100,0,500,2719;
@400000005e29442b17f9d589 #d,-,18,2688,2391,1134,12,0,192480,11933,2689,2393,1135,2688,2391,1134,98,100,0,500,2721;
@400000005e29442d18022dfe #d,-,18,2687,2391,1160,13,0,192576,11939,2688,2393,1164,2687,2390,1133,98,100,0,500,2719;
@400000005e29442d1807719d #d,-,18,2690,2392,1134,14,0,193538,11999,2690,2393,1160,2687,2391,1128,98,100,0,500,2744;
@400000005e29442f18176fb5 #d,-,18,2689,2391,1137,15,0,192534,11937,2690,2393,1137,2689,2390,1132,98,100,0,500,2717;
@400000005e29442f1821f6f5 #d,-,18,2688,2392,1134,15,0,192523,11936,2689,2393,1140,2688,2390,1131,98,100,0,500,2719;
@400000005e2944311832794c #d,-,18,2687,2391,1134,16,0,192504,11935,2688,2392,1135,2687,2390,1133,98,100,0,500,2716;
@400000005e294431183cbe6c #d,-,18,2686,2390,1161,17,0,193375,11989,2687,2392,1161,2686,2389,1134,98,100,0,501,2717;
@400000005e2944331848fa76 #d,-,18,2689,2393,1135,18,0,192549,11938,2689,2393,1161,2686,2390,1127,97,100,0,501,2744;
@400000005e29443318534bb1 #d,-,18,2688,2391,1134,18,0,192536,11937,2689,2393,1135,2688,2391,1133,98,100,0,501,2716;
@400000005e29443518613d73 #d,-,18,2687,2391,1134,19,0,192523,11936,2688,2393,1135,2687,2391,1133,98,100,0,501,2717;
@400000005e294435186c267c #d,-,18,2687,2393,1133,20,0,193211,11979,2687,2393,1135,2687,2390,1133,98,100,0,501,2717;
@400000005e29443718788e4c #d,-,18,2686,2392,1160,21,0,192542,11937,2687,2393,1160,2686,2391,1133,98,100,0,501,2719;
@400000005e2944371882bfdd #d,-,18,2689,2393,1134,21,0,192556,11938,2689,2393,1161,2686,2391,1126,97,100,0,501,2746;
@400000005e29443918925fe4 #d,-,18,2687,2391,1134,22,0,193172,11976,2689,2393,1135,2687,2389,1133,99,100,0,501,2714;
@400000005e294439189d4ca7 #d,-,18,2686,2387,1135,23,0,192530,11936,2687,2391,1137,2686,2386,1134,98,100,0,501,2717;
@400000005e29443b18ac7bfe #d,-,18,2686,2389,1136,24,0,192520,11936,2686,2389,1137,2686,2387,1134,98,100,0,501,2717;
