@400000005e2a9125059d68b9 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e2a91252f813d41 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e2a91253588934d #f,-,48,245,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e2a91273598659f #d,-,18,2705,2375,1147,1,0,204433,12674,2705,2376,1176,2704,2375,1147,98,100,0,500,2749;
@400000005e2a912935a80e09 #d,-,18,2704,2375,1148,1,0,199929,12395,2705,2375,1148,2704,2372,1146,98,100,0,500,2732;
@400000005e2a912935b23eab #d,-,18,2703,2374,1148,2,0,192498,11934,2704,2375,1148,2703,2373,1146,99,100,0,500,2730;
@400000005e2a912b35c0c1b7 #d,-,18,2702,2374,1147,3,0,192692,11946,2703,2376,1148,2702,2373,1147,98,100,0,500,2732;
@400000005e2a912b35cb0e4a #d,-,18,2702,2374,1145,4,0,193145,11975,2702,2376,1176,2702,2373,1145,98,100,0,500,2735;
@400000005e2a912d35d5cc7c #d,-,18,2704,2374,1145,4,0,193133,11974,2704,2376,1149,2702,2374,1140,98,100,0,500,2751;
@400000005e2a912d35e09221 #d,-,18,2702,2374,1147,5,0,195713,12134,2704,2376,1148,2702,2374,1145,98,100,0,500,2730;
@400000005e2a912f35efffde #d,-,18,2702,2375,1145,6,0,193142,11974,2702,2376,1147,2702,2374,1145,98,100,0,500,2730;
@400000005e2a912f35fa48b8 #d,-,18,2701,2375,1146,7,0,193134,11974,2702,2377,1148,2701,2374,1145,99,100,0,500,2728;
@400000005e2a91313605f0ad #d,-,18,2700,2375,1156,7,0,193341,11987,2701,2376,1174,2700,2375,1146,98,100,0,500,2733;
@400000005e2a913136109f0a #d,-,18,2702,2374,1146,8,0,193299,11984,2702,2377,1156,2700,2374,1141,98,100,0,500,2753;
@400000005e2a91333620c086 #d,-,18,2701,2374,1145,9,0,193272,11982,2702,2376,1146,2701,2374,1144,99,100,0,500,2728;
@400000005e2a9133362b04b7 #d,-,18,2700,2375,1147,10,0,193256,11981,2701,2376,1147,2700,2373,1144,99,100,0,500,2726;
@400000005e2a913536393d41 #d,-,18,2699,2374,1147,10,0,193236,11980,2700,2376,1147,2699,2374,1145,98,100,0,500,2730;
@400000005e2a9135364363a5 #d,-,18,2699,2374,1169,11,0,193363,11988,2699,2376,1174,2699,2374,1145,98,100,0,500,2728;
@400000005e2a913736500621 #d,-,18,2701,2374,1141,12,0,193319,11985,2701,2376,1169,2699,2374,1138,98,100,0,500,2753;
@400000005e2a9137365af2e4 #d,-,18,2699,2373,1144,13,0,193249,11981,2701,2376,1144,2699,2373,1137,99,100,0,500,2717;
@400000005e2a9139366990f2 #d,-,18,2697,2373,1143,13,0,194261,12044,2699,2376,1146,2697,2373,1142,99,100,0,500,2723;
@400000005e2a91393673c63c #d,-,18,2695,2373,1143,14,0,193181,11977,2697,2375,1145,2695,2372,1142,99,100,0,500,2721;
@400000005e2a913b367f2858 #d,-,18,2694,2373,1172,15,0,193238,11980,2695,2374,1172,2694,2372,1142,98,100,0,500,2723;
@400000005e2a913b368a28aa #d,-,18,2697,2373,1143,16,0,193205,11978,2697,2375,1172,2694,2373,1137,98,100,0,500,2746;
@400000005e2a913d36950951 #d,-,18,2695,2375,1142,16,0,194024,12029,2697,2375,1144,2695,2373,1142,99,100,0,500,2717;
@400000005e2a913d369f1c26 #d,-,18,2693,2373,1143,17,0,193955,12025,2695,2375,1144,2693,2372,1141,99,100,0,500,2719;
@400000005e2a913f36ac3b6e #d,-,18,2693,2375,1141,18,0,193109,11972,2693,2375,1150,2693,2363,1141,98,100,0,500,2721;
