@400000005e2e6685302acf22 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e2e66861e7823b1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e2e66862486a919 #f,-,48,97,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e2e66882499df6a #d,-,18,2715,2393,1141,1,0,203567,12621,2715,2394,1147,2714,2391,1139,98,100,0,501,2760;
@400000005e2e668a24a95c0e #d,-,18,2719,2394,1172,2,0,195427,12116,2719,2394,1198,2715,2391,1141,98,100,0,501,2765;
@400000005e2e668a24b37a10 #d,-,18,2794,2392,1191,2,0,196681,12194,2794,2394,1191,2719,2392,1171,98,100,0,501,2833;
@400000005e2e668c24c10eb0 #d,-,18,2794,2394,1141,3,0,200724,12444,2794,2394,1191,2794,2391,1132,98,100,0,501,2835;
@400000005e2e668c24cc1b1d #d,-,18,2696,2393,1161,4,0,196538,12185,2794,2394,1173,2696,2392,1141,98,100,0,501,2735;
@400000005e2e668e24dbe243 #d,-,18,2700,2393,1141,5,0,196081,12157,2700,2395,1161,2696,2392,1133,97,100,0,501,2764;
@400000005e2e668e24e62ed6 #d,-,18,2700,2394,1141,5,0,198278,12293,2700,2394,1142,2700,2391,1140,98,100,0,501,2737;
@400000005e2e669024f64436 #d,-,18,2700,2392,1141,6,0,195537,12123,2700,2394,1142,2700,2392,1140,98,100,0,501,2737;
@400000005e2e6690250059d7 #d,-,18,2700,2393,1141,7,0,195331,12110,2700,2394,1144,2700,2391,1140,98,100,0,501,2735;
@400000005e2e6692250f3eac #d,-,18,2700,2393,1171,8,0,197190,12225,2700,2393,1172,2700,2390,1140,98,100,0,501,2737;
@400000005e2e6692251a080b #d,-,18,2704,2391,1141,8,0,195214,12103,2704,2393,1171,2700,2391,1133,97,100,0,501,2764;
@400000005e2e6694252a731a #d,-,18,2703,2393,1141,9,0,195081,12095,2704,2393,1142,2703,2390,1140,98,100,0,501,2733;
@400000005e2e66942534ef2d #d,-,18,2703,2393,1141,10,0,194967,12087,2703,2393,1142,2703,2390,1139,98,100,0,501,2733;
@400000005e2e669625426423 #d,-,18,2703,2385,1140,11,0,194868,12081,2703,2393,1142,2703,2385,1140,98,100,0,501,2735;
@400000005e2e6696254c95b4 #d,-,18,2702,2390,1174,11,0,194891,12083,2703,2391,1174,2702,2385,1139,98,100,0,501,2735;
@400000005e2e6698255bacd4 #d,-,18,2706,2391,1143,12,0,194828,12079,2706,2391,1174,2702,2388,1134,97,100,0,501,2764;
@400000005e2e669825667adb #d,-,18,2705,2390,1141,13,0,194753,12074,2706,2391,1143,2705,2389,1141,98,100,0,501,2733;
@400000005e2e669a25767092 #d,-,18,2704,2391,1142,14,0,194687,12070,2705,2392,1143,2704,2389,1140,98,100,0,501,2733;
@400000005e2e669a2580d0b4 #d,-,18,2703,2391,1142,14,0,194627,12066,2704,2391,1142,2703,2389,1140,98,100,0,501,2733;
@400000005e2e669c258e6cc7 #d,-,18,2703,2390,1168,15,0,194619,12066,2703,2392,1168,2703,2390,1141,98,100,0,501,2735;
@400000005e2e669c25988356 #d,-,18,2706,2389,1142,16,0,194613,12066,2706,2391,1172,2703,2389,1134,97,100,0,501,2764;
@400000005e2e669e25a82718 #d,-,18,2704,2391,1141,17,0,195408,12115,2706,2391,1142,2704,2389,1139,99,100,0,501,2730;
@400000005e2e669e25b31021 #d,-,18,2704,2389,1141,17,0,194506,12059,2704,2391,1142,2704,2389,1141,98,100,0,501,2733;
@400000005e2e66a025c3d0de #d,-,18,2703,2391,1141,18,0,194461,12056,2704,2392,1143,2703,2389,1140,98,100,0,501,2733;
@400000005e2e66a025ce5464 #d,-,18,2702,2391,1159,19,0,194440,12055,2703,2391,1159,2702,2388,1140,98,100,0,501,2732;
@400000005e2e66a225dea471 #d,-,18,2706,2390,1142,20,0,194462,12056,2706,2391,1172,2702,2389,1136,97,100,0,501,2764;
@400000005e2e66a225e8f4be #d,-,18,2704,2390,1141,20,0,194423,12054,2706,2391,1143,2704,2387,1141,99,100,0,501,2730;
@400000005e2e66a425f7e87a #d,-,18,2703,2387,1142,21,0,195062,12093,2704,2390,1142,2703,2387,1141,98,100,0,501,2733;
@400000005e2e66a426021651 #d,-,18,2703,2389,1141,22,0,194350,12049,2703,2391,1142,2703,2387,1140,98,100,0,501,2733;
@400000005e2e66a6261227f8 #d,-,18,2702,2390,1145,23,0,194326,12048,2703,2390,1145,2702,2388,1141,98,100,0,501,2732;
@400000005e2e66a6261b00f2 #d,-,18,2706,2388,1139,23,0,194348,12049,2706,2390,1171,2702,2388,1134,98,100,0,501,2760;
@400000005e2e66a82629397c #d,-,18,2704,2390,1142,24,0,194322,12047,2706,2390,1143,2704,2387,1139,99,100,0,501,2730;
@400000005e2e66a82633e066 #d,-,18,2703,2388,1141,25,0,194294,12046,2704,2390,1142,2703,2388,1140,98,100,0,501,2733;
@400000005e2e66aa264400f4 #d,-,18,2703,2389,1140,26,0,194268,12044,2703,2390,1142,2703,2388,1140,98,100,0,501,2732;
@400000005e2e66aa264e65bd #d,-,18,2702,2390,1142,26,0,194244,12043,2703,2390,1143,2702,2388,1140,98,100,0,501,2733;
@400000005e2e66ac265d5206 #d,-,18,2705,2389,1136,27,0,194271,12044,2705,2390,1171,2702,2388,1133,98,100,0,501,2755;
@400000005e2e66ac26684e9f #d,-,18,2704,2390,1142,28,0,194764,12075,2705,2391,1143,2704,2388,1136,98,100,0,501,2737;
@400000005e2e66ae2678409b #d,-,18,2703,2389,1142,29,0,194225,12041,2704,2391,1142,2703,2388,1140,98,100,0,501,2732;
@400000005e2e66ae2682a477 #d,-,18,2702,2389,1141,29,0,194204,12040,2703,2391,1143,2702,2389,1140,98,100,0,501,2732;
@400000005e2e66b02692cd66 #d,-,18,2702,2390,1140,30,0,194184,12039,2702,2391,1142,2702,2388,1140,98,100,0,501,2733;
@400000005e2e66b0269d02b0 #d,-,18,2704,2388,1127,31,0,194199,12040,2704,2391,1171,2702,2388,1127,98,100,0,501,2746;
@400000005e2e66b226ac50c3 #d,-,18,2702,2389,1141,32,0,194162,12038,2704,2390,1141,2702,2388,1127,98,100,0,501,2732;
@400000005e2e66b226b72db1 #d,-,18,2701,2389,1138,32,0,194132,12036,2702,2389,1141,2701,2387,1137,99,100,0,501,2728;
@400000005e2e66b426c7333d #d,-,18,2699,2389,1139,33,0,194099,12034,2701,2390,1139,2699,2387,1137,99,100,0,501,2723;
@400000005e2e66b426d1af4f #d,-,18,2698,2389,1138,34,0,194069,12032,2699,2390,1139,2698,2388,1137,99,100,0,501,2724;
@400000005e2e66b626e14aaf #d,-,18,2699,2389,1133,35,0,194087,12033,2699,2390,1169,2698,2387,1133,98,100,0,501,2733;
@400000005e2e66b626eb9fa4 #d,-,18,2700,2390,1139,35,0,194061,12031,2700,2390,1140,2699,2387,1131,98,100,0,501,2744;
@400000005e2e66b826face0c #d,-,18,2698,2388,1138,36,0,194034,12030,2700,2390,1140,2698,2388,1138,98,100,0,501,2726;
@400000005e2e66b827043fc3 #d,-,18,2698,2388,1138,37,0,194013,12028,2698,2390,1140,2698,2387,1138,98,100,0,501,2726;
@400000005e2e66ba27142e06 #d,-,18,2697,2390,1139,38,0,194372,12051,2698,2390,1140,2697,2387,1138,98,100,0,501,2726;
@400000005e2e66ba271ec8d4 #d,-,18,2696,2388,1142,38,0,194011,12028,2697,2390,1170,2696,2388,1137,98,100,0,501,2726;
@400000005e2e66bc272ee1ee #d,-,18,2699,2389,1142,39,0,193989,12027,2699,2390,1142,2696,2388,1132,98,100,0,501,2751;
@400000005e2e66bc27395a47 #d,-,18,2698,2390,1140,40,0,194337,12048,2699,2390,1142,2698,2387,1140,98,100,0,501,2732;
@400000005e2e66be2749b1c7 #d,-,18,2697,2389,1138,41,0,193946,12024,2698,2390,1140,2697,2388,1132,99,100,0,501,2723;
@400000005e2e66be2753faa1 #d,-,18,2696,2391,1137,41,0,193926,12023,2697,2391,1140,2696,2388,1137,98,100,0,501,2724;
@400000005e2e66c02763d0ad #d,-,18,2695,2388,1154,42,0,193947,12024,2696,2391,1169,2695,2388,1136,98,100,0,501,2724;
@400000005e2e66c0276e7796 #d,-,18,2698,2389,1138,43,0,193921,12023,2698,2390,1154,2695,2388,1130,98,100,0,501,2751;
@400000005e2e66c2277e946a #d,-,18,2697,2391,1136,43,0,193899,12021,2698,2391,1139,2697,2388,1136,98,100,0,501,2726;
@400000005e2e66c227891ba9 #d,-,18,2695,2388,1137,44,0,193878,12020,2697,2391,1138,2695,2388,1136,99,100,0,501,2721;
@400000005e2e66c42798b7f8 #d,-,18,2694,2390,1135,45,0,193854,12018,2695,2391,1137,2694,2388,1135,99,100,0,501,2721;
@400000005e2e66c427a342f1 #d,-,18,2693,2389,1164,46,0,193865,12019,2694,2391,1166,2693,2388,1135,99,100,0,501,2719;
@400000005e2e66c627b34109 #d,-,18,2695,2390,1136,46,0,194147,12037,2695,2391,1164,2693,2388,1128,98,100,0,501,2748;
@400000005e2e66c627bd89e2 #d,-,18,2694,2389,1136,47,0,193818,12016,2695,2391,1137,2694,2388,1135,99,100,0,501,2719;
@400000005e2e66c827cd2188 #d,-,18,2693,2389,1136,48,0,193797,12015,2694,2391,1137,2693,2389,1135,99,100,0,501,2719;
@400000005e2e66c827d80f39 #d,-,18,2692,2390,1135,49,0,193776,12014,2693,2391,1136,2692,2388,1135,99,100,0,501,2719;
@400000005e2e66ca27e7e18c #d,-,18,2691,2388,1170,49,0,193783,12014,2692,2390,1170,2691,2388,1135,98,100,0,501,2719;
@400000005e2e66ca27f30cb5 #d,-,18,2694,2389,1137,50,0,193769,12013,2694,2390,1170,2691,2388,1128,97,100,0,501,2749;
@400000005e2e66cc280600e6 #d,-,18,2693,2390,1136,51,0,193748,12012,2694,2391,1137,2693,2388,1134,99,100,0,501,2717;
@400000005e2e66cc2814c611 #d,-,18,2692,2389,1136,52,0,194008,12028,2693,2391,1137,2692,2388,1135,98,100,0,501,2721;
@400000005e2e66ce2825583e #d,-,18,2691,2390,1135,52,0,193712,12010,2692,2391,1138,2691,2388,1135,98,100,0,501,2719;
@400000005e2e66ce2833ea30 #d,-,18,2690,2389,1164,53,0,193709,12009,2691,2391,1164,2690,2388,1134,98,100,0,501,2719;
@400000005e2e66d0284524ef #d,-,18,2693,2390,1137,54,0,193703,12009,2693,2390,1166,2690,2388,1128,97,100,0,501,2749;
@400000005e2e66d0284f7caf #d,-,18,2692,2389,1135,55,0,193685,12008,2693,2390,1137,2692,2388,1135,99,100,0,501,2717;
@400000005e2e66d22860745f #d,-,18,2691,2390,1136,55,0,193668,12007,2692,2391,1137,2691,2388,1135,98,100,0,501,2719;
@400000005e2e66d2286ac1e0 #d,-,18,2690,2389,1135,56,0,193652,12006,2691,2391,1137,2690,2388,1135,98,100,0,501,2721;
@400000005e2e66d4287b7ee4 #d,-,18,2689,2390,1155,57,0,193644,12005,2690,2391,1155,2689,2388,1135,98,100,0,501,2719;
@400000005e2e66d42885bba2 #d,-,18,2693,2391,1138,58,0,193646,12006,2693,2391,1166,2689,2389,1128,97,100,0,501,2751;
@400000005e2e66d6288e896f #d,-,18,2691,2386,1458,58,0,193889,12021,2693,2391,1458,2691,2386,1136,99,100,0,501,2717;
@400000005e2e66d628921844 #d,-,18,3317,2389,1532,59,0,194641,12067,3317,2389,1551,2691,2386,1428,100,100,0,501,3317;
@400000005e2e66d82899c827 #d,-,18,3313,2389,1218,60,0,194803,12077,3317,2390,1532,3313,2389,1170,97,100,0,501,3385;
@400000005e2e66d8289d6229 #d,-,18,2911,2390,1232,61,0,195231,12104,3313,2391,1254,2911,2388,1218,99,100,0,501,2931;
@400000005e2e66da28a6ffa5 #d,-,18,2916,2388,1233,62,0,195194,12102,2916,2390,1264,2911,2387,1232,97,100,0,501,2986;
@400000005e2e66da28ac7949 #d,-,18,2917,2390,1227,63,0,195355,12112,2917,2391,1234,2916,2388,1225,98,100,0,501,2959;
@400000005e2e66dc28b6e1cd #d,-,18,2916,2388,1227,63,0,195513,12121,2917,2390,1230,2916,2388,1227,99,100,0,501,2938;
@400000005e2e66dc28bc9e7f #d,-,18,2915,2389,1228,64,0,195891,12145,2916,2390,1229,2915,2387,1226,99,100,0,501,2942;
@400000005e2e66de28c767de #d,-,18,2914,2390,1235,65,0,195816,12140,2915,2390,1235,2914,2388,1228,99,100,0,501,2938;
@400000005e2e66de28cd6f12 #d,-,18,2918,2389,1229,66,0,195995,12151,2918,2390,1264,2914,2388,1227,98,100,0,501,2974;
@400000005e2e66e028d8aa10 #d,-,18,2919,2391,1232,67,0,196369,12174,2919,2392,1235,2918,2388,1229,98,100,0,501,2959;
@400000005e2e66e028df0aac #d,-,18,2919,2390,1234,67,0,196297,12170,2919,2392,1234,2919,2389,1231,98,100,0,501,2952;
@400000005e2e66e228eb9e41 #d,-,18,2919,2391,1232,68,0,196442,12179,2919,2391,1234,2919,2389,1232,98,100,0,501,2952;
@400000005e2e66e228f2e8a0 #d,-,18,2920,2389,1233,69,0,196799,12201,2920,2391,1234,2919,2388,1232,98,100,0,501,2954;
@400000005e2e66e428fe1c2a #d,-,18,2923,2391,1228,70,0,196744,12198,2923,2391,1263,2920,2389,1227,98,100,0,501,2967;
